date,time,open,high,low,close,volume
2025-10-29,400,1.0,1.04,1.0,1.01,2069
2025-10-29,401,1.01,1.01,1.01,1.01,3420
2025-10-29,402,1.0,1.0,1.0,1.0,1936
2025-10-29,405,0.9861,0.99,0.9699,0.99,7995
2025-10-29,406,0.9611,0.9639,0.9611,0.9632,2794
2025-10-29,407,0.9699,0.9699,0.9699,0.9699,107
2025-10-29,410,0.9976,0.9979,0.9974,0.9974,1957
2025-10-29,412,0.965,0.965,0.965,0.965,290
2025-10-29,415,0.9699,0.97,0.9637,0.964,8894
2025-10-29,416,0.9729,0.9729,0.9729,0.9729,307
2025-10-29,422,0.9851,0.9851,0.9851,0.9851,1137
2025-10-29,423,0.964,0.9797,0.964,0.9797,1976
2025-10-29,424,0.9797,0.9797,0.9797,0.9797,1601
2025-10-29,426,0.964,0.964,0.964,0.964,301
2025-10-29,428,0.9635,0.9635,0.9635,0.9635,567
2025-10-29,433,0.978,0.978,0.978,0.978,197
2025-10-29,435,0.9657,0.9657,0.9657,0.9657,100
2025-10-29,437,0.9768,0.9768,0.9768,0.9768,410
2025-10-29,447,0.9665,0.9768,0.9665,0.9768,223
2025-10-29,450,0.9768,0.9768,0.9768,0.9768,520
2025-10-29,452,0.97,0.97,0.97,0.97,212
2025-10-29,453,0.9665,0.9665,0.9665,0.9665,358
2025-10-29,459,0.9792,0.9792,0.9792,0.9792,629
2025-10-29,500,0.9792,0.9792,0.9792,0.9792,201
2025-10-29,502,0.9861,0.9861,0.9861,0.9861,113
2025-10-29,506,0.98,0.98,0.98,0.98,351
2025-10-29,510,0.9878,0.9878,0.9878,0.9878,439
2025-10-29,516,0.98,0.98,0.9797,0.9797,1342
2025-10-29,518,0.9705,0.9706,0.9705,0.9705,4234
2025-10-29,519,0.9694,0.9694,0.9694,0.9694,1005
2025-10-29,521,0.9666,0.9666,0.9665,0.9665,691
2025-10-29,522,0.9665,0.967,0.9665,0.967,1191
2025-10-29,523,0.9665,0.9665,0.9665,0.9665,145
2025-10-29,524,0.967,0.967,0.9657,0.9657,2042
2025-10-29,525,0.9656,0.9697,0.9656,0.9697,5546
2025-10-29,526,0.9697,0.9697,0.9671,0.9671,610
2025-10-29,527,0.9697,0.97,0.9697,0.97,1922
2025-10-29,530,0.9702,0.9702,0.9702,0.9702,1032
2025-10-29,531,0.9697,0.9697,0.9697,0.9697,1004
2025-10-29,532,0.9702,0.9702,0.9702,0.9702,330
2025-10-29,533,0.9795,0.9795,0.9704,0.9704,508
2025-10-29,534,0.9706,0.9706,0.9699,0.9699,1500
2025-10-29,535,0.9699,0.9699,0.9699,0.9699,213
2025-10-29,537,0.9699,0.9699,0.9661,0.9661,1050
2025-10-29,540,0.969,0.969,0.969,0.969,401
2025-10-29,541,0.9697,0.9697,0.9697,0.9697,1981
2025-10-29,542,0.97,0.97,0.97,0.97,600
2025-10-29,543,0.97,0.97,0.97,0.97,449
2025-10-29,548,0.97,0.97,0.97,0.97,101
2025-10-29,549,0.97,0.97,0.969,0.969,1079
2025-10-29,552,0.9699,0.97,0.9699,0.97,555
2025-10-29,555,0.97,0.97,0.97,0.97,700
2025-10-29,556,0.9699,0.9699,0.9697,0.9697,869
2025-10-29,600,0.9701,0.9701,0.9697,0.9697,2461
2025-10-29,601,0.9698,0.97,0.9698,0.97,4980
2025-10-29,602,0.9749,0.9795,0.9725,0.9725,700
2025-10-29,605,0.9726,0.9726,0.9726,0.9726,480
2025-10-29,606,0.9726,0.9726,0.9726,0.9726,400
2025-10-29,609,0.9726,0.9726,0.9701,0.9701,1717
2025-10-29,612,0.97,0.97,0.97,0.97,237
2025-10-29,613,0.97,0.97,0.97,0.97,163
2025-10-29,616,0.9699,0.9699,0.9697,0.9697,4041
2025-10-29,618,0.9694,0.9694,0.9694,0.9694,150
2025-10-29,619,0.9657,0.9657,0.9657,0.9657,200
2025-10-29,620,0.9694,0.9694,0.9694,0.9694,204
2025-10-29,622,0.9652,0.9652,0.965,0.965,982
2025-10-29,628,0.968,0.968,0.968,0.968,223
2025-10-29,629,0.963,0.963,0.963,0.963,149
