date,time,open,high,low,close,volume
2025-10-30,400,6.04,6.04,6.04,6.04,2
2025-10-30,403,6.0,6.0,5.97,5.97,84
2025-10-30,406,5.975,5.975,5.975,5.975,2
2025-10-30,407,6.15,6.845,5.97,5.97,202
2025-10-30,408,6.15,6.61,6.01,6.155,38
2025-10-30,409,6.155,6.215,6.155,6.215,19
2025-10-30,410,6.21,6.215,6.21,6.215,38
2025-10-30,412,6.215,6.285,6.21,6.285,98
2025-10-30,415,6.16,6.28,6.155,6.28,72
2025-10-30,417,6.155,6.155,6.155,6.155,54
2025-10-30,418,6.15,6.15,6.15,6.15,2
2025-10-30,422,6.145,6.145,6.145,6.145,4
2025-10-30,433,6.0,6.005,6.0,6.005,8
2025-10-30,441,6.005,6.005,5.97,5.97,64
2025-10-30,442,6.145,6.155,6.145,6.155,200
2025-10-30,450,6.15,6.15,6.15,6.15,6
2025-10-30,458,6.15,6.15,6.15,6.15,14
2025-10-30,501,6.005,6.005,5.975,5.975,11
2025-10-30,504,5.975,5.975,5.97,5.97,10
2025-10-30,513,6.105,6.11,6.105,6.11,46
2025-10-30,514,6.11,6.11,6.11,6.11,4
2025-10-30,516,6.105,6.14,6.105,6.14,6
2025-10-30,519,6.125,6.155,6.125,6.155,52
2025-10-30,522,6.04,6.04,5.95,5.95,99
2025-10-30,541,5.965,5.97,5.955,5.955,53
2025-10-30,545,6.13,6.13,6.13,6.13,29
2025-10-30,556,5.995,6.0,5.995,6.0,93
2025-10-30,607,6.0,6.0,5.97,5.97,25
2025-10-30,638,6.13,6.13,5.96,5.96,154
2025-10-30,651,6.0,6.0,5.95,5.95,220
2025-10-30,654,6.12,6.12,6.12,6.12,2
2025-10-30,656,6.12,6.12,6.12,6.12,6
2025-10-30,657,6.12,6.12,6.12,6.12,6
2025-10-30,658,5.95,5.95,5.95,5.95,2
2025-10-30,700,6.0,6.0,6.0,6.0,40
2025-10-30,701,6.15,6.455,6.15,6.455,28
2025-10-30,702,6.04,6.04,6.04,6.04,2
2025-10-30,703,6.04,6.04,6.04,6.04,6
2025-10-30,704,6.04,6.04,6.04,6.04,9
2025-10-30,706,6.2,6.445,6.0,6.2,569
2025-10-30,707,6.01,6.015,6.01,6.01,87
2025-10-30,708,6.15,6.45,6.15,6.25,18
2025-10-30,709,6.155,6.255,6.155,6.255,662
2025-10-30,710,6.25,6.25,6.25,6.25,531
2025-10-30,711,6.21,6.215,6.1,6.1,91
2025-10-30,712,6.065,6.065,6.065,6.065,3
2025-10-30,716,6.0,6.0,6.0,6.0,12
2025-10-30,718,6.065,6.2,6.065,6.2,18
2025-10-30,719,6.21,6.395,6.21,6.35,905
2025-10-30,720,6.345,6.345,6.345,6.345,2
2025-10-30,721,6.155,6.35,6.155,6.35,125
2025-10-30,723,6.105,6.105,6.1,6.1,6
2025-10-30,735,6.165,6.165,6.165,6.165,2
2025-10-30,737,6.185,6.185,6.185,6.185,4
2025-10-30,738,6.345,6.345,6.345,6.345,11
2025-10-30,741,6.155,6.155,6.155,6.155,61
2025-10-30,743,6.14,6.14,6.14,6.14,10
2025-10-30,744,6.185,6.185,6.185,6.185,6
2025-10-30,745,6.155,6.155,6.155,6.155,6
2025-10-30,747,6.195,6.195,6.195,6.195,2
2025-10-30,748,6.135,6.135,6.05,6.1,16
2025-10-30,749,6.04,6.05,6.04,6.04,134
2025-10-30,750,6.035,6.035,6.025,6.025,8
2025-10-30,756,6.03,6.03,6.03,6.03,49
2025-10-30,757,6.025,6.025,6.0,6.0,223
2025-10-30,758,5.975,6.09,5.965,6.09,409
2025-10-30,759,5.96,5.96,5.95,5.95,81
2025-10-30,800,6.0,6.35,5.95,5.955,5193
2025-10-30,801,6.1,6.1,6.1,6.1,5
2025-10-30,802,5.955,5.96,5.955,5.955,193
2025-10-30,803,6.005,6.075,6.005,6.075,9
2025-10-30,804,6.07,6.075,6.005,6.005,432
2025-10-30,805,6.075,6.075,6.01,6.01,402
2025-10-30,806,6.01,6.075,6.01,6.075,17
2025-10-30,807,6.095,6.095,6.095,6.095,2
2025-10-30,808,6.15,6.15,6.15,6.15,62
2025-10-30,810,6.075,6.075,6.075,6.075,2
2025-10-30,812,6.075,6.075,6.025,6.025,81
2025-10-30,813,6.01,6.145,6.0,6.14,1400
2025-10-30,814,6.135,6.135,6.135,6.135,115
2025-10-30,815,6.005,6.005,6.005,6.005,5
2025-10-30,817,6.145,6.145,6.145,6.145,6
2025-10-30,821,5.96,5.96,5.96,5.96,3
2025-10-30,823,6.14,6.145,6.14,6.145,117
2025-10-30,824,6.0,6.0,5.96,5.96,120
2025-10-30,827,6.0,6.0,6.0,6.0,12
2025-10-30,829,6.0,6.0,5.955,5.955,20
2025-10-30,832,5.965,5.965,5.965,5.965,2
2025-10-30,833,5.97,5.97,5.97,5.97,220
2025-10-30,834,5.97,5.97,5.97,5.97,15
2025-10-30,837,5.975,5.975,5.97,5.97,100
2025-10-30,839,5.97,5.97,5.97,5.97,5
2025-10-30,841,5.995,6.14,5.995,6.14,22
2025-10-30,843,5.975,5.975,5.97,5.97,50
2025-10-30,848,5.985,5.985,5.985,5.985,1000
2025-10-30,849,5.97,5.985,5.97,5.985,720
2025-10-30,850,5.98,5.98,5.98,5.98,8
2025-10-30,851,5.97,5.97,5.95,5.95,310
2025-10-30,852,5.95,5.95,5.95,5.95,20
2025-10-30,853,5.95,5.95,5.935,5.95,82
2025-10-30,855,5.935,5.935,5.915,5.915,19
2025-10-30,856,5.91,5.91,5.91,5.91,21
2025-10-30,858,5.91,5.91,5.9,5.9,121
2025-10-30,859,5.9,5.9,5.895,5.9,396
2025-10-30,900,5.895,5.895,5.895,5.895,4
2025-10-30,901,5.895,5.9,5.89,5.89,32
2025-10-30,903,5.9,5.9,5.9,5.9,20
2025-10-30,905,5.89,5.89,5.805,5.815,937
2025-10-30,906,5.82,5.825,5.82,5.825,9
2025-10-30,907,5.83,5.83,5.825,5.83,69
2025-10-30,908,5.83,5.895,5.825,5.895,46
2025-10-30,909,5.89,5.895,5.89,5.895,12
2025-10-30,910,5.865,5.865,5.865,5.865,395
2025-10-30,912,5.865,5.865,5.865,5.865,200
2025-10-30,913,5.865,5.865,5.865,5.865,88
2025-10-30,914,5.895,5.9,5.895,5.9,99
2025-10-30,917,5.91,6.0,5.91,6.0,268
2025-10-30,918,6.0,6.0,6.0,6.0,260
2025-10-30,921,5.995,5.995,5.995,5.995,26
2025-10-30,923,5.9,5.9,5.9,5.9,20
2025-10-30,925,5.9,5.9,5.9,5.9,196
2025-10-30,926,5.9,5.9,5.9,5.9,35
2025-10-30,927,5.9,5.9,5.9,5.9,148
2025-10-30,928,5.905,5.905,5.9,5.9,45
2025-10-30,930,5.98,5.98,5.98,5.98,90
2025-10-30,931,5.905,5.975,5.9,5.975,190
2025-10-30,932,5.975,5.98,5.975,5.98,67
2025-10-30,933,5.975,5.975,5.975,5.975,8
2025-10-30,934,5.97,5.97,5.905,5.94,172
2025-10-30,935,5.9,5.9,5.9,5.9,233
2025-10-30,936,5.9,5.9,5.84,5.84,133
2025-10-30,937,5.84,5.845,5.84,5.845,143
2025-10-30,938,5.855,5.9,5.85,5.85,97
2025-10-30,939,5.9,5.9,5.88,5.88,18
2025-10-30,940,5.885,5.9,5.88,5.9,698
2025-10-30,941,5.885,5.885,5.885,5.885,2
2025-10-30,942,5.9,5.9,5.885,5.885,92
2025-10-30,943,5.89,5.89,5.82,5.82,600
2025-10-30,944,5.825,5.835,5.825,5.835,95
2025-10-30,945,5.835,5.835,5.835,5.835,19
2025-10-30,946,5.875,5.875,5.875,5.875,20
2025-10-30,947,5.84,5.845,5.84,5.84,12
2025-10-30,948,5.87,5.87,5.84,5.87,18
2025-10-30,949,5.88,5.88,5.86,5.86,136
2025-10-30,950,5.87,5.9,5.855,5.86,2496
2025-10-30,951,5.86,5.86,5.855,5.855,78
2025-10-30,952,5.855,5.855,5.855,5.855,291
2025-10-30,953,5.85,5.86,5.85,5.85,1099
2025-10-30,954,5.855,5.88,5.85,5.875,2730
2025-10-30,955,5.875,5.9,5.875,5.9,206
2025-10-30,956,5.88,5.89,5.88,5.89,204
2025-10-30,957,5.9,5.95,5.9,5.95,208
2025-10-30,958,5.95,5.95,5.89,5.89,658
2025-10-30,1001,5.905,5.925,5.89,5.925,63
2025-10-30,1003,5.935,5.935,5.935,5.935,2
2025-10-30,1006,5.93,5.93,5.925,5.925,208
2025-10-30,1008,5.88,5.885,5.845,5.85,169
2025-10-30,1009,5.915,5.92,5.88,5.92,95
2025-10-30,1010,5.915,5.92,5.915,5.92,50
2025-10-30,1012,5.85,5.85,5.835,5.84,233
2025-10-30,1013,5.84,5.84,5.83,5.83,1657
2025-10-30,1014,5.845,5.845,5.835,5.835,14
2025-10-30,1015,5.845,5.85,5.845,5.845,93
2025-10-30,1016,5.85,5.85,5.85,5.85,6
2025-10-30,1017,5.86,5.86,5.86,5.86,7
2025-10-30,1018,5.88,5.88,5.88,5.88,2
