date,time,open,high,low,close,volume
2025-10-30,737,45.6,45.6,45.6,45.6,3
2025-10-30,800,44.72,44.72,44.7,44.7,10
2025-10-30,806,45.0,45.0,45.0,45.0,16
2025-10-30,850,45.9,45.9,45.9,45.9,11
2025-10-30,858,45.0,45.0,45.0,45.0,3
2025-10-30,930,46.5,46.5,45.6,45.6,71
2025-10-30,931,47.66,47.68,47.66,47.68,16
2025-10-30,939,46.8,46.8,46.8,46.8,6
2025-10-30,940,46.8,46.8,46.8,46.8,3
2025-10-30,941,45.9,45.9,45.9,45.9,10
2025-10-30,943,46.8,46.8,46.8,46.8,8
2025-10-30,946,47.7,47.7,47.4,47.4,71
2025-10-30,947,46.8,46.8,46.8,46.8,6
2025-10-30,948,46.5,47.1,46.2,46.2,224
2025-10-30,949,46.2,46.2,45.6,45.6,23
2025-10-30,950,45.6,45.6,45.6,45.6,190
2025-10-30,951,45.3,45.3,44.7,44.7,97
2025-10-30,953,45.0,45.0,45.0,45.0,16
2025-10-30,956,45.0,45.0,45.0,45.0,16
2025-10-30,958,45.0,45.0,45.0,45.0,16
2025-10-30,1000,45.0,45.0,45.0,45.0,48
2025-10-30,1002,45.3,45.6,45.3,45.6,17
2025-10-30,1003,45.6,45.6,45.6,45.6,74
2025-10-30,1004,45.3,45.3,45.3,45.3,6
2025-10-30,1009,45.6,45.6,45.6,45.6,17
2025-10-30,1012,45.59,45.59,45.59,45.59,7
2025-10-30,1013,45.15,45.6,45.15,45.6,113
2025-10-30,1014,45.45,45.45,45.45,45.45,25
2025-10-30,1015,45.9,45.9,45.9,45.9,3
2025-10-30,1019,45.9,45.9,45.9,45.9,3
2025-10-30,1023,45.9,45.9,45.9,45.9,3
2025-10-30,1028,45.9,45.9,45.9,45.9,3
2025-10-30,1034,45.9,45.9,45.9,45.9,3
2025-10-30,1036,45.9,45.9,45.9,45.9,3
2025-10-30,1037,45.9,45.9,45.6,45.6,71
2025-10-30,1039,45.9,45.9,45.9,45.9,3
2025-10-30,1054,47.36,47.36,45.6,46.5,22
2025-10-30,1055,46.2,47.1,46.2,47.1,10
2025-10-30,1111,45.6,45.6,45.6,45.6,26
2025-10-30,1118,46.05,46.2,44.4,44.4,374
2025-10-30,1124,45.3,45.3,45.3,45.3,8
2025-10-30,1128,45.15,45.15,45.15,45.15,6
2025-10-30,1150,45.3,45.3,45.3,45.3,8
2025-10-30,1156,45.0,45.0,45.0,45.0,8
2025-10-30,1159,45.0,45.0,45.0,45.0,9
2025-10-30,1207,44.66,44.66,44.66,44.66,4
2025-10-30,1213,44.4,44.4,44.4,44.4,3
2025-10-30,1220,45.0,45.0,45.0,45.0,6
2025-10-30,1222,44.4,44.4,44.4,44.4,4
2025-10-30,1227,44.55,44.55,44.55,44.55,3
2025-10-30,1246,44.4,44.4,44.4,44.4,5
2025-10-30,1303,44.1,44.1,44.1,44.1,19
2025-10-30,1325,44.4,45.0,44.4,45.0,17
2025-10-30,1330,45.0,45.0,45.0,45.0,3
2025-10-30,1332,45.0,45.0,45.0,45.0,3
2025-10-30,1350,44.85,44.85,44.85,44.85,6
2025-10-30,1402,44.85,44.85,44.85,44.85,33
2025-10-30,1407,44.85,44.85,44.85,44.85,11
2025-10-30,1410,44.85,44.85,44.85,44.85,11
2025-10-30,1437,45.45,45.45,45.45,45.45,3
2025-10-30,1442,45.0,45.0,45.0,45.0,40
2025-10-30,1452,44.1,44.1,44.1,44.1,16
2025-10-30,1453,46.17,46.17,46.17,46.17,13
2025-10-30,1455,44.1,44.1,44.1,44.1,16
2025-10-30,1510,44.35,44.35,44.35,44.35,16
2025-10-30,1513,45.9,45.9,45.9,45.9,13
2025-10-30,1519,45.0,45.0,45.0,45.0,3
2025-10-30,1522,43.8,45.0,43.8,45.0,56
2025-10-30,1529,44.49,44.85,44.1,44.85,102
2025-10-30,1537,44.55,44.55,44.4,44.4,25
2025-10-30,1543,44.1,44.4,43.82,43.82,37
2025-10-30,1550,44.4,44.4,44.4,44.4,33
2025-10-30,1555,43.8,44.1,43.8,44.1,21
2025-10-30,1558,43.8,43.95,43.5,43.8,117
2025-10-30,1559,43.8,43.8,43.2,43.2,102
2025-10-30,1600,44.4,44.4,44.4,44.4,3
2025-10-30,1604,44.4,44.4,44.4,44.4,6
2025-10-30,1617,45.0,45.0,45.0,45.0,5
2025-10-31,906,44.99,44.99,44.99,44.99,4
2025-10-31,930,42.9,43.5,42.9,42.9,121
2025-10-31,932,42.3,42.6,42.0,42.0,117
2025-10-31,933,41.4,41.55,41.4,41.55,55
2025-10-31,934,41.4,41.4,41.1,41.1,12
2025-10-31,935,41.19,41.19,39.0,39.15,101
2025-10-31,936,39.15,39.15,39.15,39.15,14
2025-10-31,937,39.15,39.23,39.15,39.23,49
2025-10-31,938,39.15,39.15,39.15,39.15,10
2025-10-31,939,39.15,39.15,38.7,38.7,123
2025-10-31,941,38.55,38.7,38.55,38.7,45
2025-10-31,942,38.55,38.55,36.0,36.0,112
2025-10-31,943,36.0,36.0,33.9,34.65,553
2025-10-31,944,34.8,34.8,34.65,34.8,463
2025-10-31,945,34.7,34.8,34.5,34.5,848
2025-10-31,946,34.65,34.8,34.5,34.8,671
2025-10-31,947,34.71,35.4,34.5,35.4,405
2025-10-31,948,35.25,35.25,35.1,35.1,37
2025-10-31,949,35.1,35.1,34.5,34.5,332
2025-10-31,950,34.5,34.8,32.7,32.85,1078
2025-10-31,951,32.85,33.0,30.9,30.9,456
2025-10-31,952,30.9,32.4,30.9,32.4,1001
2025-10-31,953,32.4,33.0,32.4,32.7,277
2025-10-31,954,33.9,33.9,32.7,33.0,664
2025-10-31,955,33.0,33.0,32.7,32.93,142
2025-10-31,956,32.7,32.96,32.7,32.96,76
2025-10-31,957,32.7,32.7,31.5,31.5,51
2025-10-31,958,31.8,31.8,31.5,31.5,223
2025-10-31,959,31.2,31.35,30.15,30.23,1822
2025-10-31,1000,30.0,31.5,30.0,30.3,538
2025-10-31,1001,30.6,32.4,30.3,31.2,400
2025-10-31,1002,31.2,32.7,31.2,32.7,650
2025-10-31,1003,32.7,32.7,30.6,30.6,452
2025-10-31,1004,30.9,31.5,30.6,31.2,749
2025-10-31,1005,31.35,31.8,31.35,31.5,166
2025-10-31,1006,31.5,31.95,31.5,31.95,666
2025-10-31,1007,31.95,32.7,31.8,32.7,644
2025-10-31,1008,32.55,32.7,31.5,31.5,479
2025-10-31,1009,31.8,31.8,31.5,31.5,33
2025-10-31,1010,31.8,32.1,31.5,31.95,232
2025-10-31,1011,31.8,31.95,31.8,31.95,13
2025-10-31,1012,31.9,31.9,31.87,31.87,13
2025-10-31,1013,31.95,32.1,31.95,31.95,47
2025-10-31,1014,31.85,31.85,30.0,30.45,484
2025-10-31,1015,30.9,30.9,30.6,30.75,250
2025-10-31,1016,30.6,30.6,30.15,30.3,94
2025-10-31,1017,30.0,30.3,30.0,30.3,71
2025-10-31,1018,30.3,30.3,30.0,30.0,523
2025-10-31,1019,30.0,30.3,29.72,29.73,314
2025-10-31,1020,29.73,29.73,27.81,27.81,737
2025-10-31,1021,27.81,27.81,27.31,27.45,207
2025-10-31,1022,27.45,27.9,27.45,27.6,175
2025-10-31,1023,28.5,28.5,28.22,28.45,533
2025-10-31,1024,28.5,28.95,28.5,28.5,80
2025-10-31,1025,28.92,30.0,28.5,30.0,243
2025-10-31,1026,29.51,29.51,29.51,29.51,47
2025-10-31,1028,29.55,29.55,27.9,28.94,233
2025-10-31,1029,27.92,27.92,27.9,27.9,101
2025-10-31,1030,28.8,28.8,28.8,28.8,23
2025-10-31,1031,28.37,28.8,28.37,28.8,76
2025-10-31,1032,28.74,28.77,27.68,28.31,113
2025-10-31,1033,28.31,29.4,28.31,28.89,295
2025-10-31,1034,28.88,29.55,27.93,27.93,457
2025-10-31,1035,27.93,27.93,27.3,27.31,495
2025-10-31,1036,27.3,27.75,25.92,25.92,935
2025-10-31,1037,26.14,26.7,25.62,25.62,530
2025-10-31,1038,25.78,25.84,25.78,25.78,190
2025-10-31,1039,25.79,25.79,25.09,25.2,633
2025-10-31,1040,25.2,25.2,24.3,24.31,1363
2025-10-31,1041,24.75,26.4,24.61,26.02,375
2025-10-31,1042,25.2,25.31,25.2,25.2,1371
2025-10-31,1043,24.31,25.2,24.31,25.2,725
2025-10-31,1044,25.2,25.2,24.77,24.82,195
2025-10-31,1045,24.85,24.85,24.0,24.71,1084
2025-10-31,1046,24.65,24.65,24.1,24.14,348
2025-10-31,1047,24.01,24.08,24.01,24.01,340
2025-10-31,1048,24.08,25.04,24.01,24.9,325
2025-10-31,1049,24.9,26.1,24.9,26.09,1158
2025-10-31,1050,26.09,26.09,25.18,25.8,284
2025-10-31,1051,25.05,25.8,25.05,25.4,1047
2025-10-31,1052,25.8,25.8,25.4,25.8,509
2025-10-31,1053,25.8,26.7,25.61,26.7,713
2025-10-31,1054,26.7,26.7,26.32,26.32,74
