date,time,open,high,low,close,volume
2025-10-30,453,22.48,22.48,22.48,22.48,17
2025-10-30,454,24.64,24.64,24.64,24.64,18
2025-10-30,459,24.0,24.0,24.0,24.0,22
2025-10-30,504,22.56,22.56,22.56,22.56,15
2025-10-30,505,22.56,22.56,22.56,22.56,12
2025-10-30,529,24.4,24.4,24.4,24.4,62
2025-10-30,530,24.72,24.72,24.72,24.72,50
2025-10-30,531,24.72,24.72,24.72,24.72,125
2025-10-30,532,24.64,24.64,24.64,24.64,128
2025-10-30,537,24.4,24.4,24.4,24.4,31
2025-10-30,538,24.4,24.4,24.4,24.4,84
2025-10-30,604,24.64,24.64,24.64,24.64,37
2025-10-30,605,24.64,24.64,24.64,24.64,87
2025-10-30,612,24.68,24.68,24.64,24.64,141
2025-10-30,635,24.08,24.08,24.08,24.08,19
2025-10-30,640,23.44,23.44,23.44,23.44,37
2025-10-30,641,23.12,23.12,23.12,23.12,12
2025-10-30,649,23.28,23.28,23.28,23.28,24
2025-10-30,653,24.4,24.4,24.4,24.4,50
2025-10-30,701,23.44,23.44,23.44,23.44,69
2025-10-30,708,23.52,23.52,23.52,23.52,20
2025-10-30,718,23.44,23.44,23.44,23.44,12
2025-10-30,722,23.28,23.28,23.28,23.28,25
2025-10-30,729,23.28,23.28,23.04,23.04,137
2025-10-30,731,23.12,23.12,23.12,23.12,29
2025-10-30,732,23.04,23.04,22.8,22.8,243
2025-10-30,734,23.04,23.2,23.04,23.2,424
2025-10-30,751,23.12,23.2,23.12,23.2,112
2025-10-30,754,23.12,23.12,23.04,23.04,212
2025-10-30,756,22.88,22.88,22.88,22.88,75
2025-10-30,800,23.92,25.84,22.88,25.84,1139
2025-10-30,801,23.28,23.28,23.28,23.28,29
2025-10-30,802,23.04,23.04,23.04,23.04,52
2025-10-30,803,23.04,23.04,22.96,23.04,112
2025-10-30,805,23.04,23.04,23.04,23.04,31
2025-10-30,806,22.96,22.96,22.96,22.96,29
2025-10-30,820,22.96,22.96,22.88,22.88,80
2025-10-30,821,22.96,22.96,22.96,22.96,27
2025-10-30,823,22.96,22.96,22.96,22.96,74
2025-10-30,824,22.96,22.96,22.96,22.96,50
2025-10-30,825,22.96,22.96,22.96,22.96,137
2025-10-30,828,22.96,22.96,22.96,22.96,18
2025-10-30,832,22.89,22.89,22.89,22.89,13
2025-10-30,835,22.88,22.88,22.72,22.72,212
2025-10-30,836,23.2,23.2,22.64,22.64,151
2025-10-30,837,22.8,22.8,22.8,22.8,43
2025-10-30,840,22.8,22.8,22.64,22.64,89
2025-10-30,843,22.64,22.64,22.64,22.64,30
2025-10-30,844,22.96,22.96,22.96,22.96,12
2025-10-30,845,22.8,22.8,22.8,22.8,150
2025-10-30,846,22.64,22.64,22.56,22.56,238
2025-10-30,848,22.64,22.64,22.64,22.64,30
2025-10-30,849,22.72,22.72,22.72,22.72,37
2025-10-30,850,22.42,22.42,22.42,22.42,16
2025-10-30,856,22.64,22.64,22.64,22.64,30
2025-10-30,858,22.4,22.4,22.4,22.4,103
2025-10-30,859,22.56,22.56,22.0,22.0,109
2025-10-30,900,22.16,22.16,22.16,22.16,13
2025-10-30,901,22.16,22.24,22.16,22.16,58
2025-10-30,903,22.08,22.08,22.08,22.08,18
2025-10-30,905,22.08,22.08,22.08,22.08,68
2025-10-30,906,22.08,22.08,22.0,22.0,328
