date,time,open,high,low,close,volume
2025-10-30,932,5.1,5.1,5.1,5.1,100
2025-10-30,941,5.1,5.1,5.1,5.1,100
2025-10-30,1023,5.297,5.3,5.297,5.3,1742
2025-10-30,1032,5.1,5.1,5.1,5.1,267
2025-10-30,1034,5.15,5.15,5.15,5.15,100
2025-10-30,1054,5.13,5.13,5.13,5.13,228
2025-10-30,1059,5.13,5.13,5.13,5.13,100
2025-10-30,1106,5.1001,5.1001,5.03,5.03,1255
2025-10-30,1109,5.05,5.05,5.05,5.05,110
2025-10-30,1124,5.05,5.05,5.05,5.05,163
2025-10-30,1130,5.05,5.2,5.05,5.2,1838
2025-10-30,1227,5.125,5.125,5.125,5.125,457
2025-10-30,1354,5.145,5.145,5.145,5.145,110
2025-10-30,1403,5.09,5.09,5.09,5.09,150
2025-10-30,1446,5.1,5.14,5.1,5.14,1330
2025-10-30,1625,5.1494,5.1494,5.1494,5.1494,100
2025-10-30,1644,5.05,5.05,5.05,5.05,100
2025-10-31,941,5.05,5.05,5.05,5.05,100
2025-10-31,948,5.051,5.051,5.051,5.051,288
2025-10-31,954,5.07,5.15,5.07,5.15,464
2025-10-31,1054,5.04,5.2,5.04,5.2,1374
2025-10-31,1155,5.1,5.1,5.1,5.1,192
2025-10-31,1222,5.0,5.2,5.0,5.2,1099
2025-10-31,1223,4.99,5.02,4.99,5.0,609
2025-10-31,1334,5.045,5.045,5.045,5.045,200
2025-10-31,1339,5.05,5.05,5.05,5.05,127
2025-10-31,1402,5.05,5.05,5.05,5.05,100
2025-10-31,1530,5.1,5.1,5.1,5.1,273
2025-11-03,915,5.13,5.13,5.13,5.13,1000
2025-11-03,930,5.1,5.1,5.0741,5.0741,446
2025-11-03,931,5.07,5.07,5.07,5.07,256
2025-11-03,932,5.06,5.06,5.06,5.06,198
2025-11-03,945,5.08,5.08,5.08,5.08,177
2025-11-03,1012,5.08,5.08,5.08,5.08,337
2025-11-03,1020,5.08,5.1,5.08,5.1,2034
2025-11-03,1048,5.08,5.08,5.08,5.08,742
2025-11-03,1232,5.28,5.28,5.28,5.28,100
2025-11-03,1233,5.0701,5.0701,5.0701,5.0701,237
2025-11-03,1235,5.0601,5.0601,5.0601,5.0601,100
2025-11-03,1237,5.28,5.28,5.28,5.28,112
2025-11-03,1244,5.0671,5.0671,5.0671,5.0671,779
2025-11-03,1335,5.275,5.275,5.06,5.06,415
2025-11-03,1546,5.06,5.06,5.06,5.06,531
2025-11-04,817,5.0,5.0,5.0,5.0,100
2025-11-04,818,5.0,5.0,5.0,5.0,100
2025-11-04,819,5.0,5.0,5.0,5.0,200
2025-11-04,820,5.0,5.0,5.0,5.0,100
2025-11-04,821,5.0,5.0,5.0,5.0,100
2025-11-04,930,5.0,5.0,4.98,4.98,312
2025-11-04,931,4.95,4.95,4.95,4.95,100
2025-11-04,932,4.94,4.94,4.94,4.94,200
2025-11-04,933,4.92,4.92,4.92,4.92,100
2025-11-04,934,4.95,4.95,4.95,4.95,100
2025-11-04,935,4.92,4.92,4.92,4.92,200
2025-11-04,938,4.95,4.95,4.95,4.95,189
2025-11-04,941,4.95,4.95,4.95,4.95,122
2025-11-04,942,4.92,4.92,4.82,4.82,401
2025-11-04,945,4.91,4.91,4.91,4.91,100
2025-11-04,951,4.9,4.9,4.9,4.9,227
2025-11-04,952,4.91,4.91,4.91,4.91,116
2025-11-04,1000,4.91,4.91,4.91,4.91,311
2025-11-04,1001,4.91,4.91,4.91,4.91,100
2025-11-04,1035,4.9991,4.9991,4.9991,4.9991,100
2025-11-04,1044,4.91,4.91,4.91,4.91,101
2025-11-04,1150,4.9101,4.9101,4.9101,4.9101,150
2025-11-04,1152,4.91,4.91,4.91,4.91,100
2025-11-04,1305,4.955,4.955,4.955,4.955,300
2025-11-04,1406,4.91,4.91,4.91,4.91,110
2025-11-04,1452,4.9,4.93,4.9,4.93,237
2025-11-04,1500,4.86,4.86,4.86,4.86,234
2025-11-04,1510,4.9646,4.9646,4.9646,4.9646,111
2025-11-04,1514,4.86,4.86,4.8,4.8,500
2025-11-04,1515,4.77,4.77,4.65,4.65,990
2025-11-04,1517,4.65,4.65,4.65,4.65,199
2025-11-04,1522,4.31,4.32,4.23,4.24,3013
2025-11-04,1523,4.2564,4.2564,4.2564,4.2564,307
2025-11-04,1525,4.325,4.325,4.325,4.325,300
2025-11-04,1526,4.325,4.35,4.325,4.35,701
2025-11-04,1527,4.3499,4.35,4.26,4.26,1649
2025-11-04,1528,4.26,4.26,4.26,4.26,100
2025-11-04,1530,4.28,4.28,4.28,4.28,960
2025-11-04,1532,4.24,4.24,4.2,4.2,1198
2025-11-04,1534,4.15,4.15,4.15,4.15,447
2025-11-04,1535,4.16,4.16,3.88,3.88,3148
2025-11-04,1536,4.0126,4.0126,4.0126,4.0126,500
2025-11-04,1539,4.25,4.25,4.05,4.05,1400
2025-11-04,1541,4.17,4.1736,4.1,4.1,400
2025-11-04,1542,4.13,4.13,4.02,4.08,1300
2025-11-04,1544,4.08,4.08,4.0,4.0,906
2025-11-04,1546,4.08,4.08,4.0,4.0,658
2025-11-04,1547,4.05,4.05,3.9,4.05,2391
2025-11-04,1548,3.935,3.97,3.9,3.91,1979
2025-11-04,1549,3.91,3.91,3.91,3.91,253
2025-11-04,1550,3.91,3.91,3.88,3.91,1615
2025-11-04,1552,3.9984,3.9984,3.9984,3.9984,130
2025-11-04,1554,3.91,3.91,3.905,3.905,1538
2025-11-04,1555,3.91,3.91,3.91,3.91,101
2025-11-04,1556,4.1804,4.1804,3.9,3.9,589
2025-11-04,1557,3.9,3.9,3.9,3.9,434
