date,time,open,high,low,close,volume
2025-10-31,624,7.315,7.33,7.315,7.33,8
2025-10-31,636,7.33,7.33,7.33,7.33,39
2025-10-31,642,7.33,7.33,7.33,7.33,23
2025-10-31,725,7.505,7.6,7.505,7.6,60
2025-10-31,738,7.543,7.6,7.543,7.6,32
2025-10-31,858,7.337,7.337,7.337,7.337,4
2025-10-31,930,7.5,7.5,7.5,7.5,18
2025-10-31,931,7.505,7.505,7.5,7.5,144
2025-10-31,934,7.5,7.5,7.5,7.5,4
2025-10-31,935,7.343,7.343,7.343,7.343,18
2025-10-31,938,7.502,7.55,7.502,7.55,68
2025-10-31,941,7.55,7.55,7.55,7.55,5
2025-10-31,945,7.55,7.55,7.55,7.55,203
2025-10-31,948,7.5,7.5,7.363,7.363,44
2025-10-31,951,7.365,7.365,7.365,7.365,4
2025-10-31,956,7.363,7.363,7.337,7.337,404
2025-10-31,1017,7.437,7.437,7.437,7.437,20
2025-10-31,1018,7.34,7.34,7.34,7.34,4
2025-10-31,1029,7.375,7.375,7.337,7.337,55
2025-10-31,1034,7.355,7.373,7.355,7.373,124
2025-10-31,1043,7.37,7.37,7.37,7.37,28
2025-10-31,1050,7.337,7.337,7.337,7.337,28
2025-10-31,1055,7.35,7.35,7.35,7.35,44
2025-10-31,1101,7.368,7.368,7.368,7.368,40
2025-10-31,1102,7.368,7.37,7.368,7.37,82
2025-10-31,1103,7.368,7.375,7.31,7.37,194
2025-10-31,1109,7.37,7.37,7.37,7.37,24
2025-10-31,1111,7.37,7.37,7.37,7.37,64
2025-10-31,1119,7.337,7.337,7.337,7.337,4
2025-10-31,1129,7.458,7.458,7.458,7.458,20
2025-10-31,1137,7.37,7.37,7.37,7.37,8
2025-10-31,1138,7.37,7.37,7.37,7.37,7
2025-10-31,1141,7.458,7.458,7.458,7.458,12
2025-10-31,1145,7.455,7.458,7.455,7.458,8
2025-10-31,1152,7.375,7.398,7.37,7.37,211
2025-10-31,1207,7.355,7.37,7.355,7.37,26
2025-10-31,1215,7.25,7.25,7.25,7.25,400
2025-10-31,1216,7.245,7.245,7.17,7.17,16
2025-10-31,1217,7.155,7.155,7.155,7.155,34
2025-10-31,1218,7.155,7.155,7.155,7.155,5
2025-10-31,1221,7.215,7.215,7.215,7.215,151
2025-10-31,1222,7.248,7.373,7.248,7.37,552
2025-10-31,1223,7.458,7.5,7.458,7.5,25
2025-10-31,1224,7.45,7.45,7.45,7.45,25
2025-10-31,1228,7.498,7.5,7.498,7.498,94
2025-10-31,1233,7.498,7.498,7.498,7.498,26
2025-10-31,1242,7.585,7.585,7.585,7.585,32
