date,time,open,high,low,close,volume
2025-10-31,534,0.655,0.655,0.655,0.655,249
2025-10-31,548,0.6986,0.6986,0.6986,0.6986,637
2025-10-31,550,0.6986,0.75,0.6905,0.75,4978
2025-10-31,556,0.7489,0.7489,0.7489,0.7489,217
2025-10-31,557,0.749,0.749,0.749,0.749,772
2025-10-31,558,0.749,0.749,0.749,0.749,1015
2025-10-31,559,0.737,0.746,0.737,0.746,1203
2025-10-31,603,0.6965,0.6966,0.6866,0.6966,1400
2025-10-31,605,0.6868,0.7381,0.6868,0.7381,3157
2025-10-31,606,0.7381,0.7466,0.7381,0.7466,1300
2025-10-31,610,0.7408,0.7408,0.7408,0.7408,189
2025-10-31,614,0.7,0.7,0.7,0.7,690
2025-10-31,621,0.6966,0.6966,0.6966,0.6966,259
2025-10-31,631,0.6966,0.6966,0.6966,0.6966,568
2025-10-31,641,0.73,0.7376,0.73,0.7376,215
2025-10-31,643,0.7365,0.7376,0.7365,0.7376,4000
2025-10-31,644,0.7374,0.7374,0.6902,0.6916,833
2025-10-31,646,0.6925,0.6925,0.692,0.692,1203
2025-10-31,655,0.715,0.73,0.7052,0.7238,6187
2025-10-31,656,0.73,0.73,0.73,0.73,1066
2025-10-31,658,0.73,0.73,0.73,0.73,170
2025-10-31,659,0.73,0.73,0.73,0.73,219
2025-10-31,700,0.73,0.73,0.73,0.73,1281
2025-10-31,703,0.708,0.708,0.708,0.708,100
2025-10-31,705,0.7006,0.7006,0.6973,0.7,4753
2025-10-31,719,0.7152,0.7152,0.7152,0.7152,223
2025-10-31,744,0.6998,0.6998,0.6998,0.6998,331
2025-10-31,745,0.69,0.69,0.69,0.69,970
2025-10-31,746,0.69,0.69,0.69,0.69,359
2025-10-31,747,0.69,0.69,0.69,0.69,117
2025-10-31,800,0.73,0.7499,0.65,0.65,22424
2025-10-31,801,0.68,0.68,0.68,0.68,937
2025-10-31,804,0.69,0.69,0.69,0.69,106
2025-10-31,805,0.6711,0.6711,0.6711,0.6711,156
2025-10-31,806,0.6711,0.6711,0.66,0.6602,5247
2025-10-31,807,0.6845,0.6845,0.6845,0.6845,100
2025-10-31,808,0.66,0.66,0.66,0.66,3001
2025-10-31,812,0.6606,0.6606,0.6606,0.6606,100
2025-10-31,813,0.66,0.6606,0.66,0.6606,322
2025-10-31,833,0.67,0.67,0.6606,0.6606,594
2025-10-31,834,0.66,0.66,0.66,0.66,200
2025-10-31,900,0.675,0.675,0.673,0.6732,2300
2025-10-31,911,0.6898,0.7,0.6898,0.7,430
2025-10-31,913,0.68,0.68,0.68,0.68,1107
2025-10-31,914,0.67,0.67,0.67,0.67,100
2025-10-31,923,0.6658,0.6658,0.6658,0.6658,400
2025-10-31,930,0.6658,0.6658,0.6658,0.6658,740
2025-10-31,931,0.685,0.7,0.685,0.7,2000
2025-10-31,933,0.6749,0.6749,0.6749,0.6749,5000
2025-10-31,934,0.6749,0.6749,0.6749,0.6749,980
2025-10-31,937,0.6749,0.6749,0.6551,0.6551,15103
2025-10-31,940,0.6741,0.6741,0.6741,0.6741,3280
2025-10-31,941,0.6581,0.6581,0.6581,0.6581,345
2025-10-31,942,0.6995,0.6995,0.658,0.658,3400
2025-10-31,943,0.7,0.7,0.661,0.661,3580
2025-10-31,944,0.6995,0.6995,0.6995,0.6995,590
2025-10-31,945,0.661,0.661,0.6609,0.661,1000
2025-10-31,946,0.6611,0.6611,0.6581,0.6609,2895
2025-10-31,947,0.6774,0.6994,0.6563,0.6994,4967
2025-10-31,948,0.6776,0.6776,0.6776,0.6776,2000
2025-10-31,950,0.6776,0.6776,0.6776,0.6776,100
2025-10-31,951,0.6946,0.6946,0.6946,0.6946,3092
2025-10-31,952,0.6762,0.6762,0.6762,0.6762,819
2025-10-31,953,0.68,0.68,0.676,0.68,2298
2025-10-31,955,0.6631,0.679,0.6631,0.679,1100
2025-10-31,957,0.679,0.6793,0.679,0.6793,250
2025-10-31,1003,0.6634,0.6716,0.6632,0.6716,6333
2025-10-31,1005,0.68,0.68,0.68,0.68,989
2025-10-31,1010,0.6799,0.6799,0.6707,0.6707,1085
2025-10-31,1011,0.6769,0.6769,0.6769,0.6769,200
2025-10-31,1012,0.6654,0.6654,0.6633,0.6633,2096
2025-10-31,1013,0.6633,0.6656,0.6633,0.6656,10211
2025-10-31,1014,0.6655,0.6701,0.6655,0.6701,553
2025-10-31,1016,0.67,0.6701,0.67,0.6701,653
2025-10-31,1017,0.6701,0.6702,0.67,0.6701,9936
2025-10-31,1019,0.6754,0.6755,0.6712,0.6713,3016
2025-10-31,1021,0.6711,0.6711,0.6711,0.6711,286
2025-10-31,1022,0.6774,0.6774,0.6774,0.6774,3000
2025-10-31,1024,0.6775,0.679,0.6775,0.679,250
2025-10-31,1025,0.6785,0.6906,0.6785,0.6906,1664
2025-10-31,1032,0.6801,0.6801,0.6801,0.6801,1016
2025-10-31,1033,0.68,0.6835,0.6767,0.6771,20193
2025-10-31,1045,0.6785,0.6785,0.6785,0.6785,420
2025-10-31,1046,0.68,0.68,0.68,0.68,700
2025-10-31,1049,0.68,0.68,0.68,0.68,130
2025-10-31,1101,0.68,0.68,0.68,0.68,2000
2025-10-31,1102,0.691,0.691,0.691,0.691,108
2025-10-31,1105,0.6899,0.6899,0.6899,0.6899,100
2025-10-31,1107,0.6855,0.6855,0.6855,0.6855,625
2025-10-31,1118,0.68,0.68,0.68,0.68,542
2025-10-31,1119,0.6802,0.6802,0.6802,0.6802,148
2025-10-31,1124,0.6811,0.6811,0.6811,0.6811,109
2025-10-31,1127,0.6893,0.6893,0.6893,0.6893,250
2025-10-31,1128,0.6803,0.6803,0.6803,0.6803,200
2025-10-31,1138,0.691,0.691,0.691,0.691,3000
2025-10-31,1139,0.6813,0.6813,0.6813,0.6813,1485
2025-10-31,1140,0.6813,0.6813,0.6802,0.6802,2695
2025-10-31,1142,0.6855,0.6855,0.6855,0.6855,519
2025-10-31,1145,0.6855,0.6855,0.6855,0.6855,100
