date,time,open,high,low,close,volume
2025-10-31,412,4.68,4.68,4.68,4.68,500
2025-10-31,924,4.67,4.67,4.67,4.67,227
2025-10-31,930,4.65,4.685,4.635,4.66,21783
2025-10-31,931,4.655,4.655,4.655,4.655,619
2025-10-31,934,4.67,4.67,4.67,4.67,2566
2025-10-31,935,4.68,4.68,4.68,4.68,1341
2025-10-31,936,4.68,4.68,4.675,4.675,349
2025-10-31,937,4.67,4.67,4.67,4.67,150
2025-10-31,938,4.67,4.68,4.67,4.675,6100
2025-10-31,939,4.67,4.67,4.67,4.67,491
2025-10-31,940,4.67,4.67,4.67,4.67,669
2025-10-31,941,4.675,4.675,4.66,4.66,1664
2025-10-31,942,4.66,4.665,4.66,4.665,4318
2025-10-31,943,4.67,4.67,4.665,4.67,3538
2025-10-31,945,4.68,4.685,4.68,4.685,691
2025-10-31,946,4.685,4.685,4.685,4.685,502
2025-10-31,947,4.695,4.71,4.695,4.71,2539
2025-10-31,948,4.7099,4.7099,4.705,4.705,852
2025-10-31,950,4.71,4.7102,4.705,4.705,7069
2025-10-31,951,4.705,4.705,4.705,4.705,325
2025-10-31,952,4.705,4.705,4.705,4.705,100
2025-10-31,954,4.705,4.705,4.705,4.705,102
2025-10-31,956,4.705,4.705,4.705,4.705,901
2025-10-31,957,4.7,4.7,4.69,4.695,5663
2025-10-31,1000,4.69,4.69,4.685,4.685,2746
2025-10-31,1001,4.69,4.7,4.69,4.7,1010
2025-10-31,1002,4.705,4.705,4.705,4.705,401
2025-10-31,1003,4.705,4.705,4.695,4.695,2429
2025-10-31,1004,4.695,4.695,4.695,4.695,707
2025-10-31,1005,4.7,4.7,4.7,4.7,584
2025-10-31,1006,4.7,4.705,4.7,4.705,641
2025-10-31,1007,4.71,4.71,4.705,4.71,4905
2025-10-31,1008,4.71,4.71,4.71,4.71,710
2025-10-31,1009,4.705,4.705,4.705,4.705,240
2025-10-31,1012,4.705,4.705,4.705,4.705,112
2025-10-31,1013,4.7,4.705,4.7,4.705,1826
2025-10-31,1015,4.71,4.71,4.705,4.705,458
2025-10-31,1016,4.705,4.705,4.705,4.705,102
2025-10-31,1017,4.7088,4.715,4.7088,4.715,1793
2025-10-31,1019,4.715,4.715,4.715,4.715,540
2025-10-31,1020,4.715,4.715,4.715,4.715,407
2025-10-31,1021,4.71,4.71,4.705,4.71,7077
2025-10-31,1022,4.715,4.715,4.715,4.715,246
2025-10-31,1023,4.715,4.715,4.715,4.715,178
2025-10-31,1024,4.72,4.72,4.72,4.72,2319
2025-10-31,1025,4.72,4.72,4.72,4.72,704
2025-10-31,1026,4.725,4.725,4.725,4.725,302
2025-10-31,1027,4.725,4.725,4.715,4.715,3528
2025-10-31,1030,4.715,4.715,4.715,4.715,335
2025-10-31,1031,4.715,4.715,4.715,4.715,341
2025-10-31,1032,4.715,4.72,4.715,4.715,672
2025-10-31,1033,4.715,4.725,4.715,4.725,1888
2025-10-31,1036,4.725,4.725,4.725,4.725,237
2025-10-31,1037,4.725,4.725,4.725,4.725,275
2025-10-31,1038,4.725,4.735,4.725,4.735,2013
2025-10-31,1039,4.73,4.73,4.73,4.73,530
2025-10-31,1040,4.73,4.73,4.73,4.73,7871
2025-10-31,1041,4.725,4.73,4.725,4.725,369
