date,time,open,high,low,close,volume
2025-10-31,400,1.752,1.752,1.752,1.752,6
2025-10-31,401,1.816,1.84,1.787,1.787,140
2025-10-31,402,1.787,1.787,1.787,1.787,11
2025-10-31,403,1.787,1.84,1.781,1.822,290
2025-10-31,404,1.822,1.834,1.8,1.834,88
2025-10-31,407,1.834,1.834,1.834,1.834,50
2025-10-31,409,1.843,1.843,1.843,1.843,43
2025-10-31,411,1.805,1.805,1.8,1.8,52
2025-10-31,413,1.8,1.805,1.789,1.789,48
2025-10-31,419,1.794,1.794,1.789,1.789,31
2025-10-31,437,1.789,1.789,1.789,1.789,20
2025-10-31,439,1.787,1.787,1.787,1.787,29
2025-10-31,508,1.778,1.778,1.778,1.778,253
2025-10-31,509,1.787,1.787,1.787,1.787,96
2025-10-31,517,1.818,1.822,1.818,1.822,25
2025-10-31,533,1.818,1.843,1.818,1.843,1875
2025-10-31,535,1.838,1.838,1.838,1.838,6
2025-10-31,536,1.843,1.843,1.843,1.843,106
2025-10-31,539,1.843,1.843,1.843,1.843,83
2025-10-31,542,1.888,1.928,1.888,1.925,1588
2025-10-31,543,1.925,2.002,1.925,1.99,814
2025-10-31,544,2.002,2.002,1.891,1.989,680
2025-10-31,545,1.848,1.93,1.842,1.87,104
2025-10-31,546,1.87,1.917,1.869,1.917,428
2025-10-31,547,1.846,1.917,1.842,1.917,245
2025-10-31,549,1.968,1.968,1.92,1.92,575
2025-10-31,550,1.92,1.92,1.92,1.92,1182
2025-10-31,551,1.912,1.912,1.912,1.912,32
2025-10-31,554,1.858,1.858,1.858,1.858,62
2025-10-31,555,1.856,1.856,1.856,1.856,112
2025-10-31,558,1.912,1.912,1.912,1.912,18
2025-10-31,559,1.907,1.912,1.843,1.843,62
2025-10-31,604,1.834,1.837,1.834,1.834,171
2025-10-31,608,1.854,1.854,1.854,1.854,6
2025-10-31,612,1.811,1.832,1.782,1.782,692
2025-10-31,616,1.854,1.854,1.816,1.854,187
2025-10-31,617,1.907,1.946,1.907,1.946,62
2025-10-31,618,1.826,1.946,1.826,1.946,62
2025-10-31,623,1.941,1.979,1.941,1.979,367
2025-10-31,624,1.861,1.909,1.858,1.909,18
2025-10-31,630,1.984,2.024,1.934,2.024,254
2025-10-31,631,2.032,2.182,2.003,2.131,6069
2025-10-31,632,2.173,2.192,2.082,2.192,5242
2025-10-31,633,2.112,2.496,2.082,2.262,28074
2025-10-31,634,2.238,2.31,2.173,2.275,29589
2025-10-31,635,2.275,2.28,2.224,2.235,16874
2025-10-31,636,2.235,2.246,1.981,2.027,12027
2025-10-31,637,2.029,2.216,2.0,2.05,10518
2025-10-31,638,2.082,2.082,1.813,2.046,17474
2025-10-31,639,2.002,2.016,1.886,1.95,2223
2025-10-31,640,1.955,1.971,1.949,1.955,583
2025-10-31,641,1.95,1.995,1.95,1.95,893
2025-10-31,642,1.949,2.024,1.942,2.024,776
2025-10-31,644,1.994,1.994,1.987,1.987,48
2025-10-31,645,2.064,2.064,1.965,2.0,1038
2025-10-31,647,1.987,2.002,1.968,1.998,296
2025-10-31,648,1.987,1.987,1.987,1.987,12
2025-10-31,649,1.965,1.965,1.965,1.965,125
2025-10-31,650,1.99,1.99,1.965,1.965,1592
2025-10-31,651,1.965,1.965,1.965,1.965,19
2025-10-31,652,1.966,1.966,1.965,1.966,257
2025-10-31,653,1.966,1.966,1.966,1.966,147
2025-10-31,654,1.966,1.966,1.965,1.966,224
2025-10-31,655,1.965,1.984,1.965,1.984,554
2025-10-31,656,1.958,1.958,1.864,1.864,1432
2025-10-31,657,1.882,1.893,1.864,1.872,1721
2025-10-31,658,1.872,1.922,1.872,1.886,755
2025-10-31,659,1.922,1.93,1.922,1.922,115
2025-10-31,700,1.984,1.99,1.984,1.99,31
