date,time,open,high,low,close,volume
2025-10-31,405,0.93,0.93,0.93,0.93,213
2025-10-31,406,0.94,0.94,0.94,0.94,236
2025-10-31,439,0.9118,0.9118,0.9118,0.9118,391
2025-10-31,452,0.895,0.895,0.8872,0.8872,451
2025-10-31,509,0.938,0.94,0.938,0.9399,897
2025-10-31,511,0.94,0.94,0.94,0.94,335
2025-10-31,551,0.91,0.91,0.91,0.91,400
2025-10-31,552,0.91,0.91,0.91,0.91,200
2025-10-31,620,0.91,0.91,0.91,0.91,300
2025-10-31,622,0.91,0.91,0.91,0.91,600
2025-10-31,630,0.91,0.91,0.91,0.91,130
2025-10-31,650,0.91,0.91,0.91,0.91,183
2025-10-31,727,0.94,0.94,0.94,0.94,349
2025-10-31,800,0.9,0.94,0.9,0.94,12558
2025-10-31,801,0.91,0.91,0.9,0.9,704
2025-10-31,803,0.901,0.9013,0.88,0.9013,990
2025-10-31,808,0.9011,0.9011,0.901,0.901,300
2025-10-31,812,0.901,0.901,0.901,0.901,174
2025-10-31,823,0.9016,0.9016,0.9016,0.9016,100
2025-10-31,842,0.9011,0.9011,0.9011,0.9011,955
2025-10-31,843,0.911,0.911,0.911,0.911,100
2025-10-31,848,0.9022,0.9023,0.9022,0.9023,251
2025-10-31,858,0.9011,0.9011,0.901,0.901,311
2025-10-31,906,0.9024,0.9025,0.9024,0.9025,1000
2025-10-31,908,0.9011,0.9011,0.9011,0.9011,217
2025-10-31,930,0.94,0.95,0.94,0.95,1996
2025-10-31,932,0.9401,0.9401,0.9401,0.9401,100
2025-10-31,934,0.955,0.96,0.95,0.96,4265
2025-10-31,936,0.95,0.95,0.95,0.95,3756
2025-10-31,937,0.96,0.97,0.96,0.97,401
2025-10-31,938,0.96,0.96,0.96,0.96,400
2025-10-31,939,0.96,0.96,0.96,0.96,191
2025-10-31,940,0.9501,0.9501,0.95,0.95,1005
2025-10-31,941,0.9501,0.9501,0.95,0.95,696
2025-10-31,943,0.952,0.952,0.95,0.95,400
2025-10-31,944,0.95,0.95,0.95,0.95,950
2025-10-31,945,0.95,0.95,0.95,0.95,200
2025-10-31,947,0.9528,0.9528,0.95,0.95,1000
2025-10-31,948,0.95,0.95,0.95,0.95,170
2025-10-31,949,0.94,0.94,0.94,0.94,7359
2025-10-31,950,0.94,0.94,0.94,0.94,2353
2025-10-31,951,0.9401,0.945,0.9401,0.945,1368
2025-10-31,952,0.94,0.94,0.94,0.94,181
2025-10-31,958,0.9401,0.9401,0.94,0.94,440
2025-10-31,1001,0.949,0.949,0.949,0.949,200
2025-10-31,1007,0.949,0.949,0.949,0.949,1020
2025-10-31,1008,0.941,0.941,0.94,0.94,429
2025-10-31,1009,0.9401,0.9401,0.94,0.94,360
2025-10-31,1010,0.941,0.941,0.94,0.94,350
2025-10-31,1012,0.94,0.94,0.94,0.94,200
2025-10-31,1015,0.9431,0.9431,0.94,0.9401,945
2025-10-31,1016,0.9467,0.9467,0.943,0.943,226
2025-10-31,1020,0.9401,0.9401,0.94,0.94,300
2025-10-31,1022,0.94,0.94,0.94,0.94,1143
2025-10-31,1024,0.9402,0.9402,0.9402,0.9402,200
2025-10-31,1026,0.9401,0.9401,0.9401,0.9401,110
2025-10-31,1035,0.94,0.94,0.94,0.94,465
2025-10-31,1047,0.94,0.94,0.94,0.94,323
2025-10-31,1048,0.9401,0.9401,0.9401,0.9401,303
2025-10-31,1049,0.9401,0.9401,0.9401,0.9401,110
2025-10-31,1053,0.945,0.945,0.9402,0.9402,200
2025-10-31,1055,0.95,0.95,0.945,0.945,500
2025-10-31,1058,0.94,0.94,0.94,0.94,694
2025-10-31,1101,0.945,0.945,0.94,0.94,2498
2025-10-31,1102,0.94,0.94,0.94,0.94,200
2025-10-31,1104,0.945,0.945,0.945,0.945,106
2025-10-31,1105,0.94,0.94,0.94,0.94,1418
2025-10-31,1106,0.94,0.94,0.94,0.94,1899
2025-10-31,1108,0.94,0.94,0.94,0.94,895
2025-10-31,1110,0.94,0.94,0.94,0.94,20990
2025-10-31,1111,0.9403,0.9406,0.9384,0.9406,13300
2025-10-31,1112,0.9405,0.9406,0.9405,0.9406,2000
2025-10-31,1113,0.94,0.9406,0.94,0.9406,5500
2025-10-31,1117,0.9403,0.9403,0.9403,0.9403,301
2025-10-31,1118,0.9402,0.9406,0.9402,0.9405,10019
2025-10-31,1119,0.95,0.95,0.95,0.95,6000
2025-10-31,1120,0.95,0.95,0.95,0.95,3000
2025-10-31,1121,0.95,0.9535,0.9405,0.9535,9297
2025-10-31,1122,0.9467,0.9467,0.9452,0.9467,1787
2025-10-31,1131,0.9467,0.9467,0.9467,0.9467,594
2025-10-31,1134,0.95,0.95,0.95,0.95,120
