date,time,open,high,low,close,volume
2025-11-03,400,0.7645,0.78,0.7645,0.78,790
2025-11-03,438,0.7569,0.7569,0.7569,0.7569,115
2025-11-03,604,0.7588,0.759,0.758,0.758,1131
2025-11-03,613,0.7688,0.7688,0.7588,0.7588,900
2025-11-03,642,0.7771,0.7771,0.7771,0.7771,250
2025-11-03,659,0.7672,0.7672,0.7672,0.7672,156
2025-11-03,706,0.7768,0.7768,0.7768,0.7768,347
2025-11-03,800,0.78,0.78,0.7569,0.7588,26423
2025-11-03,802,0.7703,0.7703,0.7703,0.7703,1288
2025-11-03,804,0.7771,0.7771,0.7771,0.7771,250
2025-11-03,810,0.77,0.77,0.77,0.77,200
2025-11-03,814,0.7702,0.774,0.7589,0.7589,10400
2025-11-03,816,0.7589,0.7589,0.7589,0.7589,752
2025-11-03,817,0.7589,0.7589,0.7589,0.7589,562
2025-11-03,819,0.76,0.76,0.76,0.76,248
2025-11-03,824,0.759,0.759,0.759,0.759,2000
2025-11-03,826,0.77,0.77,0.77,0.77,1015
2025-11-03,828,0.7701,0.7701,0.7701,0.7701,130
2025-11-03,829,0.759,0.759,0.759,0.759,286
2025-11-03,840,0.76,0.76,0.76,0.76,115
2025-11-03,841,0.76,0.76,0.76,0.76,226
2025-11-03,845,0.771,0.771,0.771,0.771,1017
2025-11-03,846,0.7602,0.7602,0.76,0.76,700
2025-11-03,847,0.7692,0.7692,0.7692,0.7692,112
2025-11-03,851,0.7601,0.7601,0.76,0.76,2941
2025-11-03,901,0.76,0.76,0.76,0.76,251
2025-11-03,903,0.7601,0.7601,0.7601,0.7601,501
2025-11-03,907,0.76,0.76,0.76,0.76,241
2025-11-03,908,0.76,0.76,0.76,0.76,466
2025-11-03,915,0.761,0.761,0.761,0.761,100
2025-11-03,917,0.7693,0.7693,0.7693,0.7693,147
2025-11-03,919,0.7601,0.7694,0.7601,0.7601,3020
2025-11-03,924,0.761,0.761,0.761,0.761,404
2025-11-03,925,0.7611,0.7611,0.7601,0.7604,2006
2025-11-03,930,0.76,0.76,0.76,0.76,19277
2025-11-03,931,0.76,0.7601,0.76,0.76,2182
2025-11-03,932,0.76,0.7601,0.76,0.7601,4455
2025-11-03,933,0.76,0.77,0.76,0.77,4940
2025-11-03,934,0.7771,0.7799,0.7601,0.7799,1766
2025-11-03,935,0.7794,0.7794,0.76,0.7785,867
2025-11-03,936,0.7601,0.7785,0.7601,0.7785,377
2025-11-03,937,0.7794,0.7796,0.77,0.77,4584
2025-11-03,938,0.775,0.7805,0.775,0.78,6021
2025-11-03,939,0.78,0.78,0.77,0.775,1753
2025-11-03,940,0.7792,0.7799,0.7783,0.7799,1019
2025-11-03,941,0.7781,0.78,0.775,0.78,1092
2025-11-03,942,0.78,0.78,0.78,0.78,2732
2025-11-03,943,0.78,0.78,0.78,0.78,649
2025-11-03,944,0.7798,0.78,0.7798,0.78,3381
2025-11-03,945,0.7795,0.78,0.775,0.78,1541
2025-11-03,946,0.775,0.7875,0.775,0.7875,1196
2025-11-03,947,0.7837,0.7837,0.7751,0.7835,1812
2025-11-03,948,0.78,0.7875,0.78,0.7875,620
2025-11-03,949,0.7758,0.7875,0.775,0.7875,1449
2025-11-03,951,0.7753,0.7875,0.7751,0.7875,6674
2025-11-03,953,0.78,0.7937,0.775,0.7937,15692
2025-11-03,954,0.7875,0.7875,0.7875,0.7875,2000
2025-11-03,955,0.79,0.7916,0.7833,0.7833,1126
2025-11-03,956,0.7833,0.7833,0.7833,0.7833,462
2025-11-03,957,0.7783,0.7783,0.7783,0.7783,101
2025-11-03,958,0.7751,0.7833,0.7751,0.7833,2002
2025-11-03,959,0.7751,0.7916,0.775,0.7765,1626
2025-11-03,1001,0.7831,0.7833,0.7791,0.7833,2401
2025-11-03,1002,0.7833,0.7888,0.7778,0.7778,1858
2025-11-03,1003,0.7874,0.7911,0.7874,0.7911,300
2025-11-03,1004,0.7916,0.7916,0.7882,0.7882,332
2025-11-03,1005,0.7906,0.7916,0.788,0.788,1701
2025-11-03,1006,0.786,0.7893,0.786,0.7893,302
2025-11-03,1007,0.7801,0.7893,0.7801,0.7801,4964
2025-11-03,1008,0.79,0.79,0.785,0.785,1260
2025-11-03,1009,0.7864,0.7864,0.7851,0.7851,1397
2025-11-03,1010,0.784,0.784,0.7805,0.7806,947
2025-11-03,1011,0.7851,0.7851,0.7851,0.7851,522
2025-11-03,1012,0.7875,0.7875,0.7801,0.7801,17022
2025-11-03,1013,0.7765,0.7765,0.7643,0.7643,2522
2025-11-03,1016,0.7617,0.77,0.7617,0.77,2337
2025-11-03,1017,0.7683,0.7683,0.7642,0.7642,1101
2025-11-03,1018,0.7602,0.7602,0.7602,0.7602,1000
2025-11-03,1019,0.7684,0.7684,0.7683,0.7683,282
2025-11-03,1020,0.765,0.765,0.765,0.765,461
2025-11-03,1021,0.7641,0.7641,0.7641,0.7641,192
2025-11-03,1022,0.7603,0.7603,0.7603,0.7603,2045
2025-11-03,1023,0.7603,0.7603,0.7603,0.7603,204
