date,time,open,high,low,close,volume
2025-11-03,930,2.37,2.37,2.34,2.34,1002
2025-11-03,945,2.3757,2.3757,2.3757,2.3757,100
2025-11-03,958,2.4057,2.4057,2.4057,2.4057,100
2025-11-03,1020,2.33,2.33,2.3,2.33,1000
2025-11-03,1132,2.4099,2.4099,2.4,2.4,2121
2025-11-03,1133,2.41,2.41,2.41,2.41,299
2025-11-03,1137,2.39,2.39,2.39,2.39,200
2025-11-03,1145,2.4,2.4,2.4,2.4,408
2025-11-03,1232,2.29,2.29,2.29,2.29,1000
2025-11-03,1530,2.345,2.345,2.345,2.345,101
2025-11-03,1531,2.345,2.345,2.345,2.345,100
2025-11-03,1544,2.35,2.35,2.35,2.35,201
2025-11-03,1550,2.345,2.345,2.345,2.345,100
2025-11-03,1556,2.35,2.41,2.35,2.41,679
2025-11-03,1557,2.35,2.41,2.35,2.41,2929
2025-11-03,1559,2.4,2.4,2.4,2.4,134
2025-11-03,1600,2.4,2.4,2.4,2.4,135
2025-11-04,942,2.4,2.4,2.3,2.3,2200
2025-11-04,1012,2.3001,2.3001,2.3001,2.3001,488
2025-11-04,1143,2.345,2.345,2.345,2.345,500
2025-11-04,1317,2.3814,2.3814,2.3814,2.3814,1000
2025-11-04,1320,2.3,2.3,2.3,2.3,270
2025-11-04,1509,2.39,2.39,2.39,2.39,134
2025-11-05,930,2.44,2.45,2.34,2.34,543
2025-11-05,1101,2.3299,2.3299,2.3299,2.3299,292
2025-11-05,1136,2.3188,2.3188,2.3188,2.3188,402
2025-11-05,1303,2.31,2.31,2.31,2.31,1000
2025-11-05,1406,2.3,2.3,2.3,2.3,102
2025-11-05,1557,2.3,2.3,2.3,2.3,220
2025-11-05,1652,2.3263,2.3263,2.3263,2.3263,1000
2025-11-06,930,2.3,2.3,2.3,2.3,204
2025-11-06,935,2.3,2.3,2.3,2.3,182
2025-11-06,937,2.3,2.3,2.3,2.3,248
2025-11-06,1012,2.23,2.23,2.23,2.23,101
2025-11-06,1013,2.21,2.21,2.2,2.21,2883
2025-11-06,1041,2.29,2.3,2.29,2.3,492
2025-11-06,1042,2.3,2.3,2.3,2.3,1000
2025-11-06,1047,2.3,2.3,2.3,2.3,100
2025-11-06,1049,2.3,2.3,2.24,2.24,2281
2025-11-06,1118,2.16,2.16,2.16,2.16,4244
2025-11-06,1119,2.12,2.12,2.12,2.12,2838
2025-11-06,1128,2.115,2.115,2.11,2.11,1102
2025-11-06,1129,2.11,2.11,2.11,2.11,777
2025-11-06,1130,2.105,2.11,2.105,2.105,2568
2025-11-06,1331,2.1101,2.1101,2.1101,2.1101,200
2025-11-06,1402,2.155,2.155,2.155,2.155,235
2025-11-06,1441,2.1515,2.1515,2.1515,2.1515,250
2025-11-06,1559,2.18,2.19,2.18,2.19,508
2025-11-06,1610,2.31,2.5,2.31,2.35,2451
2025-11-06,1611,2.5,2.5,2.42,2.42,300
2025-11-06,1614,2.35,2.35,2.35,2.35,1000
2025-11-06,1619,2.48,2.4997,2.45,2.45,6601
2025-11-06,1620,2.45,2.45,2.45,2.45,3320
2025-11-06,1621,2.49,2.49,2.49,2.49,200
2025-11-06,1622,2.49,2.4912,2.49,2.49,500
2025-11-06,1628,2.49,2.49,2.49,2.49,100
2025-11-06,1629,2.49,2.5,2.49,2.49,1200
2025-11-06,1631,2.4999,2.4999,2.4999,2.4999,350
2025-11-06,1632,2.49,2.49,2.49,2.49,1000
2025-11-06,1634,2.49,2.5,2.49,2.5,5847
2025-11-06,1636,2.57,2.59,2.57,2.59,296
2025-11-06,1637,2.55,2.6,2.55,2.6,488
2025-11-06,1638,2.87,3.2,2.8683,2.98,33941
2025-11-06,1639,3.03,3.03,2.73,2.85,41043
2025-11-06,1640,2.82,2.95,2.77,2.85,29143
2025-11-06,1641,2.8501,3.0,2.85,2.9,41449
2025-11-06,1642,2.91,2.98,2.7888,2.84,48624
2025-11-06,1643,2.83,2.85,2.7,2.82,35366
2025-11-06,1644,2.7302,2.79,2.7,2.79,25230
2025-11-06,1645,2.77,2.8,2.68,2.68,18009
2025-11-06,1646,2.72,2.77,2.67,2.69,17877
2025-11-06,1647,2.68,2.7812,2.68,2.75,9232
2025-11-06,1648,2.8,2.8001,2.75,2.7502,7500
2025-11-06,1649,2.8,2.81,2.75,2.8,10438
2025-11-06,1650,2.8,2.97,2.78,2.8927,51094
2025-11-06,1651,2.94,2.98,2.9,2.94,39478
2025-11-06,1652,2.9302,2.98,2.92,2.95,20250
