date,time,open,high,low,close,volume
2025-11-03,930,4.25,4.26,4.25,4.26,3453
2025-11-03,932,4.265,4.265,4.265,4.265,438
2025-11-03,934,4.24,4.24,4.23,4.23,2273
2025-11-03,935,4.24,4.24,4.24,4.24,1080
2025-11-03,936,4.25,4.26,4.25,4.26,482
2025-11-03,937,4.26,4.26,4.26,4.26,1581
2025-11-03,938,4.27,4.28,4.27,4.27,1294
2025-11-03,942,4.265,4.265,4.25,4.25,2437
2025-11-03,944,4.2514,4.255,4.22,4.23,3895
2025-11-03,946,4.24,4.24,4.23,4.23,3178
2025-11-03,947,4.215,4.245,4.215,4.245,1384
2025-11-03,949,4.25,4.26,4.25,4.26,1266
2025-11-03,950,4.26,4.26,4.26,4.26,971
2025-11-03,953,4.2501,4.2501,4.2501,4.2501,130
2025-11-03,955,4.26,4.27,4.26,4.27,1596
2025-11-03,956,4.28,4.28,4.28,4.28,1367
2025-11-03,957,4.28,4.28,4.28,4.28,1463
2025-11-03,958,4.28,4.29,4.28,4.28,1181
2025-11-03,1000,4.275,4.275,4.26,4.26,2301
2025-11-03,1002,4.27,4.3,4.27,4.285,6863
2025-11-03,1004,4.28,4.28,4.265,4.265,830
2025-11-03,1005,4.2622,4.2622,4.25,4.25,12422
2025-11-03,1008,4.25,4.25,4.25,4.25,877
2025-11-03,1010,4.235,4.235,4.235,4.235,2125
2025-11-03,1012,4.23,4.23,4.23,4.23,538
2025-11-03,1015,4.21,4.21,4.195,4.21,3831
2025-11-03,1016,4.21,4.21,4.195,4.195,1819
2025-11-03,1017,4.2,4.205,4.2,4.205,498
2025-11-03,1019,4.2,4.2,4.2,4.2,294
2025-11-03,1020,4.19,4.19,4.19,4.19,290
2025-11-03,1022,4.18,4.18,4.18,4.18,508
2025-11-03,1024,4.17,4.18,4.17,4.18,1687
2025-11-03,1025,4.185,4.19,4.185,4.19,817
2025-11-03,1026,4.18,4.18,4.18,4.18,442
2025-11-03,1027,4.165,4.165,4.165,4.165,177
2025-11-03,1028,4.16,4.16,4.16,4.16,462
2025-11-03,1030,4.15,4.15,4.15,4.15,191
2025-11-03,1031,4.15,4.15,4.15,4.15,200
2025-11-03,1033,4.15,4.15,4.15,4.15,1030
2025-11-03,1036,4.155,4.155,4.15,4.15,2624
2025-11-03,1037,4.155,4.155,4.155,4.155,100
2025-11-03,1038,4.155,4.165,4.155,4.165,1320
2025-11-03,1039,4.16,4.16,4.16,4.16,149
2025-11-03,1040,4.165,4.165,4.165,4.165,866
2025-11-03,1042,4.165,4.165,4.165,4.165,1001
2025-11-03,1043,4.165,4.165,4.165,4.165,650
2025-11-03,1044,4.165,4.165,4.165,4.165,4777
2025-11-03,1045,4.16,4.16,4.16,4.16,331
2025-11-03,1046,4.155,4.155,4.155,4.155,329
2025-11-03,1049,4.155,4.155,4.155,4.155,135
2025-11-03,1051,4.155,4.155,4.155,4.155,200
2025-11-03,1052,4.155,4.155,4.15,4.15,432
2025-11-03,1055,4.15,4.15,4.15,4.15,605
2025-11-03,1056,4.15,4.15,4.13,4.13,2537
2025-11-03,1057,4.13,4.13,4.13,4.13,220
2025-11-03,1058,4.14,4.14,4.14,4.14,898
2025-11-03,1100,4.145,4.145,4.145,4.145,101
2025-11-03,1101,4.14,4.14,4.135,4.135,995
2025-11-03,1107,4.14,4.145,4.14,4.145,1627
2025-11-03,1108,4.145,4.145,4.145,4.145,121
2025-11-03,1109,4.145,4.145,4.145,4.145,114
2025-11-03,1110,4.145,4.145,4.145,4.145,321
2025-11-03,1111,4.145,4.15,4.145,4.15,5451
2025-11-03,1112,4.145,4.165,4.145,4.155,5814
2025-11-03,1113,4.155,4.155,4.145,4.145,1643
2025-11-03,1114,4.145,4.165,4.145,4.165,3082
2025-11-03,1115,4.165,4.165,4.16,4.16,1624
2025-11-03,1116,4.16,4.16,4.15,4.15,1170
2025-11-03,1117,4.15,4.155,4.145,4.155,1349
2025-11-03,1118,4.16,4.16,4.155,4.16,2575
2025-11-03,1119,4.155,4.155,4.155,4.155,300
2025-11-03,1124,4.155,4.205,4.155,4.205,53906
2025-11-03,1125,4.205,4.215,4.205,4.205,8261
2025-11-03,1126,4.205,4.205,4.205,4.205,2645
2025-11-03,1127,4.2,4.2,4.2,4.2,3376
2025-11-03,1128,4.2,4.205,4.2,4.205,2107
2025-11-03,1129,4.2,4.2,4.2,4.2,1351
2025-11-03,1131,4.2,4.205,4.2,4.205,1310
2025-11-03,1132,4.205,4.205,4.205,4.205,2772
2025-11-03,1133,4.2001,4.205,4.195,4.205,2358
2025-11-03,1137,4.2,4.2,4.2,4.2,445
2025-11-03,1138,4.205,4.205,4.205,4.205,226
2025-11-03,1139,4.205,4.205,4.205,4.205,204
2025-11-03,1140,4.205,4.205,4.205,4.205,320
2025-11-03,1143,4.205,4.205,4.205,4.205,987
2025-11-03,1144,4.205,4.205,4.205,4.205,100
2025-11-03,1146,4.205,4.205,4.205,4.205,114
2025-11-03,1147,4.2,4.205,4.2,4.2,1813
2025-11-03,1148,4.19,4.19,4.19,4.19,100
2025-11-03,1149,4.19,4.19,4.19,4.19,100
2025-11-03,1152,4.2,4.2,4.195,4.195,3840
2025-11-03,1153,4.195,4.195,4.195,4.195,3617
2025-11-03,1154,4.195,4.195,4.195,4.195,106
2025-11-03,1155,4.19,4.19,4.175,4.18,3309
2025-11-03,1156,4.19,4.19,4.19,4.19,1201
2025-11-03,1157,4.195,4.195,4.195,4.195,697
2025-11-03,1158,4.195,4.195,4.195,4.195,1073
2025-11-03,1203,4.19,4.19,4.185,4.185,1392
2025-11-03,1210,4.18,4.18,4.18,4.18,1517
2025-11-03,1211,4.175,4.175,4.175,4.175,100
2025-11-03,1215,4.18,4.18,4.18,4.18,124
2025-11-03,1218,4.175,4.18,4.175,4.175,803
2025-11-03,1219,4.17,4.17,4.17,4.17,119
2025-11-03,1220,4.17,4.17,4.17,4.17,1179
2025-11-03,1222,4.165,4.165,4.16,4.16,200
2025-11-03,1224,4.1614,4.1614,4.1614,4.1614,114
2025-11-03,1225,4.16,4.16,4.15,4.15,866
2025-11-03,1227,4.15,4.15,4.15,4.15,1000
2025-11-03,1229,4.15,4.15,4.15,4.15,1104
2025-11-03,1231,4.15,4.15,4.15,4.15,141
2025-11-03,1236,4.145,4.145,4.145,4.145,111
2025-11-03,1237,4.145,4.145,4.145,4.145,511
2025-11-03,1238,4.14,4.14,4.14,4.14,1298
