date,time,open,high,low,close,volume
2025-11-04,940,0.804,0.804,0.804,0.804,300
2025-11-04,944,0.85,0.85,0.85,0.85,1800
2025-11-04,957,0.79,0.79,0.79,0.79,280
2025-11-04,1034,0.795,0.795,0.795,0.795,105
2025-11-04,1151,0.8001,0.8001,0.8001,0.8001,100
2025-11-04,1209,0.85,0.85,0.85,0.85,1500
2025-11-04,1219,0.825,0.825,0.825,0.825,100
2025-11-04,1241,0.8499,0.8499,0.8499,0.8499,500
2025-11-04,1247,0.8051,0.8051,0.8051,0.8051,100
2025-11-04,1336,0.8084,0.8084,0.8084,0.8084,100
2025-11-04,1549,0.8084,0.8084,0.8084,0.8084,1500
2025-11-04,1551,0.8084,0.8084,0.8084,0.8084,2514
2025-11-04,1640,0.8245,0.8245,0.8245,0.8245,200
2025-11-04,1843,0.859,0.86,0.859,0.86,385
2025-11-04,1844,0.86,0.86,0.86,0.86,500
2025-11-04,1859,0.86,0.86,0.86,0.86,300
2025-11-05,620,0.99,0.99,0.99,0.99,100
2025-11-05,621,0.9898,0.99,0.9206,0.9206,1290
2025-11-05,622,0.98,0.98,0.8311,0.8311,724
2025-11-05,623,0.8312,0.8312,0.8312,0.8312,258
2025-11-05,624,0.83,0.8995,0.83,0.8995,578
2025-11-05,626,0.78,0.78,0.78,0.78,402
2025-11-05,631,0.85,0.85,0.85,0.85,812
2025-11-05,632,0.85,0.85,0.85,0.85,215
2025-11-05,634,0.78,0.78,0.78,0.78,201
2025-11-05,636,0.8145,0.84,0.8145,0.84,1550
2025-11-05,637,0.847,0.9,0.847,0.899,1142
2025-11-05,716,0.8688,0.8688,0.8688,0.8688,377
2025-11-05,800,0.78,0.9998,0.78,0.97,19643
2025-11-05,818,0.839,0.839,0.839,0.839,140
2025-11-05,853,0.7604,0.7604,0.7604,0.7604,269
2025-11-05,905,0.7801,0.7801,0.7801,0.7801,140
2025-11-05,907,0.781,0.781,0.78,0.78,500
2025-11-05,930,0.82,0.82,0.8084,0.8084,415
2025-11-05,943,0.82,0.82,0.82,0.82,283
2025-11-05,953,0.815,0.815,0.815,0.815,229
2025-11-05,1000,0.8167,0.8167,0.8167,0.8167,100
2025-11-05,1019,0.8173,0.8182,0.815,0.815,1020
2025-11-05,1021,0.8084,0.8084,0.8084,0.8084,125
2025-11-05,1051,0.802,0.802,0.802,0.802,151
2025-11-05,1054,0.8309,0.839,0.8309,0.839,5000
2025-11-05,1055,0.806,0.806,0.806,0.806,100
2025-11-05,1100,0.81,0.81,0.802,0.802,795
2025-11-05,1102,0.795,0.795,0.795,0.795,399
2025-11-05,1124,0.7829,0.7829,0.7829,0.7829,100
2025-11-05,1131,0.8099,0.8099,0.8085,0.8099,621
2025-11-05,1145,0.7905,0.7905,0.7905,0.7905,3043
2025-11-05,1146,0.7905,0.7905,0.7905,0.7905,308
2025-11-05,1209,0.8099,0.81,0.8099,0.81,500
2025-11-05,1210,0.8099,0.8099,0.8099,0.8099,500
2025-11-05,1211,0.795,0.795,0.795,0.795,100
2025-11-05,1226,0.8075,0.8075,0.8075,0.8075,118
2025-11-05,1235,0.795,0.795,0.795,0.795,234
2025-11-05,1246,0.81,0.81,0.81,0.81,100
2025-11-05,1312,0.81,0.81,0.81,0.81,3209
2025-11-05,1342,0.8099,0.81,0.8099,0.81,1000
2025-11-05,1348,0.81,0.81,0.81,0.81,100
2025-11-05,1413,0.81,0.8599,0.81,0.839,3500
2025-11-05,1438,0.8124,0.839,0.8124,0.839,6987
2025-11-05,1439,0.82,0.82,0.82,0.82,210
2025-11-05,1440,0.8095,0.8095,0.8095,0.8095,105
2025-11-05,1538,0.8389,0.839,0.8389,0.839,2030
2025-11-05,1539,0.819,0.819,0.819,0.819,300
2025-11-05,1541,0.819,0.829,0.819,0.829,422
2025-11-05,1543,0.8289,0.839,0.8289,0.839,1221
2025-11-05,1544,0.86,0.86,0.8201,0.839,9563
2025-11-05,1545,0.839,0.839,0.839,0.839,907
2025-11-05,1549,0.86,0.8899,0.839,0.8462,20367
2025-11-05,1550,0.89,0.89,0.8735,0.8735,3700
2025-11-05,1551,0.89,0.89,0.89,0.89,100
2025-11-05,1552,0.8899,0.8899,0.875,0.875,1100
2025-11-05,1553,0.8749,0.8771,0.8749,0.875,2205
2025-11-05,1555,0.8882,0.8899,0.8882,0.8894,1205
2025-11-05,1558,0.8872,0.8872,0.8872,0.8872,223
2025-11-05,1559,0.882,0.89,0.86,0.875,22105
2025-11-05,1600,0.89,0.944,0.89,0.9439,4774
2025-11-05,1602,0.9,0.98,0.9,0.9699,25733
2025-11-05,1603,0.97,0.97,0.93,0.93,5600
2025-11-05,1604,0.93,0.9301,0.9,0.9,2149
2025-11-05,1605,0.98,0.98,0.928,0.928,1940
2025-11-05,1606,0.928,0.9799,0.873,0.873,2917
2025-11-05,1607,0.873,0.873,0.873,0.873,336
2025-11-05,1608,0.8326,0.895,0.8326,0.895,324
2025-11-05,1615,0.895,0.895,0.895,0.895,100
2025-11-05,1627,0.9,0.9,0.881,0.881,290
2025-11-05,1629,0.94,0.94,0.93,0.93,200
2025-11-05,1648,0.8532,0.8532,0.8532,0.8532,114
2025-11-05,1649,0.9,0.9,0.9,0.9,300
2025-11-05,1706,0.882,0.882,0.882,0.882,500
2025-11-05,1709,0.83,0.83,0.83,0.83,726
2025-11-05,1711,0.86,0.86,0.86,0.86,111
2025-11-05,1712,0.86,0.86,0.86,0.86,290
2025-11-05,1742,0.93,0.93,0.92,0.93,5515
2025-11-05,1745,0.9199,0.92,0.9199,0.92,289
2025-11-05,1746,0.9486,0.9486,0.9486,0.9486,150
2025-11-05,1747,0.93,0.93,0.93,0.93,150
2025-11-05,1752,0.97,0.9799,0.97,0.9799,1100
2025-11-05,1753,0.9799,0.98,0.95,0.98,4865
2025-11-05,1754,0.98,0.98,0.97,0.9786,3371
2025-11-05,1756,0.945,0.945,0.945,0.945,3100
2025-11-05,1757,0.945,0.945,0.945,0.945,660
2025-11-05,1802,0.93,0.93,0.93,0.93,1000
2025-11-05,1804,0.93,0.93,0.93,0.93,1957
2025-11-05,1816,0.9261,0.9261,0.9261,0.9261,200
2025-11-05,1817,0.939,0.939,0.939,0.939,333
2025-11-05,1822,0.94,0.94,0.94,0.94,2467
2025-11-05,1830,0.94,0.94,0.915,0.915,1490
2025-11-05,1903,0.9588,0.9588,0.9588,0.9588,109
2025-11-05,1925,0.9588,0.9588,0.9588,0.9588,100
2025-11-05,1945,0.9588,0.9588,0.9588,0.9588,1343
2025-11-05,1959,0.95,0.95,0.95,0.95,102
2025-11-06,800,0.875,0.875,0.875,0.875,261
2025-11-06,801,0.89,0.89,0.8138,0.8439,1000
2025-11-06,807,0.9,0.9,0.9,0.9,100
2025-11-06,940,0.8301,0.8301,0.8301,0.8301,1553
2025-11-06,941,0.8317,0.8603,0.83,0.8301,9600
2025-11-06,950,0.8444,0.8444,0.8312,0.8312,800
2025-11-06,952,0.8335,0.8849,0.8312,0.8849,11423
2025-11-06,1029,0.8351,0.8351,0.8351,0.8351,387
2025-11-06,1109,0.839,0.839,0.8,0.8,3460
2025-11-06,1110,0.8,0.8001,0.7905,0.8001,2004
2025-11-06,1113,0.8057,0.8057,0.805,0.805,300
2025-11-06,1140,0.843,0.843,0.843,0.843,100
2025-11-06,1143,0.801,0.801,0.801,0.801,632
2025-11-06,1145,0.875,0.875,0.875,0.875,125
2025-11-06,1205,0.8094,0.8232,0.8094,0.8232,1001
2025-11-06,1210,0.843,0.843,0.843,0.843,100
2025-11-06,1217,0.8491,0.8491,0.8491,0.8491,1520
2025-11-06,1303,0.85,0.85,0.85,0.85,10205
2025-11-06,1304,0.8499,0.8499,0.8499,0.8499,500
2025-11-06,1331,0.8001,0.8425,0.8001,0.8225,800
2025-11-06,1337,0.8425,0.8425,0.8425,0.8425,100
2025-11-06,1425,0.8425,0.85,0.8425,0.85,356
2025-11-06,1431,0.8628,0.8628,0.8628,0.8628,200
2025-11-06,1445,0.8847,0.8847,0.8847,0.8847,282
2025-11-06,1555,0.8558,0.862,0.8558,0.862,400
2025-11-06,1558,0.8671,0.8682,0.8671,0.8682,300
2025-11-06,1728,0.8026,0.8026,0.8026,0.8026,110
2025-11-06,1755,0.82,0.82,0.82,0.82,235
2025-11-06,1756,0.8026,0.8026,0.8026,0.8026,698
2025-11-06,1914,0.809,0.809,0.809,0.809,163
2025-11-06,1924,0.7866,0.7866,0.7866,0.7866,2505
2025-11-06,1926,0.7866,0.7866,0.7866,0.7866,1500
2025-11-06,1933,0.7866,0.7866,0.7866,0.7866,200
2025-11-06,1934,0.7866,0.7866,0.7866,0.7866,100
2025-11-06,1935,0.7866,0.7866,0.7866,0.7866,100
2025-11-06,1939,0.7866,0.7866,0.7866,0.7866,732
2025-11-07,519,0.7683,0.7683,0.721,0.721,637
2025-11-07,529,0.8155,0.8155,0.8155,0.8155,100
2025-11-07,707,0.794,0.794,0.794,0.794,100
2025-11-07,916,0.8008,0.8008,0.8008,0.8008,300
2025-11-07,918,0.8008,0.8008,0.8008,0.8008,160
2025-11-07,930,0.8311,0.8311,0.8311,0.8311,601
2025-11-07,940,0.794,0.794,0.794,0.794,1346
2025-11-07,941,0.794,0.794,0.794,0.794,1600
2025-11-07,1001,0.795,0.795,0.795,0.795,1583
2025-11-07,1004,0.7974,0.799,0.7974,0.799,440
2025-11-07,1005,0.795,0.795,0.795,0.795,527
2025-11-07,1012,0.777,0.777,0.777,0.777,257
2025-11-07,1027,0.7868,0.7868,0.7797,0.7797,1155
2025-11-07,1028,0.7797,0.7797,0.7797,0.7797,270
2025-11-07,1038,0.7797,0.7797,0.7797,0.7797,333
2025-11-07,1040,0.777,0.777,0.77,0.77,2718
2025-11-07,1041,0.7603,0.762,0.7523,0.7524,2610
2025-11-07,1042,0.75,0.7514,0.7266,0.7504,1852
2025-11-07,1054,0.7521,0.7521,0.7521,0.7521,5000
2025-11-07,1055,0.7333,0.7333,0.7333,0.7333,313
2025-11-07,1056,0.7324,0.7336,0.732,0.7336,1419
2025-11-07,1057,0.7292,0.7292,0.7228,0.7291,1950
2025-11-07,1101,0.751,0.751,0.751,0.751,200
2025-11-07,1105,0.751,0.751,0.751,0.751,650
2025-11-07,1113,0.725,0.7257,0.6311,0.6593,21720
2025-11-07,1114,0.6707,0.777,0.6593,0.7035,11903
2025-11-07,1115,0.7162,0.7162,0.709,0.709,1987
2025-11-07,1116,0.6801,0.6801,0.6801,0.6801,2910
2025-11-07,1118,0.7006,0.7006,0.6851,0.6854,1400
2025-11-07,1119,0.6997,0.7162,0.6997,0.7162,251
2025-11-07,1122,0.6851,0.6851,0.685,0.685,2350
2025-11-07,1124,0.685,0.685,0.685,0.685,651
2025-11-07,1126,0.685,0.6851,0.653,0.6618,3184
2025-11-07,1127,0.6454,0.6509,0.6454,0.6454,300
2025-11-07,1130,0.6849,0.6849,0.6849,0.6849,700
2025-11-07,1132,0.68,0.6848,0.68,0.6848,1490
2025-11-07,1138,0.6801,0.6801,0.68,0.68,200
2025-11-07,1139,0.68,0.68,0.68,0.68,224
2025-11-07,1141,0.6409,0.6409,0.64,0.64,1308
2025-11-07,1143,0.64,0.6401,0.64,0.6401,800
2025-11-07,1150,0.6508,0.6508,0.6508,0.6508,643
2025-11-07,1151,0.64,0.64,0.64,0.64,560
2025-11-07,1153,0.6435,0.6435,0.6435,0.6435,541
2025-11-07,1158,0.6666,0.68,0.6666,0.68,1027
