date,time,open,high,low,close,volume
2025-11-06,930,8.48,8.48,8.48,8.48,1036
2025-11-06,940,8.58,8.58,8.58,8.58,148
2025-11-06,943,8.6007,8.6007,8.6007,8.6007,1118
2025-11-06,944,8.58,8.58,8.58,8.58,191
2025-11-06,1002,8.31,8.31,8.31,8.31,101
2025-11-06,1010,8.355,8.355,8.355,8.355,105
2025-11-06,1012,8.3,8.3,8.22,8.22,540
2025-11-06,1013,8.2067,8.2067,8.2067,8.2067,405
2025-11-06,1036,8.18,8.18,8.18,8.18,882
2025-11-06,1100,8.115,8.115,8.115,8.115,250
2025-11-06,1108,8.1,8.1,8.1,8.1,210
2025-11-06,1129,8.11,8.11,8.11,8.11,100
2025-11-06,1133,8.15,8.15,8.15,8.15,165
2025-11-06,1147,8.2145,8.2145,8.2145,8.2145,150
2025-11-06,1157,8.07,8.09,8.07,8.09,2044
2025-11-06,1158,8.13,8.16,8.13,8.16,1612
2025-11-06,1159,8.1599,8.21,8.1231,8.13,2000
2025-11-06,1201,8.2,8.2,8.05,8.0517,5880
2025-11-06,1202,8.0653,8.0653,8.0653,8.0653,277
2025-11-06,1231,8.15,8.15,8.15,8.15,443
2025-11-06,1232,8.1921,8.1921,8.1921,8.1921,300
2025-11-06,1233,8.16,8.16,8.16,8.16,1171
2025-11-06,1403,8.21,8.21,8.18,8.2,1595
2025-11-06,1404,8.12,8.15,8.12,8.15,367
2025-11-06,1513,8.05,8.07,8.05,8.07,851
2025-11-06,1515,8.1,8.1,8.1,8.1,172
2025-11-06,1530,8.07,8.085,8.05,8.085,1983
2025-11-06,1533,8.1,8.1,8.1,8.1,1644
2025-11-06,1534,8.18,8.18,8.18,8.18,359
2025-11-06,1540,8.18,8.18,8.18,8.18,210
2025-11-06,1546,8.11,8.11,8.1,8.1,1182
2025-11-06,1549,8.1,8.14,8.1,8.14,504
2025-11-06,1554,8.16,8.16,8.16,8.16,176
2025-11-06,1559,8.1,8.12,8.1,8.1,840
2025-11-06,1600,8.1,8.1,8.1,8.1,169
2025-11-07,930,8.0,8.0,8.0,8.0,397
2025-11-07,1026,7.97,7.97,7.97,7.97,113
2025-11-07,1042,7.9025,7.9025,7.9025,7.9025,429
2025-11-07,1047,7.8405,7.8405,7.8405,7.8405,100
2025-11-07,1049,7.8009,7.84,7.8009,7.84,223
2025-11-07,1050,7.98,7.98,7.98,7.98,250
2025-11-07,1055,7.99,7.99,7.99,7.99,564
2025-11-07,1140,7.92,7.92,7.85,7.85,1084
2025-11-07,1146,7.88,7.88,7.88,7.88,150
2025-11-07,1158,7.75,7.75,7.75,7.75,2578
2025-11-07,1159,7.75,7.79,7.75,7.79,250
2025-11-07,1213,7.85,7.85,7.85,7.85,309
2025-11-07,1218,7.91,7.98,7.91,7.98,1000
2025-11-07,1415,8.05,8.05,8.05,8.05,240
2025-11-07,1430,8.06,8.06,8.06,8.06,100
2025-11-07,1455,8.21,8.26,8.21,8.26,600
2025-11-07,1456,8.22,8.3179,8.22,8.3179,3941
2025-11-07,1504,8.29,8.29,8.29,8.29,100
2025-11-07,1505,8.29,8.29,8.29,8.29,100
2025-11-07,1518,8.29,8.29,8.29,8.29,100
2025-11-07,1519,8.2312,8.24,8.22,8.23,903
2025-11-07,1546,8.36,8.36,8.36,8.36,105
2025-11-07,1559,8.27,8.38,8.27,8.27,2401
2025-11-07,1600,8.27,8.27,8.27,8.27,126
2025-11-10,800,8.58,8.58,8.58,8.58,135
2025-11-10,930,8.29,8.3,8.29,8.3,821
2025-11-10,934,8.215,8.3541,8.215,8.3541,363
2025-11-10,935,8.2,8.335,8.2,8.335,440
2025-11-10,936,8.2,8.2,8.19,8.19,303
2025-11-10,937,8.21,8.21,8.21,8.21,265
2025-11-10,938,8.19,8.21,8.17,8.21,1150
2025-11-10,940,8.2,8.2,8.2,8.2,302
2025-11-10,941,8.2,8.2,8.2,8.2,469
2025-11-10,944,8.02,8.02,8.02,8.02,318
2025-11-10,945,8.02,8.02,8.02,8.02,163
2025-11-10,946,8.03,8.03,8.03,8.03,241
2025-11-10,947,8.32,8.32,8.17,8.17,227
2025-11-10,948,8.16,8.16,8.01,8.01,367
2025-11-10,950,7.99,7.99,7.99,7.99,246
2025-11-10,951,7.87,7.87,7.86,7.86,228
2025-11-10,952,7.79,7.79,7.78,7.78,216
2025-11-10,953,7.89,7.89,7.82,7.82,213
2025-11-10,954,7.82,7.82,7.8,7.8,209
2025-11-10,955,8.1,8.1,7.81,7.81,375
2025-11-10,956,7.81,7.81,7.81,7.81,260
2025-11-10,957,7.8,7.8,7.8,7.8,213
2025-11-10,958,7.79,7.79,7.79,7.79,259
