date,time,open,high,low,close,volume
2025-11-05,1940,3.04,3.04,3.04,3.04,195
2025-11-05,1958,3.03,3.03,3.03,3.03,150
2025-11-06,736,3.1,3.1,3.1,3.1,100
2025-11-06,737,3.16,3.2,3.16,3.2,861
2025-11-06,738,3.25,3.25,3.25,3.25,4528
2025-11-06,739,3.25,3.25,3.25,3.25,2272
2025-11-06,740,3.16,3.16,3.16,3.16,180
2025-11-06,752,3.15,3.15,3.15,3.15,595
2025-11-06,800,3.32,3.32,3.22,3.2501,1525
2025-11-06,814,3.07,3.07,3.07,3.07,499
2025-11-06,901,3.09,3.09,3.07,3.07,400
2025-11-06,905,3.07,3.0905,3.07,3.0905,1813
2025-11-06,930,3.04,3.04,3.04,3.04,543
2025-11-06,931,3.07,3.07,3.07,3.07,101
2025-11-06,937,3.09,3.09,3.09,3.09,150
2025-11-06,943,3.06,3.06,3.06,3.06,557
2025-11-06,944,3.1139,3.1194,3.1139,3.1194,265
2025-11-06,950,3.12,3.12,3.115,3.115,2407
2025-11-06,951,3.12,3.12,3.12,3.12,596
2025-11-06,952,3.149,3.16,3.149,3.16,540
2025-11-06,956,3.23,3.2799,3.23,3.2322,4004
2025-11-06,957,3.28,3.28,3.23,3.23,474
2025-11-06,958,3.27,3.3,3.27,3.3,402
2025-11-06,959,3.3,3.3,3.3,3.3,180
2025-11-06,1000,3.2934,3.3,3.2934,3.3,1230
2025-11-06,1003,3.3096,3.3096,3.2278,3.2278,450
2025-11-06,1004,3.245,3.2657,3.245,3.2657,300
2025-11-06,1005,3.25,3.25,3.25,3.25,103
2025-11-06,1006,3.258,3.258,3.258,3.258,1000
2025-11-06,1008,3.21,3.21,3.21,3.21,100
2025-11-06,1010,3.205,3.205,3.205,3.205,469
2025-11-06,1011,3.2,3.23,3.2,3.23,890
2025-11-06,1013,3.2,3.2,3.2,3.2,150
2025-11-06,1014,3.16,3.16,3.16,3.16,100
2025-11-06,1020,3.1,3.12,3.1,3.1,6177
2025-11-06,1028,3.1,3.1,3.1,3.1,110
2025-11-06,1032,3.1,3.1,3.1,3.1,218
2025-11-06,1037,3.05,3.05,3.05,3.05,1240
2025-11-06,1041,3.08,3.08,3.08,3.08,100
2025-11-06,1048,3.1314,3.1314,3.1314,3.1314,210
2025-11-06,1053,3.1195,3.1195,3.1195,3.1195,510
2025-11-06,1110,3.06,3.06,3.02,3.02,2870
2025-11-06,1111,3.033,3.035,3.0201,3.035,1817
2025-11-06,1112,3.03,3.03,3.0201,3.0202,810
2025-11-06,1113,3.049,3.049,3.049,3.049,210
2025-11-06,1114,3.0201,3.0201,3.0201,3.0201,1220
2025-11-06,1117,3.02,3.02,2.92,2.935,6489
2025-11-06,1118,2.96,3.0,2.94,2.99,1497
2025-11-06,1123,2.97,2.97,2.97,2.97,231
2025-11-06,1124,2.9599,2.9599,2.9599,2.9599,501
2025-11-06,1125,2.95,2.9896,2.95,2.9896,778
2025-11-06,1137,2.98,2.98,2.98,2.98,120
2025-11-06,1140,3.005,3.005,3.005,3.005,760
2025-11-06,1141,2.9701,2.9701,2.9701,2.9701,425
2025-11-06,1148,2.99,2.99,2.99,2.99,110
2025-11-06,1151,2.96,2.96,2.95,2.95,1065
2025-11-06,1157,2.95,2.9503,2.95,2.9503,1024
2025-11-06,1158,2.9401,2.9401,2.9401,2.9401,340
2025-11-06,1208,2.97,2.97,2.97,2.97,210
2025-11-06,1233,2.965,2.965,2.965,2.965,325
2025-11-06,1254,2.97,2.97,2.97,2.97,745
2025-11-06,1338,2.9695,2.9695,2.9695,2.9695,321
2025-11-06,1351,2.9699,2.9699,2.9699,2.9699,110
2025-11-06,1401,2.92,2.92,2.92,2.92,270
2025-11-06,1410,2.935,2.935,2.935,2.935,202
2025-11-06,1420,2.91,2.91,2.91,2.91,321
2025-11-06,1433,2.9554,2.9554,2.9554,2.9554,169
2025-11-06,1434,2.95,2.95,2.95,2.95,113
2025-11-06,1502,2.915,2.92,2.91,2.91,1865
2025-11-06,1523,2.9,2.9,2.884,2.89,984
2025-11-06,1524,2.89,2.89,2.89,2.89,384
2025-11-06,1529,2.89,2.89,2.89,2.89,205
2025-11-06,1531,2.86,2.86,2.86,2.86,167
2025-11-06,1532,2.88,2.88,2.85,2.85,1445
2025-11-06,1533,2.85,2.85,2.85,2.85,4772
2025-11-06,1534,2.85,2.86,2.85,2.86,779
2025-11-06,1536,2.85,2.85,2.85,2.85,365
2025-11-06,1541,2.85,2.85,2.85,2.85,128
2025-11-06,1544,2.8893,2.8893,2.8893,2.8893,133
2025-11-06,1545,2.85,2.85,2.85,2.85,211
2025-11-06,1547,2.85,2.85,2.85,2.85,110
2025-11-06,1550,2.84,2.84,2.82,2.82,2545
2025-11-06,1551,2.82,2.82,2.82,2.82,203
2025-11-06,1554,2.83,2.835,2.83,2.835,466
2025-11-06,1557,2.82,2.82,2.82,2.82,1078
2025-11-06,1559,2.82,2.82,2.82,2.82,1014
2025-11-06,1600,2.82,2.82,2.82,2.82,233
2025-11-06,1610,2.82,2.82,2.82,2.82,356
2025-11-06,1624,2.82,2.82,2.82,2.82,2100
2025-11-06,1625,2.8499,2.8499,2.82,2.82,1600
2025-11-06,1626,2.8482,2.8482,2.8482,2.8482,202
2025-11-06,1628,2.8491,2.8491,2.8491,2.8491,301
2025-11-06,1629,2.8,2.8,2.8,2.8,2305
2025-11-06,1630,2.85,2.85,2.85,2.85,161
2025-11-06,1637,2.8487,2.8487,2.8487,2.8487,250
2025-11-06,1650,2.8499,2.8499,2.8499,2.8499,100
2025-11-06,1716,2.8,2.8,2.8,2.8,1518
2025-11-06,1821,2.83,2.83,2.83,2.83,730
2025-11-06,1834,2.79,2.79,2.79,2.79,1025
2025-11-06,1907,2.79,2.79,2.79,2.79,2588
2025-11-06,1947,2.81,2.81,2.81,2.81,595
2025-11-07,604,2.82,2.82,2.82,2.82,898
2025-11-07,829,2.73,2.73,2.7,2.7,898
2025-11-07,833,2.6701,2.6701,2.6701,2.6701,500
2025-11-07,845,2.7,2.7,2.7,2.7,230
2025-11-07,930,2.78,2.86,2.78,2.82,4828
2025-11-07,931,2.72,2.8199,2.72,2.8199,361
2025-11-07,932,2.769,2.769,2.769,2.769,611
2025-11-07,934,2.72,2.72,2.72,2.72,105
2025-11-07,935,2.77,2.77,2.75,2.75,598
2025-11-07,936,2.8,2.8,2.8,2.8,191
2025-11-07,939,2.7285,2.7285,2.7285,2.7285,1500
2025-11-07,941,2.745,2.745,2.745,2.745,321
2025-11-07,942,2.72,2.72,2.7,2.7,406
2025-11-07,943,2.71,2.71,2.69,2.69,507
2025-11-07,944,2.6906,2.6906,2.6906,2.6906,575
2025-11-07,945,2.75,2.75,2.69,2.69,1293
2025-11-07,946,2.67,2.67,2.67,2.67,394
2025-11-07,947,2.685,2.7,2.685,2.7,8462
