date,time,open,high,low,close,volume
2025-11-05,1909,1.18,1.18,1.18,1.18,1000
2025-11-05,1910,1.18,1.18,1.18,1.18,618
2025-11-05,1934,1.17,1.17,1.17,1.17,476
2025-11-05,1937,1.17,1.17,1.17,1.17,164
2025-11-05,1944,1.18,1.18,1.18,1.18,165
2025-11-05,1957,1.18,1.18,1.18,1.18,1860
2025-11-06,403,1.2,1.2,1.2,1.2,634
2025-11-06,404,1.2,1.2,1.2,1.2,282
2025-11-06,412,1.19,1.19,1.19,1.19,724
2025-11-06,416,1.2,1.2,1.2,1.2,2023
2025-11-06,421,1.18,1.18,1.18,1.18,300
2025-11-06,439,1.19,1.19,1.19,1.19,225
2025-11-06,445,1.18,1.18,1.17,1.17,1329
2025-11-06,458,1.19,1.19,1.19,1.19,188
2025-11-06,507,1.18,1.18,1.18,1.18,161
2025-11-06,525,1.17,1.17,1.17,1.17,300
2025-11-06,550,1.17,1.17,1.17,1.17,613
2025-11-06,627,1.17,1.17,1.17,1.17,162
2025-11-06,644,1.17,1.18,1.17,1.18,1256
2025-11-06,649,1.19,1.19,1.19,1.19,882
2025-11-06,718,1.19,1.19,1.15,1.15,2759
2025-11-06,735,1.15,1.15,1.14,1.14,3444
2025-11-06,743,1.17,1.17,1.17,1.17,324
2025-11-06,744,1.17,1.17,1.17,1.17,305
2025-11-06,745,1.17,1.17,1.17,1.17,100
2025-11-06,752,1.17,1.17,1.17,1.17,150
2025-11-06,754,1.17,1.17,1.17,1.17,175
2025-11-06,757,1.17,1.17,1.17,1.17,100
2025-11-06,800,1.2002,1.21,1.17,1.1702,9370
2025-11-06,801,1.24,1.28,1.23,1.26,6365
2025-11-06,802,1.24,1.24,1.18,1.18,7430
2025-11-06,803,1.17,1.17,1.17,1.17,588
2025-11-06,804,1.1703,1.1703,1.1703,1.1703,100
2025-11-06,805,1.17,1.17,1.17,1.17,100
2025-11-06,807,1.17,1.17,1.17,1.17,320
2025-11-06,808,1.17,1.17,1.17,1.17,1257
2025-11-06,810,1.15,1.15,1.14,1.14,15657
2025-11-06,812,1.141,1.141,1.14,1.14,1000
2025-11-06,815,1.15,1.15,1.15,1.15,1002
2025-11-06,823,1.15,1.15,1.15,1.15,792
2025-11-06,826,1.1598,1.1598,1.15,1.15,1690
2025-11-06,827,1.15,1.16,1.15,1.155,1440
2025-11-06,828,1.16,1.16,1.16,1.16,108
2025-11-06,830,1.1509,1.1509,1.1509,1.1509,200
2025-11-06,831,1.15,1.15,1.15,1.15,367
2025-11-06,833,1.1502,1.1502,1.15,1.15,1729
2025-11-06,844,1.1616,1.1616,1.1616,1.1616,323
2025-11-06,847,1.1799,1.1799,1.1799,1.1799,150
2025-11-06,848,1.16,1.16,1.16,1.16,683
2025-11-06,852,1.18,1.18,1.18,1.18,1535
2025-11-06,856,1.19,1.19,1.19,1.19,210
2025-11-06,859,1.1702,1.1702,1.17,1.17,1275
2025-11-06,900,1.16,1.16,1.16,1.16,3509
2025-11-06,904,1.16,1.16,1.16,1.16,520
2025-11-06,910,1.18,1.18,1.18,1.18,416
2025-11-06,912,1.18,1.18,1.18,1.18,1000
2025-11-06,914,1.1684,1.1684,1.1684,1.1684,101
2025-11-06,915,1.15,1.15,1.15,1.15,372
2025-11-06,917,1.15,1.15,1.15,1.15,373
2025-11-06,930,1.15,1.1502,1.15,1.1502,6021
2025-11-06,932,1.1501,1.1501,1.1501,1.1501,1333
2025-11-06,933,1.166,1.166,1.166,1.166,260
2025-11-06,934,1.15,1.15,1.15,1.15,2283
2025-11-06,935,1.15,1.16,1.15,1.1584,12027
2025-11-06,936,1.15,1.15,1.15,1.15,449
2025-11-06,937,1.145,1.145,1.145,1.145,224
2025-11-06,938,1.1499,1.1499,1.1499,1.1499,376
2025-11-06,939,1.15,1.15,1.145,1.15,2162
2025-11-06,940,1.15,1.15,1.15,1.15,827
2025-11-06,941,1.145,1.15,1.14,1.145,2175
2025-11-06,942,1.14,1.1494,1.14,1.14,6692
2025-11-06,943,1.1401,1.145,1.14,1.14,2566
2025-11-06,944,1.14,1.14,1.13,1.14,14676
2025-11-06,945,1.13,1.13,1.13,1.13,1093
2025-11-06,946,1.131,1.1405,1.131,1.14,644
2025-11-06,947,1.1392,1.1392,1.1392,1.1392,332
2025-11-06,948,1.13,1.16,1.12,1.14,8935
2025-11-06,949,1.14,1.14,1.14,1.14,138
2025-11-06,950,1.1399,1.1399,1.1306,1.135,4873
2025-11-06,952,1.135,1.135,1.135,1.135,337
2025-11-06,953,1.13,1.13,1.12,1.121,2019
2025-11-06,954,1.12,1.12,1.11,1.12,3854
2025-11-06,955,1.115,1.115,1.115,1.115,174
2025-11-06,956,1.115,1.12,1.1102,1.12,3019
2025-11-06,957,1.1207,1.1207,1.1207,1.1207,185
2025-11-06,958,1.125,1.125,1.12,1.12,261
2025-11-06,959,1.125,1.125,1.125,1.125,210
2025-11-06,1001,1.12,1.12,1.12,1.12,186
2025-11-06,1002,1.12,1.1288,1.12,1.1288,640
2025-11-06,1003,1.125,1.125,1.1195,1.1195,847
2025-11-06,1004,1.12,1.12,1.12,1.12,147
2025-11-06,1005,1.12,1.12,1.12,1.12,458
2025-11-06,1006,1.12,1.12,1.12,1.12,132
