date,time,open,high,low,close,volume
2025-11-06,1900,22.74,22.74,22.6,22.6,60
2025-11-06,1905,22.6,22.6,22.6,22.6,26
2025-11-06,1907,23.2,23.2,23.14,23.2,68
2025-11-06,1911,22.74,22.74,22.74,22.74,25
2025-11-06,1912,22.6,22.6,22.6,22.6,15
2025-11-06,1921,23.05,23.05,23.05,23.05,7
2025-11-06,1923,23.2,23.2,23.2,23.2,25
2025-11-06,1925,23.18,23.18,23.18,23.18,6
2025-11-06,1926,23.18,23.2,23.18,23.2,13
2025-11-06,1943,23.2,23.2,23.2,23.2,12
2025-11-06,1947,23.2,23.2,23.2,23.2,19
2025-11-06,1950,23.07,23.07,23.07,23.07,18
2025-11-06,1951,23.2,23.2,23.2,23.2,19
2025-11-06,1952,23.2,23.2,23.2,23.2,12
2025-11-07,400,24.08,24.08,24.08,24.08,25
2025-11-07,401,24.24,24.24,24.24,24.24,9
2025-11-07,405,24.08,24.08,24.08,24.08,12
2025-11-07,519,25.47,25.59,25.47,25.59,47
2025-11-07,545,25.55,25.55,25.52,25.52,8
2025-11-07,614,24.64,24.64,24.64,24.64,34
2025-11-07,619,24.64,24.64,24.64,24.64,11
2025-11-07,621,24.64,24.64,24.64,24.64,5
2025-11-07,622,24.64,24.64,24.64,24.64,38
2025-11-07,630,24.64,24.64,24.64,24.64,2
2025-11-07,637,24.57,24.64,24.57,24.64,8
2025-11-07,642,24.64,24.64,24.64,24.64,27
2025-11-07,707,24.8,24.8,24.06,24.06,96
2025-11-07,710,24.36,24.4,24.32,24.4,82
2025-11-07,720,24.4,24.4,24.4,24.4,100
2025-11-07,723,24.4,24.4,24.4,24.4,15
2025-11-07,725,24.4,24.4,24.4,24.4,17
2025-11-07,728,25.6,25.6,25.6,25.6,2
2025-11-07,734,24.2,24.2,24.2,24.2,17
2025-11-07,735,25.66,25.66,25.66,25.66,5
2025-11-07,739,25.28,25.28,25.28,25.28,4
2025-11-07,753,24.65,24.65,24.65,24.65,7
2025-11-07,756,24.64,24.64,24.64,24.64,7
2025-11-07,800,24.06,26.0,23.3,23.3,444
2025-11-07,801,22.84,24.77,22.75,24.08,181
2025-11-07,804,24.81,24.95,24.81,24.95,12
2025-11-07,807,25.04,25.04,25.04,25.04,12
2025-11-07,810,25.04,25.04,25.04,25.04,2
2025-11-07,816,24.68,24.68,24.63,24.63,15
2025-11-07,818,24.95,24.95,24.95,24.95,8
2025-11-07,819,24.6,24.6,24.6,24.6,7
2025-11-07,823,24.45,24.45,24.45,24.45,7
2025-11-07,824,25.04,25.04,25.04,25.04,5
2025-11-07,826,25.04,25.04,25.04,25.04,54
2025-11-07,833,25.04,25.04,25.04,25.04,8
2025-11-07,837,24.64,24.64,24.63,24.63,7
2025-11-07,839,24.63,24.63,24.63,24.63,6
2025-11-07,840,24.63,24.63,24.63,24.63,25
2025-11-07,841,24.63,24.63,24.63,24.63,7
2025-11-07,842,24.63,24.63,24.63,24.63,3
2025-11-07,846,24.63,25.02,24.63,25.02,10
2025-11-07,848,24.49,24.49,24.4,24.4,174
2025-11-07,849,24.4,24.4,24.4,24.4,57
2025-11-07,851,24.4,24.4,24.4,24.4,2
2025-11-07,852,24.4,24.4,24.4,24.4,52
2025-11-07,854,24.4,24.4,24.4,24.4,19
2025-11-07,856,24.52,24.52,24.52,24.52,3
2025-11-07,857,24.0,24.4,24.0,24.4,65
2025-11-07,858,24.0,24.36,24.0,24.0,194
2025-11-07,902,24.0,24.0,24.0,24.0,32
2025-11-07,903,24.0,24.0,24.0,24.0,40
2025-11-07,905,24.0,24.0,24.0,24.0,6
2025-11-07,907,24.0,24.0,24.0,24.0,25
2025-11-07,908,24.0,24.0,24.0,24.0,21
2025-11-07,915,24.4,24.4,24.4,24.4,43
2025-11-07,921,24.4,24.48,24.4,24.48,26
2025-11-07,922,24.48,24.48,24.48,24.48,11
2025-11-07,923,24.45,25.04,24.45,25.04,93
2025-11-07,924,24.52,24.97,24.52,24.97,283
2025-11-07,927,24.91,24.91,24.91,24.91,2
2025-11-07,930,24.04,25.02,24.0,24.0,229
2025-11-07,931,24.51,24.51,24.29,24.29,8
2025-11-07,932,24.07,24.2,24.07,24.19,55
2025-11-07,933,24.4,24.4,24.4,24.4,45
2025-11-07,934,24.01,24.51,24.01,24.01,15
2025-11-07,935,24.01,24.72,24.01,24.72,61
2025-11-07,938,25.04,25.04,25.04,25.04,92
2025-11-07,939,24.4,25.81,24.4,25.48,102
2025-11-07,940,25.8,25.8,25.8,25.8,12
2025-11-07,941,25.44,25.44,24.86,24.9,37
2025-11-07,942,25.6,25.6,25.6,25.6,28
2025-11-07,945,25.96,25.96,25.96,25.96,53
2025-11-07,947,25.96,25.96,25.46,25.46,141
2025-11-07,949,25.71,25.71,24.8,24.81,178
2025-11-07,950,24.89,25.96,24.89,25.96,239
2025-11-07,952,25.76,25.96,25.72,25.72,27
2025-11-07,953,25.6,25.8,25.6,25.8,43
2025-11-07,954,25.5,25.5,25.5,25.5,16
2025-11-07,956,25.6,25.8,25.6,25.8,97
2025-11-07,957,25.78,25.78,25.78,25.78,2
2025-11-07,958,25.96,26.09,25.6,25.6,146
2025-11-07,1006,25.1,25.32,25.09,25.09,23
2025-11-07,1007,25.52,25.52,25.52,25.52,5
2025-11-07,1010,25.28,25.52,25.28,25.52,10
2025-11-07,1012,25.52,25.76,25.52,25.69,40
2025-11-07,1014,25.96,25.96,25.52,25.96,94
2025-11-07,1017,26.19,26.4,26.19,26.4,52
2025-11-07,1018,26.37,26.5,26.2,26.4,66
2025-11-07,1019,26.6,27.2,26.6,27.2,110
2025-11-07,1020,27.2,28.0,26.56,27.6,761
2025-11-07,1022,27.36,27.36,27.36,27.36,5
2025-11-07,1024,27.36,27.36,27.2,27.2,39
2025-11-07,1025,26.68,26.68,26.68,26.68,62
2025-11-07,1026,26.69,26.69,26.68,26.68,25
2025-11-07,1030,26.68,26.68,26.68,26.68,5
2025-11-07,1031,26.09,26.34,26.0,26.0,326
2025-11-07,1032,26.34,26.34,26.0,26.34,104
2025-11-07,1033,26.0,26.0,25.95,25.95,57
2025-11-07,1034,24.8,24.8,24.8,24.8,7
2025-11-07,1048,25.64,25.64,25.64,25.64,4
2025-11-07,1050,27.0,27.0,26.0,26.0,15
2025-11-07,1051,26.4,26.4,26.0,26.4,100
2025-11-07,1055,27.28,27.28,27.28,27.28,5
2025-11-07,1058,27.22,27.22,27.22,27.22,50
2025-11-07,1059,27.15,27.15,27.15,27.15,2
2025-11-07,1100,26.01,26.01,26.01,26.01,3
2025-11-07,1102,27.2,27.2,27.2,27.2,50
2025-11-07,1103,26.24,26.24,26.24,26.24,7
2025-11-07,1104,26.52,26.6,26.52,26.6,42
2025-11-07,1105,26.78,26.78,26.78,26.78,10
2025-11-07,1106,26.17,26.78,26.17,26.78,150
2025-11-07,1107,26.18,26.18,26.18,26.18,5
2025-11-07,1109,26.58,26.64,26.58,26.64,244
2025-11-07,1114,27.11,27.11,27.11,27.11,3
2025-11-07,1116,26.64,26.64,26.17,26.18,132
2025-11-07,1117,26.4,26.8,26.4,26.8,40
2025-11-07,1118,26.66,26.66,26.66,26.66,16
2025-11-07,1123,26.52,26.52,26.52,26.52,9
2025-11-07,1127,26.26,26.28,26.26,26.28,17
2025-11-07,1128,26.81,26.81,26.81,26.81,7
2025-11-07,1130,26.68,26.68,26.68,26.68,2
2025-11-07,1131,26.18,26.7,26.18,26.7,72
2025-11-07,1132,26.4,26.4,26.4,26.4,2
2025-11-07,1134,26.8,26.8,26.8,26.8,30
2025-11-07,1136,26.4,26.48,26.28,26.28,77
2025-11-07,1139,26.18,26.18,26.18,26.18,12
2025-11-07,1142,26.68,26.68,26.68,26.68,5
2025-11-07,1143,26.68,26.68,26.68,26.68,3
2025-11-07,1144,26.68,26.68,26.68,26.68,5
2025-11-07,1149,26.4,26.4,26.4,26.4,12
2025-11-07,1153,26.28,26.28,26.28,26.28,9
