date,time,open,high,low,close,volume
2025-11-07,930,3.75,3.9645,3.75,3.8401,3070
2025-11-07,937,3.98,3.98,3.98,3.98,551
2025-11-07,938,3.98,3.98,3.98,3.98,250
2025-11-07,940,3.8981,3.8981,3.8981,3.8981,200
2025-11-07,1026,3.88,3.88,3.84,3.85,780
2025-11-07,1117,3.84,3.84,3.84,3.84,500
2025-11-07,1129,3.85,3.85,3.8449,3.8467,2610
2025-11-07,1151,3.84,3.84,3.84,3.84,211
2025-11-07,1153,3.84,3.84,3.84,3.84,386
2025-11-07,1205,3.8401,3.8401,3.8401,3.8401,400
2025-11-07,1209,3.8401,3.8401,3.8401,3.8401,407
2025-11-07,1227,3.83,3.83,3.83,3.83,865
2025-11-07,1253,3.83,3.83,3.83,3.83,255
2025-11-07,1321,3.7547,3.7547,3.7547,3.7547,150
2025-11-07,1324,3.6591,3.6591,3.6591,3.6591,100
2025-11-07,1339,3.73,3.73,3.73,3.73,100
2025-11-07,1408,3.71,3.71,3.71,3.71,789
2025-11-07,1421,3.69,3.69,3.68,3.68,414
2025-11-07,1422,3.68,3.68,3.68,3.68,699
2025-11-07,1439,3.705,3.71,3.705,3.71,437
2025-11-07,1440,3.715,3.715,3.715,3.715,120
2025-11-07,1500,3.73,3.73,3.73,3.73,1206
2025-11-07,1504,3.715,3.73,3.715,3.73,1100
2025-11-07,1536,3.73,3.73,3.73,3.73,1003
2025-11-07,1539,3.7553,3.7553,3.7553,3.7553,120
2025-11-07,1555,3.72,3.74,3.71,3.73,614
2025-11-07,1559,3.7,3.7,3.7,3.7,421
2025-11-07,1943,3.93,3.93,3.93,3.93,1000
2025-11-10,700,3.93,3.93,3.93,3.93,102
2025-11-10,736,4.05,4.05,4.05,4.05,100
2025-11-10,850,3.93,3.93,3.93,3.93,1171
2025-11-10,930,3.87,3.885,3.79,3.885,1490
2025-11-10,932,3.855,4.2099,3.855,4.2099,7334
2025-11-10,942,4.13,4.13,4.13,4.13,255
2025-11-10,943,4.19,4.19,4.14,4.14,221
2025-11-10,949,4.0025,4.0025,4.0025,4.0025,1026
2025-11-10,1000,4.065,4.065,4.065,4.065,500
2025-11-10,1056,4.0101,4.0101,4.0101,4.0101,1000
2025-11-10,1122,4.13,4.13,4.13,4.13,500
2025-11-10,1136,4.04,4.04,4.04,4.04,201
2025-11-10,1205,4.1686,4.1686,4.1686,4.1686,131
2025-11-10,1234,4.06,4.06,4.06,4.06,789
2025-11-10,1300,4.06,4.06,4.04,4.04,1189
2025-11-10,1301,4.04,4.04,4.04,4.04,305
2025-11-10,1407,4.03,4.03,4.03,4.03,103
2025-11-10,1423,3.9999,3.9999,3.9999,3.9999,1000
2025-11-10,1432,3.95,3.95,3.95,3.95,174
2025-11-10,1500,4.0,4.0,4.0,4.0,533
2025-11-10,1513,3.961,3.961,3.961,3.961,1240
2025-11-10,1525,3.95,3.95,3.95,3.95,100
2025-11-10,1533,3.95,3.95,3.95,3.95,5000
2025-11-10,1536,3.97,3.97,3.97,3.97,100
2025-11-10,1541,3.99,4.05,3.97,4.05,1368
2025-11-10,1545,4.09,4.2,4.09,4.2,7732
2025-11-10,1547,4.15,4.165,4.15,4.1579,9733
2025-11-10,1548,4.16,4.2,4.16,4.2,797
2025-11-10,1553,4.13,4.41,4.13,4.41,10703
2025-11-10,1556,4.27,4.27,4.27,4.27,246
2025-11-10,1557,4.26,4.27,4.24,4.24,635
2025-11-10,1558,4.23,4.255,4.165,4.2501,905
2025-11-10,1559,4.25,4.26,4.155,4.26,2709
2025-11-10,1600,4.06,4.06,4.06,4.06,295
2025-11-11,930,4.08,4.08,4.08,4.08,209
2025-11-11,956,4.1483,4.2,4.1483,4.1784,2400
2025-11-11,957,4.1612,4.1612,4.1612,4.1612,500
2025-11-11,1002,4.2,4.2,4.15,4.15,954
2025-11-11,1021,4.2006,4.23,4.151,4.23,2722
2025-11-11,1149,4.2328,4.2328,4.2328,4.2328,100
2025-11-11,1209,4.162,4.162,4.162,4.162,2000
2025-11-11,1220,4.1501,4.2172,4.0804,4.0804,2800
2025-11-11,1235,4.08,4.08,4.08,4.08,675
2025-11-11,1305,4.07,4.07,4.07,4.07,126
2025-11-11,1307,4.06,4.06,4.06,4.06,487
2025-11-11,1424,3.94,3.94,3.935,3.935,400
