date,time,open,high,low,close,volume
2025-11-06,1902,7.132,7.136,7.132,7.136,41
2025-11-06,1906,7.24,7.24,7.24,7.24,2
2025-11-06,1907,7.148,7.148,7.148,7.148,50
2025-11-06,1909,7.148,7.148,7.108,7.108,81
2025-11-06,1910,7.24,7.24,7.24,7.24,2
2025-11-06,1911,7.108,7.108,7.1,7.1,9
2025-11-06,1913,7.092,7.092,7.092,7.092,2
2025-11-06,1915,7.108,7.112,7.092,7.096,92
2025-11-06,1916,7.08,7.08,7.08,7.08,6
2025-11-06,1917,7.08,7.08,6.98,6.98,40
2025-11-06,1918,6.94,6.94,6.94,6.94,10
2025-11-06,1919,6.94,6.94,6.94,6.94,20
2025-11-06,1920,6.932,6.932,6.932,6.932,25
2025-11-06,1921,7.012,7.012,7.012,7.012,23
2025-11-06,1923,6.94,6.94,6.94,6.94,7
2025-11-06,1924,6.92,6.92,6.9,6.9,11
2025-11-06,1925,6.872,6.94,6.84,6.94,41
2025-11-06,1928,6.96,6.96,6.84,6.84,97
2025-11-06,1929,7.104,7.104,7.104,7.104,2
2025-11-06,1931,6.844,6.844,6.844,6.844,3
2025-11-06,1932,6.844,6.844,6.8,6.8,530
2025-11-06,1933,7.108,7.108,6.968,6.968,15
2025-11-06,1936,6.844,6.844,6.844,6.844,5
2025-11-06,1937,6.844,6.844,6.844,6.844,11
2025-11-06,1938,6.844,6.844,6.844,6.844,23
2025-11-06,1941,6.992,6.996,6.992,6.996,5
2025-11-06,1942,6.856,6.856,6.856,6.856,22
2025-11-06,1943,6.848,6.848,6.848,6.848,5
2025-11-06,1945,6.844,7.048,6.8,7.048,91
2025-11-06,1947,6.82,6.82,6.82,6.82,50
2025-11-06,1948,6.82,6.992,6.82,6.992,14
2025-11-06,1949,6.992,6.992,6.82,6.82,65
2025-11-06,1950,6.8,6.8,6.8,6.8,62
2025-11-06,1951,6.8,6.8,6.8,6.8,2
2025-11-06,1952,6.8,6.8,6.792,6.796,83
2025-11-06,1953,6.8,6.8,6.8,6.8,49
2025-11-06,1954,6.8,6.8,6.796,6.8,110
2025-11-06,1956,6.92,7.204,6.92,7.2,70
2025-11-06,1957,7.2,7.2,7.2,7.2,7
2025-11-06,1958,7.02,7.2,7.02,7.2,344
2025-11-06,1959,7.2,7.236,7.2,7.236,263
2025-11-07,400,6.936,7.02,6.936,6.968,45
2025-11-07,401,7.16,7.16,7.16,7.16,2
2025-11-07,404,7.16,7.192,7.16,7.192,10
2025-11-07,407,7.196,7.196,7.196,7.196,10
2025-11-07,408,7.176,7.18,7.176,7.18,7
2025-11-07,409,7.18,7.18,7.18,7.18,2
2025-11-07,421,7.18,7.18,7.168,7.168,6
2025-11-07,430,7.1,7.1,6.968,6.968,15
2025-11-07,431,7.152,7.152,7.152,7.152,5
2025-11-07,432,7.164,7.164,7.164,7.164,3
2025-11-07,441,7.176,7.18,7.172,7.172,22
2025-11-07,442,6.964,6.964,6.964,6.964,6
2025-11-07,443,6.948,6.956,6.9,6.9,81
2025-11-07,444,6.892,6.892,6.88,6.88,75
2025-11-07,448,7.14,7.14,7.08,7.128,21
2025-11-07,453,6.924,6.924,6.924,6.924,16
2025-11-07,458,6.924,7.124,6.924,7.124,27
2025-11-07,500,6.916,6.916,6.9,6.9,25
2025-11-07,501,6.9,6.9,6.9,6.9,50
2025-11-07,502,6.92,6.92,6.92,6.92,7
2025-11-07,505,6.92,6.92,6.9,6.9,36
2025-11-07,506,6.888,6.888,6.872,6.872,39
2025-11-07,507,6.864,7.12,6.864,7.12,125
2025-11-07,512,7.096,7.096,7.096,7.096,3
2025-11-07,513,6.92,6.92,6.92,6.92,25
2025-11-07,515,6.92,6.92,6.92,6.92,3
2025-11-07,517,6.86,6.86,6.808,6.808,21
2025-11-07,521,6.916,6.916,6.916,6.916,5
2025-11-07,522,6.92,6.924,6.92,6.924,23
2025-11-07,529,6.816,6.816,6.4,6.4,281
2025-11-07,530,6.46,6.46,6.46,6.46,15
2025-11-07,531,6.592,6.592,6.592,6.592,2
2025-11-07,534,6.68,6.68,6.68,6.68,22
2025-11-07,535,6.688,6.884,6.688,6.884,18
2025-11-07,536,6.884,6.884,6.884,6.884,50
2025-11-07,539,6.92,6.92,6.92,6.92,2
2025-11-07,541,6.92,6.924,6.92,6.924,32
2025-11-07,542,6.928,7.08,6.928,7.08,30
2025-11-07,543,7.092,7.128,7.092,7.128,77
2025-11-07,546,6.884,6.884,6.884,6.884,150
2025-11-07,551,6.896,6.896,6.896,6.896,7
2025-11-07,558,6.924,6.924,6.884,6.884,60
2025-11-07,559,7.008,7.02,7.008,7.02,25
2025-11-07,600,7.116,7.116,7.116,7.116,5
2025-11-07,602,7.108,7.108,7.108,7.108,3
2025-11-07,620,6.9,6.9,6.9,6.9,2
2025-11-07,621,6.896,6.896,6.896,6.896,4
2025-11-07,623,6.908,6.908,6.884,6.884,35
2025-11-07,626,6.888,6.888,6.884,6.884,226
2025-11-07,629,6.864,6.864,6.68,6.68,227
2025-11-07,630,6.68,6.68,6.676,6.676,22
2025-11-07,635,6.672,6.672,6.644,6.644,45
2025-11-07,636,6.508,6.508,6.504,6.504,24
2025-11-07,637,6.492,6.504,6.492,6.504,595
2025-11-07,639,6.676,6.68,6.676,6.68,15
2025-11-07,640,6.52,6.52,6.52,6.52,4
2025-11-07,641,6.68,6.68,6.68,6.68,6
2025-11-07,645,6.676,6.68,6.604,6.68,83
2025-11-07,648,6.888,6.888,6.888,6.888,3
2025-11-07,649,6.72,6.72,6.688,6.688,17
2025-11-07,650,6.952,6.952,6.952,6.952,2
2025-11-07,651,6.988,6.988,6.988,6.988,2
