date,time,open,high,low,close,volume
2025-11-06,1917,2.14,2.14,2.14,2.14,700
2025-11-06,1918,2.14,2.16,2.14,2.16,2266
2025-11-06,1921,2.15,2.15,2.15,2.15,175
2025-11-06,1925,2.15,2.15,2.12,2.12,3880
2025-11-06,1935,2.14,2.14,2.14,2.14,100
2025-11-07,400,2.18,2.18,2.18,2.18,568
2025-11-07,405,2.17,2.17,2.17,2.17,146
2025-11-07,408,2.17,2.17,2.17,2.17,234
2025-11-07,527,2.15,2.15,2.15,2.15,997
2025-11-07,528,2.09,2.09,2.08,2.08,3307
2025-11-07,704,2.13,2.14,2.13,2.14,1221
2025-11-07,717,2.14,2.14,2.14,2.14,590
2025-11-07,721,2.14,2.14,2.1,2.1,1954
2025-11-07,723,2.1,2.1,2.1,2.1,500
2025-11-07,733,2.11,2.11,2.11,2.11,761
2025-11-07,743,2.12,2.12,2.12,2.12,215
2025-11-07,751,2.11,2.11,2.1,2.1,300
2025-11-07,752,2.1,2.1,2.1,2.1,400
2025-11-07,800,2.1504,2.18,2.1,2.13,7752
2025-11-07,802,2.39,2.54,2.105,2.17,16970
2025-11-07,803,2.27,2.27,2.15,2.17,1546
2025-11-07,804,2.1,2.1,2.1,2.1,630
2025-11-07,806,2.09,2.09,2.03,2.03,979
2025-11-07,813,2.1,2.13,2.1,2.13,775
2025-11-07,821,2.1,2.1,2.1,2.1,278
2025-11-07,823,2.09,2.09,2.09,2.09,112
2025-11-07,824,2.09,2.09,2.09,2.09,121
2025-11-07,834,2.0723,2.0723,2.0723,2.0723,168
2025-11-07,835,2.07,2.07,2.07,2.07,1464
2025-11-07,842,2.06,2.06,2.06,2.06,350
2025-11-07,843,2.07,2.07,2.07,2.07,100
2025-11-07,848,2.07,2.0796,2.07,2.07,500
2025-11-07,849,2.07,2.07,2.07,2.07,600
2025-11-07,850,2.07,2.07,2.07,2.07,500
2025-11-07,851,2.07,2.07,2.07,2.07,500
2025-11-07,853,2.08,2.08,2.08,2.08,200
2025-11-07,858,2.07,2.07,2.07,2.07,1207
2025-11-07,908,2.05,2.05,2.01,2.01,1500
2025-11-07,916,2.03,2.03,2.03,2.03,110
2025-11-07,923,2.03,2.03,2.03,2.03,514
2025-11-07,924,2.03,2.03,2.03,2.03,1136
2025-11-07,927,2.04,2.04,2.04,2.04,1558
2025-11-07,929,2.04,2.05,2.04,2.05,948
2025-11-07,930,2.04,2.06,2.035,2.04,3861
