date,time,open,high,low,close,volume
2025-12-04,930,3.93,3.93,3.93,3.93,1070
2025-12-04,1537,3.9409,3.9409,3.9409,3.9409,100
2025-12-05,930,4.1,4.1,3.9601,3.9601,1202
2025-12-05,931,4.09,4.09,4.09,4.09,550
2025-12-05,958,4.03,4.03,4.03,4.03,450
2025-12-05,1047,4.0882,4.1,4.04,4.0625,1601
2025-12-05,1048,4.14,4.16,4.14,4.16,1105
2025-12-05,1050,4.0402,4.3299,4.0402,4.2704,1794
2025-12-05,1051,4.3013,4.4399,4.253,4.3307,6880
2025-12-05,1052,4.3233,4.7,4.3233,4.595,14038
2025-12-05,1053,4.54,4.6,4.5001,4.6,4436
2025-12-05,1054,4.58,4.6399,4.58,4.6399,811
2025-12-05,1055,4.5,4.635,4.5,4.635,3320
2025-12-05,1056,4.64,4.64,4.5274,4.5274,2183
2025-12-05,1057,4.64,4.64,4.64,4.64,287
2025-12-05,1059,4.53,4.53,4.53,4.53,707
2025-12-05,1100,4.53,4.5301,4.53,4.5301,1586
2025-12-05,1105,4.445,4.445,4.4072,4.4072,1217
2025-12-05,1106,4.4396,4.4396,4.4388,4.4388,1015
2025-12-05,1107,4.43,4.43,4.43,4.43,123
2025-12-05,1108,4.4,4.41,4.4,4.41,454
2025-12-05,1112,4.4,4.4,4.4,4.4,500
2025-12-05,1116,4.436,4.436,4.436,4.436,1030
2025-12-05,1117,4.48,4.48,4.42,4.42,568
2025-12-05,1130,4.42,4.42,4.42,4.42,415
2025-12-05,1131,4.5,4.5,4.5,4.5,150
2025-12-05,1133,4.5,4.5,4.5,4.5,1000
2025-12-05,1140,4.4223,4.55,4.4223,4.55,200
2025-12-05,1204,4.55,4.55,4.42,4.42,2175
2025-12-05,1206,4.42,4.42,4.42,4.42,100
2025-12-05,1306,4.38,4.4138,4.3701,4.3989,3524
2025-12-05,1320,4.502,4.502,4.502,4.502,1003
2025-12-05,1321,4.49,4.49,4.49,4.49,500
2025-12-05,1348,4.5,4.5,4.5,4.5,706
2025-12-05,1353,4.51,4.51,4.5,4.5,645
2025-12-05,1355,4.51,4.5101,4.51,4.5101,200
2025-12-05,1431,4.5,4.51,4.49,4.51,570
2025-12-05,1453,4.51,4.51,4.51,4.51,239
2025-12-05,1513,4.6,4.6,4.6,4.6,620
2025-12-05,1527,4.55,4.55,4.55,4.55,237
2025-12-05,1549,4.5309,4.5309,4.5309,4.5309,151
2025-12-05,1553,4.5524,4.5622,4.5524,4.5622,2200
2025-12-05,1554,4.5135,4.5135,4.5135,4.5135,114
2025-12-05,1556,4.4801,4.4801,4.4801,4.4801,854
2025-12-05,1559,4.6,4.6,4.6,4.6,385
2025-12-05,1600,4.6,4.6,4.6,4.6,106
2025-12-05,1611,4.64,4.6704,4.59,4.64,400
2025-12-05,1645,4.64,4.75,4.64,4.75,1762
2025-12-05,1646,4.88,4.88,4.88,4.88,100
2025-12-05,1730,4.77,4.7971,4.77,4.7971,1100
2025-12-05,1732,4.79,4.79,4.79,4.79,101
2025-12-05,1752,4.7849,5.0,4.7849,5.0,3483
2025-12-05,1753,5.0,5.35,5.0,5.35,314
2025-12-05,1807,4.93,4.93,4.93,4.93,288
2025-12-05,1815,5.0,5.0,5.0,5.0,362
2025-12-05,1816,5.08,5.08,5.08,5.08,135
2025-12-05,1817,5.12,5.12,5.0,5.0,257
2025-12-05,1821,5.19,5.19,4.89,4.89,1919
2025-12-05,1824,4.66,4.66,4.66,4.66,2391
2025-12-05,1826,4.75,4.76,4.75,4.75,1502
2025-12-05,1829,4.8,4.8,4.8,4.8,856
2025-12-05,1841,4.8,4.8,4.8,4.8,265
2025-12-05,1842,4.67,4.67,4.67,4.67,328
2025-12-05,1953,4.512,4.512,4.512,4.512,527
2025-12-05,1957,4.53,4.53,4.52,4.52,353
2025-12-08,930,4.57,4.57,4.57,4.57,308
2025-12-08,959,4.3901,4.3901,4.3901,4.3901,1000
2025-12-08,1013,4.3901,4.4,4.3901,4.4,1200
2025-12-08,1016,4.41,4.41,4.41,4.41,128
2025-12-08,1019,4.4147,4.5718,4.4147,4.5718,200
2025-12-08,1142,4.3997,4.3997,4.3997,4.3997,100
2025-12-08,1143,4.4,4.4,4.4,4.4,372
2025-12-08,1144,4.475,4.475,4.475,4.475,100
