date,time,open,high,low,close,volume
2025-12-05,1900,0.725,0.725,0.725,0.725,110
2025-12-05,1909,0.7171,0.7171,0.7171,0.7171,100
2025-12-05,1932,0.7238,0.7289,0.7238,0.7289,1367
2025-12-05,1943,0.7204,0.7204,0.7204,0.7204,100
2025-12-05,1945,0.7204,0.7204,0.7204,0.7204,102
2025-12-05,1949,0.7204,0.7204,0.7204,0.7204,130
2025-12-08,420,0.714,0.714,0.7138,0.7138,1105
2025-12-08,422,0.7126,0.7128,0.7126,0.7128,2095
2025-12-08,439,0.7126,0.7126,0.7126,0.7126,2925
2025-12-08,455,0.71,0.71,0.71,0.71,100
2025-12-08,540,0.71,0.71,0.71,0.71,241
2025-12-08,543,0.71,0.71,0.71,0.71,180
2025-12-08,544,0.71,0.71,0.71,0.71,100
2025-12-08,558,0.707,0.707,0.707,0.707,180
2025-12-08,559,0.707,0.707,0.707,0.707,135
2025-12-08,600,0.705,0.7062,0.7015,0.7045,4403
2025-12-08,608,0.7011,0.7025,0.7011,0.7025,336
2025-12-08,610,0.708,0.7433,0.708,0.74,75523
2025-12-08,623,0.7177,0.7178,0.7177,0.7178,2237
2025-12-08,625,0.7286,0.7286,0.7286,0.7286,643
2025-12-08,633,0.7377,0.7377,0.7377,0.7377,1000
2025-12-08,635,0.73,0.73,0.73,0.73,1562
2025-12-08,637,0.72,0.72,0.72,0.72,2375
2025-12-08,638,0.72,0.72,0.72,0.72,1000
2025-12-08,648,0.7211,0.7211,0.7211,0.7211,157
2025-12-08,649,0.7211,0.7211,0.7211,0.7211,182
2025-12-08,703,0.7235,0.7235,0.7235,0.7235,1301
2025-12-08,707,0.726,0.726,0.726,0.726,501
2025-12-08,708,0.7208,0.7208,0.7208,0.7208,111
2025-12-08,714,0.7299,0.7299,0.7299,0.7299,360
2025-12-08,720,0.7238,0.7238,0.7238,0.7238,1000
2025-12-08,725,0.73,0.73,0.73,0.73,149
2025-12-08,734,0.73,0.73,0.73,0.73,219
2025-12-08,800,0.7375,0.74,0.7025,0.7348,72691
2025-12-08,801,0.71,0.728,0.7091,0.7137,20588
2025-12-08,802,0.7317,0.7317,0.7317,0.7317,101
2025-12-08,803,0.7337,0.74,0.7337,0.74,13008
2025-12-08,805,0.74,0.743,0.74,0.7401,1521
2025-12-08,806,0.7401,0.7401,0.7401,0.7401,248
2025-12-08,808,0.7451,0.7451,0.7451,0.7451,5000
2025-12-08,812,0.743,0.743,0.743,0.743,100
2025-12-08,813,0.7446,0.75,0.7431,0.75,10605
2025-12-08,814,0.7461,0.7533,0.7461,0.7533,984
2025-12-08,815,0.7575,0.7591,0.7539,0.7539,5402
2025-12-08,816,0.7591,0.7591,0.7491,0.759,3591
2025-12-08,817,0.7591,0.7591,0.7565,0.7587,2220
2025-12-08,818,0.7403,0.7591,0.7359,0.7591,6267
2025-12-08,821,0.745,0.745,0.7406,0.7449,3735
2025-12-08,822,0.7449,0.7452,0.7449,0.745,2078
2025-12-08,823,0.7408,0.7408,0.74,0.74,4999
2025-12-08,827,0.745,0.745,0.745,0.745,110
2025-12-08,828,0.7439,0.7439,0.7439,0.7439,233
2025-12-08,829,0.7439,0.7439,0.7405,0.7439,1877
2025-12-08,832,0.7499,0.7499,0.7499,0.7499,100
2025-12-08,833,0.7449,0.7449,0.7449,0.7449,2550
2025-12-08,834,0.7487,0.7501,0.7447,0.7501,4875
2025-12-08,835,0.75,0.7501,0.75,0.7501,2160
2025-12-08,836,0.7501,0.7501,0.7499,0.7499,4175
2025-12-08,838,0.7499,0.7499,0.7499,0.7499,5000
2025-12-08,842,0.7487,0.7487,0.7487,0.7487,103
2025-12-08,849,0.74,0.74,0.74,0.74,300
2025-12-08,851,0.7485,0.7485,0.7485,0.7485,157
2025-12-08,854,0.7409,0.7409,0.7409,0.7409,350
2025-12-08,856,0.7484,0.7484,0.7484,0.7484,100
2025-12-08,858,0.7483,0.7483,0.7483,0.7483,183
2025-12-08,903,0.7486,0.7499,0.7467,0.7499,700
2025-12-08,904,0.7469,0.7483,0.7469,0.7483,2803
2025-12-08,907,0.7483,0.75,0.7456,0.75,5837
2025-12-08,908,0.7599,0.7599,0.7599,0.7599,1024
2025-12-08,909,0.7599,0.7599,0.7599,0.7599,252
2025-12-08,910,0.7548,0.7548,0.7548,0.7548,360
2025-12-08,912,0.7502,0.7502,0.7502,0.7502,300
2025-12-08,914,0.7502,0.7502,0.75,0.75,3393
2025-12-08,917,0.7501,0.7501,0.7501,0.7501,230
2025-12-08,922,0.7509,0.7509,0.7509,0.7509,300
2025-12-08,924,0.7588,0.7588,0.7588,0.7588,100
2025-12-08,926,0.7509,0.7509,0.7509,0.7509,100
2025-12-08,927,0.751,0.751,0.751,0.751,229
2025-12-08,928,0.7588,0.76,0.7548,0.7557,2961
2025-12-08,930,0.76,0.76,0.7509,0.7586,34872
2025-12-08,931,0.7587,0.7587,0.7542,0.7575,442
2025-12-08,932,0.7575,0.7575,0.7493,0.7509,41761
2025-12-08,933,0.7509,0.751,0.7493,0.7493,13611
2025-12-08,934,0.7573,0.7573,0.7412,0.7438,676
2025-12-08,937,0.7476,0.7476,0.7476,0.7476,200
2025-12-08,941,0.7443,0.7475,0.742,0.7475,535
2025-12-08,942,0.7456,0.7456,0.7456,0.7456,5000
2025-12-08,943,0.7443,0.7443,0.7443,0.7443,707
2025-12-08,944,0.7411,0.754,0.7411,0.754,14118
2025-12-08,945,0.7492,0.7492,0.7492,0.7492,1005
2025-12-08,947,0.7477,0.7477,0.7454,0.7454,486
2025-12-08,948,0.7454,0.7454,0.7383,0.7411,2680
2025-12-08,949,0.7383,0.7383,0.734,0.734,5513
2025-12-08,950,0.734,0.734,0.734,0.734,294
2025-12-08,951,0.734,0.7382,0.7339,0.7382,1346
2025-12-08,952,0.7339,0.7356,0.7321,0.7356,6318
2025-12-08,953,0.7311,0.7338,0.7251,0.7338,3181
2025-12-08,954,0.7356,0.7356,0.7351,0.7351,756
2025-12-08,955,0.7329,0.7356,0.7329,0.7332,600
2025-12-08,957,0.7329,0.7331,0.7302,0.7331,1161
2025-12-08,1000,0.7301,0.7301,0.7301,0.7301,722
2025-12-08,1001,0.7301,0.7301,0.7255,0.7255,12009
2025-12-08,1002,0.7256,0.73,0.7256,0.73,3818
2025-12-08,1004,0.7296,0.7314,0.7294,0.7314,11693
2025-12-08,1005,0.7302,0.7302,0.7302,0.7302,376
2025-12-08,1007,0.7311,0.7311,0.7311,0.7311,142
2025-12-08,1009,0.7311,0.7311,0.7311,0.7311,178
2025-12-08,1010,0.7303,0.7303,0.7303,0.7303,260
2025-12-08,1012,0.7303,0.7303,0.7303,0.7303,175
