date,time,open,high,low,close,volume
2025-12-05,801,3.34,3.34,3.34,3.34,114
2025-12-05,931,3.36,3.36,3.36,3.36,101
2025-12-05,940,3.381,3.381,3.381,3.381,363
2025-12-05,959,3.405,3.43,3.405,3.43,300
2025-12-05,1000,3.43,3.48,3.43,3.48,604
2025-12-05,1002,3.49,3.4965,3.49,3.49,500
2025-12-05,1003,3.4965,3.5,3.49,3.5,2158
2025-12-05,1009,3.6,3.6,3.6,3.6,705
2025-12-05,1010,3.7,3.7,3.542,3.542,4975
2025-12-05,1011,3.72,3.72,3.72,3.72,100
2025-12-05,1014,3.54,3.5628,3.5,3.5628,1283
2025-12-05,1018,3.5063,3.545,3.5,3.5,500
2025-12-05,1027,3.59,3.59,3.59,3.59,836
2025-12-05,1030,3.5,3.5,3.39,3.39,4531
2025-12-05,1033,3.41,3.41,3.41,3.41,340
2025-12-05,1039,3.425,3.425,3.36,3.37,1500
2025-12-05,1043,3.41,3.41,3.41,3.41,100
2025-12-05,1047,3.41,3.41,3.38,3.38,1500
2025-12-05,1050,3.395,3.395,3.395,3.395,3000
2025-12-05,1057,3.38,3.38,3.38,3.38,100
2025-12-05,1113,3.375,3.375,3.375,3.375,211
2025-12-05,1115,3.35,3.35,3.34,3.34,3970
2025-12-05,1120,3.36,3.36,3.3,3.3,1602
2025-12-05,1123,3.32,3.364,3.32,3.364,1501
2025-12-05,1148,3.325,3.325,3.325,3.325,100
2025-12-05,1156,3.3,3.3,3.3,3.3,1218
2025-12-05,1200,3.2985,3.2985,3.2985,3.2985,3005
2025-12-05,1234,3.29,3.29,3.29,3.29,420
2025-12-05,1247,3.2351,3.2351,3.2351,3.2351,100
2025-12-05,1258,3.24,3.315,3.24,3.315,927
2025-12-05,1303,3.25,3.25,3.25,3.25,100
2025-12-05,1315,3.325,3.4,3.325,3.4,500
2025-12-05,1316,3.325,3.325,3.325,3.325,100
2025-12-05,1319,3.34,3.34,3.34,3.34,200
2025-12-05,1325,3.34,3.34,3.34,3.34,100
2025-12-05,1335,3.25,3.25,3.25,3.25,200
2025-12-05,1339,3.27,3.27,3.27,3.27,200
2025-12-05,1340,3.27,3.35,3.27,3.31,6449
2025-12-05,1357,3.4376,3.4376,3.4376,3.4376,100
2025-12-05,1430,3.43,3.43,3.43,3.43,100
2025-12-05,1443,3.26,3.26,3.26,3.26,123
2025-12-05,1447,3.3357,3.3357,3.3357,3.3357,100
2025-12-05,1456,3.28,3.28,3.28,3.28,100
2025-12-05,1458,3.28,3.28,3.28,3.28,274
2025-12-05,1459,3.28,3.28,3.28,3.28,225
2025-12-05,1510,3.26,3.26,3.26,3.26,100
2025-12-05,1511,3.3094,3.3094,3.3094,3.3094,3000
2025-12-05,1544,3.24,3.24,3.23,3.23,330
2025-12-05,1548,3.2001,3.24,3.2,3.24,1505
2025-12-05,1551,3.24,3.24,3.24,3.24,1022
2025-12-05,1554,3.2,3.24,3.2,3.24,1012
2025-12-05,1556,3.22,3.22,3.2,3.22,2331
2025-12-05,1557,3.2972,3.2972,3.2972,3.2972,124
2025-12-05,1600,3.18,3.18,3.18,3.18,219
2025-12-08,930,3.29,3.29,3.18,3.18,1807
2025-12-08,946,3.23,3.23,3.23,3.23,100
2025-12-08,952,3.25,3.25,3.25,3.25,101
2025-12-08,954,3.24,3.28,3.24,3.27,504
2025-12-08,955,3.27,3.28,3.27,3.28,200
2025-12-08,957,3.28,3.28,3.28,3.28,1000
2025-12-08,1027,3.2,3.2,3.2,3.2,170
2025-12-08,1053,3.2,3.2,3.2,3.2,152
2025-12-08,1107,3.21,3.21,3.21,3.21,1021
2025-12-08,1109,3.25,3.25,3.25,3.25,1700
2025-12-08,1110,3.24,3.25,3.23,3.235,791
2025-12-08,1121,3.26,3.26,3.26,3.26,105
2025-12-08,1134,3.23,3.23,3.23,3.23,100
2025-12-08,1157,3.2301,3.2301,3.2301,3.2301,101
2025-12-08,1159,3.23,3.23,3.23,3.23,1220
2025-12-08,1218,3.29,3.29,3.29,3.29,600
2025-12-08,1234,3.21,3.21,3.21,3.21,219
2025-12-08,1258,3.21,3.21,3.21,3.21,100
2025-12-08,1321,3.21,3.21,3.21,3.21,100
2025-12-08,1327,3.21,3.21,3.21,3.21,539
2025-12-08,1355,3.2,3.2,3.2,3.2,1792
2025-12-08,1419,3.2047,3.2047,3.2047,3.2047,501
2025-12-08,1422,3.18,3.18,3.12,3.12,485
2025-12-08,1432,3.015,3.015,3.01,3.01,221
2025-12-08,1445,3.21,3.21,3.21,3.21,100
2025-12-08,1447,3.12,3.12,3.12,3.12,161
2025-12-08,1520,3.0781,3.0781,3.0781,3.0781,130
2025-12-08,1537,3.08,3.08,3.08,3.08,583
2025-12-08,1901,3.29,3.29,3.29,3.29,240
2025-12-08,1904,3.7,3.7,3.7,3.7,431
2025-12-08,1910,3.7,3.71,3.7,3.71,882
2025-12-08,1911,3.7,3.7,3.6,3.6,848
2025-12-08,1914,3.6,3.6,3.6,3.6,141
2025-12-08,1926,3.58,3.58,3.58,3.58,123
2025-12-08,1943,3.58,3.58,3.58,3.58,481
2025-12-08,1946,3.3,3.3,3.3,3.3,363
2025-12-08,1948,3.39,3.39,3.39,3.39,219
2025-12-08,1953,3.44,3.44,3.44,3.44,100
2025-12-08,1955,3.44,3.44,3.44,3.44,100
2025-12-08,1958,3.44,3.44,3.44,3.44,122
2025-12-08,1959,3.44,3.44,3.44,3.44,526
2025-12-09,508,3.25,3.25,3.25,3.25,156
2025-12-09,831,3.51,3.51,3.39,3.39,478
2025-12-09,842,3.47,3.47,3.47,3.47,133
2025-12-09,902,3.45,3.45,3.45,3.45,300
2025-12-09,916,3.35,3.35,3.35,3.35,100
2025-12-09,918,3.4595,3.4595,3.4595,3.4595,401
2025-12-09,930,3.1999,3.25,3.1999,3.24,442
2025-12-09,931,3.25,3.25,3.2,3.24,688
2025-12-09,932,3.2101,3.2101,3.2101,3.2101,3030
2025-12-09,933,3.39,3.39,3.39,3.39,1000
2025-12-09,935,3.3,3.3,3.3,3.3,573
2025-12-09,936,3.31,3.31,3.31,3.31,201
2025-12-09,941,3.258,3.258,3.258,3.258,425
2025-12-09,943,3.16,3.16,3.16,3.16,202
2025-12-09,948,3.24,3.24,3.24,3.24,101
