date,time,open,high,low,close,volume
2025-12-05,930,1.75,1.75,1.75,1.75,1320
2025-12-05,937,1.71,1.71,1.7076,1.7076,1500
2025-12-05,938,1.7,1.7041,1.7,1.7041,1795
2025-12-05,943,1.71,1.71,1.71,1.71,3854
2025-12-05,945,1.7,1.7,1.7,1.7,2781
2025-12-05,946,1.7,1.7,1.7,1.7,101
2025-12-05,1004,1.71,1.71,1.7,1.7,210
2025-12-05,1007,1.7092,1.7092,1.7087,1.7087,1554
2025-12-05,1008,1.7,1.7,1.7,1.7,501
2025-12-05,1011,1.7,1.7,1.7,1.7,1305
2025-12-05,1015,1.71,1.71,1.7092,1.7092,300
2025-12-05,1018,1.71,1.71,1.71,1.71,150
2025-12-05,1019,1.7,1.7,1.68,1.68,2227
2025-12-05,1021,1.6898,1.6898,1.6898,1.6898,5001
2025-12-05,1025,1.7,1.7,1.7,1.7,100
2025-12-05,1032,1.7,1.7083,1.695,1.7083,7634
2025-12-05,1033,1.7,1.7,1.7,1.7,650
2025-12-05,1034,1.7,1.705,1.7,1.7,2800
2025-12-05,1037,1.705,1.705,1.705,1.705,900
2025-12-05,1043,1.7,1.7,1.7,1.7,1000
2025-12-05,1044,1.704,1.704,1.7,1.7,6600
2025-12-05,1056,1.7045,1.7045,1.7045,1.7045,500
2025-12-05,1057,1.7,1.7,1.7,1.7,1820
2025-12-05,1059,1.69,1.7,1.69,1.7,2131
2025-12-05,1100,1.695,1.7,1.695,1.7,4769
2025-12-05,1102,1.7,1.7,1.7,1.7,100
2025-12-05,1105,1.6907,1.6907,1.6907,1.6907,142
2025-12-05,1107,1.7,1.7,1.7,1.7,219
2025-12-05,1109,1.698,1.7,1.695,1.7,3000
2025-12-05,1111,1.695,1.695,1.695,1.695,156
2025-12-05,1118,1.695,1.695,1.695,1.695,111
2025-12-05,1129,1.69,1.69,1.69,1.69,103
2025-12-05,1132,1.69,1.69,1.69,1.69,200
2025-12-05,1135,1.6908,1.6908,1.6908,1.6908,100
2025-12-05,1139,1.7,1.7,1.7,1.7,200
2025-12-05,1141,1.6996,1.6996,1.6996,1.6996,926
2025-12-05,1142,1.6901,1.6901,1.6901,1.6901,150
2025-12-05,1151,1.69,1.69,1.68,1.68,3146
2025-12-05,1155,1.68,1.68,1.68,1.68,160
2025-12-05,1205,1.68,1.68,1.67,1.67,2618
2025-12-05,1208,1.67,1.67,1.67,1.67,111
2025-12-05,1211,1.6721,1.68,1.6721,1.68,11347
2025-12-05,1215,1.68,1.68,1.68,1.68,165
2025-12-05,1219,1.685,1.685,1.68,1.68,448
2025-12-05,1224,1.68,1.68,1.68,1.68,3269
2025-12-05,1235,1.67,1.673,1.67,1.673,1443
2025-12-05,1236,1.67,1.67,1.67,1.67,565
2025-12-05,1237,1.68,1.68,1.68,1.68,1006
