date,time,open,high,low,close,volume
2025-12-09,942,4.64,4.9,4.64,4.9,4215
2025-12-09,943,4.9,4.9,4.9,4.9,820
2025-12-09,944,4.9,4.91,4.9,4.91,2909
2025-12-09,945,4.9129,4.9129,4.9,4.9,500
2025-12-09,946,4.93,4.95,4.925,4.95,2913
2025-12-09,948,4.95,4.95,4.9,4.9,920
2025-12-09,949,4.9,4.9,4.9,4.9,230
2025-12-09,950,4.9,4.9,4.82,4.82,4266
2025-12-09,1028,4.54,4.54,4.54,4.54,110
2025-12-09,1032,4.45,4.45,4.45,4.45,400
2025-12-09,1033,4.44,4.44,4.44,4.44,401
2025-12-09,1039,4.44,4.44,4.44,4.44,462
2025-12-09,1102,4.44,4.44,4.44,4.44,100
2025-12-09,1103,4.44,4.44,4.44,4.44,1444
2025-12-09,1109,4.45,4.45,4.45,4.45,121
2025-12-09,1209,4.45,4.45,4.45,4.45,374
2025-12-09,1315,4.4251,4.4251,4.4251,4.4251,100
2025-12-09,1419,4.4424,4.4424,4.4424,4.4424,270
2025-12-09,1430,4.42,4.42,4.42,4.42,249
2025-12-09,1446,4.34,4.395,4.3,4.3,782
2025-12-09,1452,4.3,4.3,4.295,4.295,333
2025-12-09,1454,4.3,4.3,4.3,4.3,282
2025-12-09,1458,4.2961,4.2961,4.2961,4.2961,100
2025-12-09,1459,4.29,4.29,4.29,4.29,100
2025-12-09,1501,4.27,4.27,4.27,4.27,370
2025-12-09,1504,4.25,4.25,4.25,4.25,502
2025-12-09,1508,4.27,4.27,4.27,4.27,480
2025-12-09,1510,4.2,4.2,4.2,4.2,391
2025-12-09,1511,4.21,4.24,4.21,4.24,1307
2025-12-09,1514,4.22,4.22,4.22,4.22,737
2025-12-09,1517,4.24,4.24,4.24,4.24,830
2025-12-09,1521,4.28,4.3,4.28,4.3,1016
2025-12-09,1522,4.28,4.28,4.28,4.28,1100
2025-12-09,1523,4.27,4.27,4.27,4.27,839
2025-12-09,1524,4.23,4.23,4.23,4.23,820
2025-12-09,1525,4.22,4.22,4.22,4.22,259
2025-12-09,1537,4.2,4.2,4.2,4.2,100
2025-12-09,1543,4.29,4.29,4.29,4.29,154
2025-12-09,1552,4.17,4.17,4.16,4.16,300
2025-12-09,1553,4.17,4.17,4.16,4.16,200
2025-12-09,1555,4.16,4.16,4.16,4.16,200
2025-12-09,1556,4.21,4.21,4.21,4.21,425
2025-12-09,1557,4.16,4.2,4.16,4.17,500
2025-12-09,1558,4.16,4.21,4.16,4.21,200
2025-12-09,1559,4.21,4.21,4.16,4.16,770
2025-12-09,1600,4.23,4.23,4.23,4.23,566
2025-12-10,716,4.13,4.13,4.13,4.13,710
2025-12-10,835,4.2,4.2,4.2,4.2,204
2025-12-10,930,4.25,4.25,4.12,4.12,2083
2025-12-10,932,4.12,4.12,4.12,4.12,180
2025-12-10,933,4.1001,4.1001,4.1,4.1,640
2025-12-10,935,4.1,4.1,4.08,4.08,380
2025-12-10,936,4.07,4.07,4.05,4.05,390
2025-12-10,938,4.2185,4.2185,4.2185,4.2185,891
2025-12-10,948,4.07,4.07,4.07,4.07,200
2025-12-10,950,4.05,4.05,4.05,4.05,204
2025-12-10,955,4.01,4.02,3.62,3.62,5485
2025-12-10,957,3.65,3.65,3.65,3.65,190
2025-12-10,958,3.7385,3.7385,3.7385,3.7385,633
2025-12-10,1001,3.686,3.76,3.686,3.76,960
2025-12-10,1002,3.7,3.7,3.6708,3.6708,1365
2025-12-10,1003,3.7,3.8,3.7,3.8,3597
