date,time,open,high,low,close,volume
2025-12-10,1017,3.7713,3.7713,3.7713,3.7713,1500
2025-12-10,1036,3.89,3.89,3.89,3.89,100
2025-12-10,1058,3.66,3.67,3.66,3.67,1017
2025-12-10,1059,3.66,3.66,3.66,3.66,1052
2025-12-10,1100,3.66,3.66,3.65,3.65,1374
2025-12-10,1101,3.62,3.62,3.61,3.62,901
2025-12-10,1106,3.65,3.79,3.65,3.79,360
2025-12-10,1140,3.78,3.78,3.78,3.78,105
2025-12-10,1253,3.8,3.8,3.8,3.8,150
2025-12-10,1301,3.707,3.7795,3.64,3.7795,1000
2025-12-10,1309,3.78,3.78,3.78,3.78,100
2025-12-10,1340,3.6201,3.6201,3.6201,3.6201,1000
2025-12-10,1357,3.78,3.78,3.78,3.78,120
2025-12-10,1402,3.7596,3.7596,3.7596,3.7596,477
2025-12-10,1418,3.63,3.72,3.62,3.72,2836
2025-12-10,1435,3.7194,3.7194,3.7194,3.7194,100
2025-12-10,1436,3.6649,3.74,3.6604,3.685,500
2025-12-10,1437,3.694,3.694,3.694,3.694,100
2025-12-10,1438,3.6865,3.6865,3.6865,3.6865,103
2025-12-10,1439,3.6851,3.6851,3.6851,3.6851,101
2025-12-10,1448,3.7499,3.7499,3.694,3.7499,300
2025-12-10,1451,3.62,3.62,3.62,3.62,106
2025-12-10,1452,3.6742,3.6742,3.6742,3.6742,135
2025-12-10,1454,3.68,3.68,3.68,3.68,103
2025-12-10,1506,3.6249,3.6249,3.6249,3.6249,600
2025-12-10,1509,3.85,3.85,3.85,3.85,105
2025-12-10,1510,3.74,3.91,3.74,3.91,5347
2025-12-10,1520,3.91,3.91,3.91,3.91,113
2025-12-10,1527,3.8852,3.91,3.8852,3.91,200
2025-12-10,1531,3.88,3.88,3.88,3.88,100
2025-12-10,1533,3.88,3.88,3.88,3.88,124
2025-12-10,1545,3.88,3.88,3.88,3.88,800
2025-12-10,1556,3.88,3.88,3.88,3.88,1953
2025-12-11,943,3.667,3.667,3.667,3.667,216
2025-12-11,945,3.6343,3.6343,3.6343,3.6343,201
2025-12-11,1011,3.655,3.655,3.59,3.6,1003
2025-12-11,1018,3.64,3.64,3.64,3.64,100
2025-12-11,1024,3.61,3.61,3.6,3.6,1003
2025-12-11,1026,3.6,3.6724,3.55,3.55,601
2025-12-11,1033,3.59,3.59,3.59,3.59,102
2025-12-11,1104,3.6,3.6,3.6,3.6,200
2025-12-11,1113,3.5,3.5,3.5,3.5,812
2025-12-11,1133,3.51,3.51,3.51,3.51,100
2025-12-11,1135,3.5846,3.5846,3.5846,3.5846,100
2025-12-11,1214,3.55,3.55,3.55,3.55,170
2025-12-11,1255,3.57,3.57,3.57,3.57,400
2025-12-11,1309,3.5398,3.5398,3.5398,3.5398,190
2025-12-11,1433,3.5001,3.5001,3.5001,3.5001,416
2025-12-11,1516,3.535,3.57,3.535,3.57,1854
2025-12-11,1523,3.5201,3.5201,3.5201,3.5201,1000
2025-12-11,1525,3.52,3.52,3.52,3.52,1000
2025-12-11,1527,3.52,3.52,3.52,3.52,1600
2025-12-11,1530,3.52,3.52,3.52,3.52,1000
2025-12-11,1548,3.52,3.52,3.52,3.52,1984
2025-12-11,1552,3.52,3.52,3.52,3.52,1000
2025-12-12,734,3.5,3.5,3.5,3.5,100
2025-12-12,753,3.5,3.5,3.5,3.5,100
2025-12-12,800,3.4999,3.4999,3.4999,3.4999,104
2025-12-12,804,3.5,3.5,3.49,3.49,544
2025-12-12,813,3.5,3.5,3.49,3.49,200
2025-12-12,820,3.5,3.5,3.5,3.5,350
2025-12-12,937,3.42,3.42,3.4,3.4,399
2025-12-12,938,3.4689,3.4689,3.4689,3.4689,108
2025-12-12,1023,3.4881,3.4881,3.4881,3.4881,160
2025-12-12,1034,3.5,3.5,3.5,3.5,537
2025-12-12,1035,3.5,3.5,3.5,3.5,688
2025-12-12,1038,3.5,3.5,3.5,3.5,300
2025-12-12,1039,3.5,3.5,3.5,3.5,2153
2025-12-12,1044,3.5,3.5,3.5,3.5,1224
2025-12-12,1050,3.5,3.5,3.5,3.5,5200
2025-12-12,1051,3.4956,3.4956,3.4956,3.4956,100
2025-12-12,1053,3.49,3.49,3.49,3.49,200
2025-12-12,1056,3.4915,3.4915,3.4915,3.4915,100
2025-12-12,1106,3.5,3.5,3.5,3.5,10104
2025-12-12,1124,3.5741,3.5741,3.5741,3.5741,100
2025-12-12,1142,3.5,3.5,3.5,3.5,2000
2025-12-12,1210,3.563,3.563,3.563,3.563,1000
2025-12-12,1211,3.5001,3.5001,3.5001,3.5001,2000
2025-12-12,1227,3.5,3.5001,3.45,3.5001,8805
2025-12-12,1234,3.51,3.5415,3.51,3.5415,200
2025-12-12,1238,3.47,3.47,3.47,3.47,103
2025-12-12,1327,3.5831,3.5831,3.5831,3.5831,2000
2025-12-12,1424,3.47,3.47,3.47,3.47,100
2025-12-12,1517,3.49,3.49,3.49,3.49,252
2025-12-15,930,3.45,3.47,3.45,3.47,418
2025-12-15,931,3.46,3.46,3.46,3.46,102
2025-12-15,936,3.435,3.4699,3.435,3.4699,325
2025-12-15,937,3.46,3.46,3.46,3.46,150
2025-12-15,943,3.4613,3.4617,3.46,3.4617,670
2025-12-15,953,3.46,3.46,3.46,3.46,200
2025-12-15,1053,3.46,3.46,3.46,3.46,200
