date,time,open,high,low,close,volume
2025-12-10,930,3.81,3.81,3.81,3.81,351
2025-12-10,936,3.85,3.85,3.85,3.85,1500
2025-12-10,947,3.7175,3.7175,3.7175,3.7175,500
2025-12-10,950,3.821,3.821,3.7701,3.7701,1000
2025-12-10,1107,3.6601,3.6601,3.6601,3.6601,500
2025-12-10,1140,3.8092,3.8092,3.8092,3.8092,800
2025-12-10,1302,3.83,3.83,3.83,3.83,1000
2025-12-10,1512,3.76,3.76,3.76,3.76,200
2025-12-10,1515,3.7,3.7,3.7,3.7,401
2025-12-10,1533,3.7,3.7,3.7,3.7,300
2025-12-10,1540,3.7,3.7,3.7,3.7,300
2025-12-10,1556,3.7,3.7,3.69,3.69,2808
2025-12-10,1557,3.67,3.67,3.65,3.65,1367
2025-12-10,1558,3.52,3.53,3.425,3.5,6032
2025-12-10,1602,3.83,3.83,3.83,3.83,100
2025-12-11,1012,3.698,3.698,3.698,3.698,1600
2025-12-11,1014,3.52,3.52,3.52,3.52,114
2025-12-11,1017,3.5201,3.5201,3.5201,3.5201,1000
2025-12-11,1028,3.6,3.6,3.6,3.6,200
2025-12-11,1031,3.59,3.6,3.59,3.6,200
2025-12-11,1045,3.5212,3.5212,3.52,3.52,449
2025-12-11,1046,3.5,3.5,3.5,3.5,600
2025-12-11,1059,3.51,3.51,3.51,3.51,100
2025-12-11,1123,3.5,3.5,3.5,3.5,3000
2025-12-11,1127,3.5,3.5,3.4502,3.4502,4500
2025-12-11,1128,3.45,3.45,3.45,3.45,100
2025-12-11,1129,3.571,3.571,3.571,3.571,100
2025-12-11,1130,3.554,3.554,3.5001,3.5001,2795
2025-12-11,1131,3.635,3.635,3.635,3.635,100
2025-12-11,1133,3.635,3.635,3.635,3.635,100
2025-12-11,1135,3.635,3.635,3.635,3.635,100
2025-12-11,1137,3.588,3.588,3.588,3.588,100
2025-12-11,1146,3.625,3.625,3.625,3.625,100
2025-12-11,1150,3.5,3.5,3.5,3.5,100
2025-12-11,1151,3.5001,3.5001,3.5001,3.5001,100
2025-12-11,1202,3.5,3.5,3.5,3.5,100
2025-12-11,1206,3.5259,3.5259,3.5259,3.5259,1000
2025-12-11,1210,3.45,3.45,3.45,3.45,100
2025-12-11,1211,3.45,3.46,3.45,3.46,200
2025-12-11,1220,3.55,3.55,3.55,3.55,100
2025-12-11,1227,3.5,3.5,3.5,3.5,100
2025-12-11,1233,3.5,3.5,3.5,3.5,900
2025-12-11,1234,3.5214,3.5214,3.5214,3.5214,100
2025-12-11,1235,3.5033,3.5033,3.5033,3.5033,100
2025-12-11,1243,3.45,3.45,3.45,3.45,100
2025-12-11,1319,3.36,3.36,3.36,3.36,100
2025-12-11,1321,3.3908,3.3908,3.3908,3.3908,100
2025-12-11,1330,3.36,3.36,3.36,3.36,4200
