date,time,open,high,low,close,volume
2025-12-09,1900,0.5719,0.5719,0.5719,0.5719,110
2025-12-09,1911,0.5719,0.5719,0.5719,0.5719,750
2025-12-09,1915,0.5523,0.5523,0.5512,0.5512,1000
2025-12-09,1919,0.5713,0.5713,0.5713,0.5713,190
2025-12-09,1930,0.5713,0.5713,0.5713,0.5713,100
2025-12-09,1944,0.568,0.568,0.568,0.568,258
2025-12-09,1946,0.5521,0.5521,0.5521,0.5521,130
2025-12-09,1957,0.568,0.568,0.568,0.568,150
2025-12-09,1959,0.568,0.5712,0.568,0.5712,600
2025-12-10,438,0.55,0.55,0.55,0.55,140
2025-12-10,439,0.5496,0.5496,0.5496,0.5496,359
2025-12-10,510,0.55,0.55,0.55,0.55,405
2025-12-10,524,0.5501,0.5501,0.5501,0.5501,300
2025-12-10,534,0.55,0.55,0.55,0.55,303
2025-12-10,545,0.55,0.55,0.55,0.55,374
2025-12-10,549,0.5401,0.5401,0.5401,0.5401,300
2025-12-10,555,0.5401,0.5401,0.5401,0.5401,300
2025-12-10,613,0.5401,0.5401,0.5401,0.5401,160
2025-12-10,711,0.5402,0.5402,0.5402,0.5402,2000
2025-12-10,716,0.5401,0.5401,0.54,0.54,392
2025-12-10,722,0.54,0.54,0.54,0.54,3333
2025-12-10,725,0.54,0.54,0.54,0.54,263
2025-12-10,727,0.54,0.54,0.54,0.54,4969
2025-12-10,729,0.5401,0.5401,0.5401,0.5401,320
2025-12-10,748,0.5401,0.5401,0.5401,0.5401,500
2025-12-10,800,0.5542,0.5543,0.5,0.5369,10475
2025-12-10,811,0.5401,0.5401,0.5401,0.5401,500
2025-12-10,821,0.5401,0.5401,0.5401,0.5401,440
2025-12-10,826,0.55,0.5543,0.5499,0.5499,3700
2025-12-10,827,0.5499,0.554,0.5411,0.5411,5525
2025-12-10,828,0.55,0.55,0.55,0.55,240
2025-12-10,829,0.55,0.55,0.55,0.55,2060
2025-12-10,836,0.5401,0.5401,0.5401,0.5401,101
2025-12-10,839,0.55,0.55,0.5402,0.5484,2501
2025-12-10,854,0.5499,0.5499,0.5402,0.5402,2000
2025-12-10,855,0.55,0.55,0.55,0.55,2130
2025-12-10,857,0.55,0.55,0.55,0.55,397
2025-12-10,858,0.5401,0.5401,0.5401,0.5401,2015
2025-12-10,901,0.5402,0.55,0.5402,0.5402,3361
2025-12-10,921,0.5402,0.5402,0.5402,0.5402,210
2025-12-10,925,0.5402,0.5402,0.5402,0.5402,829
2025-12-10,930,0.54,0.55,0.54,0.545,23570
2025-12-10,931,0.54,0.54,0.54,0.54,2320
2025-12-10,932,0.5454,0.5498,0.5454,0.5498,1599
2025-12-10,933,0.54,0.54,0.54,0.54,2074
2025-12-10,934,0.5427,0.5454,0.5427,0.5427,6550
2025-12-10,937,0.5401,0.5401,0.5401,0.5401,101
2025-12-10,938,0.5445,0.5445,0.5445,0.5445,200
2025-12-10,941,0.5421,0.5421,0.5421,0.5421,1005
2025-12-10,942,0.5427,0.5427,0.5427,0.5427,272
2025-12-10,943,0.54,0.5454,0.54,0.54,5074
2025-12-10,946,0.5427,0.5429,0.5427,0.5429,5386
2025-12-10,947,0.5427,0.5453,0.5401,0.5422,67923
2025-12-10,948,0.5423,0.5423,0.5419,0.5419,928
2025-12-10,949,0.5401,0.5419,0.5401,0.5419,800
2025-12-10,951,0.5419,0.542,0.5419,0.5419,5815
2025-12-10,952,0.542,0.542,0.542,0.542,130
2025-12-10,953,0.542,0.5421,0.542,0.542,3118
2025-12-10,954,0.5419,0.542,0.5419,0.5419,1900
2025-12-10,955,0.542,0.542,0.542,0.542,500
2025-12-10,957,0.5419,0.5419,0.5419,0.5419,203
2025-12-10,959,0.5419,0.542,0.5419,0.5419,2242
2025-12-10,1000,0.542,0.542,0.542,0.542,294
2025-12-10,1001,0.542,0.542,0.54,0.54,11209
2025-12-10,1002,0.5414,0.5414,0.541,0.541,2053
2025-12-10,1003,0.5403,0.5412,0.5403,0.5412,500
2025-12-10,1004,0.5413,0.5413,0.5413,0.5413,105
2025-12-10,1006,0.5413,0.5413,0.5413,0.5413,117
2025-12-10,1008,0.5419,0.5421,0.5419,0.542,3437
2025-12-10,1009,0.5429,0.5459,0.5429,0.5446,15732
2025-12-10,1010,0.5499,0.5543,0.5499,0.5543,9209
2025-12-10,1011,0.5755,0.5781,0.5755,0.5781,10010
2025-12-10,1012,0.5798,0.5799,0.5698,0.5698,6423
2025-12-10,1014,0.5699,0.5699,0.5699,0.5699,127
2025-12-10,1016,0.58,0.58,0.5749,0.5798,1158
2025-12-10,1018,0.5749,0.5749,0.5749,0.5749,1250
2025-12-10,1019,0.57,0.5724,0.57,0.5724,7596
2025-12-10,1020,0.5749,0.5749,0.5724,0.5724,2120
2025-12-10,1021,0.5725,0.5749,0.5725,0.5748,1900
2025-12-10,1022,0.5748,0.5749,0.5748,0.5749,4092
2025-12-10,1023,0.5748,0.5749,0.5748,0.5749,285
2025-12-10,1024,0.5749,0.5749,0.5749,0.5749,658
2025-12-10,1025,0.576,0.576,0.576,0.576,3000
2025-12-10,1029,0.5797,0.5797,0.5797,0.5797,176
2025-12-10,1030,0.5793,0.5798,0.576,0.5798,825
2025-12-10,1031,0.578,0.5798,0.5779,0.5798,1635
2025-12-10,1034,0.576,0.576,0.576,0.576,520
2025-12-10,1036,0.5795,0.5795,0.5795,0.5795,304
2025-12-10,1037,0.5792,0.5792,0.5792,0.5792,2625
2025-12-10,1042,0.5778,0.5778,0.5778,0.5778,143
2025-12-10,1043,0.5779,0.5792,0.5769,0.5769,487
2025-12-10,1044,0.5773,0.5773,0.5764,0.5764,1744
2025-12-10,1045,0.5765,0.5765,0.576,0.5763,308
2025-12-10,1046,0.576,0.576,0.576,0.576,361
2025-12-10,1050,0.5766,0.5766,0.5766,0.5766,915
2025-12-10,1051,0.5766,0.5766,0.5766,0.5766,120
2025-12-10,1056,0.5764,0.5764,0.5732,0.5732,402
2025-12-10,1057,0.5738,0.574,0.5719,0.574,2802
2025-12-10,1058,0.5748,0.5777,0.5748,0.5748,3025
2025-12-10,1059,0.5749,0.5749,0.5748,0.5748,1101
2025-12-10,1101,0.5701,0.5701,0.5701,0.5701,462
2025-12-10,1102,0.5753,0.5753,0.5748,0.5748,500
2025-12-10,1103,0.5766,0.5766,0.5748,0.5748,3171
2025-12-10,1104,0.5748,0.5754,0.5748,0.5748,3335
2025-12-10,1107,0.5797,0.5797,0.5748,0.5748,450
2025-12-10,1108,0.5748,0.5748,0.5726,0.5748,1749
2025-12-10,1109,0.5751,0.5797,0.5751,0.5778,2448
2025-12-10,1110,0.5748,0.5748,0.5748,0.5748,740
2025-12-10,1112,0.5701,0.5707,0.57,0.57,500
2025-12-10,1113,0.5701,0.571,0.5701,0.5701,1820
2025-12-10,1114,0.5705,0.5705,0.5705,0.5705,286
2025-12-10,1115,0.57,0.5701,0.57,0.5701,3000
2025-12-10,1117,0.57,0.57,0.57,0.57,2143
2025-12-10,1118,0.57,0.5703,0.57,0.5703,3114
2025-12-10,1119,0.5701,0.5701,0.5701,0.5701,2301
2025-12-10,1121,0.5701,0.5701,0.5701,0.5701,100
2025-12-10,1127,0.5701,0.5701,0.5701,0.5701,496
2025-12-10,1128,0.5701,0.5701,0.5701,0.5701,1000
2025-12-10,1129,0.5701,0.5701,0.5701,0.5701,894
2025-12-10,1132,0.5701,0.5701,0.5701,0.5701,100
2025-12-10,1133,0.5701,0.5701,0.5701,0.5701,250
2025-12-10,1134,0.5702,0.5702,0.5702,0.5702,175
2025-12-10,1135,0.57,0.57,0.57,0.57,187
2025-12-10,1136,0.5748,0.5748,0.5748,0.5748,100
2025-12-10,1137,0.5748,0.5796,0.5748,0.5796,1026
2025-12-10,1139,0.5797,0.5797,0.5748,0.5748,200
2025-12-10,1141,0.5783,0.5795,0.5783,0.5795,214
2025-12-10,1142,0.5783,0.5793,0.5783,0.5783,1093
2025-12-10,1143,0.5783,0.5783,0.5783,0.5783,517
2025-12-10,1144,0.5783,0.5783,0.5783,0.5783,130
2025-12-10,1145,0.5783,0.5783,0.5783,0.5783,1905
2025-12-10,1147,0.5775,0.5775,0.577,0.577,750
2025-12-10,1152,0.5776,0.5776,0.5771,0.5773,300
2025-12-10,1156,0.5776,0.5776,0.5776,0.5776,103
2025-12-10,1157,0.5771,0.5771,0.5771,0.5771,460
2025-12-10,1201,0.5771,0.5771,0.5771,0.5771,439
2025-12-10,1202,0.5775,0.578,0.5775,0.5776,5214
2025-12-10,1203,0.5775,0.5775,0.5772,0.5772,705
2025-12-10,1206,0.5771,0.5777,0.5771,0.5777,1300
2025-12-10,1207,0.5772,0.5776,0.5772,0.5776,1211
2025-12-10,1208,0.5776,0.5777,0.5772,0.5773,1500
2025-12-10,1209,0.5772,0.5772,0.5772,0.5772,104
2025-12-10,1210,0.5776,0.5776,0.5776,0.5776,129
2025-12-10,1214,0.5771,0.5771,0.5771,0.5771,500
2025-12-10,1217,0.5776,0.5777,0.5776,0.5777,3100
2025-12-10,1219,0.5772,0.5772,0.5772,0.5772,161
2025-12-10,1223,0.5771,0.5771,0.5771,0.5771,8600
2025-12-10,1224,0.5772,0.5772,0.5772,0.5772,714
2025-12-10,1227,0.5772,0.5772,0.5772,0.5772,100
2025-12-10,1228,0.5772,0.5777,0.5771,0.5777,6205
2025-12-10,1232,0.5772,0.5772,0.5772,0.5772,157
2025-12-10,1233,0.5773,0.5773,0.5773,0.5773,105
2025-12-10,1234,0.5774,0.5774,0.5774,0.5774,208
2025-12-10,1235,0.5772,0.5772,0.5772,0.5772,200
2025-12-10,1238,0.5775,0.5775,0.5775,0.5775,101
2025-12-10,1239,0.5773,0.5773,0.5773,0.5773,1000
2025-12-10,1242,0.5772,0.5772,0.5772,0.5772,100
2025-12-10,1245,0.5774,0.5774,0.5774,0.5774,155
2025-12-10,1246,0.5773,0.5774,0.5773,0.5774,871
2025-12-10,1247,0.5774,0.5774,0.5774,0.5774,100
2025-12-10,1248,0.5774,0.5774,0.5772,0.5772,200
2025-12-10,1249,0.5774,0.5774,0.5774,0.5774,111
2025-12-10,1250,0.5774,0.5776,0.5771,0.5774,2731
2025-12-10,1253,0.5774,0.5774,0.5774,0.5774,100
2025-12-10,1254,0.5774,0.5774,0.5774,0.5774,200
2025-12-10,1255,0.5772,0.5772,0.5772,0.5772,200
2025-12-10,1256,0.5772,0.5776,0.5772,0.5776,275
2025-12-10,1257,0.5774,0.5774,0.5774,0.5774,100
2025-12-10,1258,0.5775,0.5775,0.5774,0.5774,300
2025-12-10,1300,0.5772,0.5772,0.5772,0.5772,100
2025-12-10,1301,0.5774,0.5774,0.5774,0.5774,346
2025-12-10,1304,0.5771,0.5771,0.5771,0.5771,296
2025-12-10,1305,0.5772,0.5773,0.5772,0.5772,3300
2025-12-10,1306,0.5773,0.5773,0.5772,0.5772,400
2025-12-10,1307,0.5772,0.5772,0.5772,0.5772,1051
2025-12-10,1308,0.5772,0.5772,0.5771,0.5771,300
2025-12-10,1309,0.5772,0.5772,0.5772,0.5772,1179
2025-12-10,1310,0.5772,0.5772,0.5772,0.5772,991
2025-12-10,1313,0.5772,0.5772,0.5772,0.5772,272
2025-12-10,1315,0.5772,0.5772,0.5771,0.5771,2322
2025-12-10,1318,0.5771,0.5771,0.5771,0.5771,760
2025-12-10,1319,0.5771,0.5771,0.5771,0.5771,10000
2025-12-10,1320,0.5771,0.5771,0.5771,0.5771,100
2025-12-10,1325,0.5771,0.5771,0.5771,0.5771,100
2025-12-10,1327,0.5771,0.5771,0.5771,0.5771,220
2025-12-10,1328,0.5772,0.5772,0.5771,0.5772,353
2025-12-10,1329,0.5774,0.5774,0.5774,0.5774,100
2025-12-10,1330,0.5772,0.5772,0.5772,0.5772,1250
2025-12-10,1332,0.5771,0.5771,0.5771,0.5771,2500
2025-12-10,1334,0.5772,0.5772,0.5772,0.5772,100
2025-12-10,1335,0.5772,0.5772,0.5772,0.5772,314
2025-12-10,1347,0.5771,0.5771,0.5771,0.5771,130
2025-12-10,1351,0.5771,0.5771,0.5771,0.5771,250
2025-12-10,1353,0.5771,0.5771,0.5771,0.5771,4744
2025-12-10,1354,0.5771,0.5771,0.5771,0.5771,2495
2025-12-10,1355,0.5772,0.5772,0.5771,0.5772,2162
2025-12-10,1359,0.5774,0.5774,0.5774,0.5774,200
2025-12-10,1400,0.5774,0.5774,0.5772,0.5774,914
2025-12-10,1401,0.5772,0.5772,0.5772,0.5772,100
2025-12-10,1404,0.5773,0.5773,0.5701,0.5701,5624
2025-12-10,1405,0.5774,0.5774,0.5774,0.5774,105
2025-12-10,1407,0.5701,0.5701,0.5701,0.5701,300
2025-12-10,1408,0.5701,0.5773,0.5701,0.5773,1100
2025-12-10,1411,0.5701,0.5774,0.5701,0.5774,400
2025-12-10,1414,0.5701,0.5701,0.5701,0.5701,2828
2025-12-10,1415,0.5701,0.5701,0.5701,0.5701,150
2025-12-10,1416,0.5736,0.5736,0.5736,0.5736,100
2025-12-10,1418,0.5737,0.5737,0.5737,0.5737,100
2025-12-10,1419,0.5772,0.5772,0.5772,0.5772,350
2025-12-10,1421,0.5756,0.5756,0.5756,0.5756,241
2025-12-10,1425,0.5756,0.5756,0.5756,0.5756,122
2025-12-10,1427,0.5773,0.5773,0.5773,0.5773,100
2025-12-10,1428,0.5701,0.5701,0.5701,0.5701,301
2025-12-10,1430,0.5701,0.5701,0.5701,0.5701,135
2025-12-10,1433,0.5701,0.5701,0.5701,0.5701,1050
2025-12-10,1438,0.5701,0.5701,0.5701,0.5701,117
2025-12-10,1439,0.5701,0.5701,0.5701,0.5701,200
2025-12-10,1444,0.5723,0.5723,0.5723,0.5723,2300
2025-12-10,1446,0.5701,0.5701,0.5701,0.5701,5000
2025-12-10,1450,0.5701,0.5701,0.5701,0.5701,300
2025-12-10,1451,0.5701,0.5701,0.5701,0.5701,100
2025-12-10,1452,0.5701,0.5701,0.5701,0.5701,100
2025-12-10,1500,0.5735,0.5736,0.5701,0.5736,9592
2025-12-10,1502,0.5701,0.5716,0.565,0.565,44812
2025-12-10,1503,0.571,0.571,0.571,0.571,2000
2025-12-10,1504,0.5651,0.5771,0.5651,0.568,49926
2025-12-10,1507,0.571,0.571,0.571,0.571,2500
2025-12-10,1511,0.571,0.571,0.5651,0.5651,10200
2025-12-10,1512,0.571,0.571,0.571,0.571,1510
2025-12-10,1515,0.5651,0.5651,0.5651,0.5651,129
2025-12-10,1516,0.576,0.577,0.5651,0.577,3600
2025-12-10,1517,0.5651,0.571,0.565,0.565,16932
2025-12-10,1518,0.5651,0.577,0.565,0.565,20480
2025-12-10,1519,0.5651,0.5651,0.565,0.565,18717
2025-12-10,1520,0.5651,0.5651,0.565,0.5651,12921
2025-12-10,1521,0.565,0.571,0.565,0.571,3701
2025-12-10,1522,0.577,0.577,0.5651,0.5651,2634
2025-12-10,1532,0.577,0.577,0.577,0.577,1068
2025-12-10,1533,0.568,0.568,0.568,0.568,150
