date,time,open,high,low,close,volume
2025-12-10,1900,0.0783,0.0795,0.0783,0.079,80143
2025-12-10,1901,0.079,0.0794,0.0772,0.0772,21030
2025-12-10,1902,0.0786,0.0788,0.0772,0.078,30884
2025-12-10,1903,0.0777,0.0788,0.0777,0.0788,33247
2025-12-10,1904,0.0777,0.0788,0.0764,0.0787,43734
2025-12-10,1905,0.0766,0.0786,0.0766,0.0786,18386
2025-12-10,1906,0.0785,0.0786,0.0784,0.0784,14316
2025-12-10,1907,0.0784,0.0784,0.0767,0.078,18048
2025-12-10,1908,0.0769,0.078,0.0769,0.077,119615
2025-12-10,1909,0.077,0.0771,0.077,0.077,11681
2025-12-10,1910,0.0776,0.0786,0.0776,0.0785,17291
2025-12-10,1911,0.078,0.0785,0.078,0.0783,16706
2025-12-10,1912,0.0783,0.0786,0.0783,0.0785,16065
2025-12-10,1913,0.0786,0.0786,0.0785,0.0786,35181
2025-12-10,1914,0.0785,0.0785,0.0784,0.0785,48387
2025-12-10,1915,0.0785,0.0785,0.0784,0.0785,13001
2025-12-10,1916,0.0784,0.0785,0.0784,0.0785,8587
2025-12-10,1917,0.0785,0.0785,0.078,0.0783,46800
2025-12-10,1918,0.0783,0.0783,0.076,0.076,39420
2025-12-10,1919,0.0764,0.0783,0.076,0.076,119625
2025-12-10,1920,0.078,0.078,0.078,0.078,4216
2025-12-10,1921,0.0779,0.0779,0.0775,0.0776,15736
2025-12-10,1922,0.0775,0.0776,0.076,0.076,28621
2025-12-10,1923,0.0771,0.0776,0.0771,0.0776,15185
2025-12-10,1924,0.0776,0.0782,0.0774,0.0782,109168
2025-12-10,1925,0.0783,0.0786,0.0783,0.0786,73062
2025-12-10,1926,0.0786,0.0794,0.0786,0.0788,60372
2025-12-10,1927,0.079,0.0795,0.0783,0.079,27653
2025-12-10,1928,0.0789,0.079,0.0769,0.0789,23391
2025-12-10,1929,0.0789,0.0789,0.0788,0.0788,17604
2025-12-10,1930,0.0788,0.0789,0.0776,0.0788,62155
2025-12-10,1931,0.0789,0.0794,0.0783,0.0789,42404
2025-12-10,1932,0.0784,0.0784,0.0784,0.0784,5313
2025-12-10,1933,0.0783,0.0789,0.0783,0.0789,15952
2025-12-10,1934,0.0783,0.0788,0.0783,0.0788,23109
2025-12-10,1935,0.0788,0.0789,0.0788,0.0789,14287
2025-12-10,1936,0.0788,0.0788,0.0787,0.0788,4185
2025-12-10,1937,0.0788,0.0789,0.0787,0.0789,26962
2025-12-10,1938,0.0789,0.0789,0.0789,0.0789,4621
2025-12-10,1939,0.0789,0.0794,0.0789,0.0794,34075
2025-12-10,1940,0.079,0.0794,0.0789,0.0794,14871
2025-12-10,1941,0.0794,0.0795,0.0777,0.0789,66252
2025-12-10,1942,0.0794,0.0795,0.0794,0.0794,60472
2025-12-10,1943,0.0795,0.0796,0.0794,0.0796,68227
2025-12-10,1944,0.0795,0.0796,0.0794,0.0794,42817
2025-12-10,1945,0.0795,0.0795,0.0794,0.0794,12535
2025-12-10,1946,0.0795,0.0796,0.0789,0.0794,45729
2025-12-10,1947,0.0794,0.0796,0.079,0.0794,10408
2025-12-10,1948,0.0794,0.0795,0.0794,0.0795,17659
2025-12-10,1949,0.0796,0.0796,0.0795,0.0796,30004
