date,time,open,high,low,close,volume
2025-12-10,1912,0.4066,0.4066,0.4066,0.4066,220
2025-12-10,1916,0.4001,0.4001,0.4001,0.4001,100
2025-12-10,1925,0.4003,0.4003,0.4003,0.4003,220
2025-12-10,1953,0.4005,0.4005,0.4001,0.4001,14750
2025-12-10,1958,0.401,0.401,0.401,0.401,2500
2025-12-11,526,0.403,0.404,0.403,0.404,782
2025-12-11,650,0.4055,0.4055,0.4055,0.4055,2283
2025-12-11,701,0.4055,0.4055,0.4055,0.4055,444
2025-12-11,705,0.4055,0.4055,0.4055,0.4055,1154
2025-12-11,741,0.4055,0.4055,0.4055,0.4055,160
2025-12-11,800,0.4139,0.4139,0.403,0.4139,26645
2025-12-11,820,0.4056,0.4139,0.4056,0.4139,3000
2025-12-11,853,0.405,0.405,0.405,0.405,2828
2025-12-11,854,0.4002,0.4002,0.399,0.399,1490
2025-12-11,921,0.399,0.399,0.399,0.399,4900
2025-12-11,926,0.399,0.4139,0.399,0.4134,2100
2025-12-11,930,0.42,0.42,0.407,0.407,32129
2025-12-11,932,0.406,0.407,0.406,0.407,3161
2025-12-11,933,0.4071,0.4071,0.405,0.407,9570
2025-12-11,936,0.4,0.4001,0.4,0.4001,4500
2025-12-11,937,0.404,0.404,0.404,0.404,840
2025-12-11,939,0.405,0.405,0.405,0.405,1000
2025-12-11,940,0.4086,0.4086,0.4013,0.4023,1430
2025-12-11,942,0.4052,0.4052,0.4052,0.4052,5000
2025-12-11,943,0.4075,0.4098,0.4075,0.4098,1100
2025-12-11,944,0.4098,0.4098,0.4098,0.4098,5000
2025-12-11,945,0.4096,0.4098,0.4075,0.4097,400
2025-12-11,946,0.4053,0.407,0.405,0.407,6329
2025-12-11,949,0.4051,0.4051,0.4019,0.4019,1800
2025-12-11,950,0.4016,0.4016,0.4016,0.4016,193
2025-12-11,951,0.402,0.402,0.402,0.402,325
2025-12-11,954,0.404,0.406,0.404,0.406,7946
2025-12-11,955,0.402,0.404,0.402,0.404,774
2025-12-11,956,0.4024,0.4024,0.4024,0.4024,3200
2025-12-11,959,0.4025,0.4025,0.4024,0.4025,963
2025-12-11,1001,0.4054,0.4054,0.4054,0.4054,100
2025-12-11,1002,0.4031,0.4031,0.4031,0.4031,1000
2025-12-11,1004,0.4035,0.4035,0.4035,0.4035,2006
2025-12-11,1006,0.4004,0.4004,0.4001,0.4001,340
2025-12-11,1010,0.4002,0.4002,0.4002,0.4002,130
2025-12-11,1011,0.4012,0.4012,0.4012,0.4012,300
2025-12-11,1016,0.4021,0.4022,0.4021,0.4022,378
2025-12-11,1017,0.4026,0.4049,0.4026,0.4049,858
2025-12-11,1018,0.405,0.405,0.405,0.405,179
2025-12-11,1019,0.4041,0.405,0.4041,0.405,1350
2025-12-11,1020,0.4096,0.4096,0.4096,0.4096,3000
2025-12-11,1022,0.4053,0.4053,0.4053,0.4053,10000
2025-12-11,1023,0.4074,0.4074,0.4052,0.4052,8947
2025-12-11,1024,0.4052,0.4073,0.4052,0.4073,19439
2025-12-11,1025,0.4075,0.4075,0.4075,0.4075,300
2025-12-11,1026,0.4074,0.4074,0.4074,0.4074,440
2025-12-11,1027,0.408,0.4081,0.408,0.408,12984
2025-12-11,1028,0.4089,0.409,0.4059,0.4059,2560
2025-12-11,1031,0.4075,0.4091,0.4075,0.4085,1326
2025-12-11,1033,0.4058,0.4058,0.4058,0.4058,2501
2025-12-11,1034,0.408,0.408,0.408,0.408,2301
2025-12-11,1038,0.4051,0.4051,0.4051,0.4051,601
2025-12-11,1040,0.4051,0.4051,0.3966,0.4001,28555
2025-12-11,1042,0.4002,0.4002,0.4002,0.4002,6005
2025-12-11,1043,0.4002,0.4003,0.3984,0.3984,2500
2025-12-11,1049,0.4035,0.4035,0.4035,0.4035,106
2025-12-11,1050,0.4008,0.4008,0.4008,0.4008,133
2025-12-11,1052,0.4008,0.4008,0.4008,0.4008,429
2025-12-11,1054,0.4035,0.406,0.4001,0.4001,9163
2025-12-11,1055,0.4001,0.4001,0.3961,0.4,1715
2025-12-11,1056,0.4,0.4005,0.4,0.4005,421
2025-12-11,1057,0.4005,0.4069,0.4,0.4035,5990
2025-12-11,1058,0.4056,0.4061,0.4029,0.4029,7500
2025-12-11,1059,0.405,0.405,0.4048,0.405,2500
2025-12-11,1100,0.4028,0.4028,0.4007,0.4007,902
2025-12-11,1101,0.4047,0.4047,0.4041,0.4047,1200
2025-12-11,1102,0.4048,0.4048,0.4026,0.4026,1111
2025-12-11,1107,0.4005,0.4006,0.4004,0.4004,5400
2025-12-11,1115,0.4004,0.4004,0.4004,0.4004,109
2025-12-11,1116,0.4001,0.4002,0.397,0.4,1720
2025-12-11,1117,0.4003,0.4004,0.4003,0.4004,2460
2025-12-11,1118,0.4026,0.4026,0.4026,0.4026,127
2025-12-11,1121,0.4015,0.4025,0.4015,0.4025,2355
2025-12-11,1134,0.4043,0.4043,0.4043,0.4043,4541
2025-12-11,1135,0.4029,0.4029,0.4029,0.4029,500
2025-12-11,1137,0.4028,0.4028,0.4028,0.4028,222
2025-12-11,1138,0.4018,0.4019,0.4008,0.4008,5185
2025-12-11,1142,0.4028,0.4028,0.4028,0.4028,16382
2025-12-11,1145,0.4028,0.4029,0.4028,0.4029,574
2025-12-11,1146,0.403,0.403,0.403,0.403,2500
2025-12-11,1150,0.4029,0.4029,0.4,0.4025,35740
2025-12-11,1158,0.4013,0.4013,0.4012,0.4012,689
2025-12-11,1207,0.402,0.402,0.402,0.402,1200
2025-12-11,1208,0.402,0.4025,0.402,0.4025,1435
2025-12-11,1212,0.4035,0.4035,0.4035,0.4035,200
2025-12-11,1216,0.4035,0.4035,0.4035,0.4035,5002
2025-12-11,1220,0.4035,0.4035,0.4035,0.4035,144
2025-12-11,1223,0.4047,0.4061,0.4047,0.4061,6847
2025-12-11,1224,0.408,0.408,0.4065,0.408,7497
2025-12-11,1225,0.4077,0.4097,0.4077,0.4097,10000
2025-12-11,1227,0.406,0.406,0.406,0.406,2000
2025-12-11,1228,0.4061,0.4097,0.4061,0.4097,625
2025-12-11,1233,0.4093,0.4093,0.4093,0.4093,100
2025-12-11,1246,0.4089,0.4089,0.4089,0.4089,277
2025-12-11,1249,0.4089,0.4089,0.4089,0.4089,1000
2025-12-11,1252,0.4065,0.4065,0.4042,0.4042,426
2025-12-11,1256,0.4063,0.4063,0.4063,0.4063,2500
2025-12-11,1258,0.4063,0.4063,0.4063,0.4063,250
2025-12-11,1301,0.4089,0.4089,0.4089,0.4089,100
2025-12-11,1305,0.4088,0.4088,0.4088,0.4088,100
2025-12-11,1307,0.4082,0.4087,0.4073,0.4087,1450
2025-12-11,1313,0.4089,0.4089,0.4089,0.4089,100
2025-12-11,1314,0.409,0.409,0.409,0.409,4800
2025-12-11,1317,0.409,0.409,0.409,0.409,100
2025-12-11,1318,0.409,0.41,0.409,0.41,15019
2025-12-11,1319,0.414,0.414,0.414,0.414,600
2025-12-11,1321,0.4122,0.4136,0.4104,0.4136,16600
2025-12-11,1323,0.4104,0.4122,0.4104,0.4122,453
2025-12-11,1324,0.4105,0.4105,0.4105,0.4105,100
2025-12-11,1325,0.4117,0.4117,0.4117,0.4117,100
2025-12-11,1334,0.4111,0.4111,0.4111,0.4111,583
2025-12-11,1338,0.4109,0.4109,0.4107,0.4108,2528
2025-12-11,1339,0.4111,0.4114,0.4095,0.4095,10710
2025-12-11,1340,0.4095,0.4095,0.4095,0.4095,101
2025-12-11,1342,0.4097,0.4097,0.4097,0.4097,120
2025-12-11,1343,0.4103,0.4103,0.4103,0.4103,1255
2025-12-11,1346,0.4108,0.4116,0.4108,0.4115,525
2025-12-11,1347,0.4114,0.4115,0.4114,0.4115,280
2025-12-11,1348,0.4108,0.4115,0.4101,0.4108,2300
2025-12-11,1349,0.4115,0.4115,0.4115,0.4115,233
2025-12-11,1354,0.4114,0.4115,0.4114,0.4115,3736
2025-12-11,1355,0.4128,0.414,0.4117,0.414,5090
2025-12-11,1356,0.4139,0.42,0.4131,0.4187,85335
2025-12-11,1357,0.4187,0.4213,0.4187,0.4213,18866
2025-12-11,1358,0.4204,0.4204,0.4184,0.4199,7053
2025-12-11,1400,0.4184,0.4208,0.4184,0.4208,330
2025-12-11,1401,0.4198,0.42,0.4198,0.42,1300
2025-12-11,1402,0.4198,0.42,0.4164,0.4164,27271
2025-12-11,1404,0.4175,0.4182,0.4164,0.4179,4880
2025-12-11,1405,0.4147,0.4168,0.4115,0.4118,43660
2025-12-11,1406,0.41,0.41,0.41,0.41,2700
2025-12-11,1408,0.4117,0.4117,0.4116,0.4116,2450
2025-12-11,1409,0.4096,0.4145,0.4096,0.4145,12000
2025-12-11,1410,0.4115,0.4115,0.4081,0.4081,10000
2025-12-11,1411,0.4108,0.4108,0.4108,0.4108,1420
2025-12-11,1412,0.4144,0.4145,0.4144,0.4145,2691
2025-12-11,1414,0.4103,0.4106,0.4103,0.4106,2500
2025-12-11,1416,0.4141,0.4141,0.4141,0.4141,100
2025-12-11,1419,0.4106,0.4107,0.41,0.4106,1800
2025-12-11,1422,0.4142,0.4142,0.4142,0.4142,115
2025-12-11,1423,0.4142,0.4146,0.4123,0.4146,2100
2025-12-11,1426,0.4123,0.4123,0.4123,0.4123,169
2025-12-11,1427,0.4107,0.4123,0.4101,0.4123,1500
2025-12-11,1429,0.4123,0.4145,0.4123,0.4145,2000
2025-12-11,1430,0.4139,0.4139,0.4139,0.4139,100
2025-12-11,1432,0.4139,0.4157,0.4122,0.4122,2606
2025-12-11,1434,0.4139,0.4145,0.4139,0.4139,1700
2025-12-11,1436,0.4139,0.4139,0.4139,0.4139,100
2025-12-11,1438,0.4139,0.4157,0.4139,0.4157,18699
2025-12-11,1440,0.4157,0.417,0.4157,0.417,235
2025-12-11,1441,0.4158,0.4158,0.408,0.4101,43518
2025-12-11,1443,0.4105,0.4105,0.4103,0.4103,300
2025-12-11,1445,0.4109,0.4155,0.4109,0.4155,860
2025-12-11,1446,0.4121,0.42,0.41,0.414,37930
2025-12-11,1447,0.4149,0.4208,0.4149,0.4208,40000
2025-12-11,1448,0.4176,0.4181,0.4176,0.4177,15000
2025-12-11,1449,0.4147,0.4177,0.41,0.4102,19500
2025-12-11,1450,0.4104,0.4104,0.4104,0.4104,100
2025-12-11,1452,0.414,0.414,0.414,0.414,600
2025-12-11,1456,0.4138,0.4138,0.4138,0.4138,400
2025-12-11,1500,0.4152,0.4152,0.4152,0.4152,100
2025-12-11,1501,0.4138,0.4138,0.4138,0.4138,100
2025-12-11,1502,0.4138,0.4138,0.4138,0.4138,200
2025-12-11,1503,0.4122,0.4154,0.4122,0.4154,330
2025-12-11,1505,0.4138,0.4138,0.4138,0.4138,100
2025-12-11,1507,0.4121,0.4129,0.4121,0.4129,1544
2025-12-11,1510,0.4102,0.4104,0.4102,0.4104,293
2025-12-11,1511,0.4102,0.4103,0.4102,0.4103,251
2025-12-11,1514,0.4102,0.4102,0.4102,0.4102,112
2025-12-11,1516,0.4115,0.4115,0.4115,0.4115,100
2025-12-11,1517,0.4119,0.4133,0.4115,0.4115,1509
2025-12-11,1518,0.4117,0.4117,0.4055,0.4101,38101
