date,time,open,high,low,close,volume
2025-12-11,515,0.6107,0.6107,0.6107,0.6107,100
2025-12-11,800,0.6028,0.6028,0.6028,0.6028,138
2025-12-11,828,0.63,0.63,0.63,0.63,100
2025-12-11,930,0.6241,0.6241,0.6241,0.6241,227
2025-12-11,953,0.6184,0.6203,0.6184,0.6203,3505
2025-12-11,954,0.6155,0.6155,0.6155,0.6155,912
2025-12-11,1004,0.6227,0.6227,0.6227,0.6227,125
2025-12-11,1006,0.6101,0.6324,0.6101,0.6324,10776
2025-12-11,1008,0.6323,0.6323,0.632,0.632,2100
2025-12-11,1030,0.6195,0.6195,0.6195,0.6195,170
2025-12-11,1055,0.6189,0.6195,0.6176,0.6176,418
2025-12-11,1134,0.6162,0.6162,0.6099,0.61,3756
2025-12-11,1142,0.6131,0.6131,0.6131,0.6131,331
2025-12-11,1155,0.6124,0.6124,0.6124,0.6124,1171
2025-12-11,1202,0.615,0.615,0.615,0.615,559
2025-12-11,1227,0.6179,0.6188,0.6179,0.6188,588
2025-12-11,1237,0.6188,0.6188,0.6157,0.6188,1249
2025-12-11,1238,0.6159,0.6159,0.6159,0.6159,230
2025-12-11,1249,0.6172,0.6172,0.6172,0.6172,1292
2025-12-11,1259,0.6172,0.6186,0.6161,0.6186,3212
2025-12-11,1336,0.6162,0.6188,0.6144,0.6187,5479
2025-12-11,1339,0.6187,0.6188,0.6187,0.6188,400
2025-12-11,1340,0.6188,0.6194,0.6188,0.6194,717
2025-12-11,1345,0.619,0.619,0.619,0.619,100
2025-12-11,1408,0.6178,0.6238,0.6101,0.6185,8993
2025-12-11,1444,0.6224,0.6224,0.6224,0.6224,1160
2025-12-11,1447,0.6169,0.6169,0.6169,0.6169,100
2025-12-11,1450,0.6169,0.6169,0.6169,0.6169,1160
2025-12-11,1500,0.624,0.6279,0.6239,0.6239,2055
2025-12-11,1512,0.6273,0.6273,0.6273,0.6273,227
2025-12-11,1520,0.627,0.627,0.627,0.627,1152
2025-12-11,1521,0.6273,0.6273,0.6273,0.6273,158
2025-12-11,1536,0.6273,0.6303,0.6273,0.6303,4335
2025-12-11,1537,0.6303,0.6303,0.6303,0.6303,500
2025-12-11,1546,0.6281,0.6287,0.6261,0.6287,3349
2025-12-11,1552,0.6309,0.6309,0.6295,0.6295,846
2025-12-11,1555,0.627,0.6273,0.627,0.6273,1665
2025-12-11,1559,0.6261,0.6261,0.6261,0.6261,440
2025-12-11,1600,0.631,0.631,0.631,0.631,342
2025-12-11,1717,0.6309,0.6309,0.6309,0.6309,1000
2025-12-11,1733,0.631,0.631,0.6302,0.631,10668
2025-12-11,1744,0.635,0.635,0.635,0.635,100
2025-12-11,1748,0.6299,0.63,0.6283,0.6299,9000
2025-12-11,1749,0.63,0.63,0.63,0.63,3000
2025-12-11,1750,0.6478,0.6478,0.6477,0.6477,250
2025-12-11,1752,0.6488,0.6621,0.6488,0.6621,2014
2025-12-11,1753,0.662,0.662,0.662,0.662,100
2025-12-11,1803,0.65,0.662,0.6496,0.662,4074
2025-12-11,1804,0.662,0.662,0.662,0.662,200
2025-12-11,1805,0.662,0.6808,0.6521,0.6808,2080
2025-12-11,1820,0.65,0.6665,0.65,0.6665,834
2025-12-11,1823,0.6499,0.6499,0.6499,0.6499,300
2025-12-11,1824,0.65,0.6665,0.65,0.6665,400
2025-12-11,1825,0.65,0.65,0.65,0.65,120
2025-12-11,1827,0.6665,0.68,0.6665,0.68,3405
2025-12-11,1828,0.66,0.84,0.66,0.84,29729
2025-12-11,1829,0.7148,0.75,0.7148,0.75,4530
2025-12-11,1830,0.7114,0.7215,0.7114,0.7215,1620
2025-12-11,1831,0.7,0.7499,0.684,0.7022,6758
2025-12-11,1832,0.7021,0.7022,0.7021,0.7022,822
2025-12-11,1833,0.6811,0.6811,0.68,0.68,1200
2025-12-11,1834,0.68,0.68,0.68,0.68,1143
2025-12-11,1835,0.7135,0.7143,0.7135,0.7143,425
2025-12-11,1836,0.7143,0.83,0.709,0.83,6184
2025-12-11,1837,0.763,0.7652,0.71,0.763,41705
2025-12-11,1838,0.7652,0.8016,0.763,0.7854,48474
2025-12-11,1839,0.7854,0.805,0.7634,0.78,43804
2025-12-11,1840,0.79,0.8,0.78,0.7867,9428
2025-12-11,1841,0.7975,0.8,0.7799,0.788,7042
2025-12-11,1842,0.794,0.7999,0.75,0.75,8643
2025-12-11,1843,0.77,0.7725,0.75,0.76,4787
2025-12-11,1844,0.7501,0.764,0.7501,0.764,1541
2025-12-11,1845,0.764,0.78,0.764,0.7794,9057
2025-12-11,1846,0.77,0.7998,0.7602,0.7702,26873
2025-12-11,1847,0.7898,0.7998,0.76,0.76,4319
2025-12-11,1848,0.76,0.7931,0.76,0.77,6273
2025-12-11,1849,0.7704,0.7752,0.76,0.7752,3060
2025-12-11,1850,0.7907,0.7994,0.7885,0.7994,4039
2025-12-11,1851,0.7985,0.7985,0.783,0.7971,9056
2025-12-11,1852,0.7964,0.797,0.783,0.783,3838
2025-12-11,1853,0.783,0.783,0.7685,0.7685,2021
2025-12-11,1854,0.7685,0.7799,0.7401,0.7458,3884
2025-12-11,1855,0.74,0.8034,0.7296,0.8034,22351
2025-12-11,1856,0.8033,0.8033,0.7425,0.7958,760
2025-12-11,1857,0.795,0.795,0.78,0.789,14925
2025-12-11,1858,0.789,0.789,0.752,0.76,9010
2025-12-11,1859,0.76,0.7992,0.7599,0.7985,5585
2025-12-11,1900,0.7985,0.7985,0.7745,0.7901,1753
