date,time,open,high,low,close,volume
2025-12-12,930,3.89,3.89,3.89,3.89,157
2025-12-12,947,4.03,4.03,4.03,4.03,100
2025-12-12,1044,4.132,4.132,4.132,4.132,180
2025-12-12,1045,4.0748,4.0748,4.0748,4.0748,451
2025-12-12,1121,4.0186,4.0186,4.0186,4.0186,400
2025-12-12,1124,3.91,3.92,3.86,3.86,1507
2025-12-12,1136,3.9219,3.9219,3.9219,3.9219,250
2025-12-12,1156,3.905,3.905,3.905,3.905,199
2025-12-12,1222,3.905,3.905,3.9044,3.9044,200
2025-12-12,1224,3.9183,3.9183,3.9183,3.9183,252
2025-12-12,1231,3.936,3.936,3.936,3.936,250
2025-12-12,1246,3.925,3.925,3.9001,3.9001,450
2025-12-12,1257,3.9,3.9,3.9,3.9,100
2025-12-12,1258,3.9065,3.91,3.9065,3.91,286
2025-12-12,1308,3.92,3.92,3.92,3.92,410
2025-12-12,1354,3.9,3.9,3.9,3.9,166
2025-12-12,1356,3.9074,3.9074,3.9074,3.9074,113
2025-12-12,1357,3.9113,3.917,3.9077,3.9148,504
2025-12-12,1358,3.92,3.935,3.92,3.935,700
2025-12-12,1359,3.945,3.945,3.93,3.93,704
2025-12-12,1400,3.9,3.9,3.9,3.9,142
2025-12-12,1405,3.93,3.93,3.93,3.93,200
2025-12-12,1410,3.93,3.94,3.93,3.94,900
2025-12-12,1443,3.9,3.9,3.86,3.86,1077
2025-12-12,1524,3.87,3.87,3.87,3.87,100
2025-12-12,1553,3.915,3.915,3.915,3.915,4052
2025-12-12,1555,3.92,3.92,3.92,3.92,106
2025-12-12,1559,3.87,3.93,3.87,3.92,755
2025-12-12,1600,3.87,3.87,3.87,3.87,352
2025-12-15,946,4.05,4.05,4.05,4.05,165
2025-12-15,948,3.9,3.9,3.9,3.9,100
2025-12-15,1017,4.0006,4.0006,4.0006,4.0006,230
2025-12-15,1125,3.92,3.92,3.92,3.92,500
2025-12-15,1128,3.9175,3.9175,3.9175,3.9175,100
2025-12-15,1139,3.9,3.9,3.9,3.9,500
2025-12-15,1145,3.91,3.91,3.91,3.91,200
2025-12-15,1146,3.91,3.92,3.91,3.92,302
2025-12-15,1147,3.92,3.92,3.92,3.92,100
2025-12-15,1215,3.91,3.92,3.9,3.92,650
2025-12-15,1241,3.9267,3.9267,3.9267,3.9267,200
2025-12-15,1315,3.91,3.91,3.91,3.91,104
2025-12-15,1517,3.8691,3.8691,3.86,3.86,1273
2025-12-15,1545,3.87,3.87,3.86,3.86,1013
2025-12-15,1546,3.86,3.86,3.86,3.86,593
2025-12-15,1559,3.91,3.91,3.91,3.91,573
