date,time,open,high,low,close,volume
2025-12-11,1924,6.557,6.563,6.538,6.538,258
2025-12-11,1926,6.538,6.7,6.53,6.7,465
2025-12-12,602,6.595,6.595,6.595,6.595,20
2025-12-12,606,6.595,6.595,6.595,6.595,40
2025-12-12,800,6.595,6.595,6.383,6.5,484
2025-12-12,802,6.502,6.502,6.502,6.502,79
2025-12-12,808,6.507,6.507,6.507,6.507,4
2025-12-12,834,6.595,6.595,6.595,6.595,6
2025-12-12,844,6.595,6.595,6.595,6.595,26
2025-12-12,845,6.788,6.8,6.775,6.775,60
2025-12-12,846,6.765,6.8,6.765,6.8,135
2025-12-12,851,6.667,6.667,6.667,6.667,80
2025-12-12,903,6.8,6.8,6.783,6.785,174
2025-12-12,920,6.695,6.695,6.695,6.695,56
2025-12-12,923,6.693,6.693,6.693,6.693,9
2025-12-12,930,6.893,6.998,6.893,6.915,196
2025-12-12,931,6.945,6.983,6.945,6.983,23
2025-12-12,932,6.945,6.945,6.903,6.903,20
2025-12-12,935,6.903,7.0,6.903,7.0,117
2025-12-12,936,6.995,6.995,6.995,6.995,4
2025-12-12,937,6.945,6.945,6.945,6.945,62
2025-12-12,938,6.895,6.913,6.888,6.888,191
2025-12-12,939,6.72,6.72,6.72,6.72,200
2025-12-12,940,6.748,6.748,6.748,6.748,140
2025-12-12,942,6.822,6.822,6.822,6.822,8
2025-12-12,947,6.875,6.875,6.822,6.822,33
2025-12-12,949,6.825,6.825,6.825,6.825,16
2025-12-12,950,6.893,6.922,6.878,6.922,57
2025-12-12,951,6.925,6.925,6.925,6.925,4
2025-12-12,956,6.845,6.845,6.822,6.822,124
2025-12-12,957,6.77,6.79,6.77,6.79,31
2025-12-12,1001,6.763,6.763,6.76,6.76,48
2025-12-12,1002,6.75,6.75,6.735,6.735,30
2025-12-12,1003,6.72,6.72,6.658,6.682,1171
2025-12-12,1004,6.658,6.658,6.557,6.57,132
2025-12-12,1005,6.592,6.61,6.592,6.592,38
2025-12-12,1007,6.64,6.658,6.64,6.658,260
2025-12-12,1008,6.578,6.578,6.578,6.578,9
2025-12-12,1009,6.613,6.618,6.575,6.605,344
2025-12-12,1010,6.607,6.68,6.583,6.67,180
2025-12-12,1011,6.603,6.67,6.603,6.67,408
2025-12-12,1012,6.638,6.667,6.638,6.638,59
2025-12-12,1013,6.638,6.638,6.603,6.603,230
2025-12-12,1014,6.6,6.693,6.6,6.693,80
2025-12-12,1015,6.638,6.748,6.638,6.748,203
2025-12-12,1017,6.583,6.583,6.583,6.583,120
2025-12-12,1018,6.685,6.685,6.685,6.685,120
2025-12-12,1019,6.688,6.75,6.688,6.725,596
2025-12-12,1020,6.732,6.75,6.732,6.75,123
2025-12-12,1021,6.748,6.748,6.748,6.748,190
2025-12-12,1022,6.728,6.75,6.728,6.75,344
2025-12-12,1025,6.705,6.728,6.665,6.71,464
2025-12-12,1028,6.665,6.665,6.665,6.665,10
2025-12-12,1030,6.623,6.665,6.583,6.583,43
2025-12-12,1032,6.658,6.658,6.658,6.658,20
2025-12-12,1033,6.613,6.658,6.568,6.598,840
2025-12-12,1034,6.625,6.625,6.575,6.575,44
2025-12-12,1036,6.598,6.598,6.575,6.595,23
2025-12-12,1037,6.598,6.598,6.598,6.598,9
2025-12-12,1038,6.585,6.603,6.575,6.603,48
2025-12-12,1039,6.63,6.655,6.605,6.605,1430
2025-12-12,1040,6.605,6.605,6.605,6.605,12
2025-12-12,1041,6.595,6.603,6.575,6.575,116
2025-12-12,1044,6.575,6.575,6.568,6.568,64
2025-12-12,1047,6.565,6.578,6.565,6.578,201
2025-12-12,1048,6.58,6.583,6.58,6.583,20
2025-12-12,1051,6.61,6.65,6.61,6.65,20
2025-12-12,1059,6.56,6.603,6.555,6.555,40
2025-12-12,1101,6.578,6.578,6.57,6.57,28
2025-12-12,1102,6.592,6.592,6.592,6.592,8
2025-12-12,1105,6.595,6.595,6.595,6.595,20
2025-12-12,1106,6.595,6.595,6.595,6.595,20
2025-12-12,1107,6.595,6.595,6.578,6.592,92
2025-12-12,1109,6.578,6.592,6.578,6.592,58
2025-12-12,1110,6.595,6.595,6.595,6.595,6
