date,time,open,high,low,close,volume
2025-12-12,1909,0.8998,0.8998,0.8998,0.8998,400
2025-12-12,1919,0.8992,0.8992,0.8992,0.8992,25000
2025-12-12,1920,0.8997,0.8997,0.8997,0.8997,420
2025-12-12,1924,0.8998,0.8998,0.8997,0.8997,1040
2025-12-12,1936,0.8992,0.8992,0.8992,0.8992,100
2025-12-12,1952,0.8998,0.8998,0.8998,0.8998,3500
2025-12-15,400,0.9009,0.9009,0.9009,0.9009,941
2025-12-15,408,0.9,0.9,0.9,0.9,502
2025-12-15,411,0.9006,0.9006,0.9001,0.9001,400
2025-12-15,417,0.9001,0.9001,0.9001,0.9001,700
2025-12-15,419,0.9001,0.9001,0.9,0.9,521
2025-12-15,444,0.9011,0.905,0.9001,0.905,1000
2025-12-15,445,0.9011,0.905,0.9,0.9005,9800
2025-12-15,446,0.9005,0.9005,0.9005,0.9005,6500
2025-12-15,447,0.9005,0.9005,0.9001,0.9001,6500
2025-12-15,448,0.9,0.9,0.8998,0.8998,1654
2025-12-15,450,0.895,0.8956,0.8949,0.8951,10016
2025-12-15,451,0.8951,0.8951,0.8951,0.8951,904
2025-12-15,506,0.8861,0.8861,0.8861,0.8861,600
2025-12-15,509,0.8905,0.8905,0.8855,0.8855,500
2025-12-15,510,0.8855,0.8855,0.8821,0.8821,848
2025-12-15,515,0.8864,0.8864,0.8864,0.8864,318
2025-12-15,517,0.89,0.89,0.89,0.89,301
2025-12-15,557,0.897,0.897,0.897,0.897,300
2025-12-15,650,0.8971,0.8971,0.897,0.897,404
2025-12-15,659,0.897,0.897,0.897,0.897,214
2025-12-15,700,0.8998,0.8998,0.8998,0.8998,602
2025-12-15,701,0.89,0.8901,0.89,0.89,1400
2025-12-15,702,0.889,0.889,0.889,0.889,600
2025-12-15,704,0.8982,0.8986,0.8982,0.8986,1000
2025-12-15,718,0.898,0.8982,0.898,0.8982,200
2025-12-15,738,0.89,0.89,0.89,0.89,1800
2025-12-15,743,0.897,0.897,0.897,0.897,1000
2025-12-15,748,0.8992,0.8992,0.8992,0.8992,897
2025-12-15,800,0.8948,0.9265,0.888,0.9265,29183
2025-12-15,801,0.897,0.897,0.897,0.897,627
2025-12-15,804,0.9001,0.9001,0.9001,0.9001,218
2025-12-15,813,0.8984,0.9,0.8984,0.9,5341
2025-12-15,816,0.9,0.9,0.9,0.9,5100
2025-12-15,817,0.9,0.9,0.9,0.9,14665
2025-12-15,823,0.9,0.9,0.9,0.9,649
2025-12-15,825,0.9001,0.9001,0.881,0.881,5162
2025-12-15,829,0.8997,0.8997,0.8997,0.8997,351
2025-12-15,830,0.89,0.89,0.89,0.89,200
2025-12-15,836,0.882,0.882,0.882,0.882,117
2025-12-15,841,0.882,0.882,0.881,0.881,500
2025-12-15,842,0.881,0.881,0.881,0.881,142
2025-12-15,844,0.881,0.881,0.881,0.881,150
2025-12-15,847,0.881,0.881,0.881,0.881,1100
2025-12-15,850,0.8899,0.8899,0.8899,0.8899,515
2025-12-15,851,0.881,0.881,0.881,0.881,150
2025-12-15,855,0.881,0.881,0.881,0.881,202
2025-12-15,858,0.881,0.881,0.881,0.881,101
2025-12-15,904,0.8887,0.8887,0.8887,0.8887,100
2025-12-15,907,0.89,0.89,0.89,0.89,250
2025-12-15,908,0.8885,0.8885,0.8879,0.8879,350
2025-12-15,916,0.8846,0.8846,0.8846,0.8846,170
2025-12-15,917,0.8847,0.8847,0.8847,0.8847,572
2025-12-15,918,0.8847,0.8847,0.8846,0.8846,365
2025-12-15,927,0.8886,0.8886,0.8886,0.8886,630
2025-12-15,930,0.885,0.89,0.885,0.8893,46239
2025-12-15,931,0.8893,0.8981,0.8893,0.8981,11868
2025-12-15,932,0.8885,0.898,0.8885,0.893,3566
2025-12-15,933,0.893,0.893,0.87,0.8701,69998
2025-12-15,934,0.8701,0.8809,0.868,0.8702,124379
2025-12-15,935,0.8701,0.875,0.87,0.8743,3420
2025-12-15,936,0.87,0.8732,0.8628,0.8691,10651
2025-12-15,937,0.8691,0.8799,0.8663,0.8726,23678
2025-12-15,938,0.8797,0.8797,0.871,0.871,6376
2025-12-15,939,0.8791,0.8791,0.8682,0.8682,8571
2025-12-15,940,0.8691,0.8771,0.8691,0.8699,5952
2025-12-15,941,0.8701,0.8701,0.8602,0.8623,44017
2025-12-15,942,0.8624,0.863,0.8601,0.8603,18287
2025-12-15,943,0.8645,0.8645,0.8601,0.8633,16616
2025-12-15,944,0.8625,0.8625,0.8623,0.8623,1930
2025-12-15,945,0.8623,0.8637,0.8513,0.8513,47809
2025-12-15,946,0.8513,0.8516,0.8302,0.8302,174003
2025-12-15,947,0.83,0.8361,0.83,0.8347,67956
2025-12-15,948,0.8343,0.8348,0.8324,0.8348,10114
2025-12-15,949,0.8339,0.8347,0.83,0.83,74872
2025-12-15,950,0.8304,0.8327,0.83,0.8306,15688
2025-12-15,951,0.8307,0.8307,0.828,0.828,30645
2025-12-15,952,0.828,0.8299,0.8247,0.8281,65330
2025-12-15,953,0.8282,0.8324,0.826,0.8315,8648
2025-12-15,954,0.833,0.833,0.8302,0.8307,26185
2025-12-15,955,0.8308,0.836,0.8308,0.836,88976
2025-12-15,956,0.8364,0.8375,0.8364,0.8375,6343
2025-12-15,957,0.8364,0.8369,0.835,0.8355,46030
2025-12-15,958,0.8351,0.8351,0.8307,0.8312,99414
2025-12-15,959,0.8312,0.8322,0.8303,0.8322,11803
2025-12-15,1000,0.8319,0.8319,0.8288,0.83,15260
2025-12-15,1001,0.8288,0.831,0.8287,0.8292,2391
2025-12-15,1002,0.8302,0.8316,0.83,0.83,49341
2025-12-15,1003,0.8302,0.8312,0.8285,0.8285,5783
2025-12-15,1004,0.8285,0.8311,0.8285,0.8298,24296
2025-12-15,1005,0.8298,0.8397,0.8251,0.8255,170181
2025-12-15,1006,0.826,0.826,0.816,0.8248,73296
2025-12-15,1007,0.8258,0.8258,0.8152,0.8187,56895
2025-12-15,1008,0.8181,0.8187,0.818,0.8184,22285
2025-12-15,1009,0.8177,0.8185,0.8175,0.8179,19716
2025-12-15,1010,0.8175,0.8175,0.8086,0.8086,70079
2025-12-15,1011,0.8087,0.8087,0.8086,0.8086,14477
2025-12-15,1012,0.8087,0.8087,0.8086,0.8087,19229
2025-12-15,1013,0.8087,0.8087,0.8086,0.8087,174701
2025-12-15,1014,0.8086,0.8086,0.8032,0.8032,160212
2025-12-15,1050,0.7792,0.8005,0.61,0.61,1631887
2025-12-15,1051,0.61,0.61,0.61,0.61,9275
2025-12-15,1101,0.33,0.4,0.33,0.4,1144393
2025-12-15,1106,0.391,0.45,0.39,0.4175,1129872
2025-12-15,1107,0.4156,0.4298,0.3851,0.4288,983868
2025-12-15,1108,0.4271,0.49,0.4246,0.467,1068221
2025-12-15,1109,0.4671,0.5,0.467,0.4767,673783
2025-12-15,1110,0.4793,0.48,0.4372,0.4385,792377
2025-12-15,1111,0.4398,0.47,0.4383,0.4552,561916
2025-12-15,1112,0.4529,0.4545,0.4342,0.4429,463127
2025-12-15,1113,0.44,0.443,0.4298,0.4299,285756
2025-12-15,1114,0.4299,0.4299,0.4129,0.414,320210
2025-12-15,1115,0.414,0.4278,0.4132,0.4278,472768
2025-12-15,1116,0.4262,0.4262,0.41,0.4101,368795
2025-12-15,1117,0.41,0.4321,0.41,0.4306,407916
2025-12-15,1118,0.4309,0.4482,0.4306,0.4479,704278
2025-12-15,1119,0.4479,0.4659,0.4403,0.4659,329789
2025-12-15,1120,0.4659,0.48,0.4609,0.47,444210
2025-12-15,1121,0.4697,0.4788,0.4674,0.4745,298366
2025-12-15,1122,0.4746,0.49,0.47,0.49,490482
2025-12-15,1123,0.4872,0.49,0.46,0.4665,380780
2025-12-15,1124,0.4665,0.47,0.4568,0.4568,209360
2025-12-15,1125,0.4568,0.4569,0.4482,0.4483,295831
2025-12-15,1126,0.4483,0.45,0.4326,0.4478,347023
2025-12-15,1127,0.4462,0.4524,0.4402,0.4524,276581
2025-12-15,1128,0.4525,0.4565,0.415,0.4192,1012454
2025-12-15,1129,0.4217,0.4266,0.3864,0.3864,818346
2025-12-15,1130,0.3851,0.4026,0.3851,0.3987,430286
2025-12-15,1131,0.3989,0.4092,0.398,0.3985,415146
2025-12-15,1132,0.3985,0.3986,0.3959,0.3959,347563
2025-12-15,1133,0.3959,0.3959,0.386,0.3861,335617
2025-12-15,1134,0.386,0.3861,0.3744,0.3845,636305
2025-12-15,1135,0.3832,0.3921,0.37,0.3716,778338
2025-12-15,1136,0.3709,0.371,0.3676,0.3676,154464
2025-12-15,1137,0.3676,0.3681,0.3554,0.357,662381
2025-12-15,1138,0.3571,0.36,0.3409,0.3501,849772
2025-12-15,1139,0.3501,0.3554,0.324,0.3306,1449400
2025-12-15,1140,0.3307,0.3307,0.3224,0.325,585650
2025-12-15,1141,0.3259,0.3336,0.321,0.321,498731
2025-12-15,1142,0.321,0.3248,0.312,0.3178,528740
2025-12-15,1143,0.3178,0.3265,0.3175,0.3254,338021
2025-12-15,1144,0.3254,0.3278,0.3105,0.3109,476807
2025-12-15,1145,0.3102,0.3172,0.31,0.3142,440508
2025-12-15,1146,0.3143,0.3175,0.313,0.3151,373690
