date,time,open,high,low,close,volume
2025-12-12,1908,1.148,1.148,1.148,1.148,100
2025-12-12,1913,1.148,1.148,1.148,1.148,2000
2025-12-12,1921,1.148,1.148,1.148,1.148,200
2025-12-12,1924,1.147,1.148,1.147,1.148,187
2025-12-15,401,1.182,1.182,1.1,1.1,100
2025-12-15,438,1.16,1.16,1.16,1.16,10
2025-12-15,530,1.209,1.209,1.209,1.209,12
2025-12-15,709,1.209,1.209,1.209,1.209,267
2025-12-15,710,1.18,1.18,1.18,1.18,250
2025-12-15,744,1.17,1.17,1.148,1.148,54
2025-12-15,755,1.15,1.15,1.148,1.148,145
2025-12-15,800,1.17,1.17,1.17,1.17,138
2025-12-15,803,1.148,1.148,1.148,1.148,17
2025-12-15,806,1.147,1.147,1.147,1.147,464
2025-12-15,807,1.19,1.2,1.19,1.198,121
2025-12-15,819,1.125,1.125,1.125,1.125,309
2025-12-15,832,1.148,1.148,1.148,1.148,30
2025-12-15,835,1.148,1.148,1.148,1.148,300
2025-12-15,836,1.11,1.11,1.11,1.11,50
2025-12-15,840,1.11,1.11,1.11,1.11,2501
2025-12-15,842,1.111,1.111,1.111,1.111,63
2025-12-15,845,1.134,1.134,1.134,1.134,18
2025-12-15,852,1.133,1.156,1.133,1.156,499
2025-12-15,854,1.179,1.179,1.179,1.179,15
2025-12-15,855,1.202,1.202,1.202,1.202,18
2025-12-15,857,1.202,1.202,1.202,1.202,890
2025-12-15,903,1.198,1.198,1.198,1.198,31
2025-12-15,930,1.148,1.192,1.148,1.192,5372
2025-12-15,933,1.179,1.199,1.179,1.199,148
2025-12-15,934,1.18,1.18,1.18,1.18,54
2025-12-15,935,1.193,1.193,1.193,1.193,11
2025-12-15,936,1.199,1.199,1.179,1.179,101
2025-12-15,937,1.18,1.18,1.18,1.18,10
2025-12-15,938,1.168,1.18,1.168,1.18,50
2025-12-15,939,1.18,1.18,1.171,1.171,874
2025-12-15,940,1.171,1.171,1.155,1.163,16988
2025-12-15,941,1.167,1.167,1.161,1.161,290
2025-12-15,942,1.155,1.155,1.155,1.155,25
2025-12-15,943,1.168,1.168,1.168,1.168,1100
2025-12-15,944,1.162,1.183,1.162,1.17,10041
2025-12-15,945,1.17,1.183,1.17,1.17,562
2025-12-15,947,1.16,1.16,1.16,1.16,46
2025-12-15,948,1.156,1.165,1.149,1.149,151
2025-12-15,949,1.163,1.163,1.163,1.163,201
2025-12-15,950,1.148,1.148,1.129,1.129,2368
2025-12-15,955,1.126,1.126,1.126,1.126,123
2025-12-15,956,1.126,1.126,1.123,1.123,1280
2025-12-15,957,1.124,1.124,1.124,1.124,201
2025-12-15,958,1.125,1.13,1.123,1.123,2180
2025-12-15,1000,1.138,1.138,1.128,1.128,490
2025-12-15,1002,1.125,1.125,1.106,1.116,816
2025-12-15,1003,1.106,1.106,1.064,1.079,5370
2025-12-15,1004,1.077,1.089,1.077,1.089,109
2025-12-15,1005,1.066,1.077,1.061,1.061,10579
2025-12-15,1006,1.061,1.062,1.06,1.06,2206
