date,time,open,high,low,close,volume
2025-12-17,800,0.9706,0.9706,0.9706,0.9706,100
2025-12-17,834,0.9706,0.9706,0.9706,0.9706,103
2025-12-17,836,0.9509,0.9509,0.9509,0.9509,597
2025-12-17,925,0.9704,0.9707,0.9704,0.9707,368
2025-12-17,928,0.9706,0.9707,0.9706,0.9707,503
2025-12-17,930,1.01,1.01,1.01,1.01,7600
2025-12-17,935,1.0499,1.0499,1.0499,1.0499,200
2025-12-17,938,1.0198,1.0198,1.0198,1.0198,2000
2025-12-17,942,1.015,1.015,1.015,1.015,2080
2025-12-17,944,1.01,1.01,1.01,1.01,2080
2025-12-17,945,0.99,0.99,0.99,0.99,200
2025-12-17,956,0.9901,0.9901,0.9901,0.9901,1000
2025-12-17,1004,1.04,1.04,1.04,1.04,379
2025-12-17,1005,1.02,1.0405,1.02,1.0405,1207
2025-12-17,1008,1.0187,1.0187,1.0187,1.0187,250
2025-12-17,1016,1.0,1.0,0.92,0.92,30100
2025-12-17,1020,0.9759,0.9759,0.9759,0.9759,1000
2025-12-17,1023,0.9683,0.9683,0.9683,0.9683,2000
2025-12-17,1034,0.9609,0.9609,0.9609,0.9609,101
2025-12-17,1035,0.9608,0.9608,0.9608,0.9608,200
2025-12-17,1036,0.95,0.95,0.95,0.95,150
2025-12-17,1037,0.9637,0.9637,0.9637,0.9637,5000
2025-12-17,1038,0.9899,0.9899,0.9726,0.9726,839
2025-12-17,1040,0.9501,0.97,0.95,0.97,905
2025-12-17,1046,0.97,0.97,0.97,0.97,100
2025-12-17,1100,0.9522,0.9522,0.9522,0.9522,100
2025-12-17,1104,0.9502,0.9502,0.9502,0.9502,200
2025-12-17,1114,0.973,0.973,0.973,0.973,1000
2025-12-17,1117,0.97,0.97,0.97,0.97,300
2025-12-17,1125,0.97,0.97,0.97,0.97,7000
2025-12-17,1128,0.97,0.97,0.9552,0.9552,4950
2025-12-17,1148,0.9502,0.9502,0.92,0.92,4128
2025-12-17,1149,0.9165,0.9165,0.9165,0.9165,307
2025-12-17,1159,0.9259,0.9259,0.9259,0.9259,3000
2025-12-17,1202,0.926,0.926,0.926,0.926,250
2025-12-17,1209,0.9259,0.9259,0.9259,0.9259,500
2025-12-17,1220,0.9032,0.9146,0.9024,0.9024,9936
2025-12-17,1221,0.9006,0.9006,0.9006,0.9006,100
2025-12-17,1223,0.897,0.9024,0.895,0.9024,1049
2025-12-17,1226,0.9024,0.9024,0.9024,0.9024,1000
2025-12-17,1232,0.8969,0.8969,0.8969,0.8969,200
2025-12-17,1233,0.9024,0.9024,0.9024,0.9024,100
2025-12-17,1241,0.904,0.904,0.904,0.904,550
2025-12-17,1303,0.902,0.902,0.902,0.902,815
2025-12-17,1323,0.891,0.891,0.891,0.891,100
2025-12-17,1332,0.9019,0.9019,0.8965,0.8965,1100
2025-12-17,1344,0.8959,0.8959,0.8959,0.8959,200
2025-12-17,1345,0.8964,0.8965,0.8964,0.8965,4500
2025-12-17,1347,0.8911,0.9032,0.8911,0.9032,9959
2025-12-17,1348,0.9066,0.9083,0.9066,0.9083,500
2025-12-17,1356,0.9005,0.9099,0.9005,0.9099,3000
2025-12-17,1358,0.9039,0.9039,0.9039,0.9039,3000
2025-12-17,1413,0.8911,0.8911,0.8911,0.8911,2000
2025-12-17,1430,0.9005,0.9005,0.9005,0.9005,100
2025-12-17,1447,0.9005,0.9005,0.9005,0.9005,1500
2025-12-17,1503,0.901,0.9055,0.901,0.9054,700
2025-12-17,1514,0.901,0.905,0.9,0.9011,5156
2025-12-17,1515,0.9,0.9,0.9,0.9,277
2025-12-17,1517,0.9,0.9,0.9,0.9,1542
2025-12-17,1518,0.905,0.905,0.905,0.905,236
2025-12-17,1522,0.9099,0.9099,0.9099,0.9099,2005
2025-12-17,1535,0.8976,0.8976,0.8976,0.8976,100
2025-12-17,1555,0.9095,0.9096,0.9095,0.9096,248
2025-12-17,1557,0.9091,0.9091,0.9091,0.9091,212
2025-12-17,1558,0.9095,0.9095,0.9095,0.9095,141
2025-12-17,1559,0.91,0.91,0.9099,0.9099,755
2025-12-17,1600,0.926,0.926,0.926,0.926,3430
2025-12-17,1639,0.91,0.91,0.91,0.91,100
2025-12-17,1652,0.92,0.92,0.92,0.92,155
2025-12-17,1704,0.92,0.92,0.92,0.92,262
2025-12-17,1855,0.9384,0.9384,0.9016,0.9016,385
2025-12-18,901,0.97,1.01,0.97,1.01,300
2025-12-18,930,0.93,0.93,0.93,0.93,5213
2025-12-18,938,0.9796,0.9796,0.9796,0.9796,1000
2025-12-18,940,0.948,0.948,0.948,0.948,167
2025-12-18,948,0.969,0.969,0.969,0.969,2000
2025-12-18,952,0.95,0.95,0.9499,0.95,550
2025-12-18,954,0.95,0.9525,0.95,0.9525,206
2025-12-18,955,0.96,0.96,0.96,0.96,100
2025-12-18,959,0.9538,0.9538,0.9538,0.9538,1300
2025-12-18,1014,0.9301,0.9301,0.9301,0.9301,2000
2025-12-18,1016,0.93,0.93,0.93,0.93,2000
2025-12-18,1017,0.9629,0.9629,0.9629,0.9629,3073
2025-12-18,1033,0.9534,0.9534,0.9534,0.9534,500
2025-12-18,1053,0.9473,0.9473,0.9473,0.9473,100
2025-12-18,1058,0.93,0.93,0.93,0.93,1000
2025-12-18,1101,0.9417,0.9417,0.9417,0.9417,100
2025-12-18,1135,0.9329,0.9329,0.9329,0.9329,1735
2025-12-18,1136,0.9335,0.9335,0.9335,0.9335,1001
2025-12-18,1143,0.9336,0.9336,0.9336,0.9336,1000
2025-12-18,1144,0.9444,0.9444,0.9444,0.9444,226
2025-12-18,1203,0.95,0.95,0.95,0.95,100
2025-12-18,1216,0.9365,0.94,0.9365,0.9396,1954
2025-12-18,1233,0.93,0.93,0.93,0.93,102
2025-12-18,1242,0.9301,0.9411,0.926,0.9411,1527
2025-12-18,1310,0.926,0.926,0.926,0.926,536
2025-12-18,1329,0.93,0.9368,0.9198,0.9368,6007
2025-12-18,1330,0.9198,0.9198,0.9198,0.9198,100
2025-12-18,1517,0.9284,0.9284,0.9284,0.9284,1000
2025-12-18,1544,0.93,0.93,0.93,0.93,216
2025-12-18,1558,0.9378,0.9378,0.9378,0.9378,210
2025-12-18,1559,0.9258,0.9273,0.9257,0.9273,2448
2025-12-18,1600,0.9387,0.9387,0.9387,0.9387,403
2025-12-18,1640,0.9196,0.9196,0.9196,0.9196,250
2025-12-18,1804,0.938,0.938,0.938,0.938,100
2025-12-19,928,0.96,0.96,0.9597,0.96,915
2025-12-19,930,0.975,0.975,0.9387,0.9387,4884
2025-12-19,934,0.9387,0.9387,0.9387,0.9387,1702
2025-12-19,943,0.9387,0.9459,0.9387,0.9459,533
