date,time,open,high,low,close,volume
2025-12-17,1900,9.6,9.77,9.54,9.54,683
2025-12-17,1901,9.53,9.53,9.53,9.53,189
2025-12-17,1903,9.4,9.4,9.4,9.4,289
2025-12-17,1904,9.4,9.4007,9.3999,9.4007,936
2025-12-17,1905,9.4,9.4061,9.4,9.4,1043
2025-12-17,1908,9.41,9.41,9.41,9.41,1231
2025-12-17,1911,9.41,9.41,9.41,9.41,337
2025-12-17,1914,9.42,9.42,9.42,9.42,198
2025-12-17,1916,9.42,9.42,9.42,9.42,339
2025-12-17,1917,9.42,9.42,9.42,9.42,1069
2025-12-17,1920,9.41,9.41,9.41,9.41,334
2025-12-17,1921,9.41,9.41,9.41,9.41,175
2025-12-17,1924,9.42,9.42,9.42,9.42,152
2025-12-17,1925,9.4102,9.42,9.4102,9.4199,1635
2025-12-17,1933,9.46,9.46,9.46,9.46,217
2025-12-17,1940,9.7,9.7,9.7,9.7,700
2025-12-17,1941,9.6,9.6,9.6,9.6,522
2025-12-17,1942,9.75,9.75,9.75,9.75,583
2025-12-17,1947,9.672,9.672,9.6314,9.6314,901
2025-12-17,1948,9.68,9.68,9.62,9.62,1257
2025-12-17,1949,9.62,9.62,9.5,9.501,2740
2025-12-17,1952,9.5,9.5,9.5,9.5,517
2025-12-17,1953,9.5,9.5,9.4,9.5,3256
2025-12-17,1954,9.45,9.45,9.45,9.45,100
2025-12-17,1955,9.45,9.45,9.45,9.45,181
2025-12-17,1958,9.22,9.39,9.22,9.39,2451
2025-12-17,1959,9.3,9.35,9.2216,9.2216,1163
2025-12-18,400,9.0,9.0,8.8,8.8,2664
2025-12-18,401,8.8,8.8,8.76,8.76,1815
2025-12-18,402,8.7,8.7,8.3,8.31,7067
2025-12-18,403,8.5,8.5,8.5,8.5,678
2025-12-18,407,8.97,8.98,8.97,8.98,603
2025-12-18,408,9.0,9.0,8.99,9.0,1756
2025-12-18,409,9.0,9.0,9.0,9.0,1441
2025-12-18,411,8.86,8.86,8.86,8.86,624
2025-12-18,412,8.9,8.9,8.7,8.8,2639
2025-12-18,413,8.62,8.62,8.5,8.5,2672
2025-12-18,414,8.63,8.87,8.52,8.87,1280
2025-12-18,417,9.0,9.0,9.0,9.0,602
2025-12-18,419,8.95,9.0,8.95,9.0,635
2025-12-18,420,8.91,8.91,8.91,8.91,228
2025-12-18,421,8.91,8.92,8.91,8.91,663
2025-12-18,422,8.91,8.91,8.91,8.91,119
2025-12-18,423,9.0,9.0,9.0,9.0,219
2025-12-18,427,9.01,9.01,9.01,9.01,170
2025-12-18,432,9.01,9.01,9.01,9.01,228
2025-12-18,435,8.9,8.9,8.9,8.9,180
2025-12-18,448,8.95,8.95,8.95,8.95,176
2025-12-18,450,8.88,8.88,8.87,8.87,930
2025-12-18,453,8.7,8.7,8.61,8.61,792
2025-12-18,454,8.61,8.61,8.61,8.61,382
2025-12-18,455,8.56,8.6,8.43,8.45,2778
2025-12-18,459,8.5,8.5,8.5,8.5,362
2025-12-18,500,8.59,8.59,8.58,8.59,1227
2025-12-18,509,8.71,8.71,8.71,8.71,372
2025-12-18,515,8.71,8.71,8.71,8.71,441
2025-12-18,517,8.7,8.71,8.7,8.71,838
2025-12-18,518,8.7,8.7,8.69,8.69,307
2025-12-18,519,8.77,8.77,8.77,8.77,131
2025-12-18,520,8.72,8.72,8.72,8.72,266
2025-12-18,524,8.87,8.87,8.87,8.87,509
2025-12-18,525,8.84,8.84,8.84,8.84,168
2025-12-18,534,8.73,8.73,8.71,8.71,538
2025-12-18,535,8.7,8.7,8.64,8.64,881
2025-12-18,540,8.77,8.77,8.75,8.75,646
2025-12-18,557,8.86,8.86,8.85,8.85,829
2025-12-18,612,8.94,8.94,8.94,8.94,240
2025-12-18,613,8.94,8.94,8.93,8.94,667
2025-12-18,614,9.0,9.0,9.0,9.0,759
2025-12-18,616,9.0,9.0,9.0,9.0,749
2025-12-18,621,9.15,9.15,9.15,9.15,637
2025-12-18,622,9.08,9.08,9.08,9.08,330
2025-12-18,634,9.26,9.26,9.26,9.26,213
2025-12-18,636,9.25,9.27,9.18,9.27,1048
2025-12-18,637,9.12,9.12,9.12,9.12,319
2025-12-18,638,9.12,9.12,9.12,9.12,315
2025-12-18,639,9.27,9.27,9.27,9.27,619
2025-12-18,640,9.28,9.28,9.28,9.28,1467
2025-12-18,643,9.27,9.27,9.27,9.27,267
2025-12-18,644,9.47,9.47,9.47,9.47,373
2025-12-18,645,9.4,9.4,9.4,9.4,178
2025-12-18,646,9.46,9.46,9.46,9.46,552
2025-12-18,650,9.62,9.95,9.62,9.63,2750
2025-12-18,651,9.81,9.81,9.81,9.81,333
2025-12-18,655,9.71,9.71,9.71,9.71,524
2025-12-18,656,9.6,9.6,9.6,9.6,719
2025-12-18,701,9.49,9.49,9.48,9.48,565
2025-12-18,702,9.53,9.7,9.53,9.7,591
2025-12-18,703,9.71,9.71,9.71,9.71,558
2025-12-18,704,9.77,9.77,9.77,9.77,214
2025-12-18,706,9.91,9.91,9.91,9.91,397
2025-12-18,708,9.94,9.98,9.94,9.98,1401
2025-12-18,709,10.0,10.03,10.0,10.03,1175
2025-12-18,710,10.08,10.1,10.08,10.09,1310
2025-12-18,711,10.04,10.04,9.98,9.98,1542
2025-12-18,713,9.79,9.79,9.74,9.79,871
2025-12-18,714,9.59,9.59,9.53,9.54,1443
2025-12-18,715,9.75,9.78,9.75,9.78,1366
2025-12-18,716,9.8,9.8,9.79,9.79,1223
2025-12-18,719,9.8,9.8,9.8,9.8,511
2025-12-18,722,9.89,9.89,9.89,9.89,100
2025-12-18,723,9.93,9.93,9.93,9.93,300
2025-12-18,725,9.81,9.81,9.81,9.81,350
2025-12-18,726,9.76,9.76,9.75,9.75,1373
2025-12-18,727,9.74,9.74,9.54,9.54,1512
2025-12-18,728,9.53,9.53,9.49,9.5,3764
2025-12-18,729,9.36,9.36,9.29,9.29,593
2025-12-18,731,9.49,9.5,9.49,9.5,381
2025-12-18,732,9.5,9.5,9.5,9.5,537
2025-12-18,733,9.5,9.5,9.5,9.5,111
2025-12-18,734,9.5,9.5,9.5,9.5,200
2025-12-18,743,9.49,9.5,9.49,9.5,1023
2025-12-18,745,9.55,9.55,9.55,9.55,351
2025-12-18,752,9.83,9.83,9.83,9.83,295
2025-12-18,755,9.71,9.71,9.71,9.71,694
2025-12-18,759,9.76,9.76,9.76,9.76,206
2025-12-18,800,9.51,10.14,8.414,8.88,48367
2025-12-18,801,9.66,9.66,9.66,9.66,624
2025-12-18,802,8.9397,8.9397,8.9397,8.9397,269
2025-12-18,803,9.7292,9.7292,9.62,9.62,3239
2025-12-18,804,9.55,9.5528,9.55,9.5528,1457
2025-12-18,807,9.54,9.54,9.5,9.5,638
2025-12-18,808,9.51,9.51,9.51,9.51,479
2025-12-18,811,9.59,9.59,9.59,9.59,282
2025-12-18,812,9.59,9.59,9.59,9.59,498
2025-12-18,813,9.57,9.57,9.57,9.57,217
2025-12-18,818,9.51,9.51,9.51,9.51,466
2025-12-18,819,9.5,9.5,9.5,9.5,419
2025-12-18,820,9.505,9.51,9.505,9.51,495
2025-12-18,822,9.5,9.5,9.5,9.5,309
2025-12-18,823,9.55,9.55,9.52,9.55,729
2025-12-18,824,9.55,9.55,9.5,9.5,1386
2025-12-18,825,9.5,9.5,9.5,9.5,266
2025-12-18,827,9.335,9.36,9.335,9.34,2308
2025-12-18,828,9.34,9.34,9.34,9.34,2795
2025-12-18,829,9.34,9.34,9.33,9.33,2043
2025-12-18,830,9.34,9.34,9.3001,9.3001,4991
2025-12-18,831,9.3,9.33,9.2704,9.2704,1730
2025-12-18,832,9.27,9.29,9.23,9.25,1914
2025-12-18,833,9.22,9.23,9.22,9.23,881
2025-12-18,834,9.25,9.25,9.25,9.25,171
2025-12-18,836,9.2,9.2,9.18,9.19,863
2025-12-18,838,9.1,9.25,9.1,9.22,915
2025-12-18,839,9.18,9.18,9.12,9.12,580
2025-12-18,840,9.18,9.18,9.18,9.18,427
2025-12-18,841,9.14,9.14,9.14,9.14,897
2025-12-18,842,9.1208,9.1208,9.1208,9.1208,491
2025-12-18,843,9.12,9.12,9.0902,9.0902,2199
2025-12-18,844,9.04,9.04,9.02,9.02,3104
2025-12-18,845,9.0,9.03,8.92,8.9249,2061
2025-12-18,846,9.02,9.04,9.02,9.04,780
2025-12-18,847,9.0,9.0,9.0,9.0,212
2025-12-18,848,9.01,9.15,9.0001,9.15,1601
2025-12-18,849,9.12,9.12,9.12,9.12,752
2025-12-18,850,9.12,9.2,9.12,9.1999,2012
2025-12-18,851,9.42,9.42,9.12,9.12,2647
2025-12-18,852,9.11,9.11,9.05,9.09,828
2025-12-18,853,9.0,9.0,8.97,8.98,2988
2025-12-18,854,8.9704,8.9704,8.92,8.9203,2308
2025-12-18,855,8.93,8.93,8.85,8.85,3156
2025-12-18,856,8.85,8.86,8.85,8.854,542
2025-12-18,857,8.9,8.91,8.81,8.91,4992
2025-12-18,858,8.92,8.92,8.92,8.92,1109
2025-12-18,859,8.92,8.92,8.92,8.92,321
2025-12-18,901,9.01,9.01,9.01,9.01,185
2025-12-18,903,8.95,8.95,8.95,8.95,442
2025-12-18,904,8.95,9.05,8.95,9.05,913
2025-12-18,905,9.02,9.26,9.02,9.26,2271
2025-12-18,906,9.26,9.26,9.2528,9.2528,349
2025-12-18,907,9.2156,9.3,9.2156,9.3,1556
2025-12-18,908,9.31,9.32,9.31,9.319,752
2025-12-18,909,9.32,9.41,9.32,9.41,643
2025-12-18,910,9.6,9.6,9.42,9.42,2895
2025-12-18,911,9.43,9.4301,9.43,9.4301,482
2025-12-18,912,9.4412,9.5,9.42,9.5,1222
2025-12-18,913,9.31,9.48,9.31,9.48,969
2025-12-18,916,9.48,9.48,9.46,9.46,624
2025-12-18,918,9.59,9.59,9.53,9.53,698
2025-12-18,919,9.52,9.52,9.46,9.51,804
2025-12-18,920,9.51,9.53,9.51,9.5299,1139
2025-12-18,922,9.46,9.48,9.46,9.48,487
2025-12-18,923,9.46,9.5,9.45,9.45,951
2025-12-18,925,9.46,9.4692,9.45,9.4692,1249
2025-12-18,926,9.47,9.5,9.46,9.5,1095
2025-12-18,927,9.46,9.46,9.46,9.46,764
2025-12-18,928,9.46,9.46,9.44,9.46,1112
2025-12-18,929,9.44,9.463,9.44,9.463,1118
2025-12-18,930,9.11,9.32,9.01,9.24,16072
