date,time,open,high,low,close,volume
2025-12-17,1940,2.26,2.26,2.26,2.26,200
2025-12-18,817,2.25,2.25,2.25,2.25,300
2025-12-18,825,2.25,2.25,2.25,2.25,420
2025-12-18,832,2.2,2.2,2.2,2.2,279
2025-12-18,930,2.3,2.32,2.27,2.27,3117
2025-12-18,1004,2.28,2.28,2.28,2.28,101
2025-12-18,1005,2.281,2.281,2.28,2.28,2500
2025-12-18,1006,2.27,2.27,2.27,2.27,5000
2025-12-18,1023,2.26,2.26,2.25,2.25,825
2025-12-18,1040,2.26,2.26,2.26,2.26,100
2025-12-18,1041,2.26,2.26,2.25,2.25,203
2025-12-18,1042,2.24,2.24,2.24,2.24,124
2025-12-18,1054,2.2948,2.2948,2.2948,2.2948,250
2025-12-18,1110,2.23,2.23,2.23,2.23,195
2025-12-18,1121,2.24,2.24,2.24,2.24,110
2025-12-18,1129,2.24,2.24,2.24,2.24,150
2025-12-18,1204,2.22,2.22,2.22,2.22,195
2025-12-18,1206,2.22,2.23,2.22,2.23,200
2025-12-18,1215,2.2374,2.2374,2.2374,2.2374,100
2025-12-18,1223,2.23,2.23,2.21,2.21,2188
2025-12-18,1254,2.25,2.25,2.25,2.25,160
2025-12-18,1300,2.218,2.218,2.2,2.218,10747
2025-12-18,1307,2.14,2.14,2.14,2.14,380
2025-12-18,1311,2.17,2.17,2.17,2.17,385
2025-12-18,1312,2.17,2.17,2.17,2.17,100
2025-12-18,1313,2.1748,2.1748,2.16,2.1652,1738
2025-12-18,1318,2.2146,2.2146,2.2146,2.2146,100
2025-12-18,1353,2.215,2.215,2.215,2.215,100
2025-12-18,1402,2.18,2.18,2.18,2.18,100
2025-12-18,1436,2.23,2.23,2.23,2.23,145
2025-12-18,1449,2.185,2.185,2.185,2.185,1419
2025-12-18,1453,2.17,2.17,2.17,2.17,312
2025-12-18,1459,2.13,2.13,2.13,2.13,400
2025-12-18,1504,2.15,2.15,2.15,2.15,311
2025-12-18,1510,2.15,2.15,2.15,2.15,100
2025-12-18,1541,2.18,2.18,2.18,2.18,100
2025-12-18,1545,2.165,2.165,2.165,2.165,464
2025-12-18,1546,2.16,2.16,2.16,2.16,150
2025-12-18,1553,2.165,2.165,2.165,2.165,191
2025-12-18,1559,2.155,2.155,2.155,2.155,400
2025-12-18,1600,2.18,2.18,2.18,2.18,360
2025-12-18,1727,2.15,2.15,2.15,2.15,600
2025-12-18,1759,2.1836,2.1836,2.1836,2.1836,118
2025-12-18,1803,2.1772,2.1772,2.1772,2.1772,100
2025-12-18,1841,2.18,2.18,2.18,2.18,187
2025-12-19,700,2.26,2.26,2.25,2.25,671
2025-12-19,916,2.25,2.25,2.25,2.25,247
2025-12-19,930,2.25,2.25,2.21,2.21,1183
2025-12-19,931,2.2351,2.2351,2.2351,2.2351,2000
2025-12-19,940,2.1901,2.22,2.16,2.22,4208
2025-12-19,952,2.175,2.21,2.175,2.21,2250
2025-12-19,957,2.18,2.18,2.18,2.18,107
2025-12-19,1005,2.1578,2.1578,2.1578,2.1578,424
2025-12-19,1011,2.185,2.185,2.185,2.185,2101
2025-12-19,1023,2.1901,2.1901,2.1901,2.1901,100
2025-12-19,1025,2.19,2.19,2.19,2.19,920
2025-12-19,1033,2.185,2.185,2.185,2.185,301
2025-12-19,1056,2.17,2.17,2.17,2.17,210
2025-12-19,1101,2.17,2.17,2.17,2.17,100
2025-12-19,1115,2.17,2.17,2.17,2.17,350
2025-12-19,1145,2.215,2.215,2.215,2.215,100
2025-12-19,1150,2.2199,2.2199,2.2199,2.2199,299
2025-12-19,1212,2.2,2.2,2.2,2.2,100
2025-12-19,1234,2.19,2.19,2.19,2.19,140
2025-12-19,1236,2.19,2.19,2.19,2.19,354
2025-12-19,1254,2.19,2.1928,2.19,2.1928,1000
2025-12-19,1322,2.22,2.22,2.22,2.22,100
2025-12-19,1420,2.195,2.195,2.195,2.195,1259
2025-12-19,1433,2.18,2.185,2.18,2.185,300
2025-12-19,1448,2.18,2.18,2.18,2.18,100
2025-12-19,1459,2.205,2.205,2.205,2.205,102
2025-12-19,1519,2.2,2.2,2.2,2.2,1050
2025-12-19,1546,2.19,2.19,2.19,2.19,100
2025-12-19,1548,2.1902,2.1902,2.1902,2.1902,1462
2025-12-19,1552,2.21,2.21,2.2,2.2,1845
2025-12-19,1555,2.18,2.18,2.15,2.15,901
2025-12-19,1556,2.16,2.17,2.155,2.155,2662
2025-12-19,1557,2.15,2.17,2.15,2.17,1322
2025-12-19,1558,2.17,2.17,2.16,2.16,396
2025-12-19,1559,2.15,2.16,2.15,2.155,2760
2025-12-19,1600,2.14,2.14,2.14,2.14,7965
2025-12-19,1643,2.14,2.14,2.14,2.14,100
2025-12-19,1728,2.14,2.14,2.14,2.14,547
2025-12-19,1732,2.052,2.052,2.052,2.052,401
2025-12-19,1733,2.04,2.04,2.04,2.04,137
2025-12-19,1735,2.02,2.02,2.02,2.02,276
2025-12-19,1922,2.05,2.05,2.03,2.03,1000
2025-12-22,401,2.14,2.14,2.14,2.14,300
2025-12-22,817,2.15,2.1938,2.15,2.1938,846
2025-12-22,858,2.15,2.15,2.15,2.15,300
2025-12-22,928,2.15,2.15,2.15,2.15,381
2025-12-22,930,2.1409,2.18,2.1409,2.18,699
2025-12-22,934,2.1409,2.1409,2.1409,2.1409,326
2025-12-22,954,2.17,2.17,2.17,2.17,100
2025-12-22,1048,2.18,2.18,2.18,2.18,200
2025-12-22,1113,2.195,2.195,2.195,2.195,172
2025-12-22,1116,2.1827,2.1827,2.1827,2.1827,133
2025-12-22,1118,2.18,2.18,2.18,2.18,130
2025-12-22,1141,2.18,2.18,2.18,2.18,120
2025-12-22,1144,2.184,2.2,2.184,2.2,646
2025-12-22,1205,2.16,2.16,2.16,2.16,180
2025-12-22,1233,2.1716,2.1716,2.1716,2.1716,200
2025-12-22,1422,2.22,2.22,2.22,2.22,1644
2025-12-22,1426,2.22,2.22,2.22,2.22,802
2025-12-22,1437,2.2,2.2,2.2,2.2,1141
2025-12-22,1457,2.2,2.2,2.2,2.2,350
2025-12-22,1458,2.195,2.195,2.195,2.195,100
2025-12-22,1459,2.2,2.2,2.2,2.2,100
2025-12-22,1500,2.2,2.2,2.2,2.2,229
2025-12-22,1514,2.22,2.22,2.22,2.22,116
2025-12-22,1521,2.225,2.225,2.225,2.225,200
2025-12-22,1534,2.2216,2.2216,2.2216,2.2216,2653
2025-12-22,1536,2.23,2.23,2.23,2.23,1000
2025-12-22,1550,2.21,2.21,2.21,2.21,100
2025-12-22,1558,2.23,2.23,2.23,2.23,996
2025-12-22,1600,2.21,2.21,2.21,2.21,873
2025-12-22,1622,2.1815,2.1815,2.1815,2.1815,131
2025-12-22,1742,2.19,2.19,2.19,2.19,200
2025-12-23,800,2.2,2.2,2.2,2.2,553
2025-12-23,930,2.16,2.22,2.16,2.22,5247
2025-12-23,938,2.22,2.22,2.21,2.21,487
2025-12-23,943,2.2481,2.2481,2.2481,2.2481,211
2025-12-23,944,2.25,2.25,2.25,2.25,259
2025-12-23,948,2.22,2.22,2.22,2.22,154
2025-12-23,959,2.2,2.2,2.2,2.2,550
2025-12-23,1002,2.2,2.2,2.19,2.19,702
2025-12-23,1004,2.21,2.21,2.21,2.21,154
2025-12-23,1009,2.21,2.21,2.21,2.21,145
2025-12-23,1011,2.2001,2.24,2.2001,2.24,2190
2025-12-23,1026,2.1732,2.1732,2.1732,2.1732,116
2025-12-23,1131,2.18,2.18,2.18,2.18,100
2025-12-23,1217,2.18,2.18,2.18,2.18,105
2025-12-23,1259,2.15,2.15,2.14,2.14,4244
2025-12-23,1300,2.13,2.13,2.12,2.12,431
2025-12-23,1301,2.1,2.1,2.1,2.1,104
2025-12-23,1303,2.1,2.1,2.1,2.1,952
2025-12-23,1312,2.1,2.1,2.1,2.1,1648
2025-12-23,1321,2.07,2.07,2.07,2.07,201
2025-12-23,1327,2.05,2.05,2.05,2.05,2020
2025-12-23,1330,2.0658,2.0658,2.0658,2.0658,1000
2025-12-23,1338,2.065,2.07,2.065,2.07,591
2025-12-23,1345,2.065,2.065,2.065,2.065,200
2025-12-23,1350,2.06,2.06,2.06,2.06,150
2025-12-23,1356,2.065,2.065,2.065,2.065,2000
2025-12-23,1404,2.07,2.07,2.07,2.07,310
2025-12-23,1426,2.06,2.06,2.05,2.05,2911
2025-12-23,1437,2.03,2.03,2.03,2.03,200
2025-12-23,1439,2.06,2.06,2.06,2.06,488
2025-12-23,1452,2.03,2.03,2.02,2.02,616
2025-12-23,1455,2.0148,2.0148,2.0148,2.0148,138
2025-12-23,1459,2.01,2.01,2.01,2.01,201
2025-12-23,1502,2.0,2.0,2.0,2.0,1586
2025-12-23,1506,1.965,2.0,1.965,2.0,3075
2025-12-23,1508,2.03,2.04,2.03,2.04,5500
2025-12-23,1512,2.015,2.015,2.015,2.015,600
2025-12-23,1520,2.015,2.015,2.015,2.015,150
2025-12-23,1524,2.0327,2.0327,2.0327,2.0327,1089
2025-12-23,1540,2.01,2.01,2.01,2.01,101
2025-12-23,1546,2.02,2.02,2.02,2.02,170
2025-12-23,1554,2.01,2.01,2.01,2.01,1000
2025-12-23,1555,2.02,2.03,2.01,2.01,2373
2025-12-23,1557,2.0,2.0,2.0,2.0,1100
2025-12-23,1600,2.04,2.04,2.04,2.04,728
2025-12-23,1604,2.0,2.0,1.9999,1.9999,800
2025-12-23,1803,1.9984,1.9984,1.9984,1.9984,100
2025-12-24,800,2.03,2.8806,2.03,2.55,41993
2025-12-24,801,2.65,3.14,2.5701,2.91,467183
2025-12-24,802,2.9198,3.01,2.76,2.8497,445796
2025-12-24,803,2.8401,3.09,2.61,3.0101,691238
2025-12-24,804,3.01,3.28,2.89,3.25,640794
2025-12-24,805,3.26,3.27,3.1,3.1199,556206
2025-12-24,806,3.11,3.17,2.97,3.11,528605
2025-12-24,807,3.101,3.101,2.91,3.07,577738
2025-12-24,808,3.0797,3.14,3.02,3.06,347149
2025-12-24,809,3.06,3.07,2.94,2.9403,308036
2025-12-24,810,2.96,3.18,2.9495,3.1005,553059
2025-12-24,811,3.1001,3.11,2.96,3.0,394830
2025-12-24,812,3.0,3.08,2.96,3.04,211103
2025-12-24,813,3.04,3.37,3.04,3.2797,948098
2025-12-24,814,3.28,3.32,3.18,3.23,575078
2025-12-24,815,3.24,3.24,3.11,3.1397,389397
2025-12-24,816,3.1396,3.18,3.09,3.13,266240
2025-12-24,817,3.13,3.2,3.06,3.06,346505
2025-12-24,818,3.07,3.07,2.96,3.0297,442689
2025-12-24,819,3.03,3.04,2.99,3.03,134303
2025-12-24,820,3.0297,3.1,3.0297,3.0899,234011
2025-12-24,821,3.08,3.08,2.9101,2.96,451265
2025-12-24,822,2.96,2.98,2.85,2.86,209510
2025-12-24,823,2.8599,2.86,2.78,2.81,393936
2025-12-24,824,2.81,2.8796,2.81,2.85,211868
2025-12-24,825,2.8598,2.95,2.83,2.9491,240469
2025-12-24,826,2.94,2.95,2.87,2.8908,131637
2025-12-24,827,2.9,2.93,2.85,2.8598,71996
2025-12-24,828,2.8505,2.86,2.8002,2.84,183681
2025-12-24,829,2.84,2.89,2.81,2.88,108697
2025-12-24,830,2.88,2.8905,2.8,2.8195,133959
2025-12-24,831,2.8194,2.82,2.69,2.69,301138
2025-12-24,832,2.6995,2.7,2.66,2.6889,202871
2025-12-24,833,2.69,2.69,2.66,2.66,67584
2025-12-24,834,2.6595,2.6599,2.6,2.6099,172184
2025-12-24,835,2.6,2.61,2.52,2.55,271960
