date,time,open,high,low,close,volume
2025-12-18,913,2.1,2.1,2.1,2.1,500
2025-12-18,927,2.1,2.1,2.06,2.06,338
2025-12-18,930,2.05,2.06,2.05,2.055,1076
2025-12-18,931,2.095,2.095,2.095,2.095,200
2025-12-18,935,2.09,2.09,2.09,2.09,100
2025-12-18,938,2.1,2.11,2.1,2.11,636
2025-12-18,950,2.12,2.12,2.12,2.12,300
2025-12-18,1007,2.11,2.11,2.11,2.11,850
2025-12-18,1027,2.2093,2.2093,2.2093,2.2093,1000
2025-12-18,1145,2.11,2.11,2.11,2.11,796
2025-12-18,1223,2.155,2.155,2.155,2.155,113
2025-12-18,1233,2.2,2.2,2.2,2.2,100
2025-12-18,1234,2.18,2.18,2.18,2.18,100
2025-12-18,1241,2.16,2.16,2.16,2.16,200
2025-12-18,1314,2.18,2.18,2.18,2.18,190
2025-12-18,1317,2.17,2.17,2.17,2.17,325
2025-12-18,1318,2.19,2.19,2.19,2.19,100
2025-12-18,1345,2.17,2.18,2.17,2.18,470
2025-12-18,1407,2.18,2.18,2.18,2.18,100
2025-12-18,1529,2.17,2.17,2.17,2.17,100
2025-12-18,1558,2.135,2.14,2.135,2.14,560
2025-12-18,1559,2.115,2.115,2.11,2.11,455
2025-12-19,930,2.05,2.05,2.05,2.05,711
2025-12-19,939,2.17,2.17,2.17,2.17,982
2025-12-19,959,2.13,2.14,2.11,2.11,2787
2025-12-19,1046,2.09,2.09,2.09,2.09,100
2025-12-19,1049,2.08,2.08,2.08,2.08,100
2025-12-19,1053,2.09,2.09,2.09,2.09,100
2025-12-19,1056,2.1,2.1,2.1,2.1,1020
2025-12-19,1102,2.09,2.09,2.09,2.09,380
2025-12-19,1103,2.1,2.11,2.09,2.09,1689
2025-12-19,1105,2.09,2.09,2.09,2.09,200
2025-12-19,1107,2.0999,2.0999,2.0999,2.0999,101
2025-12-19,1108,2.0976,2.0976,2.0976,2.0976,105
2025-12-19,1120,2.08,2.08,2.08,2.08,100
2025-12-19,1145,2.0999,2.0999,2.0999,2.0999,200
2025-12-19,1201,2.075,2.075,2.05,2.05,316
2025-12-19,1222,2.075,2.075,2.075,2.075,100
2025-12-19,1232,2.05,2.05,2.05,2.05,493
2025-12-19,1235,2.08,2.08,2.08,2.08,245
2025-12-19,1301,2.1,2.1,2.1,2.1,300
2025-12-19,1328,2.0801,2.0801,2.0801,2.0801,200
2025-12-19,1346,2.08,2.08,2.08,2.08,1000
2025-12-19,1408,2.08,2.08,2.08,2.08,207
2025-12-19,1409,2.08,2.08,2.08,2.08,113
2025-12-19,1415,2.07,2.07,2.07,2.07,300
2025-12-19,1426,2.075,2.075,2.075,2.075,4000
2025-12-19,1458,2.08,2.08,2.06,2.06,400
2025-12-19,1507,2.08,2.08,2.08,2.08,103
2025-12-19,1552,2.09,2.09,2.09,2.09,591
2025-12-19,1555,2.075,2.075,2.075,2.075,252
2025-12-19,1559,2.06,2.06,2.04,2.05,2331
2025-12-19,1600,2.03,2.03,2.03,2.03,5489
2025-12-19,1726,2.01,2.01,2.01,2.01,1000
2025-12-22,930,2.0199,2.02,2.0199,2.02,614
2025-12-22,949,2.075,2.075,2.075,2.075,214
2025-12-22,1005,2.0501,2.0501,2.0501,2.0501,1211
2025-12-22,1033,2.075,2.075,2.075,2.075,100
2025-12-22,1036,2.1,2.1,2.09,2.1,702
2025-12-22,1037,2.1,2.1,2.1,2.1,434
2025-12-22,1038,2.1,2.1,2.1,2.1,100
2025-12-22,1046,2.1,2.1,2.1,2.1,349
2025-12-22,1049,2.0999,2.0999,2.0999,2.0999,250
2025-12-22,1059,2.1,2.1,2.1,2.1,500
2025-12-22,1101,2.1,2.11,2.1,2.1,964
2025-12-22,1103,2.1,2.1,2.1,2.1,230
2025-12-22,1105,2.09,2.09,2.09,2.09,240
2025-12-22,1106,2.0874,2.1,2.0874,2.1,900
2025-12-22,1154,2.1,2.1,2.1,2.1,100
2025-12-22,1203,2.085,2.085,2.07,2.07,459
2025-12-22,1211,2.0703,2.0703,2.0703,2.0703,100
2025-12-22,1231,2.1,2.1,2.1,2.1,100
2025-12-22,1232,2.0841,2.0841,2.0841,2.0841,2417
2025-12-22,1300,2.0999,2.105,2.09,2.1,2171
2025-12-22,1301,2.1,2.1,2.1,2.1,300
2025-12-22,1302,2.1,2.1,2.1,2.1,100
2025-12-22,1328,2.1,2.1,2.1,2.1,212
2025-12-22,1332,2.1,2.1,2.1,2.1,100
2025-12-22,1334,2.1,2.1,2.1,2.1,100
2025-12-22,1414,2.1,2.1,2.075,2.075,1500
2025-12-22,1415,2.08,2.09,2.075,2.09,3257
2025-12-22,1432,2.08,2.08,2.08,2.08,1133
2025-12-22,1437,2.08,2.08,2.08,2.08,2500
2025-12-22,1440,2.09,2.09,2.09,2.09,300
2025-12-22,1441,2.08,2.08,2.08,2.08,300
2025-12-22,1510,2.07,2.07,2.07,2.07,100
2025-12-22,1511,2.07,2.07,2.07,2.07,200
2025-12-22,1527,2.08,2.08,2.08,2.08,100
2025-12-22,1538,2.0567,2.0567,2.0567,2.0567,1001
2025-12-22,1555,2.06,2.065,2.06,2.065,1416
2025-12-22,1559,2.04,2.04,2.04,2.04,217
2025-12-22,1600,2.03,2.03,2.03,2.03,378
2025-12-22,1654,2.04,2.04,2.04,2.04,435
2025-12-23,946,2.04,2.04,2.04,2.04,239
2025-12-23,1015,2.04,2.045,2.04,2.045,958
2025-12-23,1025,2.0516,2.0516,2.0516,2.0516,200
2025-12-23,1054,2.0,2.0,1.97,1.97,698
2025-12-23,1113,1.97,1.97,1.97,1.97,189
2025-12-23,1114,1.9663,1.9663,1.9663,1.9663,1200
2025-12-23,1116,1.96,1.96,1.96,1.96,271
2025-12-23,1123,1.97,1.97,1.97,1.97,100
2025-12-23,1145,1.95,1.95,1.95,1.95,835
2025-12-23,1201,1.9235,1.9235,1.9235,1.9235,135
2025-12-23,1205,1.95,1.95,1.95,1.95,216
2025-12-23,1238,1.9249,1.9249,1.9249,1.9249,254
2025-12-23,1317,1.9485,1.9485,1.9485,1.9485,105
2025-12-23,1335,1.9592,1.96,1.9592,1.96,648
2025-12-23,1408,1.971,1.971,1.97,1.9702,401
2025-12-23,1413,1.96,1.96,1.96,1.96,468
2025-12-23,1459,1.95,1.975,1.95,1.975,2998
2025-12-23,1500,1.95,1.95,1.95,1.95,574
2025-12-23,1558,1.975,2.0,1.965,1.965,1555
2025-12-23,1559,1.98,1.98,1.95,1.95,351
2025-12-23,1724,1.94,2.24,1.94,2.12,6295
2025-12-23,1725,2.2993,3.71,2.2993,3.0,85807
2025-12-23,1726,3.0,3.0,2.7,2.97,54727
2025-12-23,1727,2.9,2.93,2.7,2.78,54802
2025-12-23,1728,2.79,2.8,2.54,2.65,76996
2025-12-23,1729,2.66,2.78,2.66,2.7504,59763
2025-12-23,1730,2.75,3.0,2.75,2.97,99427
2025-12-23,1731,2.9602,2.97,2.78,2.8,83230
2025-12-23,1732,2.8,2.98,2.78,2.95,100722
2025-12-23,1733,2.95,3.11,2.9103,2.9103,108387
2025-12-23,1734,2.91,3.0,2.83,2.99,74868
2025-12-23,1735,3.0,3.1,2.99,2.99,60461
2025-12-23,1736,2.99,3.15,2.96,3.1325,82675
2025-12-23,1737,3.13,3.15,3.05,3.14,85337
2025-12-23,1738,3.13,3.15,3.07,3.09,45289
2025-12-23,1739,3.1,3.409,3.09,3.32,144716
2025-12-23,1740,3.3299,3.3507,3.11,3.24,111056
2025-12-23,1741,3.24,3.3,3.09,3.23,75780
2025-12-23,1742,3.22,3.34,3.21,3.25,65388
2025-12-23,1743,3.27,3.34,3.2,3.34,46508
2025-12-23,1744,3.34,3.35,3.2,3.21,70115
2025-12-23,1745,3.2,3.21,3.1,3.14,69939
2025-12-23,1746,3.1497,3.2,3.14,3.17,29496
2025-12-23,1747,3.16,3.18,3.09,3.1302,31833
2025-12-23,1748,3.1397,3.29,3.1397,3.2107,52175
2025-12-23,1749,3.23,3.25,3.13,3.17,48384
2025-12-23,1750,3.1799,3.18,3.1,3.1208,30310
2025-12-23,1751,3.12,3.14,3.06,3.08,53716
2025-12-23,1752,3.08,3.12,3.01,3.02,60735
2025-12-23,1753,3.02,3.0902,3.02,3.0607,42663
2025-12-23,1754,3.08,3.09,2.95,2.98,40040
2025-12-23,1755,2.98,3.03,2.95,3.0,53458
2025-12-23,1756,3.0,3.04,3.0,3.03,21527
2025-12-23,1757,3.03,3.1,3.02,3.0295,37449
2025-12-23,1758,3.03,3.05,2.95,2.955,46365
2025-12-23,1759,2.955,3.0,2.95,2.9816,18618
2025-12-23,1800,2.98,3.04,2.97,2.9739,32320
2025-12-23,1801,2.98,3.0,2.97,2.98,8535
2025-12-23,1802,2.99,2.99,2.95,2.96,13878
