date,time,open,high,low,close,volume
2025-12-19,1952,1.19,1.19,1.19,1.19,1000
2025-12-22,930,1.27,1.27,1.27,1.27,923
2025-12-22,934,1.2,1.2,1.2,1.2,200
2025-12-22,937,1.195,1.195,1.195,1.195,464
2025-12-22,938,1.19,1.19,1.19,1.19,100
2025-12-22,939,1.19,1.19,1.17,1.17,497
2025-12-22,941,1.1799,1.1799,1.15,1.1726,1544
2025-12-22,946,1.1503,1.1503,1.1503,1.1503,101
2025-12-22,948,1.16,1.16,1.15,1.15,1276
2025-12-22,949,1.155,1.155,1.15,1.15,998
2025-12-22,951,1.1401,1.1401,1.14,1.14,200
2025-12-22,952,1.145,1.16,1.14,1.16,500
2025-12-22,958,1.14,1.14,1.13,1.13,221
2025-12-22,1000,1.13,1.1486,1.13,1.1486,1010
2025-12-22,1003,1.125,1.125,1.125,1.125,164
2025-12-22,1006,1.1188,1.1188,1.1188,1.1188,364
2025-12-22,1007,1.12,1.12,1.11,1.11,1100
2025-12-22,1008,1.1189,1.1189,1.1189,1.1189,200
2025-12-22,1010,1.1161,1.1161,1.1161,1.1161,100
2025-12-22,1014,1.12,1.12,1.12,1.12,433
2025-12-22,1016,1.1199,1.1199,1.11,1.11,513
2025-12-22,1018,1.11,1.115,1.075,1.075,2585
2025-12-22,1020,1.11,1.11,1.1083,1.1083,500
2025-12-22,1021,1.1101,1.1101,1.1101,1.1101,125
2025-12-22,1023,1.0999,1.0999,1.0999,1.0999,2538
2025-12-22,1029,1.09,1.09,1.09,1.09,900
2025-12-22,1030,1.085,1.085,1.085,1.085,164
2025-12-22,1031,1.0804,1.0804,1.08,1.08,500
2025-12-22,1034,1.08,1.1,1.08,1.1,550
2025-12-22,1036,1.08,1.08,1.08,1.08,300
2025-12-22,1040,1.0799,1.0799,1.0799,1.0799,1012
2025-12-22,1041,1.0686,1.0717,1.065,1.0717,2274
2025-12-22,1042,1.07,1.08,1.07,1.07,9501
2025-12-22,1043,1.07,1.07,1.07,1.07,2201
2025-12-22,1044,1.07,1.07,1.05,1.05,7593
2025-12-22,1045,1.06,1.07,0.988,1.01,11093
2025-12-22,1046,1.015,1.03,0.9696,1.01,2432
2025-12-22,1047,0.937,0.937,0.937,0.937,170
2025-12-22,1048,1.0,1.0,1.0,1.0,443
2025-12-22,1049,1.02,1.02,1.02,1.02,1075
2025-12-22,1050,1.04,1.05,1.04,1.05,686
2025-12-22,1051,1.05,1.05,1.05,1.05,620
2025-12-22,1052,1.0757,1.0757,1.0757,1.0757,349
2025-12-22,1055,1.05,1.05,1.05,1.05,300
2025-12-22,1056,1.05,1.06,1.05,1.06,422
2025-12-22,1057,1.05,1.06,1.05,1.06,680
2025-12-22,1059,1.06,1.06,1.06,1.06,250
2025-12-22,1101,1.06,1.0682,1.05,1.0682,1457
2025-12-22,1103,1.0699,1.0699,1.05,1.05,390
2025-12-22,1104,1.06,1.06,1.0,1.0,9000
2025-12-22,1108,1.04,1.04,1.02,1.02,744
2025-12-22,1109,1.06,1.06,1.02,1.02,2161
2025-12-22,1110,1.06,1.06,1.02,1.02,1150
2025-12-22,1118,1.0501,1.0501,1.0501,1.0501,202
2025-12-22,1119,1.04,1.04,1.0,1.0,910
2025-12-22,1121,1.02,1.02,1.02,1.02,105
2025-12-22,1125,1.0499,1.0499,1.01,1.01,772
2025-12-22,1130,1.025,1.04,1.0,1.02,16199
2025-12-22,1133,1.0199,1.0199,1.0,1.0,6939
2025-12-22,1134,1.0,1.01,1.0,1.01,1224
2025-12-22,1135,1.01,1.01,1.0,1.0,1021
2025-12-22,1136,1.06,1.06,1.0,1.0,4120
2025-12-22,1138,1.0124,1.03,1.0,1.03,610
2025-12-22,1139,1.03,1.05,1.03,1.05,202
2025-12-22,1143,1.0474,1.0474,1.0474,1.0474,250
2025-12-22,1151,1.03,1.03,1.01,1.01,876
2025-12-22,1153,1.0056,1.0099,1.0056,1.0099,200
2025-12-22,1154,1.01,1.01,1.0,1.01,493
2025-12-22,1155,1.01,1.01,0.9752,1.0099,1357
2025-12-22,1156,1.0,1.0,1.0,1.0,451
2025-12-22,1157,0.9936,1.0,0.98,0.99,3093
2025-12-22,1200,0.99,1.0,0.99,1.0,914
2025-12-22,1201,0.9999,0.9999,0.9999,0.9999,921
2025-12-22,1202,0.9999,0.9999,0.9999,0.9999,100
2025-12-22,1203,0.9899,1.0,0.9899,1.0,1010
2025-12-22,1204,1.0,1.0,1.0,1.0,370
2025-12-22,1205,0.9998,1.0,0.9998,1.0,1200
2025-12-22,1209,1.0,1.0,1.0,1.0,302
2025-12-22,1210,0.9998,0.9998,0.9998,0.9998,142
2025-12-22,1211,0.9998,0.9998,0.9998,0.9998,202
2025-12-22,1213,0.9801,0.9801,0.9801,0.9801,296
2025-12-22,1215,0.99,0.99,0.99,0.99,210
2025-12-22,1217,0.9949,0.9949,0.9949,0.9949,1508
2025-12-22,1218,0.9999,0.9999,0.9999,0.9999,162
2025-12-22,1219,1.0,1.0,1.0,1.0,2304
2025-12-22,1220,1.0,1.0,0.9999,0.9999,1905
2025-12-22,1224,0.99,0.99,0.99,0.99,474
2025-12-22,1225,0.9949,0.9998,0.9949,0.9998,1000
2025-12-22,1226,0.9997,0.9997,0.99,0.99,1340
2025-12-22,1227,0.9977,0.9996,0.9977,0.9996,501
2025-12-22,1229,0.9984,0.9984,0.9984,0.9984,3553
2025-12-22,1237,0.9983,0.9983,0.9983,0.9983,2348
2025-12-22,1243,0.9995,0.9995,0.9995,0.9995,750
2025-12-22,1245,0.9995,0.9995,0.9995,0.9995,242
2025-12-22,1246,0.9995,1.0,0.9995,1.0,341
2025-12-22,1249,0.9969,0.9999,0.9969,0.9999,602
2025-12-22,1259,0.9918,0.9941,0.9918,0.9941,2034
2025-12-22,1304,0.9905,0.9905,0.9905,0.9905,1113
2025-12-22,1305,0.9953,0.9953,0.9953,0.9953,262
2025-12-22,1308,1.0,1.0,1.0,1.0,3325
2025-12-22,1309,1.01,1.01,1.0,1.0,5300
2025-12-22,1310,0.9909,0.9999,0.9905,0.9905,1505
2025-12-22,1312,0.9999,0.9999,0.9999,0.9999,106
2025-12-22,1313,0.9906,0.9906,0.9905,0.9905,1027
2025-12-22,1315,0.9906,0.9906,0.9906,0.9906,453
2025-12-22,1326,0.9905,0.9905,0.9905,0.9905,1657
2025-12-22,1329,0.9905,0.9905,0.9905,0.9905,1052
2025-12-22,1330,0.9997,0.9997,0.9997,0.9997,451
2025-12-22,1332,1.0,1.0,1.0,1.0,100
2025-12-22,1335,0.9998,0.9998,0.9998,0.9998,193
2025-12-22,1343,0.9906,0.9999,0.9906,0.9999,1025
2025-12-22,1346,0.9999,0.9999,0.9999,0.9999,257
2025-12-22,1347,0.9999,1.0,0.9999,1.0,250
2025-12-22,1348,0.9984,0.9984,0.9984,0.9984,1001
2025-12-22,1349,0.996,0.996,0.996,0.996,151
2025-12-22,1350,0.996,1.0,0.996,0.9968,8544
2025-12-22,1352,1.0,1.0,1.0,1.0,293
2025-12-22,1410,1.02,1.02,1.02,1.02,1186
2025-12-22,1412,1.0,1.0,1.0,1.0,100
2025-12-22,1421,1.005,1.005,1.005,1.005,102
2025-12-22,1425,1.01,1.01,1.01,1.01,201
2025-12-22,1429,1.01,1.12,1.0,1.01,15130
2025-12-22,1430,1.0004,1.0004,1.0004,1.0004,518
2025-12-22,1437,1.01,1.06,1.0,1.0,2515
2025-12-22,1447,1.025,1.025,1.0,1.0,767
2025-12-22,1449,1.025,1.025,1.025,1.025,219
2025-12-22,1454,1.045,1.045,1.045,1.045,731
2025-12-22,1458,1.03,1.03,1.03,1.03,500
2025-12-22,1501,1.04,1.04,1.04,1.04,101
2025-12-22,1503,1.0499,1.0499,1.01,1.01,250
2025-12-22,1504,1.04,1.04,1.04,1.04,699
