date,time,open,high,low,close,volume
2025-12-19,1909,1.034,1.034,1.034,1.034,40
2025-12-19,1919,1.034,1.034,1.034,1.034,2000
2025-12-19,1925,1.025,1.025,1.025,1.025,280
2025-12-19,1941,0.998,0.998,0.998,0.998,20
2025-12-19,1942,1.001,1.001,0.9975,0.9975,280
2025-12-19,1949,1.001,1.001,0.9975,0.9975,1100
2025-12-19,1951,0.9755,0.9755,0.9755,0.9755,300
2025-12-22,400,0.997,0.997,0.9965,0.9965,115
2025-12-22,401,0.9965,0.9965,0.9965,0.9965,120
2025-12-22,436,1.005,1.005,0.996,0.996,215
2025-12-22,441,0.9975,0.9975,0.9975,0.9975,20
2025-12-22,605,0.9975,0.9975,0.9975,0.9975,95
2025-12-22,608,0.953,0.965,0.95,0.95,600
2025-12-22,612,0.973,0.994,0.973,0.994,100
2025-12-22,623,0.951,0.975,0.9075,0.9575,1389
2025-12-22,629,0.9275,0.9275,0.9275,0.9275,60
2025-12-22,631,0.945,0.945,0.945,0.945,20
2025-12-22,634,0.945,0.945,0.945,0.945,20
2025-12-22,638,0.945,0.947,0.945,0.947,726
2025-12-22,700,0.99,1.016,0.99,1.016,690
2025-12-22,800,0.953,1.05,0.9525,1.05,3451
2025-12-22,817,0.953,0.953,0.9525,0.9525,1044
2025-12-22,842,0.9965,0.9965,0.9965,0.9965,52
2025-12-22,845,0.9525,0.9525,0.9525,0.9525,40
2025-12-22,851,0.9715,0.9715,0.9715,0.9715,39
2025-12-22,900,0.972,0.972,0.972,0.972,20
2025-12-22,922,0.9715,0.9715,0.9715,0.9715,373
2025-12-22,930,1.0,1.0,0.965,0.971,2845
2025-12-22,934,0.971,0.989,0.971,0.989,175
2025-12-22,936,0.965,0.965,0.965,0.965,3010
2025-12-22,943,0.9765,0.9765,0.9765,0.9765,36
2025-12-22,944,0.9765,0.9765,0.976,0.9765,880
2025-12-22,945,0.9765,0.9765,0.9765,0.9765,30
2025-12-22,946,0.976,0.9765,0.976,0.9765,143
2025-12-22,948,0.988,0.988,0.988,0.988,80
2025-12-22,949,0.9795,0.9795,0.9795,0.9795,400
2025-12-22,950,0.975,0.975,0.975,0.975,197
2025-12-22,951,0.965,0.965,0.965,0.965,30
2025-12-22,954,0.9765,0.9765,0.9765,0.9765,101
2025-12-22,955,0.9745,0.985,0.9745,0.985,115
2025-12-22,956,0.9745,0.975,0.9745,0.975,40
2025-12-22,957,0.98,0.985,0.9745,0.985,2665
2025-12-22,958,0.988,0.988,0.988,0.988,1383
2025-12-22,959,1.0,1.0,1.0,1.0,1000
2025-12-22,1001,0.997,0.997,0.997,0.997,20
2025-12-22,1002,0.9905,0.9905,0.9905,0.9905,42
2025-12-22,1003,1.003,1.025,1.003,1.018,3580
2025-12-22,1004,1.007,1.018,1.007,1.018,40
2025-12-22,1013,1.008,1.008,1.001,1.001,290
2025-12-22,1014,1.017,1.017,1.005,1.005,4360
2025-12-22,1015,1.004,1.005,1.002,1.005,320
2025-12-22,1017,1.009,1.009,1.009,1.009,40
2025-12-22,1019,1.024,1.024,1.024,1.024,26
2025-12-22,1024,1.027,1.027,1.027,1.027,20
2025-12-22,1027,1.027,1.027,1.027,1.027,20
2025-12-22,1028,1.002,1.002,1.002,1.002,260
2025-12-22,1031,1.027,1.027,1.027,1.027,20
2025-12-22,1034,1.027,1.027,1.025,1.025,136
2025-12-22,1035,1.002,1.002,1.002,1.002,40
2025-12-22,1037,1.017,1.017,1.017,1.017,20
2025-12-22,1045,1.005,1.005,1.005,1.005,666
2025-12-22,1053,1.0,1.0,1.0,1.0,316
2025-12-22,1054,0.996,1.005,0.996,1.005,50
2025-12-22,1058,0.985,0.985,0.985,0.985,1218
2025-12-22,1101,0.999,0.999,0.997,0.997,69
2025-12-22,1104,0.999,0.999,0.9905,0.9905,71
2025-12-22,1107,0.991,0.999,0.9845,0.999,2020
2025-12-22,1110,0.9985,0.9995,0.9985,0.9995,4161
2025-12-22,1115,0.991,0.991,0.991,0.991,99
2025-12-22,1116,0.991,0.991,0.991,0.991,247
2025-12-22,1120,0.9995,0.9995,0.9995,0.9995,60
2025-12-22,1126,1.004,1.004,1.004,1.004,40
2025-12-22,1127,1.008,1.008,1.008,1.008,20
2025-12-22,1130,1.008,1.008,1.008,1.008,20
2025-12-22,1133,1.008,1.008,1.008,1.008,20
2025-12-22,1137,1.008,1.008,1.008,1.008,20
2025-12-22,1143,1.002,1.002,1.002,1.002,31
2025-12-22,1148,0.995,0.995,0.995,0.995,20
2025-12-22,1149,0.985,0.985,0.983,0.983,60
2025-12-22,1152,0.9855,0.995,0.9855,0.995,440
2025-12-22,1153,1.0,1.0,1.0,1.0,20
2025-12-22,1159,1.005,1.005,1.005,1.005,28
2025-12-22,1203,1.008,1.008,1.008,1.008,20
2025-12-22,1215,1.0,1.0,1.0,1.0,40
2025-12-22,1219,0.9995,1.002,0.9995,1.002,540
2025-12-22,1223,0.9955,0.9955,0.9955,0.9955,50
2025-12-22,1225,0.995,0.995,0.995,0.995,58
2025-12-22,1232,0.9985,0.9985,0.995,0.995,1920
2025-12-22,1233,0.9955,0.9965,0.995,0.9965,430
2025-12-22,1234,1.008,1.008,1.008,1.008,20
2025-12-22,1237,0.995,1.008,0.995,1.008,272
2025-12-22,1243,0.995,0.995,0.995,0.995,20
2025-12-22,1245,1.001,1.001,0.995,0.995,191
2025-12-22,1253,0.9965,0.9965,0.9965,0.9965,21
2025-12-22,1258,0.9965,0.9965,0.9965,0.9965,22
2025-12-22,1259,0.997,0.998,0.997,0.998,40
2025-12-22,1303,1.008,1.008,1.008,1.008,20
2025-12-22,1307,1.0,1.008,0.9965,0.999,2506
2025-12-22,1314,0.998,1.002,0.998,1.0,410
2025-12-22,1315,0.998,0.998,0.998,0.998,20
2025-12-22,1321,1.008,1.008,1.008,1.008,100
2025-12-22,1328,1.008,1.008,1.008,1.008,1000
2025-12-22,1330,1.008,1.008,1.008,1.008,20
2025-12-22,1336,1.002,1.002,1.002,1.002,340
2025-12-22,1345,0.9925,0.9925,0.99,0.99,618
2025-12-22,1347,0.99,0.99,0.99,0.99,200
2025-12-22,1403,0.994,0.994,0.994,0.994,20
2025-12-22,1408,0.99,1.004,0.985,1.004,1166
2025-12-22,1422,0.985,0.985,0.985,0.985,42
2025-12-22,1425,0.985,0.985,0.985,0.985,727
2025-12-22,1426,0.984,0.984,0.984,0.984,440
2025-12-22,1428,0.985,0.985,0.985,0.985,180
2025-12-22,1435,0.985,0.9885,0.985,0.9885,120
2025-12-22,1437,0.9945,0.9945,0.9945,0.9945,126
2025-12-22,1438,1.007,1.007,1.007,1.007,20
2025-12-22,1439,0.9825,0.9825,0.98,0.9825,912
2025-12-22,1440,0.9825,0.9865,0.9765,0.9765,1918
2025-12-22,1441,0.975,0.9765,0.975,0.9765,314
2025-12-22,1442,0.979,0.979,0.975,0.975,41
2025-12-22,1443,0.9755,0.9755,0.9755,0.9755,80
2025-12-22,1446,0.9785,0.9825,0.9785,0.9825,139
2025-12-22,1452,0.9825,0.9825,0.9825,0.9825,32
2025-12-22,1455,0.9825,0.9825,0.9825,0.9825,200
2025-12-22,1456,0.9825,0.9825,0.9825,0.9825,20
2025-12-22,1457,0.9825,0.9825,0.9785,0.9825,1917
2025-12-22,1459,0.9825,0.9825,0.9825,0.9825,294
2025-12-22,1500,1.0,1.0,1.0,1.0,60
2025-12-22,1502,0.99,0.99,0.99,0.99,20
2025-12-22,1503,0.9895,0.9895,0.9895,0.9895,1620
2025-12-22,1505,1.003,1.003,1.003,1.003,20
2025-12-22,1508,1.003,1.003,1.003,1.003,20
2025-12-22,1511,1.003,1.003,1.003,1.003,20
2025-12-22,1521,1.001,1.001,1.001,1.001,1000
2025-12-22,1523,0.9895,0.99,0.975,0.975,462
2025-12-22,1525,0.978,0.978,0.978,0.978,46
2025-12-22,1526,0.98,0.98,0.98,0.98,20
2025-12-22,1541,0.98,0.99,0.98,0.982,461
2025-12-22,1543,0.978,0.978,0.978,0.978,20
2025-12-22,1546,0.975,0.975,0.975,0.975,20
2025-12-22,1550,0.975,0.975,0.975,0.975,20
2025-12-22,1551,0.975,0.975,0.97,0.975,1373
2025-12-22,1552,0.9825,0.989,0.982,0.989,2000
2025-12-22,1553,0.988,0.988,0.988,0.988,40
2025-12-22,1555,0.977,0.99,0.977,0.983,4082
2025-12-22,1556,0.99,0.99,0.99,0.99,20
2025-12-22,1557,0.99,0.99,0.99,0.99,20
2025-12-22,1558,0.99,0.99,0.99,0.99,60
2025-12-22,1559,0.99,1.002,0.99,0.994,917
2025-12-22,1600,0.975,0.983,0.975,0.983,3095
2025-12-22,1613,0.99,0.99,0.99,0.99,200
2025-12-22,1616,0.975,0.975,0.975,0.975,80
2025-12-22,1650,0.98,0.98,0.98,0.98,20
2025-12-22,1701,1.007,1.007,0.85,0.85,29199
2025-12-22,1702,0.846,0.8465,0.737,0.7395,9021
2025-12-22,1703,0.754,0.8,0.7465,0.8,5281
2025-12-22,1704,0.7955,0.8,0.7755,0.8,3741
2025-12-22,1706,0.8045,0.805,0.8045,0.805,40
2025-12-22,1707,0.8,0.8005,0.791,0.7915,815
2025-12-22,1708,0.7995,0.84,0.7745,0.8,11892
2025-12-22,1709,0.772,0.8,0.7545,0.8,870
2025-12-22,1710,0.8,0.8,0.75,0.7545,6271
2025-12-22,1711,0.8005,0.8005,0.8005,0.8005,145
2025-12-22,1712,0.8005,0.825,0.8,0.8005,1921
2025-12-22,1713,0.8225,0.8225,0.802,0.815,100
2025-12-22,1714,0.8225,0.8225,0.797,0.8,4391
2025-12-22,1715,0.815,0.815,0.815,0.815,202
2025-12-22,1716,0.8,0.814,0.8,0.8,659
2025-12-22,1718,0.8,0.8,0.78,0.8,700
2025-12-22,1720,0.814,0.814,0.814,0.814,54
2025-12-22,1721,0.8,0.8145,0.8,0.8145,1288
2025-12-22,1722,0.806,0.806,0.806,0.806,200
2025-12-22,1723,0.8,0.802,0.7855,0.7855,2792
2025-12-22,1724,0.786,0.786,0.7725,0.7795,1224
2025-12-22,1725,0.785,0.7915,0.785,0.791,60
2025-12-22,1726,0.795,0.795,0.795,0.795,187
2025-12-22,1728,0.795,0.795,0.775,0.785,785
2025-12-22,1729,0.7845,0.7845,0.782,0.782,200
2025-12-22,1730,0.78,0.78,0.78,0.78,61
2025-12-22,1731,0.796,0.796,0.796,0.796,101
2025-12-22,1732,0.8,0.8,0.8,0.8,41
2025-12-22,1733,0.81,0.8145,0.802,0.8145,1161
2025-12-22,1734,0.8145,0.8385,0.8145,0.8385,1380
2025-12-22,1736,0.845,0.845,0.845,0.845,60
2025-12-22,1740,0.8255,0.8255,0.8255,0.8255,59
2025-12-22,1741,0.842,0.842,0.842,0.842,2000
2025-12-22,1743,0.8315,0.8315,0.8315,0.8315,357
2025-12-22,1746,0.845,0.845,0.845,0.845,1000
2025-12-22,1747,0.845,0.845,0.84,0.84,227
2025-12-22,1748,0.84,0.84,0.84,0.84,31
2025-12-22,1749,0.84,0.84,0.84,0.84,36
2025-12-22,1756,0.835,0.84,0.833,0.84,1378
2025-12-22,1758,0.84,0.84,0.84,0.84,200
2025-12-22,1759,0.84,0.84,0.84,0.84,22
2025-12-22,1800,0.825,0.825,0.825,0.825,839
2025-12-22,1808,0.825,0.825,0.8125,0.8125,422
2025-12-22,1809,0.807,0.8105,0.8,0.8105,801
2025-12-22,1810,0.8495,0.8495,0.8495,0.8495,22
2025-12-22,1813,0.839,0.839,0.839,0.839,24
2025-12-22,1814,0.8365,0.8365,0.8365,0.8365,73
2025-12-22,1817,0.835,0.835,0.835,0.835,219
2025-12-22,1831,0.8475,0.8475,0.8475,0.8475,32
2025-12-22,1841,0.839,0.839,0.825,0.825,485
2025-12-22,1844,0.825,0.825,0.825,0.825,20
2025-12-22,1848,0.839,0.839,0.839,0.839,80
2025-12-22,1850,0.8495,0.8495,0.8495,0.8495,80
2025-12-22,1852,0.839,0.839,0.839,0.839,440
2025-12-22,1853,0.85,0.85,0.837,0.837,1089
2025-12-22,1854,0.85,0.85,0.85,0.85,400
2025-12-22,1857,0.837,0.85,0.837,0.839,2000
2025-12-22,1903,0.8365,0.84,0.8365,0.839,400
2025-12-22,1904,0.825,0.825,0.825,0.825,270
2025-12-22,1911,0.839,0.839,0.839,0.839,26
2025-12-22,1941,0.839,0.839,0.839,0.839,20
2025-12-22,1944,0.8415,0.8415,0.8415,0.8415,21
2025-12-22,1951,0.85,0.85,0.85,0.85,72
2025-12-22,1955,0.8495,0.8495,0.8495,0.8495,222
2025-12-22,1958,0.8255,0.826,0.815,0.815,553
2025-12-22,1959,0.804,0.813,0.804,0.813,220
2025-12-23,434,0.8265,0.8265,0.8255,0.8255,160
2025-12-23,435,0.825,0.825,0.825,0.825,102
2025-12-23,436,0.825,0.825,0.825,0.825,28
2025-12-23,439,0.825,0.825,0.825,0.825,135
2025-12-23,513,0.825,0.825,0.825,0.825,1160
2025-12-23,522,0.8715,0.8715,0.8715,0.8715,61
2025-12-23,523,0.8715,0.8715,0.8715,0.8715,40
2025-12-23,524,0.8715,0.8715,0.8715,0.8715,259
2025-12-23,525,0.8715,0.872,0.8715,0.8715,548
2025-12-23,559,0.868,0.868,0.868,0.868,78
2025-12-23,638,0.85,0.85,0.85,0.85,200
2025-12-23,700,0.83,0.83,0.8255,0.8255,1019
2025-12-23,711,0.8475,0.8475,0.845,0.845,200
2025-12-23,712,0.845,0.845,0.845,0.845,400
2025-12-23,716,0.825,0.826,0.825,0.825,1543
2025-12-23,732,0.825,0.825,0.825,0.825,80
2025-12-23,733,0.845,0.845,0.845,0.845,240
2025-12-23,747,0.8415,0.8415,0.8415,0.8415,30
2025-12-23,748,0.826,0.826,0.806,0.806,209
2025-12-23,752,0.845,0.845,0.845,0.845,20
2025-12-23,800,0.849,0.8855,0.7715,0.8725,12598
2025-12-23,805,0.8085,0.8085,0.808,0.808,75
2025-12-23,809,0.808,0.845,0.808,0.845,200
2025-12-23,811,0.825,0.825,0.803,0.803,200
2025-12-23,814,0.825,0.845,0.825,0.845,200
2025-12-23,815,0.803,0.803,0.803,0.803,140
2025-12-23,818,0.803,0.803,0.803,0.803,100
2025-12-23,830,0.803,0.803,0.803,0.803,101
2025-12-23,831,0.803,0.803,0.8025,0.8025,160
2025-12-23,833,0.8025,0.8025,0.8025,0.8025,80
2025-12-23,834,0.8295,0.8305,0.8295,0.8305,200
2025-12-23,835,0.8295,0.83,0.8295,0.83,100
2025-12-23,836,0.8065,0.819,0.803,0.803,201
2025-12-23,837,0.8145,0.8165,0.8145,0.8165,336
2025-12-23,838,0.819,0.819,0.819,0.819,3121
2025-12-23,839,0.803,0.803,0.803,0.803,40
2025-12-23,844,0.81,0.81,0.805,0.805,939
2025-12-23,853,0.827,0.827,0.827,0.827,1003
2025-12-23,858,0.8275,0.8275,0.8275,0.8275,39
2025-12-23,859,0.8275,0.828,0.8,0.8,3463
2025-12-23,904,0.8,0.8,0.8,0.8,168
2025-12-23,908,0.8,0.8,0.799,0.8,1388
2025-12-23,913,0.8,0.8,0.8,0.8,51
2025-12-23,914,0.7755,0.7755,0.7755,0.7755,180
2025-12-23,915,0.795,0.795,0.795,0.795,200
2025-12-23,917,0.795,0.795,0.795,0.795,200
2025-12-23,919,0.794,0.794,0.794,0.794,100
2025-12-23,922,0.7945,0.7945,0.7945,0.7945,84
2025-12-23,924,0.7945,0.7945,0.7945,0.7945,126
2025-12-23,929,0.785,0.7875,0.785,0.7875,321
2025-12-23,930,0.8095,0.8095,0.781,0.781,2281
2025-12-23,931,0.8095,0.8095,0.801,0.801,45
2025-12-23,932,0.8095,0.8095,0.8095,0.8095,1411
2025-12-23,933,0.776,0.7925,0.776,0.786,1308
2025-12-23,934,0.7925,0.7925,0.792,0.792,166
