date,time,open,high,low,close,volume
2025-12-19,1905,2.16,2.19,2.16,2.19,1534
2025-12-19,1908,2.2,2.2,2.2,2.2,183
2025-12-19,1911,2.16,2.16,2.16,2.16,110
2025-12-19,1912,2.21,2.22,2.21,2.22,459
2025-12-19,1915,2.17,2.17,2.17,2.17,197
2025-12-19,1918,2.17,2.17,2.17,2.17,235
2025-12-19,1927,2.1668,2.1668,2.1668,2.1668,106
2025-12-19,1928,2.21,2.21,2.21,2.21,197
2025-12-19,1929,2.22,2.22,2.22,2.22,501
2025-12-19,1942,2.16,2.2,2.16,2.2,351
2025-12-19,1944,2.1629,2.2,2.1629,2.2,399
2025-12-19,1948,2.2198,2.2198,2.2198,2.2198,348
2025-12-19,1950,2.2,2.2,2.2,2.2,220
2025-12-19,1951,2.1915,2.1915,2.1915,2.1915,554
2025-12-19,1954,2.19,2.19,2.19,2.19,150
2025-12-19,1955,2.19,2.19,2.19,2.19,297
2025-12-19,1956,2.19,2.19,2.19,2.19,125
2025-12-19,1958,2.2,2.2,2.2,2.2,399
2025-12-19,1959,2.2,2.2,2.2,2.2,5579
2025-12-22,401,2.23,2.23,2.23,2.23,429
2025-12-22,408,2.29,2.32,2.29,2.32,519
2025-12-22,409,2.33,2.33,2.33,2.33,223
2025-12-22,410,2.35,2.35,2.35,2.35,152
2025-12-22,416,2.34,2.34,2.34,2.34,144
2025-12-22,418,2.29,2.29,2.25,2.25,411
2025-12-22,426,2.25,2.25,2.25,2.25,182
2025-12-22,432,2.34,2.35,2.34,2.35,1500
2025-12-22,435,2.27,2.27,2.27,2.27,181
2025-12-22,438,2.34,2.36,2.34,2.36,529
2025-12-22,441,2.29,2.29,2.29,2.29,801
2025-12-22,446,2.32,2.32,2.32,2.32,250
2025-12-22,453,2.29,2.29,2.29,2.29,354
2025-12-22,454,2.29,2.29,2.29,2.29,575
2025-12-22,455,2.27,2.27,2.26,2.26,402
2025-12-22,515,2.25,2.25,2.24,2.24,323
2025-12-22,526,2.26,2.26,2.26,2.26,1506
2025-12-22,534,2.26,2.26,2.26,2.26,180
2025-12-22,536,2.26,2.26,2.26,2.26,180
2025-12-22,543,2.32,2.32,2.32,2.32,111
2025-12-22,608,2.25,2.25,2.25,2.25,1449
2025-12-22,624,2.25,2.25,2.25,2.25,354
2025-12-22,700,2.25,2.25,2.25,2.25,289
2025-12-22,701,2.24,2.24,2.24,2.24,950
2025-12-22,703,2.235,2.27,2.23,2.27,5584
2025-12-22,709,2.23,2.23,2.23,2.23,799
2025-12-22,726,2.25,2.25,2.25,2.25,220
2025-12-22,727,2.23,2.23,2.23,2.23,1017
2025-12-22,728,2.22,2.22,2.22,2.22,332
2025-12-22,740,2.22,2.22,2.22,2.22,1056
2025-12-22,800,2.24,2.3695,2.18,2.28,38342
2025-12-22,801,2.18,2.18,2.14,2.14,2428
2025-12-22,802,2.3297,2.3297,2.14,2.17,1957
2025-12-22,803,2.16,2.17,2.16,2.1693,2767
2025-12-22,804,2.21,2.21,2.21,2.21,1866
2025-12-22,805,2.21,2.21,2.21,2.21,621
2025-12-22,806,2.2138,2.2138,2.21,2.21,991
2025-12-22,807,2.21,2.2118,2.21,2.2118,1594
2025-12-22,809,2.2132,2.2132,2.2132,2.2132,183
2025-12-22,810,2.21,2.21,2.2,2.2,915
2025-12-22,812,2.17,2.17,2.17,2.17,213
2025-12-22,813,2.18,2.18,2.16,2.16,576
2025-12-22,814,2.2,2.2,2.2,2.2,189
2025-12-22,816,2.2,2.2,2.2,2.2,386
2025-12-22,818,2.19,2.19,2.19,2.19,1027
2025-12-22,819,2.1926,2.1926,2.1926,2.1926,301
2025-12-22,822,2.2268,2.2268,2.2268,2.2268,213
2025-12-22,824,2.191,2.191,2.18,2.18,1183
2025-12-22,829,2.19,2.19,2.19,2.19,332
2025-12-22,830,2.19,2.19,2.19,2.19,1847
2025-12-22,832,2.2176,2.2176,2.2176,2.2176,157
2025-12-22,836,2.2,2.2,2.2,2.2,645
2025-12-22,839,2.205,2.22,2.205,2.22,1001
2025-12-22,842,2.2001,2.2001,2.2,2.2,476
2025-12-22,845,2.2,2.2,2.2,2.2,403
2025-12-22,848,2.22,2.22,2.22,2.22,360
2025-12-22,849,2.2,2.2,2.2,2.2,126
2025-12-22,850,2.19,2.19,2.19,2.19,600
2025-12-22,851,2.1896,2.1896,2.18,2.18,839
2025-12-22,852,2.18,2.18,2.18,2.18,669
2025-12-22,854,2.19,2.2,2.19,2.2,753
2025-12-22,855,2.18,2.18,2.18,2.18,110
2025-12-22,856,2.1811,2.1811,2.1811,2.1811,390
2025-12-22,857,2.1817,2.1817,2.1817,2.1817,431
2025-12-22,858,2.1804,2.1804,2.1804,2.1804,334
2025-12-22,859,2.1808,2.1808,2.1808,2.1808,109
2025-12-22,900,2.1816,2.1816,2.1816,2.1816,236
2025-12-22,901,2.18,2.1804,2.18,2.1804,760
2025-12-22,902,2.1985,2.1985,2.18,2.18,324
2025-12-22,903,2.181,2.181,2.181,2.181,395
2025-12-22,904,2.1806,2.1806,2.1806,2.1806,125
2025-12-22,906,2.18,2.18,2.18,2.18,189
2025-12-22,907,2.1817,2.1817,2.18,2.18,1161
2025-12-22,908,2.21,2.21,2.21,2.21,224
2025-12-22,910,2.18,2.18,2.18,2.18,1329
2025-12-22,913,2.19,2.1921,2.19,2.19,569
2025-12-22,916,2.19,2.19,2.19,2.19,144
2025-12-22,918,2.2,2.2,2.2,2.2,125
2025-12-22,920,2.22,2.22,2.22,2.22,100
2025-12-22,921,2.1906,2.1906,2.1906,2.1906,125
2025-12-22,922,2.1904,2.1904,2.1904,2.1904,196
2025-12-22,925,2.19,2.19,2.19,2.19,310
2025-12-22,926,2.19,2.19,2.19,2.19,117
2025-12-22,928,2.2,2.2,2.18,2.18,1366
2025-12-22,929,2.18,2.2094,2.18,2.2094,470
2025-12-22,930,2.13,2.18,2.13,2.1701,9920
2025-12-22,931,2.178,2.1791,2.1756,2.1756,2036
2025-12-22,932,2.1709,2.185,2.17,2.185,2511
2025-12-22,933,2.1892,2.1892,2.16,2.16,6504
2025-12-22,934,2.16,2.161,2.0301,2.1,17577
2025-12-22,935,2.1,2.145,2.07,2.1129,2399
2025-12-22,936,2.09,2.1357,2.08,2.0808,2226
2025-12-22,937,2.08,2.11,2.08,2.0818,2997
2025-12-22,938,2.095,2.095,2.08,2.09,6167
2025-12-22,939,2.09,2.1,2.085,2.0987,8317
2025-12-22,940,2.095,2.125,2.0909,2.12,2548
2025-12-22,941,2.115,2.115,2.0901,2.115,5163
2025-12-22,942,2.1201,2.1201,2.12,2.12,10568
2025-12-22,943,2.1075,2.1134,2.09,2.09,4153
2025-12-22,944,2.1091,2.11,2.0925,2.0928,4906
2025-12-22,945,2.1,2.1,2.0921,2.0921,2698
2025-12-22,946,2.09,2.09,2.08,2.085,9534
2025-12-22,947,2.0891,2.09,2.07,2.07,7403
2025-12-22,948,2.06,2.06,2.05,2.055,2994
2025-12-22,949,2.0591,2.0599,2.05,2.05,6106
2025-12-22,950,2.0595,2.07,2.0523,2.07,16075
2025-12-22,951,2.08,2.08,2.05,2.07,14808
2025-12-22,952,2.064,2.07,2.064,2.07,10121
2025-12-22,953,2.076,2.076,2.06,2.06,5356
2025-12-22,954,2.061,2.061,2.0583,2.0583,1418
2025-12-22,955,2.06,2.06,2.05,2.055,4577
2025-12-22,956,2.05,2.06,2.05,2.06,11224
2025-12-22,957,2.0585,2.0585,2.05,2.05,4576
2025-12-22,958,2.055,2.06,2.05,2.06,7158
2025-12-22,959,2.06,2.08,2.0508,2.06,4376
2025-12-22,1000,2.08,2.08,2.08,2.08,170
2025-12-22,1001,2.06,2.08,2.06,2.08,2031
2025-12-22,1002,2.078,2.08,2.078,2.08,2865
2025-12-22,1003,2.1,2.11,2.098,2.105,7405
2025-12-22,1004,2.128,2.128,2.105,2.105,3179
2025-12-22,1005,2.1088,2.11,2.1088,2.11,1061
2025-12-22,1006,2.1299,2.1299,2.1299,2.1299,667
2025-12-22,1008,2.11,2.11,2.1,2.1,967
2025-12-22,1009,2.095,2.095,2.095,2.095,203
2025-12-22,1010,2.09,2.09,2.09,2.09,341
2025-12-22,1011,2.0801,2.0801,2.05,2.0788,2033
2025-12-22,1012,2.06,2.08,2.06,2.07,4253
2025-12-22,1013,2.08,2.08,2.0601,2.062,1048
