date,time,open,high,low,close,volume
2025-12-23,419,0.2869,0.2869,0.2866,0.2866,1190
2025-12-23,420,0.2855,0.2855,0.2855,0.2855,3100
2025-12-23,430,0.298,0.3025,0.298,0.3025,500
2025-12-23,614,0.3025,0.303,0.3025,0.303,3002
2025-12-23,645,0.2955,0.2955,0.2875,0.2875,2000
2025-12-23,800,0.2855,0.3051,0.2855,0.3051,26892
2025-12-23,834,0.3026,0.3026,0.3026,0.3026,330
2025-12-23,930,0.2959,0.2959,0.2801,0.2801,435
2025-12-23,943,0.2926,0.2926,0.2926,0.2926,100
2025-12-23,957,0.2863,0.2989,0.2863,0.2989,45000
2025-12-23,1001,0.29,0.3,0.29,0.3,2086
2025-12-23,1002,0.29,0.29,0.29,0.29,201
2025-12-23,1006,0.2926,0.2926,0.2926,0.2926,1350
2025-12-23,1020,0.2851,0.2851,0.2851,0.2851,2970
2025-12-23,1023,0.29,0.29,0.29,0.29,500
2025-12-23,1024,0.29,0.29,0.2884,0.2884,641
2025-12-23,1026,0.2887,0.2887,0.2885,0.2885,500
2025-12-23,1039,0.2886,0.2886,0.2886,0.2886,599
2025-12-23,1043,0.2903,0.2903,0.2903,0.2903,2000
2025-12-23,1109,0.2905,0.2938,0.2905,0.2938,523
2025-12-23,1112,0.2904,0.2921,0.2904,0.2921,2445
2025-12-23,1117,0.2904,0.2904,0.2904,0.2904,300
2025-12-23,1120,0.2938,0.3,0.2938,0.3,3890
2025-12-23,1121,0.305,0.3051,0.305,0.3051,701
2025-12-23,1123,0.3068,0.3068,0.3068,0.3068,5000
2025-12-23,1124,0.3042,0.3042,0.3042,0.3042,271
2025-12-23,1133,0.3024,0.3024,0.3024,0.3024,325
2025-12-23,1158,0.2999,0.2999,0.2999,0.2999,132
2025-12-23,1159,0.2999,0.2999,0.2999,0.2999,168
2025-12-23,1214,0.295,0.2991,0.2903,0.2937,1225
2025-12-23,1215,0.2917,0.2917,0.2917,0.2917,109
2025-12-23,1218,0.302,0.308,0.302,0.308,2200
2025-12-23,1224,0.308,0.308,0.308,0.308,500
2025-12-23,1252,0.3001,0.304,0.2927,0.2927,38155
2025-12-23,1253,0.3079,0.3079,0.3079,0.3079,100
2025-12-23,1314,0.3003,0.3079,0.3003,0.3003,10200
2025-12-23,1327,0.292,0.292,0.2917,0.2917,321
2025-12-23,1328,0.2927,0.2927,0.2917,0.2927,6025
2025-12-23,1348,0.2958,0.2958,0.2958,0.2958,1700
2025-12-23,1359,0.2958,0.2958,0.2958,0.2958,300
2025-12-23,1407,0.2922,0.2991,0.2903,0.2903,15933
2025-12-23,1408,0.2885,0.2886,0.2857,0.2857,1324
2025-12-23,1416,0.2923,0.2923,0.2923,0.2923,275
2025-12-23,1417,0.2923,0.2923,0.2923,0.2923,300
2025-12-23,1418,0.2923,0.2923,0.2923,0.2923,400
2025-12-23,1421,0.2923,0.2923,0.2923,0.2923,145
2025-12-23,1423,0.2923,0.2923,0.2923,0.2923,360
2025-12-23,1434,0.2858,0.2858,0.2858,0.2858,100
2025-12-23,1435,0.2886,0.2886,0.2886,0.2886,400
2025-12-23,1439,0.2858,0.2859,0.28,0.28,17168
2025-12-23,1441,0.2798,0.28,0.2701,0.2798,12592
2025-12-23,1453,0.2805,0.2805,0.2805,0.2805,1200
2025-12-23,1455,0.2809,0.2812,0.2805,0.2812,9300
2025-12-23,1504,0.2812,0.2812,0.2812,0.2812,100
2025-12-23,1507,0.2826,0.2826,0.2826,0.2826,240
2025-12-23,1511,0.2871,0.2871,0.2871,0.2871,9310
2025-12-23,1519,0.2907,0.2907,0.2907,0.2907,1719
2025-12-23,1542,0.2801,0.2801,0.2801,0.2801,1097
2025-12-23,1551,0.29,0.298,0.29,0.298,800
2025-12-23,1559,0.2957,0.3,0.2957,0.2997,1283
2025-12-23,1600,0.2778,0.2778,0.2778,0.2778,3286
2025-12-23,1623,0.28,0.28,0.27,0.2716,812
2025-12-23,1638,0.27,0.27,0.27,0.27,700
2025-12-23,1650,0.27,0.27,0.27,0.27,275
2025-12-23,1725,0.272,0.272,0.27,0.27,4344
2025-12-23,1834,0.27,0.27,0.27,0.27,274
2025-12-23,1846,0.2701,0.2701,0.2701,0.2701,200
2025-12-24,400,0.269,0.269,0.269,0.269,300
2025-12-24,736,0.2616,0.2616,0.2616,0.2616,305
2025-12-24,800,0.2778,0.2778,0.2478,0.266,7827
2025-12-24,838,0.2699,0.2699,0.2699,0.2699,175
2025-12-24,859,0.2658,0.2658,0.2658,0.2658,168
2025-12-24,917,0.268,0.2778,0.268,0.2778,2509
2025-12-24,930,0.278,0.278,0.278,0.278,151
2025-12-24,936,0.2669,0.2669,0.2669,0.2669,102
2025-12-24,938,0.282,0.282,0.282,0.282,332
2025-12-24,939,0.265,0.265,0.2626,0.2626,946
2025-12-24,1019,0.2865,0.2865,0.2865,0.2865,2808
2025-12-24,1020,0.277,0.277,0.277,0.277,120
2025-12-24,1027,0.2684,0.2684,0.2684,0.2684,100
2025-12-24,1046,0.269,0.2694,0.2685,0.2685,13539
2025-12-24,1047,0.273,0.273,0.273,0.273,191
2025-12-24,1049,0.273,0.273,0.2688,0.27,1225
2025-12-24,1050,0.2686,0.2686,0.2686,0.2686,100
2025-12-24,1120,0.2717,0.2717,0.2717,0.2717,106
2025-12-24,1146,0.2715,0.2715,0.2715,0.2715,100
2025-12-24,1155,0.2715,0.2715,0.2715,0.2715,1502
2025-12-24,1208,0.2715,0.2715,0.2715,0.2715,2092
2025-12-24,1221,0.28,0.28,0.28,0.28,1180
2025-12-24,1223,0.279,0.279,0.279,0.279,100
2025-12-24,1246,0.2717,0.2717,0.2717,0.2717,100
2025-12-24,1248,0.285,0.2864,0.285,0.2864,16105
2025-12-24,1256,0.28,0.28,0.28,0.28,900
2025-12-24,1258,0.28,0.28,0.28,0.28,700
2025-12-24,1300,0.265,0.265,0.265,0.265,5044
2025-12-24,1631,0.28,0.28,0.28,0.28,168
2025-12-26,402,0.2717,0.2717,0.2717,0.2717,360
2025-12-26,407,0.2715,0.2715,0.265,0.265,359
2025-12-26,408,0.2652,0.2652,0.265,0.265,645
2025-12-26,736,0.265,0.2741,0.265,0.2741,398
2025-12-26,800,0.2627,0.2741,0.2626,0.2626,1167
2025-12-26,921,0.2641,0.2641,0.2641,0.2641,105
2025-12-26,930,0.264,0.264,0.2626,0.2626,11782
2025-12-26,943,0.2718,0.2718,0.2718,0.2718,1000
2025-12-26,947,0.2718,0.2718,0.2718,0.2718,8000
2025-12-26,948,0.2626,0.2626,0.2626,0.2626,100
2025-12-26,951,0.2627,0.2627,0.2627,0.2627,100
2025-12-26,955,0.2627,0.2627,0.2627,0.2627,500
2025-12-26,956,0.2627,0.2627,0.2627,0.2627,5600
2025-12-26,958,0.2627,0.2627,0.2627,0.2627,339
2025-12-26,959,0.2647,0.2662,0.2647,0.2662,10000
2025-12-26,1000,0.2627,0.2627,0.2625,0.2626,2421
2025-12-26,1004,0.2651,0.2651,0.265,0.265,2249
2025-12-26,1009,0.2651,0.2651,0.2626,0.2626,9751
2025-12-26,1010,0.2626,0.2626,0.2625,0.2625,1686
2025-12-26,1011,0.2626,0.2626,0.2625,0.2625,873
2025-12-26,1012,0.2626,0.2626,0.2626,0.2626,100
2025-12-26,1014,0.2601,0.2601,0.2601,0.2601,7898
2025-12-26,1015,0.2616,0.2616,0.26,0.26,2002
2025-12-26,1016,0.2606,0.2627,0.2606,0.2606,20900
2025-12-26,1017,0.2627,0.2627,0.2627,0.2627,2000
2025-12-26,1019,0.2607,0.2632,0.2607,0.2632,1340
2025-12-26,1021,0.2627,0.2627,0.2627,0.2627,900
2025-12-26,1027,0.265,0.265,0.265,0.265,131
2025-12-26,1028,0.2655,0.2655,0.2655,0.2655,200
2025-12-26,1032,0.2657,0.2657,0.2657,0.2657,300
2025-12-26,1034,0.2691,0.2691,0.2691,0.2691,100
2025-12-26,1035,0.2691,0.2691,0.2691,0.2691,5500
2025-12-26,1037,0.2692,0.2692,0.2692,0.2692,300
2025-12-26,1038,0.2742,0.2756,0.2727,0.2727,1200
2025-12-26,1040,0.2754,0.2754,0.2754,0.2754,299
2025-12-26,1041,0.2741,0.2741,0.2728,0.2728,680
2025-12-26,1044,0.2707,0.2707,0.2707,0.2707,100
2025-12-26,1047,0.2754,0.2756,0.2732,0.2756,4548
2025-12-26,1048,0.2822,0.284,0.2822,0.284,200
2025-12-26,1049,0.2838,0.2856,0.2838,0.2846,2400
2025-12-26,1051,0.2826,0.286,0.2826,0.286,3801
2025-12-26,1102,0.2816,0.2816,0.2816,0.2816,384
2025-12-26,1122,0.2821,0.2821,0.2821,0.2821,118
2025-12-26,1125,0.2821,0.2821,0.2821,0.2821,5025
2025-12-26,1126,0.2858,0.2858,0.2856,0.2856,200
2025-12-26,1127,0.2852,0.286,0.284,0.286,3083
2025-12-26,1128,0.2899,0.2963,0.2899,0.2963,2451
2025-12-26,1131,0.2886,0.2886,0.2886,0.2886,100
2025-12-26,1132,0.2863,0.2863,0.2863,0.2863,100
2025-12-26,1138,0.291,0.2911,0.291,0.2911,480
2025-12-26,1145,0.2862,0.2862,0.2862,0.2862,4600
2025-12-26,1148,0.2861,0.2861,0.2815,0.2861,401
2025-12-26,1150,0.2831,0.2831,0.283,0.283,10200
2025-12-26,1213,0.2786,0.2786,0.2786,0.2786,3200
2025-12-26,1219,0.2737,0.2737,0.2737,0.2737,100
2025-12-26,1237,0.2739,0.2739,0.2739,0.2739,100
2025-12-26,1243,0.2776,0.2776,0.2776,0.2776,800
2025-12-26,1246,0.279,0.279,0.279,0.279,495
2025-12-26,1251,0.2736,0.2736,0.2733,0.2736,382
2025-12-26,1253,0.2735,0.2735,0.2735,0.2735,179
2025-12-26,1309,0.2652,0.2652,0.2629,0.2629,369
2025-12-26,1347,0.2674,0.2674,0.2674,0.2674,100
2025-12-26,1358,0.2674,0.2674,0.2674,0.2674,1100
2025-12-26,1359,0.2652,0.2652,0.2633,0.2633,409
2025-12-26,1414,0.2633,0.2674,0.2633,0.2674,3100
2025-12-26,1415,0.2674,0.2674,0.2674,0.2674,388
2025-12-26,1418,0.2666,0.2666,0.2666,0.2666,540
2025-12-26,1420,0.2666,0.267,0.2666,0.267,355
2025-12-26,1459,0.2674,0.2674,0.2674,0.2674,506
2025-12-26,1504,0.2633,0.2633,0.2633,0.2633,153
2025-12-26,1506,0.2641,0.2641,0.2641,0.2641,5500
2025-12-26,1510,0.2675,0.2675,0.2675,0.2675,2500
