date,time,open,high,low,close,volume
2025-12-24,800,6.34,6.34,6.34,6.34,277
2025-12-24,930,6.0,6.18,6.0,6.06,886
2025-12-24,942,6.0,6.0,6.0,6.0,203
2025-12-24,946,6.0516,6.0516,6.0516,6.0516,1010
2025-12-24,949,6.0415,6.0415,6.0415,6.0415,365
2025-12-24,959,6.035,6.035,6.035,6.035,100
2025-12-24,1007,6.1,6.11,6.1,6.11,480
2025-12-24,1141,6.07,6.07,6.07,6.07,948
2025-12-24,1154,6.07,6.07,6.07,6.07,501
2025-12-24,1156,6.0202,6.0211,6.0202,6.0211,309
2025-12-24,1159,6.021,6.0211,6.021,6.0211,700
2025-12-24,1300,6.1,6.1,6.1,6.1,383
2025-12-24,1312,6.11,6.11,6.11,6.11,100
2025-12-26,729,6.0,6.0,6.0,6.0,603
2025-12-26,800,6.0,6.0,6.0,6.0,145
2025-12-26,807,5.99,6.0,5.99,6.0,5067
2025-12-26,808,6.0,6.0,6.0,6.0,369
2025-12-26,818,6.1,6.1,6.1,6.1,100
2025-12-26,827,6.0,6.0,6.0,6.0,948
2025-12-26,930,6.0,6.13,6.0,6.13,936
2025-12-26,957,6.01,6.12,6.0,6.12,1462
2025-12-26,1019,6.08,6.08,6.08,6.08,422
2025-12-26,1220,6.01,6.01,6.01,6.01,100
2025-12-26,1306,6.0,6.0,6.0,6.0,1111
2025-12-26,1307,6.0,6.0,6.0,6.0,477
2025-12-26,1309,6.05,6.05,6.05,6.05,404
2025-12-26,1324,6.0,6.0,6.0,6.0,200
2025-12-26,1600,6.08,6.08,6.08,6.08,472
2025-12-29,930,6.05,6.05,6.05,6.05,194
2025-12-29,938,5.845,5.845,5.845,5.845,105
2025-12-29,941,5.82,5.82,5.82,5.82,350
2025-12-29,942,6.028,6.028,5.935,5.935,200
2025-12-29,951,5.8337,5.8337,5.8337,5.8337,450
2025-12-29,1003,5.83,5.83,5.83,5.83,100
2025-12-29,1015,5.83,5.83,5.83,5.83,247
2025-12-29,1016,5.925,5.925,5.925,5.925,300
2025-12-29,1033,5.8,5.8,5.75,5.75,604
2025-12-29,1041,5.8,5.8,5.8,5.8,100
2025-12-29,1115,5.65,5.65,5.65,5.65,101
2025-12-29,1129,5.56,5.56,5.56,5.56,126
2025-12-29,1130,5.6,5.6,5.6,5.6,269
2025-12-29,1147,5.62,5.62,5.62,5.62,100
2025-12-29,1211,5.62,5.62,5.62,5.62,230
2025-12-29,1226,5.62,5.62,5.62,5.62,1019
2025-12-29,1231,5.55,5.55,5.5,5.5,837
2025-12-29,1237,5.555,5.555,5.555,5.555,200
2025-12-29,1307,5.5,5.5,5.45,5.46,396
2025-12-29,1348,5.6327,5.6327,5.6327,5.6327,121
2025-12-29,1412,5.33,5.33,5.33,5.33,182
2025-12-29,1415,5.35,5.35,5.35,5.35,233
2025-12-29,1429,5.42,5.42,5.42,5.42,200
2025-12-29,1437,5.4173,5.4173,5.4173,5.4173,300
2025-12-29,1528,5.3,5.3,5.3,5.3,1679
2025-12-29,1533,5.2797,5.2797,5.2797,5.2797,104
2025-12-29,1535,5.325,5.325,5.325,5.325,100
2025-12-29,1536,5.35,5.35,5.33,5.33,300
2025-12-29,1548,5.3,5.3,5.3,5.3,100
2025-12-29,1551,5.3,5.3,5.3,5.3,110
2025-12-29,1600,5.285,5.285,5.285,5.285,103
2025-12-29,1621,8.45,9.8,8.14,9.8,25958
2025-12-29,1622,9.79,10.9,9.73,9.9601,50397
2025-12-29,1623,10.1,10.23,9.32,9.59,31771
2025-12-29,1624,9.5,9.9182,8.78,9.51,28702
2025-12-29,1625,9.51,9.52,8.38,8.74,41638
2025-12-29,1626,8.75,9.25,8.69,9.12,18316
2025-12-29,1627,9.11,9.2,8.803,8.87,18581
2025-12-29,1628,8.87,8.98,8.21,8.6987,34761
2025-12-29,1629,8.59,8.6981,8.4,8.6644,11956
2025-12-29,1630,8.7,8.83,8.62,8.6999,9233
2025-12-29,1631,8.67,8.69,8.46,8.51,7598
2025-12-29,1632,8.51,8.51,8.35,8.37,16563
2025-12-29,1633,8.36,8.5,8.03,8.39,15951
2025-12-29,1634,8.4,8.4,8.05,8.05,12259
2025-12-29,1635,8.05,8.27,8.05,8.2,9915
2025-12-29,1636,8.18,8.2,8.05,8.05,6042
2025-12-29,1637,8.01,8.13,7.87,8.13,13641
2025-12-29,1638,8.27,8.6,8.0,8.5,24932
2025-12-29,1639,8.55,8.6,8.36,8.5903,12672
2025-12-29,1640,8.6,8.6,8.22,8.22,11149
2025-12-29,1641,8.22,8.3,8.22,8.24,5125
2025-12-29,1642,8.22,8.26,8.21,8.21,7331
2025-12-29,1643,8.2,8.2,8.03,8.06,9376
2025-12-29,1644,8.02,8.06,7.92,8.0,8543
2025-12-29,1645,8.03,8.07,8.03,8.07,1604
2025-12-29,1646,8.0692,8.198,8.0,8.1013,5355
2025-12-29,1647,8.15,8.2,8.15,8.2,5592
2025-12-29,1648,8.25,8.33,8.18,8.19,5285
2025-12-29,1649,8.19,8.19,7.66,7.73,7322
2025-12-29,1650,7.71,7.9,7.63,7.75,6727
2025-12-29,1651,7.76,7.9,7.7501,7.9,2934
2025-12-29,1652,7.95,8.01,7.95,8.01,1927
2025-12-29,1653,8.05,8.05,8.0,8.0,2092
2025-12-29,1654,8.0,8.0,8.0,8.0,969
2025-12-29,1655,8.0006,8.03,7.92,8.0,2800
2025-12-29,1656,7.95,7.9999,7.95,7.9999,1404
2025-12-29,1657,7.9999,7.9999,7.94,7.95,1373
2025-12-29,1658,7.95,7.95,7.95,7.95,797
2025-12-29,1659,7.88,7.88,7.88,7.88,980
2025-12-29,1700,7.94,7.94,7.91,7.91,1397
2025-12-29,1701,8.0,8.0,7.91,7.91,4895
2025-12-29,1702,7.91,7.92,7.88,7.88,1629
2025-12-29,1703,7.87,7.88,7.87,7.88,1263
2025-12-29,1704,7.89,7.8901,7.89,7.8901,572
2025-12-29,1705,7.89,7.95,7.89,7.95,1259
2025-12-29,1706,7.88,7.89,7.8,7.82,2225
2025-12-29,1708,7.95,7.95,7.95,7.95,203
2025-12-29,1709,7.95,7.95,7.95,7.95,570
2025-12-29,1710,7.9,7.9,7.9,7.9,1213
2025-12-29,1711,7.99,7.99,7.86,7.86,1002
