date,time,open,high,low,close,volume
2025-12-26,800,5.1598,5.1598,5.1598,5.1598,314
2025-12-26,930,4.93,4.93,4.93,4.93,349
2025-12-26,934,5.02,5.02,5.02,5.02,229
2025-12-26,936,4.9693,4.9693,4.9693,4.9693,100
2025-12-26,939,4.9893,4.9893,4.9405,4.9405,250
2025-12-26,940,4.94,4.94,4.94,4.94,391
2025-12-26,1003,4.825,4.825,4.825,4.825,250
2025-12-26,1013,4.8251,4.8251,4.8251,4.8251,112
2025-12-26,1014,4.81,4.81,4.81,4.81,150
2025-12-26,1015,4.845,4.845,4.845,4.845,213
2025-12-26,1017,4.8128,4.8128,4.8128,4.8128,200
2025-12-26,1031,4.936,4.936,4.81,4.81,531
2025-12-26,1033,4.9,4.9,4.9,4.9,304
2025-12-26,1035,4.82,4.82,4.82,4.82,105
2025-12-26,1048,4.8551,4.8551,4.81,4.81,219
2025-12-26,1055,4.825,4.825,4.825,4.825,200
2025-12-26,1057,4.82,4.82,4.82,4.82,202
2025-12-26,1059,4.82,4.82,4.82,4.82,100
2025-12-26,1102,4.6746,4.84,4.6746,4.84,1320
2025-12-26,1107,4.85,4.85,4.85,4.85,700
2025-12-26,1118,5.0,5.0,5.0,5.0,200
2025-12-26,1119,4.55,4.755,4.55,4.755,435
2025-12-26,1121,4.755,4.755,4.73,4.73,644
2025-12-26,1123,4.8642,4.8642,4.8642,4.8642,500
2025-12-26,1130,4.755,4.755,4.755,4.755,140
2025-12-26,1132,4.9484,4.9484,4.9484,4.9484,2510
2025-12-26,1140,4.78,4.78,4.78,4.78,125
2025-12-26,1155,4.964,4.964,4.964,4.964,150
2025-12-26,1201,4.77,4.77,4.77,4.77,100
2025-12-26,1238,4.8,4.8,4.8,4.8,138
2025-12-26,1303,4.82,4.82,4.82,4.82,102
2025-12-26,1346,4.85,4.85,4.85,4.85,125
2025-12-26,1422,4.87,4.87,4.87,4.87,121
2025-12-26,1423,4.954,4.954,4.954,4.954,102
2025-12-26,1433,4.93,4.93,4.93,4.93,200
2025-12-26,1442,4.87,4.87,4.87,4.87,100
2025-12-26,1458,4.9048,4.9048,4.9048,4.9048,212
2025-12-26,1514,4.87,4.87,4.87,4.87,124
2025-12-26,1517,4.9203,4.9203,4.9203,4.9203,100
2025-12-26,1518,4.8988,4.8988,4.8988,4.8988,100
2025-12-26,1524,4.86,4.86,4.86,4.86,558
2025-12-26,1529,4.87,4.87,4.87,4.87,123
2025-12-26,1551,4.96,4.96,4.96,4.96,250
2025-12-26,1553,4.9384,4.9384,4.9384,4.9384,227
2025-12-26,1559,4.87,4.91,4.85,4.87,1681
2025-12-26,1600,4.84,4.84,4.84,4.84,794
2025-12-29,850,4.76,4.76,4.76,4.76,300
2025-12-29,930,4.76,4.76,4.76,4.76,262
2025-12-29,938,4.8341,4.8341,4.8341,4.8341,127
2025-12-29,942,4.84,4.84,4.81,4.84,878
2025-12-29,950,4.84,4.84,4.77,4.77,310
2025-12-29,953,4.7869,4.7869,4.7869,4.7869,231
2025-12-29,1006,4.78,4.78,4.78,4.78,210
2025-12-29,1010,4.76,4.77,4.65,4.65,1060
2025-12-29,1030,4.7424,4.7424,4.7424,4.7424,500
2025-12-29,1048,4.6,4.62,4.6,4.62,1119
2025-12-29,1055,4.65,4.65,4.65,4.65,250
