date,time,open,high,low,close,volume
2025-12-29,416,0.7456,0.7456,0.7456,0.7456,121
2025-12-29,427,0.7357,0.7357,0.7355,0.7355,701
2025-12-29,624,0.7365,0.7365,0.7365,0.7365,300
2025-12-29,700,0.7398,0.74,0.7398,0.74,1300
2025-12-29,704,0.7398,0.7398,0.7398,0.7398,100
2025-12-29,711,0.7298,0.7298,0.7298,0.7298,294
2025-12-29,720,0.73,0.73,0.73,0.73,184
2025-12-29,728,0.7349,0.7349,0.7349,0.7349,132
2025-12-29,746,0.73,0.73,0.729,0.729,916
2025-12-29,800,0.74,0.74,0.73,0.74,1077
2025-12-29,801,0.735,0.775,0.7186,0.775,14336
2025-12-29,804,0.7234,0.7234,0.72,0.72,221
2025-12-29,806,0.7299,0.7299,0.7299,0.7299,1000
2025-12-29,812,0.7198,0.72,0.7198,0.72,662
2025-12-29,817,0.72,0.72,0.72,0.72,284
2025-12-29,829,0.7199,0.7199,0.71,0.71,2501
2025-12-29,830,0.7011,0.7011,0.7011,0.7011,1200
2025-12-29,831,0.7095,0.7095,0.7006,0.7006,2292
2025-12-29,858,0.708,0.708,0.708,0.708,3389
2025-12-29,904,0.7082,0.7082,0.7011,0.708,2122
2025-12-29,905,0.71,0.71,0.71,0.71,843
2025-12-29,920,0.71,0.7102,0.71,0.7101,1000
2025-12-29,923,0.7149,0.7149,0.7149,0.7149,243
2025-12-29,925,0.7083,0.7083,0.7083,0.7083,351
2025-12-29,926,0.7083,0.7083,0.7083,0.7083,1129
2025-12-29,928,0.7084,0.7084,0.7083,0.7083,464
2025-12-29,930,0.73,0.7355,0.7083,0.7083,6172
2025-12-29,934,0.7008,0.7101,0.7005,0.7009,6801
2025-12-29,935,0.7008,0.705,0.7008,0.7016,3833
2025-12-29,936,0.7015,0.7015,0.7015,0.7015,10100
2025-12-29,937,0.7058,0.7058,0.7035,0.7035,200
2025-12-29,938,0.71,0.7108,0.71,0.7108,2406
2025-12-29,939,0.7182,0.7205,0.7182,0.7205,3187
2025-12-29,940,0.7249,0.7249,0.7246,0.7246,720
2025-12-29,941,0.7348,0.7348,0.7242,0.7242,4812
2025-12-29,942,0.725,0.738,0.725,0.73,4659
2025-12-29,943,0.73,0.74,0.73,0.73,5923
2025-12-29,944,0.73,0.7352,0.7265,0.7305,1493
2025-12-29,945,0.7377,0.7377,0.7304,0.7304,5140
2025-12-29,946,0.74,0.74,0.7303,0.7303,7000
2025-12-29,947,0.7304,0.74,0.7303,0.74,10082
2025-12-29,948,0.7304,0.7426,0.7304,0.74,14772
2025-12-29,949,0.7352,0.7353,0.7272,0.73,4306
2025-12-29,950,0.72,0.72,0.7172,0.7172,1135
2025-12-29,954,0.7109,0.7109,0.7109,0.7109,2250
2025-12-29,955,0.7109,0.711,0.7109,0.711,3527
2025-12-29,956,0.7156,0.7348,0.7156,0.7348,1396
2025-12-29,958,0.73,0.73,0.73,0.73,680
2025-12-29,1005,0.7256,0.7256,0.7256,0.7256,100
2025-12-29,1009,0.7201,0.7201,0.7201,0.7201,247
2025-12-29,1010,0.72,0.7201,0.72,0.7201,992
2025-12-29,1014,0.72,0.72,0.72,0.72,131
2025-12-29,1016,0.711,0.711,0.711,0.711,136
2025-12-29,1017,0.72,0.72,0.72,0.72,192
2025-12-29,1018,0.7109,0.7109,0.7109,0.7109,1568
2025-12-29,1020,0.7118,0.7118,0.7109,0.7109,1415
2025-12-29,1021,0.7169,0.7198,0.7169,0.7196,5398
2025-12-29,1024,0.7111,0.7111,0.7,0.7008,4464
2025-12-29,1026,0.711,0.711,0.705,0.705,1873
2025-12-29,1027,0.7051,0.7051,0.7051,0.7051,1001
2025-12-29,1028,0.7067,0.7067,0.705,0.705,800
2025-12-29,1029,0.705,0.705,0.7,0.7,27166
2025-12-29,1030,0.7,0.7,0.6801,0.6802,4918
2025-12-29,1031,0.6802,0.6802,0.6638,0.6638,12905
2025-12-29,1033,0.6642,0.6642,0.6642,0.6642,183
2025-12-29,1034,0.6646,0.6646,0.6646,0.6646,204
2025-12-29,1035,0.6726,0.6726,0.665,0.665,1069
2025-12-29,1036,0.6724,0.6725,0.6724,0.6725,690
2025-12-29,1037,0.6769,0.6798,0.6754,0.6754,1070
2025-12-29,1038,0.6773,0.6783,0.6773,0.6783,349
2025-12-29,1039,0.6793,0.6793,0.672,0.672,3493
2025-12-29,1040,0.6797,0.6797,0.6797,0.6797,354
2025-12-29,1041,0.672,0.6796,0.672,0.6748,1850
2025-12-29,1042,0.67,0.67,0.66,0.66,7456
2025-12-29,1044,0.67,0.6796,0.67,0.6796,1500
2025-12-29,1046,0.664,0.664,0.664,0.664,1000
2025-12-29,1047,0.664,0.664,0.664,0.664,480
2025-12-29,1049,0.665,0.667,0.665,0.667,3286
2025-12-29,1050,0.664,0.664,0.664,0.664,221
2025-12-29,1051,0.6667,0.667,0.6667,0.667,504
2025-12-29,1052,0.6655,0.6655,0.6655,0.6655,153
2025-12-29,1053,0.667,0.667,0.667,0.667,322
2025-12-29,1054,0.6665,0.6691,0.6665,0.6691,2204
2025-12-29,1055,0.67,0.6781,0.67,0.6781,6025
2025-12-29,1056,0.6796,0.6991,0.6796,0.68,5590
2025-12-29,1057,0.6845,0.6845,0.6785,0.6785,3030
2025-12-29,1058,0.6701,0.6805,0.6701,0.6805,280
2025-12-29,1059,0.6785,0.6785,0.6785,0.6785,245
2025-12-29,1100,0.6911,0.6989,0.69,0.69,10207
2025-12-29,1102,0.6701,0.6701,0.67,0.6701,2001
2025-12-29,1103,0.6701,0.6761,0.6701,0.6761,345
2025-12-29,1105,0.6864,0.6864,0.6796,0.6796,249
2025-12-29,1106,0.6795,0.6899,0.6795,0.6898,2660
2025-12-29,1107,0.69,0.69,0.69,0.69,252
2025-12-29,1108,0.69,0.69,0.69,0.69,498
2025-12-29,1109,0.69,0.69,0.6899,0.6899,502
2025-12-29,1110,0.6894,0.6894,0.6894,0.6894,101
2025-12-29,1111,0.6857,0.69,0.6857,0.69,855
2025-12-29,1112,0.6858,0.6858,0.6858,0.6858,400
2025-12-29,1113,0.689,0.689,0.689,0.689,400
2025-12-29,1115,0.6842,0.6842,0.6842,0.6842,682
2025-12-29,1117,0.6866,0.6866,0.6866,0.6866,300
2025-12-29,1118,0.6885,0.6999,0.6885,0.6999,5300
2025-12-29,1119,0.6992,0.6992,0.6958,0.6958,2900
2025-12-29,1120,0.6922,0.6922,0.6888,0.6888,1390
2025-12-29,1121,0.6842,0.6842,0.6842,0.6842,1000
2025-12-29,1122,0.6955,0.6955,0.6897,0.6897,4520
2025-12-29,1124,0.6801,0.6846,0.6801,0.6846,2000
2025-12-29,1125,0.6801,0.6844,0.6801,0.6844,1110
2025-12-29,1126,0.6823,0.6823,0.6784,0.6784,3100
2025-12-29,1128,0.6786,0.6786,0.6786,0.6786,1000
2025-12-29,1129,0.697,0.697,0.697,0.697,1000
2025-12-29,1130,0.6969,0.697,0.6807,0.6877,2100
2025-12-29,1131,0.6948,0.6948,0.6948,0.6948,146
2025-12-29,1135,0.6914,0.6914,0.6914,0.6914,140
2025-12-29,1136,0.6948,0.6948,0.6948,0.6948,166
2025-12-29,1137,0.6922,0.6922,0.6922,0.6922,4000
2025-12-29,1138,0.6897,0.6919,0.6897,0.6919,8000
2025-12-29,1139,0.6948,0.6948,0.6874,0.6874,1100
2025-12-29,1142,0.6877,0.6877,0.6877,0.6877,500
2025-12-29,1144,0.6786,0.6786,0.6786,0.6786,101
2025-12-29,1146,0.6848,0.6848,0.6848,0.6848,110
2025-12-29,1147,0.68,0.68,0.68,0.68,724
2025-12-29,1148,0.6786,0.6848,0.6786,0.6848,1054
2025-12-29,1149,0.6866,0.6866,0.6802,0.6802,500
2025-12-29,1150,0.6829,0.6829,0.6829,0.6829,500
2025-12-29,1151,0.6828,0.6828,0.6828,0.6828,500
2025-12-29,1152,0.6857,0.6857,0.67,0.6749,4184
2025-12-29,1153,0.68,0.68,0.68,0.68,231
2025-12-29,1154,0.67,0.67,0.6657,0.6699,5408
2025-12-29,1155,0.6677,0.6698,0.6677,0.6698,1000
2025-12-29,1156,0.6686,0.6686,0.6677,0.6677,375
2025-12-29,1157,0.6678,0.6678,0.6678,0.6678,1061
2025-12-29,1158,0.67,0.67,0.67,0.67,134
2025-12-29,1200,0.67,0.67,0.67,0.67,366
2025-12-29,1202,0.6699,0.6699,0.6699,0.6699,378
2025-12-29,1203,0.6688,0.6688,0.6688,0.6688,200
2025-12-29,1207,0.6694,0.6694,0.6694,0.6694,475
2025-12-29,1208,0.6694,0.6694,0.66,0.66,7239
2025-12-29,1209,0.67,0.67,0.67,0.67,512
2025-12-29,1210,0.66,0.66,0.66,0.66,1000
2025-12-29,1211,0.662,0.662,0.662,0.662,336
2025-12-29,1215,0.66,0.66,0.6599,0.6599,1284
