date,time,open,high,low,close,volume
2025-12-31,1058,1.24,1.24,1.24,1.24,208
2025-12-31,1225,1.255,1.255,1.255,1.255,164
2025-12-31,1408,1.26,1.26,1.26,1.26,398
2025-12-31,1429,1.26,1.26,1.26,1.26,112
2025-12-31,1556,1.26,1.26,1.26,1.26,162
2026-01-02,1405,1.3,1.3,1.3,1.3,195
2026-01-05,1556,1.38,1.38,1.38,1.38,305
2026-01-05,1557,1.39,1.39,1.39,1.39,100
2026-01-05,1605,2.0,2.01,2.0,2.01,220
2026-01-05,1606,2.02,2.05,1.96,2.0,1970
2026-01-05,1607,1.98,1.99,1.92,1.92,1759
2026-01-05,1608,1.9,1.97,1.9,1.96,3274
2026-01-05,1609,2.01,2.07,1.99,2.04,2765
2026-01-05,1610,2.06,2.06,1.92,1.92,3055
2026-01-05,1611,1.94,1.97,1.93,1.97,955
2026-01-05,1612,2.02,2.02,1.97,2.0,1579
2026-01-05,1613,2.0,2.0,1.96,1.96,930
2026-01-05,1614,1.97,1.97,1.91,1.94,1382
2026-01-05,1615,1.96,2.07,1.96,2.07,1441
2026-01-05,1616,2.05,2.13,2.04,2.1,2005
2026-01-05,1617,2.1,2.1,2.03,2.03,1548
2026-01-05,1618,2.08,2.09,2.03,2.04,1213
2026-01-05,1619,2.07,2.07,2.03,2.04,1199
2026-01-05,1620,2.07,2.07,2.07,2.07,247
2026-01-05,1621,2.05,2.08,2.01,2.08,918
2026-01-05,1622,2.06,2.11,2.06,2.09,1857
2026-01-05,1623,2.08,2.08,2.03,2.05,1526
2026-01-05,1624,2.07,2.07,2.0,2.02,1213
2026-01-05,1625,2.04,2.05,2.03,2.03,610
2026-01-05,1626,2.04,2.04,2.01,2.01,834
2026-01-05,1627,2.0,2.02,2.0,2.0,621
2026-01-05,1628,2.0,2.06,2.0,2.04,1349
2026-01-05,1629,2.01,2.02,2.0,2.0,923
2026-01-05,1630,1.99,2.02,1.99,2.0,635
2026-01-05,1631,2.06,2.06,2.05,2.05,330
2026-01-05,1632,2.06,2.1,2.06,2.09,1705
2026-01-05,1633,2.08,2.08,2.04,2.07,1981
2026-01-05,1634,2.05,2.05,2.03,2.03,722
2026-01-05,1635,2.03,2.05,2.02,2.04,1260
2026-01-05,1636,2.01,2.03,2.01,2.01,1548
2026-01-05,1637,2.04,2.05,2.02,2.03,1053
2026-01-05,1638,2.02,2.06,2.01,2.06,1400
2026-01-05,1639,2.05,2.05,2.03,2.03,400
2026-01-05,1640,2.04,2.04,2.03,2.03,669
2026-01-05,1641,2.03,2.07,2.03,2.07,1487
2026-01-05,1642,2.11,2.11,2.04,2.04,2760
2026-01-05,1643,2.05,2.07,2.05,2.05,1400
2026-01-05,1644,2.03,2.03,2.01,2.02,2833
2026-01-05,1645,2.03,2.06,2.03,2.05,813
2026-01-05,1646,2.03,2.03,2.03,2.03,559
2026-01-05,1647,2.04,2.07,2.04,2.05,1200
2026-01-05,1649,2.04,2.04,2.01,2.01,1000
2026-01-05,1650,2.04,2.04,2.03,2.03,678
2026-01-05,1651,2.03,2.03,2.03,2.03,851
2026-01-05,1652,2.02,2.03,2.01,2.03,1000
2026-01-05,1653,2.07,2.08,2.05,2.08,918
2026-01-05,1654,2.07,2.09,2.07,2.08,1421
2026-01-05,1655,2.08,2.09,2.07,2.08,1345
2026-01-05,1656,2.06,2.06,2.06,2.06,891
2026-01-05,1657,2.07,2.09,2.07,2.07,1200
2026-01-05,1658,2.06,2.06,2.06,2.06,115
2026-01-05,1659,2.06,2.06,2.05,2.05,600
