date,time,open,high,low,close,volume
2025-12-31,1521,0.5459,0.5459,0.5459,0.5459,282
2026-01-05,952,0.68,0.68,0.68,0.68,100
2026-01-05,1003,0.7198,0.7198,0.7198,0.7198,417
2026-01-05,1005,0.7535,0.7809,0.7535,0.7809,4353
2026-01-05,1007,0.7446,0.7552,0.7446,0.7552,1314
2026-01-05,1009,0.7614,0.804,0.7614,0.804,2324
2026-01-05,1015,0.9143,0.939,0.9117,0.9152,18471
2026-01-05,1016,0.8523,0.8523,0.8443,0.8443,999
2026-01-05,1017,0.8507,0.8507,0.85,0.85,1280
2026-01-05,1019,0.9493,0.9739,0.9493,0.9739,1915
2026-01-05,1020,0.9753,0.9977,0.9753,0.997,3056
2026-01-05,1021,0.9121,0.9459,0.85,0.8541,4775
2026-01-05,1022,0.8021,0.8429,0.8,0.837,11644
2026-01-05,1023,0.8332,0.8332,0.8298,0.8298,4908
2026-01-05,1024,0.8401,0.8401,0.8401,0.8401,134
2026-01-05,1025,0.8677,0.8686,0.8677,0.8681,2976
2026-01-05,1027,0.8,0.86,0.8,0.8424,5100
2026-01-05,1028,0.8592,0.86,0.8592,0.86,700
2026-01-05,1029,0.8399,0.8399,0.8399,0.8399,139
2026-01-05,1030,0.8113,0.8113,0.81,0.81,1566
2026-01-05,1031,0.8278,0.8291,0.8278,0.8291,505
2026-01-05,1032,0.8224,0.8224,0.81,0.81,1734
2026-01-05,1033,0.807,0.8725,0.807,0.8715,3314
2026-01-05,1034,0.8716,0.9522,0.8716,0.9522,20557
2026-01-05,1035,0.9571,0.9571,0.9448,0.9448,2575
2026-01-05,1036,0.9271,0.9448,0.896,0.9021,3060
2026-01-05,1037,0.8962,0.9204,0.8953,0.9119,8480
2026-01-05,1038,0.9233,0.9448,0.8388,0.8561,11474
2026-01-05,1039,0.8399,0.8399,0.83,0.83,8307
2026-01-05,1040,0.8476,0.8616,0.8476,0.8616,2699
2026-01-05,1041,0.839,0.839,0.839,0.839,1256
2026-01-05,1042,0.839,0.839,0.83,0.83,1409
2026-01-05,1043,0.82,0.82,0.82,0.82,2900
2026-01-05,1045,0.8384,0.8384,0.8384,0.8384,100
2026-01-05,1046,0.8515,0.87,0.8515,0.8613,3751
2026-01-05,1050,0.8195,0.82,0.79,0.79,6226
2026-01-05,1054,0.79,0.79,0.79,0.79,700
2026-01-05,1055,0.79,0.79,0.79,0.79,100
2026-01-05,1056,0.7547,0.7755,0.7547,0.7755,1551
2026-01-05,1057,0.7632,0.7632,0.7632,0.7632,500
2026-01-05,1058,0.7546,0.7547,0.7546,0.7547,200
2026-01-05,1105,0.7836,0.798,0.7836,0.798,500
2026-01-05,1107,0.8107,0.8107,0.8041,0.8078,4457
2026-01-05,1108,0.8142,0.8142,0.8142,0.8142,1749
2026-01-05,1109,0.81,0.81,0.81,0.81,1400
2026-01-05,1111,0.7826,0.7826,0.7826,0.7826,100
2026-01-05,1113,0.7831,0.7833,0.7831,0.7833,2100
2026-01-05,1114,0.777,0.777,0.777,0.777,500
2026-01-05,1115,0.783,0.783,0.783,0.783,2000
2026-01-05,1117,0.7769,0.7769,0.7769,0.7769,500
2026-01-05,1118,0.7646,0.766,0.7613,0.7649,2900
2026-01-05,1123,0.8021,0.8021,0.8021,0.8021,100
2026-01-05,1131,0.7827,0.7827,0.7827,0.7827,100
2026-01-05,1132,0.8179,0.8179,0.8071,0.8094,631
2026-01-05,1134,0.82,0.82,0.8199,0.8199,699
2026-01-05,1135,0.839,0.84,0.839,0.84,2356
2026-01-05,1136,0.837,0.8491,0.8322,0.8491,6977
2026-01-05,1137,0.8437,0.8489,0.8352,0.8352,1076
2026-01-05,1141,0.7839,0.7839,0.7839,0.7839,2200
2026-01-05,1144,0.7608,0.7608,0.7603,0.7603,800
2026-01-05,1154,0.755,0.755,0.755,0.755,5420
2026-01-05,1155,0.764,0.764,0.764,0.764,1300
2026-01-05,1210,0.7251,0.7257,0.7251,0.7257,484
2026-01-05,1215,0.7244,0.7244,0.7244,0.7244,428
2026-01-05,1223,0.7227,0.7227,0.7227,0.7227,284
2026-01-05,1225,0.7227,0.7227,0.7227,0.7227,1001
2026-01-05,1227,0.7007,0.7026,0.7003,0.7026,4200
2026-01-05,1231,0.7082,0.7082,0.7082,0.7082,362
2026-01-05,1237,0.7012,0.7012,0.7012,0.7012,4138
2026-01-05,1238,0.7074,0.7074,0.7074,0.7074,100
2026-01-05,1254,0.72,0.72,0.72,0.72,1277
2026-01-05,1311,0.7012,0.7012,0.7012,0.7012,800
2026-01-05,1324,0.7087,0.7087,0.7087,0.7087,1800
2026-01-05,1330,0.707,0.707,0.707,0.707,2000
2026-01-05,1345,0.775,0.775,0.775,0.775,6098
2026-01-05,1348,0.81,0.82,0.81,0.82,2319
2026-01-05,1349,0.82,0.82,0.82,0.82,2930
2026-01-05,1350,0.8232,0.8315,0.8157,0.8157,5098
2026-01-05,1351,0.8209,0.8209,0.8209,0.8209,2500
2026-01-05,1354,0.7946,0.7946,0.7945,0.7945,2000
2026-01-05,1355,0.7939,0.7939,0.7913,0.7913,2497
2026-01-05,1356,0.7929,0.7929,0.7929,0.7929,500
2026-01-05,1359,0.77,0.77,0.77,0.77,314
2026-01-05,1403,0.8029,0.8029,0.8029,0.8029,100
2026-01-05,1408,0.8001,0.8001,0.8001,0.8001,115
2026-01-05,1414,0.823,0.823,0.823,0.823,299
2026-01-05,1416,0.8316,0.8316,0.8316,0.8316,100
2026-01-05,1503,0.83,0.83,0.83,0.83,200
2026-01-05,1520,0.837,0.837,0.837,0.837,100
2026-01-05,1534,0.8217,0.8217,0.8217,0.8217,100
2026-01-05,1554,0.8258,0.83,0.8258,0.83,250
2026-01-05,1555,0.83,0.83,0.83,0.83,354
2026-01-05,1559,0.8357,0.8415,0.8357,0.8415,3939
