date,time,open,high,low,close,volume
2025-12-31,930,0.2445,0.2451,0.2445,0.2451,200
2025-12-31,1026,0.2628,0.2628,0.2628,0.2628,300
2025-12-31,1101,0.2629,0.2629,0.2629,0.2629,600
2025-12-31,1103,0.2625,0.2625,0.2523,0.26,3751
2025-12-31,1141,0.258,0.258,0.258,0.258,300
2025-12-31,1154,0.2541,0.2541,0.2541,0.2541,100
2025-12-31,1158,0.25,0.25,0.25,0.25,1000
2025-12-31,1159,0.25,0.25,0.25,0.25,4000
2025-12-31,1203,0.247,0.2476,0.247,0.2476,300
2025-12-31,1204,0.2454,0.2454,0.2454,0.2454,100
2025-12-31,1206,0.2475,0.2475,0.2452,0.2452,700
2025-12-31,1213,0.2456,0.2456,0.2454,0.2454,200
2025-12-31,1216,0.2454,0.2454,0.2454,0.2454,300
2025-12-31,1217,0.2436,0.2436,0.236,0.236,2300
2025-12-31,1218,0.24,0.24,0.24,0.24,100
2025-12-31,1220,0.2428,0.2428,0.2428,0.2428,200
2025-12-31,1221,0.2345,0.2345,0.2345,0.2345,700
2025-12-31,1224,0.2305,0.2305,0.2305,0.2305,500
2025-12-31,1238,0.2381,0.2381,0.2381,0.2381,149
2025-12-31,1248,0.242,0.244,0.242,0.244,1209
2025-12-31,1250,0.2415,0.2415,0.2415,0.2415,100
2025-12-31,1309,0.2441,0.2441,0.2441,0.2441,800
2025-12-31,1311,0.2423,0.2441,0.241,0.2441,400
2025-12-31,1318,0.2412,0.2412,0.2412,0.2412,100
2025-12-31,1325,0.2435,0.2435,0.2435,0.2435,100
2025-12-31,1326,0.2415,0.2415,0.2411,0.2411,400
2025-12-31,1341,0.243,0.243,0.243,0.243,1000
2025-12-31,1403,0.2499,0.2499,0.2499,0.2499,100
2025-12-31,1436,0.246,0.2462,0.246,0.2462,300
2025-12-31,1451,0.248,0.248,0.248,0.248,100
2025-12-31,1528,0.246,0.246,0.246,0.246,475
2025-12-31,1553,0.2461,0.2461,0.2461,0.2461,3765
2025-12-31,1557,0.246,0.246,0.246,0.246,200
2026-01-02,930,0.2208,0.2208,0.2208,0.2208,200
2026-01-02,938,0.223,0.223,0.223,0.223,200
2026-01-02,943,0.2237,0.2237,0.2237,0.2237,100
2026-01-02,945,0.2261,0.2261,0.2223,0.2223,200
2026-01-02,1002,0.2207,0.2207,0.2207,0.2207,100
2026-01-02,1003,0.2195,0.2195,0.2195,0.2195,100
2026-01-02,1013,0.2216,0.2219,0.2215,0.2219,400
2026-01-02,1015,0.2217,0.2217,0.2217,0.2217,100
2026-01-02,1017,0.2216,0.2216,0.2189,0.2189,300
2026-01-02,1018,0.219,0.2192,0.219,0.2192,200
2026-01-02,1051,0.2273,0.2273,0.2273,0.2273,100
2026-01-02,1111,0.2287,0.2287,0.2287,0.2287,101
2026-01-02,1118,0.229,0.229,0.229,0.229,100
2026-01-02,1144,0.2289,0.2289,0.2289,0.2289,100
2026-01-02,1210,0.226,0.226,0.226,0.226,200
2026-01-02,1212,0.2261,0.2261,0.2261,0.2261,100
2026-01-02,1350,0.2278,0.2278,0.2278,0.2278,100
2026-01-02,1525,0.2377,0.2377,0.2377,0.2377,200
2026-01-02,1526,0.2374,0.2374,0.2374,0.2374,100
2026-01-02,1530,0.234,0.234,0.234,0.234,600
2026-01-02,1538,0.24,0.24,0.24,0.24,4000
2026-01-02,1539,0.2493,0.2493,0.2493,0.2493,100
2026-01-02,1540,0.2469,0.2469,0.2469,0.2469,200
2026-01-02,1549,0.251,0.251,0.25,0.25,1700
2026-01-02,1552,0.25,0.25,0.25,0.25,1000
2026-01-02,1622,0.264,0.264,0.264,0.264,200
2026-01-05,930,0.3011,0.3011,0.3011,0.3011,400
2026-01-05,931,0.2963,0.2965,0.2963,0.2965,300
2026-01-05,941,0.311,0.311,0.311,0.311,117
2026-01-05,948,0.2954,0.2954,0.2954,0.2954,100
2026-01-05,1000,0.2925,0.2925,0.2925,0.2925,1100
2026-01-05,1005,0.293,0.293,0.293,0.293,2200
2026-01-05,1011,0.3028,0.3028,0.3028,0.3028,1000
2026-01-05,1013,0.306,0.306,0.306,0.306,1000
2026-01-05,1018,0.3179,0.3179,0.3179,0.3179,210
2026-01-05,1021,0.3184,0.3184,0.3184,0.3184,800
2026-01-05,1030,0.3172,0.3172,0.3149,0.3149,1000
2026-01-05,1034,0.3215,0.3215,0.3206,0.3206,200
2026-01-05,1037,0.3173,0.3173,0.317,0.317,1749
2026-01-05,1038,0.314,0.314,0.314,0.314,200
2026-01-05,1040,0.311,0.3117,0.311,0.3117,221
