date,time,open,high,low,close,volume
2025-12-31,930,5.78,5.78,5.78,5.78,150
2025-12-31,931,6.155,6.305,6.155,6.305,251
2025-12-31,933,6.38,6.54,6.38,6.405,1150
2025-12-31,934,6.59,6.59,6.53,6.53,350
2025-12-31,935,6.53,6.53,6.53,6.53,125
2025-12-31,936,6.65,6.65,6.65,6.65,100
2025-12-31,939,6.79,6.79,6.79,6.79,100
2025-12-31,1000,6.47,6.47,6.47,6.47,100
2025-12-31,1002,6.535,6.535,6.535,6.535,138
2025-12-31,1029,6.79,6.79,6.79,6.79,157
2025-12-31,1030,6.99,6.99,6.99,6.99,171
2025-12-31,1032,7.09,7.09,7.09,7.09,100
2025-12-31,1033,7.14,7.14,7.14,7.14,500
2025-12-31,1035,7.02,7.09,6.955,7.03,500
2025-12-31,1039,6.88,6.88,6.88,6.88,200
2025-12-31,1041,7.08,7.145,7.08,7.145,200
2025-12-31,1042,7.11,7.16,7.11,7.15,400
2025-12-31,1051,6.66,6.66,6.66,6.66,100
2025-12-31,1108,6.22,6.22,6.22,6.22,100
2025-12-31,1109,6.085,6.085,6.085,6.085,100
2025-12-31,1115,6.295,6.295,6.28,6.28,200
2025-12-31,1117,6.23,6.23,6.23,6.23,100
2025-12-31,1142,6.31,6.31,6.31,6.31,200
2025-12-31,1146,6.19,6.19,6.19,6.19,120
2025-12-31,1154,5.94,5.94,5.94,5.94,100
2025-12-31,1206,5.49,5.49,5.49,5.49,300
2025-12-31,1210,5.66,5.66,5.66,5.66,100
2025-12-31,1220,5.82,5.82,5.82,5.82,100
2025-12-31,1235,5.7,5.7,5.7,5.7,150
2025-12-31,1300,5.45,5.45,5.45,5.45,100
2025-12-31,1305,5.41,5.41,5.41,5.41,100
2025-12-31,1309,5.49,5.49,5.49,5.49,100
2025-12-31,1312,5.48,5.48,5.48,5.48,100
2025-12-31,1326,5.32,5.32,5.24,5.24,200
2025-12-31,1409,5.3,5.3,5.3,5.3,100
2025-12-31,1412,5.265,5.265,5.265,5.265,100
2025-12-31,1421,5.14,5.14,5.13,5.13,292
2025-12-31,1432,4.94,4.94,4.94,4.94,100
2025-12-31,1553,4.93,4.93,4.93,4.93,100
2025-12-31,1558,4.91,4.91,4.91,4.91,104
2026-01-02,945,5.75,5.84,5.75,5.84,211
2026-01-02,1007,5.57,5.57,5.57,5.57,100
2026-01-02,1011,5.605,5.605,5.605,5.605,100
2026-01-02,1015,5.61,5.61,5.61,5.61,110
2026-01-02,1016,5.64,5.65,5.625,5.65,300
2026-01-02,1021,5.505,5.505,5.505,5.505,100
2026-01-02,1048,5.5,5.5,5.5,5.5,100
2026-01-02,1056,5.83,5.83,5.83,5.83,174
2026-01-02,1126,5.85,5.85,5.85,5.85,100
2026-01-02,1132,5.755,5.755,5.755,5.755,100
2026-01-02,1133,5.755,5.755,5.755,5.755,100
2026-01-02,1134,5.755,5.755,5.755,5.755,200
2026-01-02,1136,5.74,5.74,5.74,5.74,200
