date,time,open,high,low,close,volume
2026-01-02,1559,0.443,0.443,0.443,0.443,100
2026-01-05,935,0.52,0.52,0.52,0.52,1780
2026-01-05,941,0.7943,0.8298,0.7943,0.8298,400
2026-01-05,947,0.9943,0.9943,0.9861,0.9861,1723
2026-01-05,948,0.87,0.99,0.87,0.945,11236
2026-01-05,949,0.9374,0.9561,0.8999,0.9561,6245
2026-01-05,950,1.015,1.1,1.015,1.04,10502
2026-01-05,951,1.035,1.05,0.98,1.04,6656
2026-01-05,952,1.045,1.045,0.9993,1.005,3678
2026-01-05,953,0.9999,1.04,0.9999,1.01,8974
2026-01-05,954,1.0,1.01,0.9327,0.9327,4321
2026-01-05,955,0.943,0.9688,0.942,0.9629,2498
2026-01-05,956,0.9817,1.1,0.9815,1.07,14601
2026-01-05,957,1.07,1.16,1.07,1.16,30828
2026-01-05,1002,1.155,1.185,1.115,1.125,6084
2026-01-05,1003,1.125,1.26,1.12,1.25,13701
2026-01-05,1004,1.25,1.26,1.205,1.24,12373
2026-01-05,1005,1.28,1.31,1.22,1.255,7760
2026-01-05,1006,1.255,1.26,1.185,1.21,7288
2026-01-05,1007,1.23,1.23,1.19,1.205,5637
2026-01-05,1008,1.225,1.225,1.08,1.08,8613
2026-01-05,1014,1.11,1.28,1.11,1.27,2200
2026-01-05,1015,1.27,1.27,1.22,1.23,2297
2026-01-05,1016,1.23,1.29,1.23,1.27,8481
2026-01-05,1017,1.27,1.34,1.24,1.31,8372
2026-01-05,1018,1.33,1.375,1.31,1.33,5379
2026-01-05,1019,1.3,1.36,1.29,1.31,7028
2026-01-05,1020,1.31,1.31,1.285,1.285,2397
2026-01-05,1021,1.315,1.335,1.23,1.25,7712
2026-01-05,1022,1.27,1.31,1.27,1.31,4097
2026-01-05,1023,1.31,1.34,1.26,1.34,2823
2026-01-05,1024,1.345,1.345,1.26,1.26,1060
2026-01-05,1025,1.255,1.255,1.21,1.255,3952
2026-01-05,1026,1.245,1.25,1.22,1.23,2225
2026-01-05,1027,1.23,1.27,1.23,1.23,5581
2026-01-05,1028,1.185,1.33,1.17,1.33,14868
2026-01-05,1029,1.325,1.33,1.29,1.29,5597
