date,time,open,high,low,close,volume
2025-12-31,1101,0.62,0.62,0.62,0.62,100
2025-12-31,1102,0.62,0.62,0.62,0.62,300
2025-12-31,1142,0.6217,0.6217,0.6217,0.6217,100
2025-12-31,1228,0.6031,0.6031,0.6031,0.6031,100
2025-12-31,1230,0.6003,0.6003,0.6003,0.6003,100
2025-12-31,1233,0.61,0.61,0.61,0.61,200
2025-12-31,1234,0.6026,0.6026,0.602,0.602,200
2025-12-31,1236,0.6043,0.6043,0.6043,0.6043,300
2025-12-31,1417,0.6453,0.6453,0.6453,0.6453,100
2025-12-31,1446,0.67,0.67,0.67,0.67,190
2026-01-02,1134,0.6828,0.6828,0.6828,0.6828,100
2026-01-02,1149,0.6828,0.6828,0.6828,0.6828,100
2026-01-02,1157,0.688,0.688,0.688,0.688,100
2026-01-02,1159,0.6925,0.6925,0.6925,0.6925,100
2026-01-02,1207,0.6925,0.6925,0.6925,0.6925,100
2026-01-05,931,0.8918,0.8918,0.8915,0.8915,200
2026-01-05,933,0.9026,0.9026,0.9026,0.9026,100
2026-01-05,935,0.903,0.903,0.9015,0.9015,200
2026-01-05,936,0.8962,0.8962,0.8962,0.8962,100
2026-01-05,938,0.8811,0.8811,0.8811,0.8811,100
2026-01-05,952,0.9414,0.9414,0.9414,0.9414,200
2026-01-05,954,0.9691,0.97,0.9691,0.97,300
2026-01-05,955,1.01,1.02,1.01,1.02,200
2026-01-05,956,1.025,1.025,1.025,1.025,170
2026-01-05,957,1.03,1.03,1.03,1.03,300
2026-01-05,958,1.02,1.025,1.0,1.0,2430
2026-01-05,1000,1.01,1.01,1.01,1.01,430
2026-01-05,1001,1.03,1.03,1.03,1.03,142
2026-01-05,1002,1.01,1.015,1.01,1.015,600
2026-01-05,1003,0.9633,0.9645,0.9633,0.9645,400
2026-01-05,1004,1.025,1.025,0.998,0.998,2000
2026-01-05,1005,0.9942,0.996,0.9911,0.9911,2300
2026-01-05,1006,0.9838,0.9838,0.97,0.9783,1894
2026-01-05,1008,0.9577,0.9577,0.9577,0.9577,100
2026-01-05,1009,0.9517,0.9521,0.9517,0.9521,200
2026-01-05,1010,0.99,1.03,0.99,1.03,4100
2026-01-05,1011,1.05,1.07,1.045,1.07,6189
2026-01-05,1012,1.04,1.045,1.04,1.045,600
2026-01-05,1013,1.035,1.035,1.035,1.035,349
2026-01-05,1014,0.9845,0.9845,0.9845,0.9845,100
2026-01-05,1018,0.9932,0.9932,0.9884,0.9887,300
2026-01-05,1025,0.94,0.94,0.9378,0.9378,300
2026-01-05,1038,0.934,0.934,0.934,0.934,279
2026-01-05,1047,0.9321,0.9321,0.9321,0.9321,100
2026-01-05,1057,0.9499,0.95,0.9499,0.95,1450
2026-01-05,1059,0.96,1.005,0.96,0.9965,4198
2026-01-05,1100,1.015,1.08,1.015,1.08,8904
2026-01-05,1101,1.055,1.055,1.05,1.05,1399
2026-01-05,1102,1.08,1.08,1.08,1.08,100
2026-01-05,1103,1.06,1.06,1.06,1.06,1200
2026-01-05,1105,1.05,1.05,1.05,1.05,500
2026-01-05,1107,0.992,0.992,0.992,0.992,700
2026-01-05,1109,1.015,1.015,1.015,1.015,100
2026-01-05,1111,1.03,1.03,1.03,1.03,100
2026-01-05,1112,1.09,1.095,1.09,1.095,4576
2026-01-05,1113,1.125,1.125,1.11,1.11,4693
2026-01-05,1114,1.14,1.14,1.14,1.14,280
2026-01-05,1117,1.12,1.13,1.12,1.13,800
2026-01-05,1129,1.015,1.015,1.015,1.015,100
2026-01-05,1130,1.04,1.04,1.04,1.04,700
2026-01-05,1132,1.02,1.02,1.02,1.02,500
2026-01-05,1134,1.03,1.03,1.03,1.03,198
2026-01-05,1135,1.035,1.035,1.035,1.035,1200
2026-01-05,1136,1.015,1.015,1.01,1.01,1100
2026-01-05,1151,1.01,1.01,1.01,1.01,100
2026-01-05,1156,1.06,1.06,1.06,1.06,5457
2026-01-05,1207,1.035,1.035,1.035,1.035,131
2026-01-05,1208,1.04,1.04,1.04,1.04,100
2026-01-05,1220,1.05,1.05,1.05,1.05,110
2026-01-05,1221,1.04,1.04,1.04,1.04,100
2026-01-05,1222,1.05,1.05,1.05,1.05,300
2026-01-05,1236,1.075,1.075,1.075,1.075,1305
2026-01-05,1238,1.07,1.07,1.07,1.07,100
2026-01-05,1239,1.05,1.05,1.05,1.05,300
2026-01-05,1241,1.04,1.04,1.04,1.04,100
2026-01-05,1246,1.065,1.065,1.065,1.065,110
2026-01-05,1248,1.06,1.06,1.055,1.055,500
2026-01-05,1304,1.07,1.07,1.07,1.07,300
2026-01-05,1312,1.065,1.065,1.065,1.065,200
2026-01-05,1313,1.05,1.05,1.05,1.05,296
2026-01-05,1333,1.09,1.09,1.09,1.09,400
2026-01-05,1336,1.135,1.135,1.135,1.135,100
2026-01-05,1337,1.135,1.135,1.135,1.135,205
2026-01-05,1338,1.135,1.135,1.135,1.135,500
2026-01-05,1340,1.09,1.09,1.09,1.09,300
2026-01-05,1349,1.065,1.065,1.065,1.065,120
2026-01-05,1351,1.075,1.075,1.075,1.075,120
2026-01-05,1354,1.08,1.08,1.08,1.08,600
2026-01-05,1355,1.09,1.09,1.09,1.09,500
2026-01-05,1405,1.09,1.09,1.09,1.09,800
2026-01-05,1422,1.11,1.11,1.11,1.11,200
2026-01-05,1425,1.115,1.115,1.115,1.115,200
2026-01-05,1438,1.135,1.135,1.135,1.135,237
2026-01-05,1443,1.14,1.14,1.135,1.135,447
2026-01-05,1444,1.135,1.135,1.135,1.135,436
2026-01-05,1446,1.155,1.155,1.155,1.155,100
2026-01-05,1447,1.155,1.155,1.155,1.155,100
2026-01-05,1448,1.185,1.185,1.185,1.185,380
2026-01-05,1450,1.185,1.195,1.185,1.195,476
2026-01-05,1452,1.205,1.215,1.205,1.215,1000
2026-01-05,1453,1.215,1.215,1.21,1.21,2499
2026-01-05,1454,1.215,1.23,1.215,1.23,800
2026-01-05,1455,1.255,1.255,1.225,1.225,625
2026-01-05,1456,1.225,1.225,1.175,1.205,1997
2026-01-05,1457,1.205,1.21,1.185,1.185,895
2026-01-05,1458,1.185,1.19,1.175,1.175,604
2026-01-05,1459,1.2,1.215,1.2,1.215,502
2026-01-05,1500,1.225,1.225,1.225,1.225,1056
2026-01-05,1501,1.195,1.195,1.195,1.195,120
2026-01-05,1502,1.215,1.215,1.215,1.215,132
2026-01-05,1504,1.28,1.285,1.28,1.285,616
2026-01-05,1513,1.245,1.245,1.24,1.24,284
2026-01-05,1514,1.25,1.25,1.25,1.25,136
2026-01-05,1516,1.25,1.25,1.25,1.25,144
2026-01-05,1520,1.285,1.295,1.285,1.295,250
2026-01-05,1521,1.285,1.285,1.285,1.285,100
2026-01-05,1522,1.29,1.29,1.29,1.29,100
2026-01-05,1523,1.31,1.34,1.31,1.34,500
2026-01-05,1525,1.275,1.275,1.275,1.275,151
2026-01-05,1526,1.27,1.27,1.27,1.27,161
2026-01-05,1529,1.345,1.345,1.325,1.325,309
2026-01-05,1530,1.325,1.325,1.31,1.31,675
2026-01-05,1531,1.395,1.395,1.385,1.385,1932
2026-01-05,1532,1.395,1.395,1.395,1.395,1200
2026-01-05,1533,1.385,1.385,1.385,1.385,243
2026-01-05,1534,1.38,1.39,1.34,1.34,2100
2026-01-05,1536,1.345,1.345,1.345,1.345,1309
2026-01-05,1537,1.335,1.335,1.33,1.335,2364
2026-01-05,1538,1.33,1.33,1.33,1.33,200
2026-01-05,1539,1.33,1.33,1.33,1.33,499
2026-01-05,1540,1.305,1.33,1.305,1.33,1548
2026-01-05,1544,1.355,1.355,1.34,1.34,680
2026-01-05,1545,1.365,1.365,1.365,1.365,185
2026-01-05,1550,1.335,1.335,1.335,1.335,1390
2026-01-05,1551,1.335,1.335,1.335,1.335,112
2026-01-05,1553,1.36,1.37,1.36,1.37,1800
2026-01-05,1554,1.375,1.405,1.375,1.405,2140
2026-01-05,1556,1.395,1.4,1.395,1.4,1005
2026-01-05,1557,1.385,1.385,1.385,1.385,1456
2026-01-05,1558,1.425,1.435,1.425,1.425,1267
2026-01-05,1603,1.26,1.26,1.23,1.23,200
2026-01-05,1604,1.22,1.22,1.22,1.22,200
2026-01-05,1608,1.28,1.28,1.28,1.28,500
2026-01-05,1612,1.26,1.26,1.26,1.26,114
2026-01-05,1613,1.26,1.26,1.26,1.26,500
2026-01-05,1615,1.26,1.26,1.26,1.26,200
2026-01-05,1617,1.26,1.26,1.26,1.26,200
2026-01-05,1620,1.21,1.21,1.21,1.21,500
2026-01-05,1621,1.21,1.23,1.21,1.23,800
2026-01-05,1622,1.27,1.27,1.27,1.27,200
2026-01-05,1623,1.28,1.28,1.28,1.28,100
2026-01-05,1625,1.28,1.28,1.28,1.28,100
2026-01-05,1627,1.28,1.28,1.28,1.28,100
