date,time,open,high,low,close,volume
2025-12-31,1101,0.6002,0.6002,0.6002,0.6002,100
2026-01-02,1525,0.6603,0.6603,0.6603,0.6603,100
2026-01-02,1547,0.658,0.658,0.658,0.658,180
2026-01-02,1559,0.6739,0.6746,0.6739,0.6746,379
2026-01-05,808,0.762,0.762,0.762,0.762,100
2026-01-05,814,0.865,0.865,0.865,0.865,300
2026-01-05,815,0.832,0.832,0.832,0.832,100
2026-01-05,817,0.812,0.812,0.812,0.812,1000
2026-01-05,825,0.8341,0.8341,0.8341,0.8341,893
2026-01-05,826,0.867,0.8921,0.867,0.8921,1393
2026-01-05,827,0.9001,0.9001,0.9001,0.9001,1000
2026-01-05,830,0.8802,0.8802,0.8802,0.8802,100
2026-01-05,831,0.8622,0.8622,0.8622,0.8622,1200
2026-01-05,840,0.8649,0.8649,0.8649,0.8649,1900
2026-01-05,842,1.02,1.03,1.0,1.01,5244
2026-01-05,844,0.98,0.98,0.98,0.98,202
2026-01-05,845,1.02,1.06,0.98,1.02,7603
2026-01-05,846,1.01,1.01,0.9891,0.9999,2228
2026-01-05,848,0.96,0.96,0.96,0.96,100
2026-01-05,850,0.9922,1.0,0.9922,1.0,850
2026-01-05,852,1.01,1.1,1.01,1.07,8311
2026-01-05,853,1.08,1.1,1.07,1.09,5516
2026-01-05,854,1.1,1.17,1.09,1.14,20883
2026-01-05,855,1.14,1.14,1.09,1.1,15065
2026-01-05,856,1.1,1.16,1.09,1.14,15045
2026-01-05,857,1.14,1.17,1.1,1.1,11722
2026-01-05,858,1.1,1.12,1.09,1.11,16837
2026-01-05,859,1.11,1.16,1.11,1.13,23177
2026-01-05,900,1.14,1.15,1.11,1.11,23418
2026-01-05,901,1.12,1.12,1.07,1.1,39409
2026-01-05,902,1.08,1.11,1.07,1.11,23677
2026-01-05,903,1.11,1.14,1.09,1.09,36906
2026-01-05,904,1.08,1.17,1.07,1.15,40767
2026-01-05,905,1.15,1.15,1.09,1.1,26679
2026-01-05,906,1.09,1.12,1.08,1.08,21865
2026-01-05,907,1.08,1.1,1.08,1.09,4585
2026-01-05,908,1.1,1.13,1.09,1.13,13477
2026-01-05,909,1.13,1.14,1.12,1.12,9699
2026-01-05,910,1.12,1.16,1.12,1.12,15274
2026-01-05,911,1.11,1.12,1.07,1.08,10077
2026-01-05,912,1.08,1.1,1.08,1.1,16037
2026-01-05,913,1.09,1.1,1.09,1.1,4236
2026-01-05,914,1.09,1.09,1.07,1.07,13862
2026-01-05,915,1.08,1.12,1.08,1.11,9285
2026-01-05,916,1.11,1.11,1.1,1.1,5413
2026-01-05,917,1.11,1.11,1.1,1.1,1853
2026-01-05,918,1.11,1.13,1.11,1.13,15985
2026-01-05,919,1.12,1.12,1.11,1.11,7301
2026-01-05,920,1.11,1.11,1.08,1.1,7609
2026-01-05,921,1.1,1.1,1.07,1.07,12246
2026-01-05,922,1.08,1.08,1.07,1.07,6300
2026-01-05,923,1.07,1.07,1.03,1.03,14772
2026-01-05,924,1.03,1.04,1.03,1.03,13152
2026-01-05,925,1.03,1.06,1.03,1.06,8998
