date,symbol,strategy,entry_price,exit_price,qty,net_pnl,exit_reason
2024-11-08,NMHI,NEW_PRE,5.325,5.05875,1840,-489.9,SL
2024-11-18,NIVF,NEW_PRE,3255.0,3092.25,3,-488.25,SL
2024-11-29,PRFX,NEW_PRE,2.91,3.1137,3367,685.86,TP
2024-12-02,SNTI,NEW_PRE,2.5,2.6750000000000003,3920,686.0,TP
2024-12-02,EHGO,NEW_PRE,4.19,3.9805,2499,-523.54,SL
2024-12-05,TARA,NEW_PRE,3.67,3.9269000000000003,2670,685.92,TP
2024-12-05,PRFX,NEW_PRE,4.0,4.28,2618,733.04,TP
2024-12-06,ALBT,NEW_PRE,2.99,2.8405,3277,-489.91,SL
2024-12-06,UPC,NEW_PRE,51.6,55.212,180,650.16,TP
2024-12-11,NIVF,NEW_PRE,1955.0,1857.25,5,-488.75,SL
2024-12-20,PBM,NEW_PRE,22.4,23.968,437,685.22,TP
2024-12-27,RAY,NEW_PRE,24.16,25.851200000000002,405,684.94,TP
2024-12-30,RVSN,NEW_PRE,1.41,1.3395,6950,-489.98,SL
2024-12-30,REKR,NEW_PRE,1.56,1.6692000000000002,5974,652.36,TP
2024-12-31,BREA,NEW_PRE,7.386,7.903020000000001,1326,685.57,TP
2025-01-06,SPRC,NEW_PRE,13.23,14.156100000000002,740,685.31,TP
2025-01-06,FUBO,NEW_PRE,1.44,1.3679999999999999,7271,-523.51,SL
2025-01-07,MDIA,NEW_PRE,1.18,1.121,8305,-489.99,SL
2025-01-07,EZGO,NEW_PRE,15.88,16.991600000000002,586,651.4,TP
2025-01-07,MSAI,NEW_PRE,2.9,3.103,3433,696.9,TP
2025-01-07,IMRX,NEW_PRE,2.37,2.5359000000000003,4489,744.73,TP
2025-01-07,XTIA,NEW_PRE,36.38,38.92660000000001,312,794.54,TP
2025-01-07,CERO,NEW_PRE,100.0,107.0,121,847.0,TP
2025-01-08,JBDI,NEW_PRE,0.9785,1.0469950000000001,10015,685.98,TP
2025-01-08,EONR,NEW_PRE,0.802,0.8581400000000001,13057,733.02,TP
2025-01-10,VMAR,NEW_PRE,17.0,18.19,576,685.44,TP
2025-01-10,AIFF,NEW_PRE,2.67,2.5364999999999998,3921,-523.45,SL
2025-01-13,ATPC,NEW_PRE,1.51,1.6157000000000001,6490,685.99,TP
2025-01-14,AIFF,NEW_PRE,1.9,2.033,5157,685.88,TP
2025-01-17,ZEO,NEW_PRE,2.93,3.1351000000000004,3344,685.85,TP
2025-01-30,NWTG,NEW_PRE,21.92,23.454400000000003,447,685.88,TP
2025-02-12,NWTG,NEW_PRE,12.61,13.492700000000001,777,685.86,TP
2025-03-31,NWTG,NEW_PRE,1.57,1.6799000000000002,6242,686.0,TP
2025-06-02,NIVF,NEW_PRE,49.5,47.025,197,-487.58,SL
2025-06-17,SLRX,NEW_PRE,17.7,16.814999999999998,553,-489.41,SL
2025-06-27,DAIC,NEW_PRE,16.95,16.1025,578,-489.86,SL
2025-07-02,DAIC,NEW_PRE,10.33,11.0531,948,685.5,TP
2025-07-31,PBM,NEW_PRE,5.69,5.4055,1722,-489.91,SL
2025-09-10,JBDI,NEW_PRE,1.79,1.9153000000000002,5474,685.89,TP
2025-09-17,SPRC,NEW_PRE,3.71,3.9697,2641,685.87,TP
2025-09-19,AMCI,NEW_PRE,24.74,26.471799999999998,396,685.79,TP
2025-09-23,GLTO,NEW_PRE,3.08,3.2956000000000003,3181,685.82,TP
2025-09-25,SPRC,NEW_PRE,3.77,4.0339,2599,685.88,TP
