date,symbol,strategy,entry_price,exit_price,qty,gross_pnl,entry_cost,exit_cost,net_pnl,exit_reason,slippage_pct
2024-11-08,NMHI,NEW_PRE,5.332696351751928,5.0221216684847505,1789,-555.62,9.16,9.4,-574.18,SL,0.8673377807052143
2024-11-18,NIVF,NEW_PRE,3267.8438552084153,3047.383479003303,1,-220.46,1.07,1.07,-222.6,SL,1.8382693515572681
2024-11-29,PRFX,NEW_PRE,2.913279950389168,2.844497665815345,3058,-210.34,15.49,15.93,-241.76,Trailing Stop,0.19306435735629585
2024-12-02,EHGO,NEW_PRE,4.20619048871258,3.9507562904548026,2259,-577.03,11.5,11.82,-600.35,SL,1.1292797314424883
2024-12-05,TARA,NEW_PRE,3.6855524391040304,3.9268864433446544,2394,577.75,12.16,12.52,553.07,TP,0.4223277007331232
2024-12-05,PRFX,NEW_PRE,4.008445941466746,4.27164950145708,2377,625.63,12.1,12.45,601.08,TP,0.4053976516026096
2024-12-06,ALBT,NEW_PRE,2.91,2.739708480938471,3146,-535.74,15.93,16.38,-568.05,SL,0.8967813008330195
2024-12-06,UPC,NEW_PRE,51.76227747807625,55.246389794356794,158,550.49,1.18,1.22,548.09,TP,0.25141375088334145
2024-12-11,NIVF,NEW_PRE,1961.8709632320465,1844.3484200810656,2,-235.05,1.09,1.08,-237.22,SL,1.0424525392504647
2024-12-20,PBM,NEW_PRE,22.48552963652486,22.367660242774043,266,-31.35,1.46,1.5,-34.31,Trailing Stop,0.19115931026061875
2024-12-27,RAY,NEW_PRE,24.279371807756654,25.862907639872386,397,628.66,2.2,2.27,624.19,TP,0.44659346670210787
2024-12-30,RVSN,NEW_PRE,1.4129777711215408,1.4120188202026713,6682,-6.41,33.62,34.59,-74.62,Trailing Stop,0.2459328715880337
2024-12-30,REKR,NEW_PRE,1.5657418930881168,1.6690877723348285,6026,622.76,30.34,31.23,561.19,TP,0.3734190662146669
2024-12-31,BREA,NEW_PRE,7.398442120222365,7.903242541309831,1288,650.18,6.65,6.85,636.68,TP,0.16536099750477135
2025-01-06,SPRC,NEW_PRE,13.292201701225556,14.195939120361848,714,645.27,3.78,3.9,637.59,TP,0.1878460695881076
2025-01-06,FUBO,NEW_PRE,1.4459097594905062,1.366084799861215,6653,-531.08,33.48,34.43,-598.99,SL,0.5481503658560567
2025-01-07,MDIA,NEW_PRE,1.1814924102165985,1.1741494475974332,8221,-60.37,41.32,42.51,-144.2,Trailing Stop,0.3268720205914009
2025-01-07,EZGO,NEW_PRE,15.915868338988322,16.060914849252683,585,84.85,3.13,3.22,78.5,Trailing Stop,0.2582527604242657
2025-01-07,MSAI,NEW_PRE,2.905972609931377,3.099299250527931,3097,598.73,15.68,16.15,566.9,TP,0.3245472536652603
2025-01-07,IMRX,NEW_PRE,2.376431552682753,2.5365570677901514,4149,664.36,20.96,21.58,621.82,TP,0.24479857748544437
2025-01-07,XTIA,NEW_PRE,36.490526266255806,38.99845963207499,270,677.14,1.57,1.62,673.95,TP,0.11884655016989383
2025-01-07,CERO,NEW_PRE,100.1611365277393,101.2716663385924,105,116.61,1.23,1.25,114.13,Trailing Stop,0.37219248539853084
2025-01-08,JBDI,NEW_PRE,0.9797271474418787,0.9830753283052911,9383,31.42,46.17,47.69,-62.44,Trailing Stop,0.4984485520960387
2025-01-08,EONR,NEW_PRE,0.8036085364969018,0.8557598342407078,11576,603.7,46.72,51.43,505.55,TP,0.47697234455192394
2025-01-10,VMAR,NEW_PRE,17.063356305093805,18.220046900734133,547,632.71,2.94,3.03,626.74,TP,0.20673007598101711
2025-01-10,AIFF,NEW_PRE,2.6763030740519715,2.523743768048662,3616,-551.65,18.29,18.81,-588.75,SL,0.7372366315170046
2025-01-13,ATPC,NEW_PRE,1.5168001517598844,1.6181034289058907,5984,606.2,30.12,31.0,545.08,TP,0.30023444522011933
2025-01-14,AIFF,NEW_PRE,1.9027087222532624,2.0270082215872898,4957,616.15,24.99,25.73,565.43,TP,0.4366677392689868
2025-01-17,ZEO,NEW_PRE,2.9400671308780555,3.133130913225251,3050,588.84,15.45,15.9,557.49,TP,0.4050043200300606
2025-01-30,NWTG,NEW_PRE,22.022799020188614,23.484375489680843,440,643.09,2.41,2.49,638.19,TP,0.3395778337840916
2025-03-31,NWTG,NEW_PRE,1.5767928595243883,1.685090273298849,5784,626.39,29.12,29.97,567.3,TP,0.12317006659767502
2025-06-02,NIVF,NEW_PRE,49.736995990169,46.66944865312259,178,-546.02,1.2,1.21,-548.43,SL,1.2289856949749207
2025-06-17,SLRX,NEW_PRE,17.786941302152353,17.216583797520432,524,-298.87,2.83,2.9,-304.6,Trailing Stop,0.15030420460817653
2025-06-27,DAIC,NEW_PRE,16.99917414523509,16.00426251172323,440,-437.76,2.37,2.42,-442.55,SL,0.8975849434100887
2025-07-02,DAIC,NEW_PRE,10.349081501848866,11.030112072757406,902,614.29,4.72,4.86,604.71,TP,0.3919724276359905
2025-07-31,PBM,NEW_PRE,5.711916718621364,5.58433577836491,1611,-205.53,8.26,8.49,-222.28,Trailing Stop,0.36867478385531327
2025-09-10,JBDI,NEW_PRE,1.794926796600828,1.9177215117672366,5195,637.92,26.18,26.95,584.79,TP,0.14840167834730628
2025-09-17,SPRC,NEW_PRE,3.7224405013819055,3.6790671148836465,2429,-105.35,12.34,12.69,-130.38,Trailing Stop,0.1880869537806238
2025-09-19,AMCI,NEW_PRE,24.26,25.92524343521139,365,607.81,2.02,2.09,603.7,TP,0.126960131244123
2025-09-23,GLTO,NEW_PRE,3.083952962550628,3.2876997893738618,2934,597.79,14.87,15.31,567.61,TP,0.36759111131851224
2025-09-25,SPRC,NEW_PRE,3.7846781566934853,4.036222302276631,2558,643.45,13.0,13.39,617.06,TP,0.33048465988835996
2025-10-06,SOPA,NEW_PRE,2.008459975982133,2.1460698846182806,4484,617.04,22.62,23.28,571.14,TP,0.13877232569152934
2025-10-08,ACXP,NEW_PRE,7.269171966005443,7.7685506126106585,1329,663.67,6.86,7.07,649.74,TP,0.12166847489286821
2025-10-29,FGL,NEW_PRE,0.5407525826016883,0.5772413690269773,17039,621.73,46.27,51.87,523.59,TP,0.23572104215798528
2025-10-30,ORIS,NEW_PRE,2.7448246896365114,2.929069253409155,3373,621.46,17.07,17.57,586.82,TP,0.2687526559337617
2025-10-31,MSPR,NEW_PRE,0.30134938314488463,0.2813806720962065,29513,-589.34,44.67,45.98,-679.99,SL,1.7120333670975536
2025-11-03,SMX,NEW_PRE,18.345494751602615,18.333838026569836,515,-6.0,2.78,2.86,-11.64,Trailing Stop,0.316235175240122
2025-11-03,RAY,NEW_PRE,2.7388271055827205,2.9256649291940606,3519,657.48,17.81,18.33,621.34,TP,0.1665244442415656
2025-11-03,PHIO,NEW_PRE,2.035938630353925,1.8982892046870292,5036,-693.2,25.41,26.12,-744.73,SL,1.853664298265823
2025-11-04,RUBI,NEW_PRE,21.71449423102816,21.160302537418072,450,-249.39,2.47,2.53,-254.39,Trailing Stop,0.2060812232688608
2025-11-04,ORIS,NEW_PRE,3.006422990747363,2.893706136009505,3079,-347.06,15.6,16.04,-378.7,Trailing Stop,0.39220212696618634
2025-11-05,CHR,NEW_PRE,6.850125862966396,6.45383075256568,1314,-520.73,6.77,6.95,-534.45,SL,0.8265513476212624
2025-11-05,NVVE,NEW_PRE,9.230513834702037,8.626758369949204,958,-578.4,4.99,5.11,-588.5,SL,1.621963340568596
2025-11-07,BKYI,NEW_PRE,0.6356916456787095,0.6768958217725157,14117,581.68,45.07,50.04,486.57,TP,0.4843115613097802
2025-11-10,IMTE,NEW_PRE,0.8980427271332081,0.9566323043181669,9894,579.69,44.62,48.97,486.1,TP,0.44472768078805175
2025-11-11,VCIG,NEW_PRE,1.637434673288124,1.7461365240568958,5532,601.34,27.86,28.68,544.8,TP,0.3378076614133765
2025-11-12,VCIG,NEW_PRE,1.6021246937951674,1.501504079634771,5906,-594.27,29.74,30.58,-654.59,SL,1.347840385766134
2025-11-12,SLRX,NEW_PRE,1.192162273789256,1.2731201351009436,7463,604.19,37.51,38.61,528.07,TP,0.1954743810463384
2025-11-13,NVVE,NEW_PRE,14.05014804417491,13.09489939613527,659,-629.51,3.5,3.58,-636.59,SL,1.8935274975582714
2025-11-14,ASBP,NEW_PRE,0.12813276951392474,0.1243293649504449,73585,-279.87,47.35,56.62,-383.84,Trailing Stop,0.32519745825557844
2025-11-14,WTO,NEW_PRE,2.183335021293596,2.3331894719149298,4035,604.66,20.37,20.97,563.32,TP,0.1275165256240077
2025-12-11,ATPC,NEW_PRE,0.09465412830263104,0.10089361950485656,101812,635.26,48.4,66.35,520.51,TP,0.38141597003494837
2025-12-11,MIGI,NEW_PRE,6.627907438502199,7.065823526316182,1481,648.55,7.62,7.85,633.08,TP,0.36714528148503345
2025-12-15,RADX,NEW_PRE,4.51644099686939,4.825163378194874,2155,665.3,10.99,11.32,642.99,TP,0.1537164457573471
2025-12-15,YCBD,NEW_PRE,1.1753338554687867,1.119181971572569,8645,-485.43,43.45,44.69,-573.57,Trailing Stop,0.16217916390999618
2025-12-16,RILYP,NEW_PRE,5.2803585604174,5.197053027701739,1707,-142.2,8.73,8.98,-159.91,Trailing Stop,0.3536951835540319
2025-12-16,AZI,NEW_PRE,1.4128263238616743,1.5099052667047288,6762,656.45,34.02,35.02,587.41,TP,0.12031955746501226
2025-12-16,RILYL,NEW_PRE,5.344360635471059,5.051486861142113,1773,-519.27,9.07,9.32,-537.66,SL,0.5053185336316734
2025-12-17,YCBD,NEW_PRE,1.5832355572585852,1.6886296607680251,6028,635.32,30.35,31.24,573.73,TP,0.3206721684505565
2025-12-17,PCSA,NEW_PRE,3.360866151987982,3.3280149986393117,2809,-92.28,14.25,14.66,-121.19,Trailing Stop,0.4780203756186556
2025-12-18,UGRO,NEW_PRE,0.31219035079200297,0.33293129712603453,30871,640.29,48.4,56.09,535.8,TP,0.3330038265959176
2025-12-19,PRPH,NEW_PRE,1.096,1.167170276113209,8372,595.84,42.06,43.29,510.49,TP,0.4732352042082617
2025-12-24,ELOG,NEW_PRE,1.6575829026010747,1.5609362074143391,5444,-526.14,27.42,28.2,-581.76,SL,0.8742946088343867
2025-12-29,SOPA,NEW_PRE,2.0566410448569794,2.1898331860182507,4705,626.67,23.74,24.43,578.5,TP,0.4895348090549156
2025-12-29,BFRGW,NEW_PRE,0.2003236426706658,0.2133906512402811,51387,671.47,51.7,62.52,557.25,TP,0.4458422784879856
2025-12-30,BFRGW,NEW_PRE,0.27380061627991664,0.29228441569268343,29384,543.13,40.4,47.39,455.34,TP,0.23287418717857145
2025-12-30,SOPA,NEW_PRE,2.5312297654060227,2.7028169498855994,3970,681.2,20.07,20.66,640.47,TP,0.20672228383778884
2026-01-02,CHOW,NEW_PRE,0.7879209104980462,0.8414821853000294,12261,656.71,48.52,53.59,554.6,TP,0.18897348701826577
2026-01-05,MNTS,NEW_PRE,7.928973192549469,8.445948091580116,1045,540.24,5.41,5.57,529.26,TP,0.4485292143452033
2024-11-01,NMHI,ATOM_SUP_EMA200,3.533034458337732,3.3050204896996758,2719,-619.97,13.81,14.19,-647.97,SL,1.53028572037179
2024-11-06,TMQ,ATOM_SUP_EMA200,0.8694690251251361,0.8165218498528639,10365,-548.8,45.26,44.01,-638.07,SL,1.1469460994374803
2024-11-07,NMHI,ATOM_SUP_EMA200,6.587305449478103,6.3038839897506715,1430,-405.29,7.36,7.56,-420.21,Trailing Stop,0.3653549905062177
2024-11-08,NMHI,ATOM_SUP_EMA200,7.048377596232646,7.735870338130588,1292,888.24,6.66,6.87,874.71,TP,0.22371386488346132
2024-11-11,CERO,ATOM_SUP_EMA200,337.4263658814485,330.8619654651522,28,-183.8,1.21,1.21,-186.22,Trailing Stop,0.32176499106671747
